v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
8.549719007e+01,9.425210163e+01,1.724558956e+01,8.277876079e+01,6.468869699e+00,4.632192155e+01,9.481595484e+01,6.667940016e+01,6.854808779e+01,3.635841901e+01
5.229780805e+01,1.629131400e+01,8.886790938e+01,4.564517684e+01,5.643827747e+01,1.202921947e+01,6.409499309e+00,3.740775812e+01,5.004450586e+01,2.191197818e+01
7.247349095e+01,8.703780988e+01,3.969808370e+01,7.777912716e+00,7.420142310e+01,7.514511543e+01,2.083588455e+01,5.956399732e+01,1.415704210e+01,7.766847622e+01
8.329579181e+01,3.262729306e+01,9.401210664e+01,9.465188995e+01,7.338478643e+01,5.755958291e-01,7.889456196e+01,1.093673176e+01,6.137948258e+01,5.638154247e+01
3.322154811e+01,1.344698656e+00,4.762551986e+01,9.914638192e+01,4.545277227e+00,6.502572549e+01,1.560275060e+01,2.447689176e+01,3.913822086e+01,6.513702361e+01
8.137041497e+01,9.207634623e+01,3.508669050e+01,5.968795327e+01,5.906163321e+01,3.723075006e+01,2.217928837e+01,6.080083777e+01,3.896722665e+01,8.932383171e+01
7.986552510e+01,1.407155340e+01,1.855745792e+01,8.235989642e+01,7.599190637e+01,6.240954906e+01,8.474808583e+01,7.768777754e+01,6.433048406e+00,5.543455861e+01
3.721021601e+01,2.369601190e+01,4.568059644e+01,2.031958765e+01,5.074512767e+01,6.053068423e+01,7.539914925e+01,2.051854276e+01,3.801613010e+01,1.870479898e+00
2.702688967e+00,7.555545026e+01,2.433765356e+01,8.803382284e+01,7.205289048e+01,5.448346515e+01,4.991444920e+01,1.458641095e+01,1.605697766e+01,4.906534350e+01
1.323693509e+01,7.852366111e+01,5.184658759e+01,3.784723900e+01,2.263991218e+01,8.119684567e+00,6.799887794e+00,2.193472685e+01,7.877968534e+01,6.521367332e+01
4.206332827e+01,7.297253249e+00,8.199147374e+01,4.548431047e+01,6.882737677e+01,4.067432335e+01,7.863956680e+01,5.463002952e+01,6.423539573e+01,8.743948611e+01
1.090653652e+01,8.051278267e+01,2.348652702e+01,2.376803451e+01,5.672049721e+00,7.200266886e+01,2.727399652e+01,1.977766577e+01,3.934264432e+01,3.004173503e+01
8.401053617e+01,1.993536029e+01,8.100895960e+00,8.602746256e+01,6.039027616e+01,7.615806745e+01,7.685933104e+01,2.864174335e+01,3.192994830e+01,9.600073296e+01
6.181920985e+01,5.133516905e+01,6.428535071e+01,8.540043424e+01,2.730638761e+01,5.199443924e+00,5.077515853e+01,9.767052816e+01,1.192781383e+01,3.349303973e+01
1.721424979e+01,8.896190744e+01,9.212579849e+01,2.519479847e+01,5.601495636e+01,1.857992220e+01,1.945167136e+01,1.539913646e+01,9.478894270e+01,6.237289558e+01
9.242821328e+01,7.677341667e+01,8.960678093e-02,2.921987277e+01,2.896381379e+01,1.731939727e+01,4.144202736e+01,1.956942219e+01,1.229458583e+01,5.895178607e+01
5.638252908e+01,6.216770175e+01,9.745044188e+01,4.688933549e+01,7.277927581e+01,8.405836417e+01,2.227959745e+01,5.094542628e+01,4.290172425e+01,3.792910094e+01
9.313937111e+01,8.762219208e+01,2.505512685e+01,8.506480406e+01,9.400782021e+01,1.285769741e+01,6.367561867e+01,2.597007429e+01,3.868269200e+01,4.300615078e+01
1.822164237e+01,8.498026028e+00,4.390494920e-01,2.673145188e+00,6.559194122e+01,4.703517157e+01,1.961603409e+01,3.097256686e+01,2.817397142e+01,8.105388532e+01
3.286668927e+01,9.480312845e+01,4.141071804e+01,4.486235509e+01,6.194856979e+01,3.501610869e+01,9.038654807e+01,8.602942994e+01,5.629793503e+01,1.213494646e+01
9.233071537e+01,9.304015624e+01,2.511231334e+01,3.572778526e+00,4.273196078e+00,5.169295422e+01,9.298037041e+01,7.134907313e+00,8.566028337e+01,3.399594363e+01
9.349345580e+01,1.897341456e+01,5.856953264e+01,8.682800209e+01,4.976167214e+01,6.554026369e+01,6.362917566e+00,2.699632616e+01,5.618218968e+01,9.098713712e+01
1.128731595e+01,3.450655984e+01,1.834875102e+01,1.130611277e+00,9.050686840e+01,4.576206374e+01,6.260468964e+01,9.153201141e+01,6.594898021e+01,6.734504714e+01
7.367128426e+01,7.524313330e+01,1.259815467e+01,9.254193392e+01,4.328819971e+01,6.530902226e-01,4.359099048e+01,7.497927715e+01,4.038901641e+01,9.275323418e+01
1.139358856e+01,9.105249978e+01,9.371287072e+01,3.484725164e+01,6.722931138e+01,8.525791767e+01,3.963634337e+01,4.090530132e+01,7.076333872e+01,7.788613760e+01
2.271672912e+01,7.263634602e+01,9.643528077e+01,6.481192835e+01,5.923532623e+01,8.509425358e+01,3.014388859e+01,3.765084437e+01,2.691883767e+01,9.852801850e+00
7.459202389e+01,6.512950025e+01,1.701729033e+01,9.301425445e+01,5.231538442e+01,2.224471508e+01,8.344102577e+01,3.562821115e+01,1.397004176e+01,6.285371308e+01
8.154795481e+01,3.558768902e+01,5.095842656e+01,1.107066622e+01,1.874669901e+01,1.377079319e+01,3.063151392e+01,8.515717132e+01,1.192469984e+00,6.220871142e+01
4.141224739e+01,3.679282464e+01,3.565841917e+01,6.887846586e+01,8.718579351e+01,4.273257935e+00,1.475104716e+01,6.153838511e+01,1.111273539e+01,2.843951493e+01
3.223203840e+00,3.422912593e+00,5.958836926e+01,1.611113500e+01,3.058816706e+01,6.628367585e+01,8.575459163e+01,6.495236288e+01,9.134792632e+01,5.019293035e+01
2.020681601e+01,8.855015305e+01,8.798992580e+01,1.264074169e+01,9.672873871e+01,4.845082428e+01,3.490985612e+01,4.982314646e+01,2.190964958e+01,1.148357438e+01
7.098334311e+01,8.356587810e+01,9.879779383e+01,5.221527626e+01,6.118790364e+00,8.846944028e+01,1.273794749e+01,6.375871021e+01,5.889656411e+01,2.681018528e+01
9.819947464e+01,4.976167668e+01,7.239186980e+01,6.104082343e+01,5.713091725e+01,2.295063274e+01,4.094503612e+01,2.470280605e+01,1.230677880e+01,3.351839560e+01
3.505013726e+00,6.995421499e+01,4.469233061e+01,8.703160875e+01,3.549325383e+01,1.961057512e+01,2.862790103e+01,1.126707291e+01,5.721594570e+01,8.624513354e+01
3.363347431e+01,8.640537851e+01,9.368983877e+01,9.629966898e+01,8.006395409e+01,6.577920915e+01,4.459069321e+01,1.149072098e+01,5.408599160e+01,9.423521575e+01
1.852054357e+01,1.877879587e+01,5.348417872e+01,3.971150967e+01,4.441732159e+00,1.340017448e+00,6.832034546e+01,7.303535359e+01,7.277417868e+01,5.618466631e+01
2.251528514e+01,6.674269548e+01,2.675656789e-01,3.351462202e+01,3.187944078e+01,6.116710356e+01,5.600048578e+01,7.192421615e+01,9.907835721e+01,4.498961839e+01
3.225727146e+01,2.663236983e+01,7.330430561e+01,6.687740796e+01,1.847899640e+01,9.423782225e+01,1.416263403e+01,1.396462390e+01,2.421436302e+00,2.617613443e+01
5.310580474e+01,7.293799044e+01,7.627315649e+01,7.138684266e+01,3.855297672e+01,6.230268952e+01,5.182861938e+01,7.415140770e+01,6.320086161e+01,5.952372182e+01
1.406842145e+01,2.766734173e+01,4.002300323e+01,5.715176854e+01,8.547012666e+01,9.739897606e+01,3.202241822e+01,5.395852326e+01,6.573613525e+01,5.579243745e+01
8.764039683e+01,1.091674147e+00,6.911930039e+01,2.749307991e+00,3.713550112e+01,3.839279810e+01,8.928756400e+01,4.042600734e+01,7.859817106e+01,9.044656060e+01
5.370279671e+01,3.891040740e+01,5.375648915e+01,8.942309923e+01,3.370469202e+01,6.318306220e+01,5.271302758e+01,7.715351537e+01,4.869697745e+01,2.582104088e+01
3.628236508e+01,4.484608683e+01,6.417872532e+01,5.575020469e+01,3.574792811e+01,1.102591795e+01,5.195148782e+01,2.622469806e+01,4.884253013e+01,4.672061627e+01
7.763395708e+01,2.607603555e+01,5.379192341e+00,2.311197974e+01,5.340974111e+01,4.347380389e+01,9.926944301e+01,6.751879832e+01,9.947662842e+01,1.233734237e+01
7.598269060e+01,4.931616320e+01,1.333728087e+01,5.482452008e+01,4.759475135e+01,1.536704357e+01,9.374766333e+01,5.917440461e+01,1.868979492e+01,8.073698021e+01
2.617576792e+01,3.538881003e+01,1.874722609e+01,5.210062912e+01,3.481108996e+01,2.967364654e+01,4.567385409e+01,4.759759671e+01,2.361515216e+01,8.006266709e+01
8.891339435e+01,4.686250989e+00,5.901214553e+01,1.551765741e+01,9.877474116e+01,7.168970397e+01,2.188714314e+01,3.635173391e+00,5.765112723e+00,8.406947516e+01
2.376307611e+01,5.080874369e+01,7.709501586e+01,5.802648476e+01,8.822288438e+01,2.662131474e+01,3.641161355e+01,6.921758281e+01,2.499391613e+01,2.353913752e+01
6.420632778e+01,7.906453927e+01,5.658436352e+00,5.672822884e-01,4.457390860e+01,7.277431582e+01,3.142529207e+01,5.742790968e+01,1.897326715e+01,9.244945735e+00
1.849383980e+01,7.170308292e+01,6.546939611e+00,3.205622632e+01,3.530905581e+01,1.197902396e+01,2.598774321e+01,5.694372228e+01,4.082447150e+01,2.943057241e+01
