v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100
6.457644454e+01,3.636384118e+01,7.273388330e+01,8.929384090e+01,5.497523676e+01,2.520573705e+01,2.095918630e+01,2.154062536e+01,8.455261565e+01,6.166345298e+01,8.865798659e+01,4.761612682e+01,1.481513762e+01,2.540502600e+01,9.864760652e+01,5.204973791e+01,6.590060896e+01,7.717296232e+01,5.522274184e+01,2.021746813e+01,1.789720401e+01,1.044998761e+01,9.175374809e+01,8.170500240e+01,1.322064633e+00,8.947268940e+01,3.659090974e+01,7.229369670e+01,2.967733025e+01,4.603373545e+01,5.324526370e+01,9.058357997e+01,6.242151500e+01,8.314188772e+01,4.133706792e+01,4.796274083e+01,2.521187732e+01,4.137247565e+01,6.504675430e+01,3.107240146e+01,1.248659622e+01,5.266624579e+01,1.615560970e+01,6.008061446e+01,2.511437879e+00,3.439782665e+01,2.600883357e+01,9.486714233e+00,1.787461922e+01,6.890863620e+01,2.154605965e+01,8.630166897e+01,1.596372457e+01,5.994412540e+01,3.354093419e+01,7.633858408e+01,7.670908865e+01,7.199584362e+01,8.273813069e+01,7.822903992e+01,7.875383893e+01,7.345820851e+01,1.283159478e+01,8.879993801e+01,9.409589394e+01,1.314970867e+01,2.469331376e+01,4.147593458e+01,6.088813088e+01,1.457499347e+01,6.186418612e+01,2.956696421e+01,2.031799159e+00,7.025633311e+01,3.612024791e-01,2.887614491e+01,3.769189605e+01,5.637875929e+01,2.263530928e+00,2.195021337e+01,9.905073252e+01,2.785533787e+01,4.378489932e+01,7.951632977e+01,7.030667058e+01,2.428931707e+01,9.092159994e+01,6.914483695e+01,2.670637718e+01,6.501563003e+01,1.297684714e+00,7.888423818e+01,3.605451263e+01,2.534836886e+01,2.145201547e+01,1.616103354e+01,2.771775034e+01,5.122758851e+01,6.884236651e+01,8.734884110e+01
8.545166243e+01,3.883195658e+01,2.197526098e+01,4.204214363e+01,3.501217719e+01,2.540691159e+01,9.777362661e+01,1.523933183e+01,2.468081700e+01,3.872034408e+01,2.115165643e+01,8.270784778e+01,9.028519839e+01,5.358237159e+01,7.577058471e+01,6.613028685e+01,2.594335202e+01,1.638003617e+01,4.766854087e+01,8.647946826e+01,3.701977486e+00,8.955127277e+01,6.856585486e+01,7.012367409e+01,9.561548948e+01,6.467492811e+01,5.244378153e+01,6.497783561e+01,1.944328687e+01,7.191013787e+01,8.034913692e+01,7.387586686e+01,6.829457772e+01,3.825146684e+01,3.757309653e+01,9.757230733e+01,2.649459279e+01,1.332890042e+01,4.287197360e+01,2.779351538e+01,2.562249906e+01,9.839866986e+01,8.764599934e+01,7.055699053e+01,2.743083826e+01,9.471465438e+01,1.282718958e+01,3.051635769e+01,5.571347999e+01,9.112321818e+01,7.862067926e+01,3.943346260e+01,7.176253257e+01,3.868507439e+01,2.307738876e+01,3.141444670e+00,9.530755505e+01,4.898654711e+01,4.118252322e+01,3.342521458e+01,3.348921411e+01,4.151703599e+01,4.401241857e+01,4.579027068e+01,3.946079828e+01,6.972676761e+01,9.320339556e+01,2.889259266e+01,9.368677363e+01,4.237060122e+01,5.337662447e+01,7.232678369e+01,4.101506239e+01,7.715483906e+00,7.092621694e+01,3.260775662e+01,3.359241996e+01,2.301284028e+00,9.719400853e+01,9.437179795e+01,7.312624495e+01,5.438233567e+01,9.848210308e+01,3.721530612e+01,9.556919391e+01,1.926299776e+01,5.812939190e+01,2.731021323e+01,3.557644956e+01,4.738959064e+00,2.897311050e+01,6.845677222e+01,2.505804400e+01,1.050500233e+01,8.558348378e+01,9.070141228e+01,6.560139844e+01,7.622263442e+01,1.622639757e+01,2.953375901e+01
5.585433330e+01,5.471723010e+01,6.671324341e+01,7.168649947e+01,5.757034866e+01,6.036829698e+01,9.876469156e+01,9.268498236e+01,3.474007907e+01,1.240791319e+01,2.996794283e+01,1.842610809e+01,9.357166595e+01,6.831779636e+00,7.894042744e+01,3.832605941e+01,4.240611155e+01,9.419088718e+01,4.144104258e+01,2.053780447e+01,2.617487538e+01,3.597517820e+01,8.442804380e+01,9.427941230e+01,9.600845226e+01,3.567531228e+00,6.762570896e+01,9.381761828e+01,8.475236155e+01,8.526835713e+01,3.381841841e+01,2.677951039e+01,9.340898208e+01,8.501223916e+01,3.727983702e+01,1.772240102e+01,8.050947672e+01,7.941179878e+01,6.678882913e+01,4.724132996e+01,4.900264108e+01,3.972958444e+01,3.126161414e+01,2.625707706e+01,9.472832778e+01,7.066975213e+01,7.597301809e+01,4.795070150e+01,8.953373411e+01,1.771742657e+00,2.129703042e+01,2.597486336e+01,5.732679978e+01,3.679817752e+01,9.121274991e+01,3.813449510e+01,9.012920531e+01,6.562102137e+01,7.799677284e+01,3.232264286e+01,1.205208038e+00,9.956568628e+01,7.066436236e+01,9.616200634e+01,2.658903437e+01,4.142963156e+01,7.003654852e+01,1.768360368e+01,5.488657499e+01,1.731779684e+01,1.691755636e+01,6.747892846e+01,7.064365770e+01,3.286414113e+01,1.096649327e+01,6.263924630e+01,6.439763168e+01,4.236693849e+01,9.724302354e+01,8.172048332e+01,9.536727511e+01,9.633571325e+01,1.855875585e+01,1.020828647e+01,9.738243559e+01,2.148728136e+01,8.802747114e+01,7.830750039e+01,6.679911195e+01,6.579205721e+01,1.064085580e+01,7.562645609e+01,7.920076664e+01,9.627424777e+01,1.748416937e+00,6.818394355e+01,7.713891465e+01,7.721861082e+01,5.851594034e+01,9.028046264e+01
8.624719087e+01,7.796100010e-02,7.145735670e+01,5.838169448e+01,5.815346108e+01,7.540145822e+01,8.081243985e+01,5.293367394e+01,5.837042028e+01,8.249731376e+01,9.438676271e+01,2.274819612e+01,3.361271629e+01,3.310959711e+01,6.921772062e+01,1.019131589e+01,4.416454413e+01,3.053157628e+01,6.398716915e+01,1.060391149e+01,4.821756886e+01,6.912076804e+01,7.295507920e+01,2.933708130e+01,4.949290520e+01,4.299103438e+01,7.726734850e+01,9.893071456e+01,7.152156080e+01,3.029360530e+01,9.394668760e+01,8.167127969e+01,8.770884975e+01,1.709014979e+00,2.750191644e+01,8.071762631e+01,9.329586540e+00,4.942954201e+01,9.974777733e+01,6.076929081e+01,7.220352196e+01,5.572885416e+01,6.035171599e+01,3.538181108e+01,9.710385125e+01,3.734947146e+01,9.259602686e+01,7.280345423e+01,1.418896093e+01,4.578819412e+01,4.882807797e+00,6.576167590e+01,8.354803190e+00,4.363886263e+01,8.206621380e+01,9.618656547e+01,2.054704333e+01,4.902227090e+01,8.550835884e+01,8.436451106e+01,4.855663238e+01,5.853143968e+01,7.208707704e+01,6.564212672e+01,5.428422820e+01,2.299037144e+01,1.572389058e+01,2.601201210e+00,7.543043021e+01,1.866623018e+01,1.453292495e+01,2.911431680e+01,7.026908453e+00,5.908465896e+01,5.765960960e+01,8.985998068e+01,5.676644090e+01,8.078355108e-01,2.187431705e+01,2.646915822e+01,2.345547694e+01,6.394561452e+01,3.590136952e+01,4.130613791e+01,3.913612590e+00,4.875947182e+01,9.699467757e+01,4.589884469e+01,7.697018159e+01,2.451985079e+01,9.088820212e+01,3.684725171e+01,8.427940540e+01,6.961885060e+01,1.847897504e+01,6.686682888e+01,7.351420511e+01,1.385208620e+01,2.433511072e+01,2.352376153e+01
9.731687324e+01,7.691167809e+01,2.862121170e+01,3.266102874e+01,7.325692212e+00,6.899772776e+01,5.725995709e+01,7.787506319e+01,6.363359430e+01,5.732263927e+01,7.969373132e+01,4.457261977e+01,9.380964161e+01,6.024217738e+01,3.788293917e+01,7.380056820e+01,7.427185681e+01,1.617500872e+01,4.385641575e+01,7.694589139e+01,9.415197484e+01,9.432028654e+01,1.721290454e+01,2.898415766e+01,5.831163367e+01,7.048444007e+01,6.432127974e+01,1.106059849e+01,1.862113383e+01,9.339853027e+01,7.763289916e+01,3.782346159e+01,4.669853529e+01,6.642433213e+01,3.209999869e+01,1.440241824e+01,4.926685386e+00,3.304173723e+01,7.105058983e+00,7.556840489e+01,8.068249432e+01,4.700320972e+01,3.810174828e+01,9.680998235e+01,6.634244985e+01,1.249436319e+01,9.439050714e+01,1.821773442e+01,1.955615726e+01,3.372134403e+01,8.423938145e+01,6.960509576e+01,1.709257935e+01,5.819765570e+01,6.198594926e+01,8.209820388e+01,5.572028050e+00,2.256516735e+01,1.388842239e+01,4.647302582e+00,9.978148508e+01,7.580703682e+01,3.278238984e+01,6.874875353e+01,8.796491150e+01,6.494134007e+01,6.532933859e+01,6.159250075e+00,1.163702648e+01,7.438650595e+01,2.425456171e+01,2.313972346e+01,6.561004649e+01,6.128170902e+01,5.496064755e+00,5.992629667e+01,4.786678766e+01,9.253989520e+01,4.150755020e+01,7.452995784e+01,4.373645631e+01,2.346451306e+01,2.865591258e+01,4.682346385e+01,4.765746871e+01,6.938646677e+01,3.568010709e+01,8.545218587e+01,1.113904041e+01,7.625820590e+01,5.422261699e+01,3.535109185e+01,8.494046697e+01,3.977758960e+01,2.112262458e+00,6.701983437e+01,2.628443671e+01,6.232784217e+01,6.483540906e+01,9.589965451e+00
3.407480689e+01,8.258634413e+01,6.106294603e+01,2.923316836e+00,5.671355032e+01,8.289519455e+01,6.087968885e+01,7.393039817e+01,4.579091242e+01,9.172325250e+01,6.312325254e+01,3.686576004e+01,1.219940806e+01,3.382012014e+01,6.850700226e+01,2.681583842e+00,9.317053179e+01,4.563732525e+01,5.388738677e+01,9.408552676e+01,6.323969271e+01,4.815257930e+01,9.077517554e+01,5.966804399e+01,8.809199608e+00,5.320110396e+01,9.229487116e+01,5.143951877e+01,4.214471829e+01,5.173538447e+00,6.379243465e+01,7.682084109e+01,5.432559220e+01,5.636001415e+01,4.809849621e+00,4.345727366e+01,6.560156376e+00,6.779359777e+01,9.052784935e+00,1.931862967e+01,6.423748753e-01,4.192575969e+01,9.042903345e+01,1.282973495e+01,6.775485871e+01,7.593205535e+01,5.394349216e+01,3.949965371e+01,4.970253619e+01,1.308258565e+01,5.754285573e+01,8.557641435e+01,8.236295287e+01,8.313462566e+01,2.515211912e+01,9.113327363e+01,2.357764703e+01,2.657554989e+01,3.731285429e+01,5.117413211e+01,7.505179368e+01,9.785031290e+00,1.919980539e+01,2.183994509e+01,3.934949326e+01,1.918956117e+01,2.403557426e+01,2.212182487e+01,7.627314661e+01,8.402092129e+01,8.707993398e+01,2.908149062e+01,7.342973895e+01,3.841756506e+01,4.544406217e+01,4.339481833e+01,2.844323929e+01,5.315940328e+01,1.647061083e+01,9.668847892e+01,3.611784968e+01,7.695557422e+01,6.638078674e+01,4.101903881e+01,1.221800432e+01,8.813450931e+01,7.613261624e+01,3.032204060e+01,6.778420722e+01,9.211399048e+01,4.470146480e+01,3.900862346e+01,5.827875871e+01,9.351838439e+01,1.061090885e+01,4.184381600e+01,7.971193190e+01,9.786529367e+01,5.693989853e+01,3.698617003e+01
2.253164678e+01,4.188589401e+01,5.253939303e+01,2.051301718e+01,7.513706521e+01,4.000274079e+01,6.722776927e+01,7.497998012e+01,8.525157876e+01,2.633605111e+01,7.543768586e+01,2.572063526e+01,3.973434147e+00,1.080611621e+01,3.376855134e+01,1.435898247e+01,7.106946858e+01,1.812781673e+01,8.852656986e+01,5.467733501e+01,9.768344099e+01,9.097828307e+01,6.517245690e+01,1.751136014e+01,8.446040786e+01,9.857338329e+01,7.805558918e+01,5.134056941e+01,6.107026114e+01,4.755212027e+00,2.143132801e+01,8.686149582e+01,9.531090858e+01,2.346446006e+01,4.646960405e+01,4.092233063e+01,5.170372390e+01,3.466365379e+01,4.901536430e+01,4.584434389e+01,7.777797848e+01,4.926588846e+01,6.226627798e+01,3.087884656e+01,4.528620911e+01,1.369498148e+01,9.505106439e+00,7.262739992e+01,8.341782355e+01,2.942974812e+01,6.363856411e+01,4.707323104e+01,9.069811149e+01,8.419960857e+01,3.663304285e+01,2.784130845e+01,6.888413510e+01,5.005379391e+01,5.439998968e+01,7.029358809e+01,7.235598851e+01,6.738356524e+01,4.609536410e+01,5.003658316e+01,1.588333655e+01,8.680612288e+01,1.022751741e+01,6.477396870e+01,1.287691767e+01,7.791849926e+01,9.394656408e+01,8.036372642e+01,9.866582420e+01,1.552464725e+00,8.807338033e+01,9.975357790e+01,4.254418280e+01,5.974232083e+01,5.543067509e+01,6.476627007e+01,7.976874069e+01,7.040310513e+01,1.307501662e+01,7.980682921e+01,8.036948457e+01,3.236745370e+01,9.159571320e+01,8.700517344e+01,7.734087191e+01,6.999978818e+01,1.096654808e+01,4.128088026e+01,7.845936321e+01,1.958527667e+00,8.498042659e+01,6.764052730e+01,6.377770047e+01,9.552698226e+01,4.514596357e+01,5.975478403e+01
3.096654128e+01,5.425014233e+01,8.357770066e+01,5.217882611e+01,3.681243121e+01,4.062693931e+01,1.871116472e+00,5.925252969e+01,4.661089694e+01,1.006838339e+01,6.443263658e+01,3.945726621e+01,1.520279436e+01,6.181419600e+01,9.826917475e+01,4.935910938e+01,4.394580828e+01,5.744960230e+01,4.757930319e+01,2.491124089e+01,3.300670441e+01,6.855372099e+01,2.381499892e+01,7.538413016e+01,5.473475332e+01,6.584628234e+01,4.048855726e+01,7.064389598e+01,8.508789399e+01,7.221221795e+01,4.396954464e+01,1.708190423e+01,2.662547891e+01,9.109894826e+01,5.163676265e+01,6.336287252e+00,8.892755586e+01,1.197688274e+01,1.757717947e+01,3.339194482e+01,6.030287055e+00,1.096713384e+01,6.659795073e+01,7.195325327e+00,3.466499102e+01,2.638321091e+01,6.588084744e+01,3.378609588e-01,5.204538489e+01,6.825023399e-01,6.640579469e+01,3.813145658e+01,8.471056894e+01,1.999487048e+01,7.908166816e+01,9.517927061e+01,4.078898317e+01,9.302284284e+01,3.374782673e+01,2.028691734e+01,4.846751451e+01,8.977687185e+00,3.465102057e+01,7.121929452e+01,6.656561061e+01,3.383872996e+01,8.252494874e+01,8.736466691e+01,2.734649999e+01,1.404923041e+01,9.756760033e+01,3.705333526e+01,1.215306906e+01,4.169264924e+01,2.149390309e+01,2.696290418e+01,5.422721927e+01,3.873273684e+01,1.528056879e+01,1.126114117e+01,9.549841423e+00,5.669621091e+01,8.006096880e+01,8.514703890e+00,7.685131239e+01,5.383720111e+01,1.446626342e+01,5.873697403e+01,2.883195373e+01,4.538571699e+01,4.016588772e+01,6.397948339e+01,6.015060583e+01,3.804572665e+01,7.989945070e+01,9.365877375e+01,5.821841773e+01,7.032203431e+01,5.681087954e+01,4.194910418e+01
3.678501534e+01,9.509683288e+01,8.448529994e+00,3.032046235e+01,1.532026266e+00,9.108549579e+01,7.723549423e+01,5.318358100e+01,1.915170610e+01,1.810273961e+01,9.736029202e+01,8.332345367e+01,4.973272305e+01,9.630784486e+01,5.521426549e+01,5.750439199e+01,1.714384086e+01,3.753860254e+01,5.598043661e+01,6.168087430e+01,4.549882104e+01,5.417019376e+01,2.478696040e+01,8.820623810e+01,4.773709546e+01,4.039864865e+01,3.471720072e+00,7.683803500e+01,1.487475260e+01,5.908154069e+01,2.097601694e+01,1.058748792e+01,3.774682855e+01,6.050052469e+01,6.165545911e+01,6.789548267e+01,1.294732919e+01,4.345296522e+01,6.286802958e+00,6.217540104e+01,2.483720314e+01,7.749438622e+01,5.277991524e+01,7.631561483e+01,9.247004814e+01,7.506256559e+01,1.066204904e+01,4.478016812e+01,4.053548210e+01,1.729369793e+01,5.033065738e+00,3.214275595e+00,2.160810956e+01,7.945099427e+01,6.362800441e+01,1.418334498e+01,6.213130722e+01,3.491271119e+01,6.388775250e+01,6.635562277e+01,3.874098468e+01,9.790295852e+01,7.753457169e+01,1.729501450e+01,7.450603406e+01,4.941682846e+00,8.321880576e+01,5.952651298e+01,4.457130720e+01,3.987835889e+01,9.719721897e+00,8.483281167e+01,4.668316851e+01,9.341855797e+01,2.322352082e+01,4.250711372e+01,3.819702360e+01,2.505529721e+01,5.721434784e+01,9.320256596e+01,8.112776533e+01,2.275004428e+01,3.784237288e+00,5.766670350e+01,9.461180445e+01,1.840885998e+01,5.548232561e+01,6.130937053e+01,8.862959685e+01,7.894971810e+01,5.488752093e+01,9.840647972e+01,3.733738510e+01,4.361296322e+01,1.824706574e+01,4.755413580e+01,8.377565325e+01,2.250197288e+01,3.957036326e+01,1.698614964e+01
2.267742534e+01,6.139298277e+01,6.729093433e+01,9.327591454e+01,2.547094997e+01,2.864793767e+01,8.774618272e+01,3.764355919e+01,7.363343291e+01,3.672826467e+01,5.888567110e+01,2.651144404e+01,9.081483876e+00,8.552762212e+01,1.365626295e+01,8.099034313e+01,6.664145262e+01,3.832759823e+00,1.966407759e+01,2.716996634e+01,5.530414298e+01,1.705441202e+01,6.890235628e+01,5.685545360e+01,5.812798271e+01,3.781870472e+01,3.894882751e+01,9.568600913e+01,6.324220217e+01,9.558293897e+01,5.149238450e+01,5.787494005e+00,7.579296980e+01,7.184676763e+01,7.453769576e+01,7.244393660e+01,4.396450509e+01,4.316110915e+00,8.723832102e+01,4.177782284e+01,3.147298126e+01,8.930044086e+01,9.783270832e+01,7.467225314e+01,5.952190322e+00,5.545597014e+01,6.115274065e+01,5.400002799e+01,1.463368838e+01,9.705730887e+01,3.496114064e+01,9.211996007e+01,6.079498358e+01,7.178057044e+01,8.556193619e+01,3.421387446e+01,9.958757717e+01,5.541289977e+01,6.697915880e+01,5.693743012e+01,4.926450986e+01,1.755000648e-01,9.223298188e+01,3.608390305e+01,8.000384020e+01,9.885084506e+01,8.627067774e+00,1.966476754e+01,6.374424595e+01,9.099359096e-01,1.061671289e+01,7.401463438e+01,4.869345902e+01,7.617786483e+01,4.017483645e+00,7.555186813e+01,1.084133911e+01,9.926877403e+01,8.250697900e+01,3.053082072e+01,4.128146015e+01,7.311063812e+01,1.149181867e+01,6.694119833e+01,1.059232980e+00,7.760305266e+01,5.915456774e+01,9.395833605e+01,7.519430702e+01,8.311993868e+01,7.955965545e+01,3.501010939e+01,4.003316338e+01,1.070018457e+01,2.061514689e+01,9.935419711e+01,7.623607521e+01,8.017124175e+01,2.682598147e+01,9.303318514e+01
