v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11
1.631911818e+01,5.562965302e+01,7.537830371e+01,9.607496039e+01,5.376580673e+01,1.141518305e+01,6.415589529e+01,9.710048412e+01,2.839983678e+01,9.665971684e+01,3.545676668e+01
1.040872470e+01,7.200823788e+01,2.208750969e+01,2.513451859e+01,3.638410977e+00,2.828560045e+01,9.632253042e+01,2.540964449e+01,3.846699050e+01,9.458221551e+00,6.996636902e+01
1.426277679e+01,8.980127780e+01,7.633417205e+01,9.899766688e+01,6.350849940e+01,4.366744767e+01,5.098898814e+01,6.323382560e+01,4.302195784e+01,3.023476765e+01,2.695076435e+01
3.339293171e+01,9.076667335e+01,4.087379455e+01,7.132161300e+01,9.470566367e+01,4.219960151e+01,2.795470963e+01,2.117132634e+01,5.693554693e+01,7.203807271e+01,3.138917100e+01
4.757669266e+01,1.682913048e+01,8.088289805e+01,9.543079684e+01,2.650166199e+01,1.188957510e+01,9.793728888e+01,8.210868904e+01,8.371535746e+01,5.761750080e+01,7.350972601e+01
3.721479592e+01,2.087448687e+01,5.053615149e+01,7.606143392e+01,2.038061497e+00,2.624338873e+01,3.833591770e+01,9.684284659e+01,7.949483674e+01,4.998580466e+01,6.862279153e+01
5.575591866e+01,4.304332544e+01,6.114194065e+01,5.609988465e+01,4.326780717e+01,1.234253473e+00,6.208910481e+01,8.515167583e+01,3.396058240e+01,8.560017980e+01,9.623798569e+01
9.662620901e+01,5.338419258e+01,4.946529277e+01,9.668622001e+01,6.723048811e+01,2.706673284e+01,5.259147707e+01,5.771990631e+01,2.315558323e+01,6.711637684e+01,8.624020089e+01
2.864084800e+01,1.425039839e+01,6.149188740e+01,8.506632405e+01,8.402218874e+00,3.834221250e+01,7.952354086e+01,5.572821100e+01,3.982486786e+01,1.848701136e+01,2.166207884e+01
9.303962582e+01,1.495287699e+01,6.139336065e+01,8.122264052e+01,6.847794322e+01,4.488500885e+01,8.424615387e+01,6.625237963e+01,1.075402650e+00,9.378442812e+01,7.662202872e+00
3.150700898e+01,2.115541899e+01,2.852109261e+01,2.076482966e+01,2.941496614e+01,7.053240362e+01,2.145464950e+01,9.823369099e+01,7.816327853e+01,8.801408623e+01,5.777019500e+01
