v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12
6.215390715e+01,9.304623044e+01,6.253897266e+01,5.299399766e+01,9.532065573e+01,9.108062544e+01,5.547648365e+01,7.908015338e+01,7.609571433e+01,2.264054217e+01,3.642961707e+01,8.410178284e+01
1.112189612e+01,8.685259073e+00,7.885335367e+00,4.153158566e+01,7.708510462e+01,6.710577485e+01,3.752204406e+01,4.714683959e+01,8.628473455e+01,5.024715866e+01,9.660407405e+01,3.252663805e+01
7.153973120e+01,6.557230026e+01,1.200323095e+01,6.486102688e+01,2.024479477e+00,7.520512777e+01,9.410009963e+01,2.926577514e+00,5.807046946e+01,4.403988748e+01,1.665548497e+01,3.688891721e+01
2.939404270e+01,7.103669273e+01,4.031480357e+01,4.409808793e+01,8.238487805e+01,7.308519127e+01,6.619457753e+01,6.803818666e+01,1.404441657e+01,9.016265609e+01,4.946417183e+01,9.830270445e+01
5.698472530e+01,8.091453634e+01,5.573338299e+01,3.922833320e+00,5.661548957e+01,6.594142411e+01,8.466489950e+01,8.361439999e+01,6.219639790e+01,3.975564703e+01,8.769616101e+01,8.006824384e+01
6.065939363e+01,9.093848589e+01,1.635126846e+01,5.918093633e+01,3.411847966e+01,3.231295619e+01,6.513477712e+01,4.608021272e+01,6.462086151e+01,8.125180891e+01,2.907790184e+01,2.560623990e+01
8.366303795e+01,5.548161817e+01,3.749407783e+01,5.698443212e+01,5.098119781e+01,4.585496418e+01,1.567559120e+01,6.337237628e+01,7.273409174e+01,5.884694754e+00,5.656261904e+01,8.900345253e+01
3.682956341e+01,5.019059910e+00,7.558961511e+01,3.723637732e+01,9.106101013e+01,8.038821949e+01,7.616215868e+00,6.784081670e+00,2.126293050e+01,9.352268769e-01,6.085236236e+01,7.411356454e+01
3.347879655e+01,2.477368394e+01,7.299284857e+01,6.423062352e+01,9.478002115e+01,1.835981952e+01,6.422398385e+01,9.683737267e+01,3.028864317e+01,1.013894433e+01,3.474126213e+01,6.229840383e+01
4.069837582e+01,2.991893887e+01,6.637146737e+01,2.145988942e+01,5.070032533e+00,2.859812740e+00,8.613770638e+01,6.732912373e+01,1.723568786e+01,1.541658108e+01,5.958650960e+01,9.080466401e+01
5.077648079e+01,4.279223709e+01,9.000192737e+01,9.285348380e+00,7.811203288e+01,8.601771674e+01,9.595411409e+01,3.130476179e+01,3.942739805e+01,5.712485308e+01,9.080858978e+01,7.665614218e+00
2.428038924e+01,3.819775723e+01,5.342837121e+01,7.452783428e+01,8.576036947e+01,3.554907654e+01,3.781836328e+01,1.213459025e+01,7.661103186e+01,8.958684876e+01,9.709198772e+00,1.481499422e+01
9.569155818e+01,1.055838368e+01,6.128517908e+01,8.852960950e+01,7.189270894e+01,5.960601371e+01,1.122836299e+01,3.313671270e+01,8.913975544e+01,4.067986430e+01,4.708199979e+01,8.518074564e+00
3.401360580e+01,2.346988146e+01,8.747845052e+01,1.489112686e+01,8.018056281e+01,7.803878240e+01,3.125840083e+01,1.927467894e+01,7.014094752e+01,7.337224283e+01,8.785126772e+01,6.440625064e+01
9.597821696e+01,2.141871744e+01,2.594124307e+01,1.608625280e+01,4.390163359e+01,7.553640155e+01,7.095173044e+01,5.803240394e+01,9.483772647e+01,6.260517618e+01,4.785663428e+01,5.567008828e+01
9.740444828e+01,8.753845184e+01,7.325828789e+01,1.180060689e+01,1.919837523e+00,7.420870261e+01,8.246616033e+01,4.277030717e+01,7.925769064e+01,9.758032600e+01,1.107004830e+01,9.054094564e+01
8.211374230e+00,4.973436154e+01,9.945425607e+01,5.440955046e+01,7.855414958e+01,3.636259605e+01,4.430454241e+01,4.212184334e+01,5.390274806e+01,7.272676909e+01,2.384663065e+01,6.956558334e+01
3.588125336e+01,1.406777974e+00,3.170586676e+01,3.320259082e+01,8.769767616e+01,6.530259254e+01,3.130532267e+01,2.874451184e+00,1.248926501e+01,3.657071086e+00,1.970178474e+01,5.516077834e+01
4.934421136e+01,8.868124516e+01,4.890745595e+01,6.221953750e+01,4.569385193e+01,6.516424772e+01,5.759252156e+01,9.581083808e+01,8.851719242e+01,1.505508858e+01,4.916551762e+01,4.605944937e+01
2.358189386e+00,6.180756844e+01,3.875144122e+01,5.065709227e+01,1.130962390e+01,5.767232457e+00,5.221454397e+01,4.094648721e+01,4.999491984e+01,1.233991067e+01,4.315993707e+01,3.741064787e+01
5.329282594e+01,7.661088354e+01,2.198303571e+01,9.241807813e+01,6.077077829e+01,8.118300507e+01,7.737236527e+01,7.396296480e+01,9.169269303e+01,4.960553132e+01,2.582426544e+01,3.366907216e+01
8.567548172e+01,8.985433672e+01,7.084644991e+01,2.234367053e+00,6.546121478e+01,6.235233957e+01,2.625650355e+01,1.098650106e+01,9.240072470e+01,1.409461155e+01,2.827116974e+01,1.930658082e-01
9.116275989e+01,1.438007256e+01,1.034284635e+01,3.894595787e+01,3.404845434e+01,5.037733232e+01,4.834017637e+01,4.598704983e+01,2.974348842e+01,6.308961880e+01,7.139474260e+01,9.792126130e+01
6.108217499e+01,6.584137491e+01,4.696076093e+01,7.481669086e+01,2.568177709e+01,9.943547026e+01,2.923296174e+01,4.439798874e+01,3.109464616e+01,2.329407114e+00,8.159365176e+01,8.178923090e+00
6.205637142e+01,2.049822251e+01,2.999669530e+00,7.389470401e+01,9.241090516e+01,1.768993217e+01,5.088921857e+01,8.951959415e+01,1.891369742e+01,9.988865429e+01,1.136744357e+01,2.147020216e+00
5.573008206e+01,7.621280303e+01,1.015828489e+01,1.177020081e+01,9.780776423e+01,3.264701895e+01,4.139458662e+01,6.230749290e+01,1.497011108e+01,2.428524643e+01,7.513588811e+01,1.200695933e+01
7.579507330e+01,7.848855719e+01,6.552144747e+01,5.053210615e+01,1.564461548e+01,4.127981082e+01,8.751639458e+01,6.316650745e+01,6.417129643e+01,7.787476452e+01,9.374696174e+01,4.697423527e+01
1.384750456e+01,6.692491287e+01,2.435813189e+01,3.651257275e+01,1.127274887e+01,7.880497533e+01,2.581694895e+01,4.312265292e+01,7.184048407e+01,5.421194465e+01,8.206814035e+01,5.910501124e+01
8.220306688e+01,8.508557039e+01,9.874081236e+01,8.766519752e+01,7.834350331e+01,6.198543107e+01,8.633696980e+01,4.791502390e+01,8.223778442e+01,8.913712391e+00,5.267938203e+01,1.474812145e+01
8.099150628e+01,3.059517961e+01,5.378992782e+01,9.338228836e+01,1.581532068e+01,2.367791909e+00,7.330959014e+01,2.636981822e+01,2.411065487e+01,7.031457196e+01,1.414082561e+01,6.397796477e+01
7.341744957e+01,9.208549233e+01,9.831564628e+01,5.727277141e+00,5.549129223e+00,6.395519023e+01,3.634899663e+01,5.834702499e+01,5.103226051e+01,4.387823983e+00,3.586282806e+01,1.767722791e+01
9.357182727e+01,1.507505212e+00,9.321515232e+01,4.414858898e+01,1.630244992e+01,7.537945357e+01,2.464385148e+01,1.110338227e+01,4.885723270e+01,6.954205029e+01,6.364725414e+01,5.098522449e+00
8.795233822e+01,9.922097938e+00,8.004604999e+01,7.851878938e+00,2.538559076e+01,5.179890492e+01,6.720085933e+01,9.073014660e+01,5.494950650e+01,6.369163448e+01,2.678789933e+01,7.715784884e+01
3.425002165e+01,9.831744532e+01,2.975648814e+01,7.910375720e+01,3.389755686e+01,4.881742229e+01,4.516104711e+01,5.027151230e+01,8.093100122e+01,3.441519433e+01,4.690255738e+01,4.087459676e+01
7.559567210e+01,8.248365534e+00,2.712320700e+01,3.140403008e+01,4.748288687e+01,5.373943746e+00,7.760436048e+01,5.912631725e+01,9.822423982e+01,6.941361133e+01,6.400292701e+01,1.335853253e+01
6.168467024e+01,4.428419146e+01,7.260455766e+01,6.366805260e+01,4.849127042e+01,6.762159423e+01,6.549073339e+01,4.323119432e+01,9.184634191e+01,6.379904515e+01,5.090838417e+01,5.507513245e+01
2.950741419e+01,3.760557915e+01,4.290721177e+01,2.806733198e+01,1.047203394e-01,8.100410740e+01,2.091490250e+01,9.627405832e+01,3.727070473e+01,3.568760295e+01,3.281384280e+01,8.037806448e+01
6.780654066e+01,5.166194230e+01,2.138788921e+01,3.394706574e+01,6.826851614e+01,2.465081138e+01,1.163199972e+01,9.634005201e+01,9.260701161e+01,9.503901187e+01,6.422003869e+01,2.884402649e+01
2.764938204e+01,7.789499414e+01,2.099811952e+01,9.991969019e+01,3.254412932e+01,6.972171584e+01,7.052409771e+00,1.294459773e+01,8.344709387e+01,7.251308011e+01,8.887787043e+01,6.907146100e+01
4.795963072e+01,1.574041493e+01,2.534710314e+01,4.443255017e+01,5.905428952e+01,8.707169288e+01,8.908581157e+01,6.578766282e+01,5.110212519e+01,5.521924206e+01,2.303957952e+01,4.210121420e+01
2.794000121e+00,5.480696291e+01,1.074707647e+01,8.220394443e+01,7.163548867e+00,3.160958622e+01,9.158309891e+01,4.737743669e+01,6.339715765e+01,7.657598889e+01,6.566829531e+01,2.803324077e+01
6.049445396e+01,8.001594871e+01,2.026213768e+01,1.374157551e+01,5.235987004e+01,1.726451621e+01,3.761288058e+01,3.568429569e+01,6.821060274e+00,3.733484850e+01,5.839307993e+00,2.823619776e+01
6.848315835e+01,4.207469462e+01,1.254524057e+01,1.354367259e+00,9.033751840e+00,8.050903523e+01,8.145542561e+01,9.491933417e+01,8.416616726e+01,9.467300441e+01,6.411114605e+01,7.430559318e+01
5.613233296e+01,2.649083361e+01,3.601288555e+01,1.342043895e+01,3.146895449e+01,6.155165342e+01,5.458016321e+01,9.166502175e+01,7.919198076e+01,8.189179987e+01,6.524440016e+01,8.477922178e+01
7.513360366e+01,1.463184796e+01,4.489973116e+01,5.822033190e+00,7.059542578e+01,9.207799433e+01,8.286680011e+01,1.677348118e+01,2.760895850e+01,7.434715234e+01,8.424988298e+01,5.209853584e+01
7.982636123e+01,7.254546600e-01,6.845163233e+01,3.295287239e+01,5.386372665e+00,3.844253237e+01,7.864305555e+01,4.954725552e+01,4.940404746e+01,8.912226210e+01,8.223559454e+01,8.200829911e+01
1.006894948e+01,6.498796169e+01,7.437566616e+01,2.883961729e+01,4.188581545e+01,4.845862116e+01,6.274568117e+01,8.398506021e+01,5.433730006e+01,9.039646830e+01,7.706341993e+01,3.337907621e+01
