v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13
4.520926861e+01,5.259551556e+01,1.338784986e+00,5.878898341e+01,3.652411394e+01,3.075336314e+01,3.348074236e+01,7.499347208e+01,8.150456523e+01,3.500890316e+01,4.505767440e+01,8.726866158e+01,3.824995640e+01
5.262027801e+01,6.201639717e+01,8.900082344e+01,9.723025086e+01,1.197336234e+01,3.161506813e+01,4.202289682e+01,4.759000075e+01,9.607248399e+01,3.589672651e+01,6.779703597e+01,3.804810555e+00,3.083505176e+01
1.451171230e-01,5.132651414e+01,6.620311214e+01,2.584519806e+01,9.456915284e+01,2.897642129e+01,8.996330948e+01,5.911139927e+01,1.099949458e+01,8.236641317e+01,7.598549463e+01,2.768930438e+01,6.352815307e+01
9.248694314e+01,3.514135952e+01,7.377087584e+00,4.596386025e+01,6.614818373e+01,4.197373470e+01,4.060726337e+01,6.128569015e+01,3.161397922e+01,9.842202708e+01,9.902854383e+01,9.237789142e+01,1.161021730e+01
4.748796006e+01,6.130242763e+01,2.234977935e+01,2.984699110e+01,5.576535505e+01,2.873085866e+01,2.128612240e+01,8.551350677e+01,2.726332687e+00,3.120538782e+01,3.859843717e+01,6.055240557e+01,2.082474971e+01
3.625308098e+01,8.397127656e+01,9.147864186e+01,2.071191230e+01,9.732887799e+01,4.597309439e+01,6.447316242e+00,8.288654353e+01,2.070784005e+01,1.522031996e+01,7.228842810e+01,9.510575526e+01,9.473785224e+01
4.999522563e+01,7.489483114e+01,4.394421630e+01,3.442696885e+01,4.531569162e-02,1.666593372e+01,4.425669209e+01,5.417899982e+01,2.449198663e+01,7.793990062e+01,5.077721145e+01,2.432234260e+00,8.076257544e+01
9.650162680e+01,6.911931324e+01,9.870428537e+01,3.358224108e+01,3.787860308e+01,4.149913825e+01,6.657520555e+01,1.435259208e+01,7.278709973e+01,4.647082408e-01,2.947464510e+01,6.810744794e+01,3.397484656e+01
9.227832178e+01,6.058435879e+00,9.093314923e+01,6.297830074e+00,2.623906765e+01,7.926627711e+01,9.197608129e+01,7.343079510e+00,7.861974378e+01,9.567049253e+01,7.435761497e+01,2.861099581e+01,1.072405729e+01
1.731537265e+01,3.427775355e+01,3.406708575e+01,9.388119079e+01,6.738699930e+01,4.858423570e+01,2.566415009e+01,3.437374242e+01,8.359718536e+01,3.696485806e+01,3.474882492e+01,9.218692132e+01,4.102570829e+01
