v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14
9.813597420e+01,7.808760908e+01,8.858969592e+01,6.684456533e+01,9.799785551e+01,2.326713255e+01,9.673446156e+01,5.449713227e-01,7.426198836e+01,1.302482579e+01,7.833785861e+01,3.678950382e+01,1.236699511e+01,4.997003416e+00
1.534266205e+01,5.154435676e+01,8.494879678e+01,7.569324311e+01,5.581926046e+01,4.528531348e+01,9.603248110e+01,6.861220596e+01,3.392509106e+01,9.536976252e+01,4.737861717e+01,1.685785864e+01,5.528139627e+00,7.986287823e+01
1.148489669e+01,6.747439642e+01,8.657339668e+01,5.308606591e+00,4.845273321e+01,6.288333897e+01,4.600276295e+01,5.882289589e+00,6.196890846e+01,9.822736782e+01,2.860338184e+01,4.275251542e+01,2.457609571e+01,2.482692851e+01
5.817598021e+01,2.357664499e+01,1.288713573e+01,9.027163339e+00,6.184414840e+01,5.933965545e+01,4.810417530e+01,7.354241226e+01,5.814328268e+01,2.614661215e+01,4.785375663e+01,2.767671927e+01,3.161599193e+01,7.658795133e+00
2.633758247e+01,8.730665214e+01,2.425107670e+01,5.785575632e+01,9.577999502e+01,4.752927524e+01,9.263769129e+01,1.291299848e+01,4.998691449e+01,3.070230530e+01,6.188550783e+01,3.830023302e+01,4.423795662e+01,1.427015522e+01
6.027204636e+01,7.278544019e+01,5.227945308e+01,9.371531263e+00,8.298435013e+01,8.098131063e+00,8.431882784e+01,3.017490283e+01,8.045992336e+01,3.845984186e+01,2.322084734e+00,1.553169832e+00,5.454233245e+01,6.581904280e+01
5.945512286e+01,6.884520832e+01,3.086878843e+01,8.941695410e+01,2.783073179e+01,9.302163039e+00,7.802248893e+01,1.322438316e+01,2.737111921e+01,7.172625885e+01,8.872593486e+00,3.129086605e+01,5.423148391e+01,8.390879239e+01
6.758559724e+01,2.704683813e+01,2.391485520e+01,5.111706597e+01,5.759303810e+01,7.760377248e+01,9.181143146e+01,6.851465328e+01,3.189701555e+01,5.064996813e+01,3.325625443e+01,5.145568393e+01,8.375279037e+01,7.425225229e+01
1.519053009e+00,6.614643941e+01,4.377416301e+01,9.289772176e+01,5.461199817e+01,3.223378576e+01,9.141764135e+01,7.255959524e+01,6.588566788e+01,3.186429145e+01,5.854630143e+01,3.104692483e+01,2.233005681e+01,5.831985655e+01
5.352051172e+01,8.412175170e+01,6.461174290e+01,5.533225727e+00,5.166042099e+01,7.678364900e+01,9.358255677e+00,5.074176579e+01,1.395107624e+01,3.925794102e+01,1.147835972e+01,5.926632097e+00,9.034417196e+01,6.864112026e+01
7.250369734e+01,1.935628854e+01,5.616289865e+01,4.510043574e+01,2.898726916e+01,4.663508253e+01,3.325698560e+01,6.353070248e+01,8.117346232e+01,9.649188525e+01,1.244107680e+01,8.136176602e+01,2.091759494e+01,4.806719520e+01
8.935127477e+01,5.522158806e+01,9.961757642e+01,7.967632725e+01,1.759326846e+01,7.435618777e+00,4.180259223e+01,5.248191922e+01,3.169345306e+00,7.191840809e+01,2.329520707e+01,8.021287062e+01,1.771305464e+01,2.359538464e+01
5.867418471e+01,4.413711663e+01,9.214202003e+01,4.525569571e+01,3.084766211e+01,8.108990048e+00,7.849936680e+01,3.612903112e+01,4.740511379e+01,3.123866477e+01,6.941728621e+00,9.189187851e+01,4.510153026e+00,4.076921118e+01
5.513497595e+01,3.337871229e+01,7.757926567e+00,2.822643928e+01,5.685017607e+01,5.206962996e+01,1.608794160e+01,6.103098701e+01,6.295099171e+01,5.000237853e+01,2.898681788e+01,7.937560610e-01,3.595837354e+01,4.407775307e+01
8.663547747e+01,8.728500186e+00,6.830359196e+00,2.068076213e+01,5.025808811e+01,6.558318886e+01,1.064808883e+01,3.291760621e+01,4.587398375e+00,2.901937938e+01,3.128642998e+01,3.080822041e+01,7.797322630e+01,7.176818623e+00
7.210253323e+00,5.402561334e+01,3.309529766e+01,3.885338792e+01,9.037907413e+01,6.248449327e-02,6.766529041e+01,4.740077086e+01,8.237357293e+01,6.008194686e+01,8.925398884e+01,5.564311480e+00,4.873351289e+01,9.791346536e+01
9.085680734e+01,4.228448864e+01,1.239369903e+01,2.892380588e+01,5.769057072e+01,6.693562151e+01,9.741350440e+01,9.478058649e+00,6.073855299e+01,9.745848576e+01,3.640230601e+01,5.372717124e+01,2.780052169e+01,7.959161464e+01
4.455346706e+01,6.969368794e+01,4.853051404e+01,3.864677419e+01,7.203006923e+01,7.026809594e+01,3.065474264e+01,6.561020453e+01,7.086532198e+00,6.336084272e+01,3.651930164e+01,8.804692266e+01,5.817311347e+01,9.283572854e+01
3.433227349e+00,2.661642993e+00,1.902934895e+01,4.793381989e+00,2.712303034e+01,1.870205450e+01,7.772436365e+01,2.298229855e+01,6.030423125e+01,3.277252194e+01,2.620829931e+01,9.239286632e+01,7.561899788e+00,9.044190177e+01
6.483228779e+01,2.857659461e+01,4.226097342e+00,8.367767534e+01,8.396255119e+01,7.411925141e+01,9.245367430e+01,4.795190897e+01,4.319779583e+01,8.356632718e+01,5.559692457e+01,8.528933739e+01,7.983685073e-01,8.231912059e+01
5.695868710e+01,5.896770326e+00,8.249197638e+01,7.908154534e+00,8.777967295e+01,3.584655158e+01,5.177340036e+01,7.911023780e+01,4.122812247e+01,6.936977731e+01,9.783676693e+01,9.470717351e+01,3.382923979e+01,1.639092744e+01
5.169385546e+01,9.663932046e+01,2.576632173e+01,1.357001950e+01,1.547614551e+01,4.506153621e+01,7.796316387e+01,2.889585059e+01,7.587466377e+01,6.322604108e+01,5.398385890e+01,4.026645038e+01,8.845054488e+01,2.882622752e+00
4.767038969e+01,3.240293125e+01,9.391544442e+01,5.085967470e+01,5.057580354e+01,8.025533765e+01,1.266998286e+01,3.276860953e+01,8.774674670e+01,4.439781263e+01,7.307193957e+01,3.219736703e+01,4.970134066e+01,6.140523283e+01
5.075754877e+01,4.593962944e+00,9.134872984e+01,8.929806036e+01,7.407010303e+01,7.483267339e+01,7.398270241e+01,5.181295292e+01,5.477075729e+01,3.329525734e+01,4.063718878e+01,7.710643503e+01,9.404507953e+01,5.798222123e+01
