v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15
2.283699042e+01,4.102998478e+01,6.019139028e+01,3.302510785e+01,2.673672793e+01,1.910004674e+01,5.791534508e+01,1.689173712e+01,6.534092422e+01,4.283687155e+01,9.612515420e+00,4.729481329e+01,7.592871562e+01,7.130626060e+01,7.044597685e+01
8.738265647e+01,7.240109321e+00,4.008555348e+01,8.141195693e+01,3.776887324e+01,1.735127177e+01,3.188107659e+01,2.661830260e+01,6.402560159e+01,6.638229024e+01,4.619272788e+01,1.968470124e+01,5.950617691e+01,5.654529622e+01,8.146862953e+01
2.241344753e+01,9.441388747e+01,2.665056108e+01,9.594798061e+01,4.660770839e+01,6.314647692e+01,7.218831728e+01,9.643461201e+01,9.108293857e+01,2.259477349e+00,4.444042850e+01,2.556014212e+01,3.792733730e+01,1.317415562e+01,2.378168917e+01
9.499750912e+01,5.423931129e+01,3.370345285e+01,3.261071730e+01,1.188559702e+01,5.624393729e+01,5.523290060e-01,1.746396012e+01,4.266722156e+01,8.157812401e+01,5.592935703e+01,5.579420997e+01,7.206385614e+01,9.263086982e+01,3.085349451e+01
2.018052517e+01,9.548525425e+01,4.984812094e+01,3.405079113e+01,4.493439108e+01,1.164480986e+01,6.485798731e+01,1.228638994e+01,1.227559317e+01,6.221973432e+01,9.737083432e+00,1.077266387e+01,1.643073393e+01,7.706071802e+01,9.305453487e+01
2.278559116e+00,2.621948205e+01,2.944944240e+01,9.585070190e+01,6.000178444e+01,7.408369069e+01,2.755789973e+01,2.084384822e+01,6.652319939e+01,8.331976260e+01,2.039267929e+01,5.828612200e-01,1.492926801e+01,5.424422674e+01,1.797927729e+01
8.294682662e+00,1.250421912e+01,9.886556912e+01,7.859263202e+01,4.146288436e+01,1.575518996e+01,8.396356089e+01,6.772412029e+01,5.772276993e+01,6.474767994e+01,9.023745335e+01,9.858068956e+01,1.096967920e+00,1.503499856e+01,8.203982535e+00
2.616100967e+01,6.071480460e+01,8.212737371e+01,4.589458313e+00,1.379258866e+01,2.570951104e+01,5.291161680e+01,7.291673390e+01,6.923211926e+01,1.084962075e+01,6.679403705e+01,2.673466914e+01,8.056210911e+01,4.643391892e+01,8.332521925e+01
2.215578337e+01,2.160758400e+01,1.820059650e+01,1.762001966e+01,6.053301464e+01,8.690413970e+01,3.294761898e+01,5.528398564e+01,6.380559014e+01,7.182041474e+01,8.643223538e+01,4.137044965e+01,3.433025531e+01,7.222441777e+01,1.946145757e+01
4.367123358e+01,8.777982584e+01,8.523402036e+01,8.479567792e+00,1.627136919e+01,9.200611382e+01,5.229477742e+01,5.347990493e+01,1.643204101e+01,9.961913122e+01,7.285882544e+01,6.469149213e+01,1.724392092e+01,7.018134086e+01,3.864083341e+01
7.968105195e+01,9.239442154e+00,9.523316523e+01,7.750447266e+01,2.240467130e+01,4.837842715e+01,3.845743654e+01,1.424731254e+01,5.862104262e+01,5.517433814e+01,7.620112265e+01,7.923970648e+00,5.518510251e+01,9.370340670e+01,7.398281264e+01
3.447990010e+01,5.761609931e+01,1.836187621e+01,7.225045354e+01,6.721238524e+01,6.500810356e+00,2.769316487e+01,9.602225090e+01,1.861520005e+00,8.703406688e+01,9.936775051e+00,6.474528937e+01,2.635852780e+01,5.802031319e+01,5.477653401e+01
7.839634245e+01,4.097312017e+01,1.761978476e+00,4.394530012e+01,3.508258519e+01,9.648861850e+01,8.943133595e+01,1.900857863e+01,5.064806704e+01,7.453514680e+01,7.274549738e+01,1.100759066e+01,2.467756740e+01,1.061611321e+01,3.133694939e+01
