v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16
1.543820997e+01,3.456032146e+01,1.572214911e+01,1.968309351e+01,4.615429315e+01,9.315857080e+01,1.100727228e+01,8.275935059e+01,5.818858794e+00,2.815881324e+01,8.842069783e+01,1.316670070e+01,6.113992386e+01,6.817334063e+01,8.506222567e+01,1.232619620e+01
8.947627449e+01,4.187460664e+01,8.910170819e+01,4.984544026e+01,3.927710807e+01,4.824015308e+01,3.180692489e+00,9.216432178e+00,4.228264036e+01,2.782564145e+01,6.500530963e+00,7.124065211e+01,5.496713414e+01,1.702400840e+01,6.513373367e+01,4.924063893e+01
3.481310138e+00,5.584180881e+01,1.153530342e+01,1.428750328e+01,6.565539594e+01,3.439587130e+01,3.012863243e+01,6.584004880e+01,3.961752491e+01,5.050113646e+00,5.310424496e+01,6.105539950e+01,3.179857404e+01,2.735175482e+01,2.605521847e+01,7.507243742e+01
6.486045039e+01,3.302994511e+01,6.813266343e+01,5.743238930e+00,4.813790342e+00,1.599227211e+01,3.533714230e+01,3.233330140e+01,6.506752546e+01,2.686409287e-01,4.315864045e+00,6.533681375e+01,9.200809174e+00,8.363341966e+01,5.275069579e+01,9.268557499e+01
6.303536503e+01,8.348076167e+01,1.284014594e+01,4.418401884e+01,9.856414776e+01,6.808878331e+01,2.373387149e+01,2.957638379e+01,5.511728672e+01,7.667753563e+01,2.872294207e+01,2.030456459e+01,5.755427495e+01,2.131322015e+01,9.153479663e+01,4.338911586e+01
2.190555146e+01,7.664154638e+01,4.608558228e+01,7.337932063e+01,9.346138971e+01,6.459135542e+00,7.643552214e+01,4.442779565e+01,8.702084909e+01,2.909652455e+01,4.054588750e+01,3.833105476e+01,4.553610906e+01,7.460890047e+01,9.023550563e+01,1.051381744e+01
2.106225346e+01,2.564936557e+01,8.733594097e+00,3.118653380e+01,4.299867101e+01,6.601937459e+00,5.570417128e+01,9.601652963e+01,5.991780757e+01,9.562100452e+01,3.234748284e+01,3.825171953e+01,7.659954037e+01,3.944587348e+01,1.636576346e+01,8.810973042e+01
6.508718061e+01,5.770893427e+01,8.216112645e+01,9.139482738e+01,4.221875661e+00,1.449973242e+01,3.880053756e+01,3.988605337e+01,4.211183394e+01,5.297196545e+01,3.912889779e+01,6.814080378e+01,7.423153989e+01,7.516468416e+01,2.610417328e+01,1.401175589e+01
7.516148661e+01,7.485557986e+01,9.564618660e+01,2.469816136e+01,4.731093874e+01,9.283898808e+01,4.407214022e+01,5.705187801e+00,4.487156839e+01,8.741846260e+01,8.710565512e+00,5.383114794e+01,7.291428260e+01,1.281210815e-01,8.241868240e+01,8.514209188e-01
4.937834183e+01,5.727652426e+01,5.036979119e+01,1.942411235e+01,7.350331699e+00,5.460904071e+01,9.643068953e+01,4.877234582e+01,3.441546730e+01,8.443112365e+01,2.619723343e+01,2.342113534e+01,1.494738980e+01,1.183561353e+00,8.603324530e+01,2.318544882e+00
