v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17
1.973565416e+01,9.359558185e+01,9.902052342e+01,3.553715576e+01,6.238210233e+01,9.214988663e+01,5.166134107e+01,6.609776124e+01,5.437407052e+01,4.744368452e+01,4.147213567e+01,8.446120890e+01,2.113404110e+01,8.727879510e+00,4.777866507e+01,2.897740547e+01,1.755161500e+01
2.538999200e+01,9.417559605e+01,2.428730081e+01,2.245546755e+01,1.184561220e+01,1.845427125e+01,6.702802098e+01,7.458242979e+01,3.107635506e+01,4.606446462e+01,6.577311502e+01,6.408163591e+01,4.858145332e+01,9.491536516e+01,3.950002716e+01,5.379371315e+00,7.498538308e+01
6.657990495e+01,7.045889096e+01,3.895667358e+01,9.921614891e+01,3.668547608e+01,7.177287383e+01,1.998704619e+01,2.217149312e+01,3.567971384e+01,6.647969488e+01,7.691106349e+01,9.089009450e+00,9.853194733e+01,3.267168079e+01,7.306767968e+01,2.674394441e+01,7.180587590e+01
2.314523097e+01,7.450522797e+01,6.740710371e+01,2.528904739e+01,6.896020032e+01,2.373605841e+01,3.208557231e+01,7.756875681e+01,6.586960557e-01,4.524197551e+01,9.474791538e+01,5.974845700e+01,7.153533457e+01,9.885488535e+00,8.405323308e+01,4.736145825e+01,6.035092561e+01
9.847996746e+01,6.272350612e+01,6.686941980e+01,9.067930306e+01,3.033014171e+01,6.911591872e+01,2.983081757e+00,6.642107997e+01,4.639993928e+01,3.628441170e+01,6.108030963e+01,6.315269075e+00,1.039534383e+01,1.893540995e+01,9.131707513e+01,3.142994052e+01,1.957385988e+01
4.783912219e+01,5.050562825e+01,1.061939333e+01,9.224688061e+01,7.391073359e+01,2.040967082e+01,7.296218528e+01,3.052157458e+00,9.624160969e+01,5.803361293e+00,7.370714527e+01,2.979464186e+01,2.200488918e+00,4.641865845e+01,1.391967854e+01,6.318370365e+01,5.896858768e+01
4.418631438e+00,9.824195694e+01,8.472203396e+01,9.820830254e+01,7.937699715e+01,7.752421959e+00,2.665327910e+01,6.302164983e+01,9.819547837e+01,7.461098057e+01,6.016922047e+01,3.400420121e+01,5.154351769e+01,8.186034165e+01,6.280657503e+01,1.873132423e+01,5.130125149e+00
6.330800397e+01,3.022454517e+01,6.459219346e+01,4.339869078e+01,7.895121905e+01,3.387625706e+00,3.277528292e+01,9.401096071e+01,4.544150685e+01,3.899836650e+01,3.515670853e+01,6.289027264e+01,7.957408482e+01,2.315375621e+01,1.463528919e+01,4.028955619e+01,5.528258582e+01
3.888390819e+01,1.534106309e+01,8.113512764e+01,6.554009894e+01,5.222621939e+01,9.363880999e+01,5.344573869e+01,6.449785220e+01,4.224576777e+01,5.130000027e+01,4.321811216e+01,3.095747942e+01,3.124350780e+01,5.759185568e+01,4.345018045e+01,4.415655628e+01,7.666988516e+01
1.964675220e+01,5.319863609e+01,6.352981397e+01,2.147310379e+01,1.381293081e+01,8.828439552e+01,1.398217729e+01,8.648256780e+01,1.768177172e+01,3.648030329e+01,5.843911516e+01,5.507724299e+01,5.316513164e+01,1.125665012e+01,1.132137836e+01,5.769778114e+01,1.549379099e+01
8.909436530e+01,1.199284344e+01,7.607709521e+01,6.601016261e+01,3.448175754e+01,3.339355210e+01,8.554020252e+01,8.843371305e+01,5.249784039e+01,4.882879939e+01,7.079533850e+00,8.951436596e+01,1.421879970e+01,9.704710463e+01,7.441001105e+01,9.101719278e+01,9.465921825e+01
7.899499410e+01,9.548017631e+01,4.080870225e+01,2.009407938e+00,6.500175056e+00,3.541223439e+01,5.838756399e+01,1.140461587e+01,9.103763006e+01,6.246548212e+01,4.796967384e+00,8.818501060e+01,7.908352469e+00,4.401846837e+01,3.810509063e+01,5.428741302e+01,4.578883959e+01
4.728998851e+01,5.655745031e+01,5.587757479e+01,2.846238155e+01,8.650924909e+01,2.050887208e+01,4.960630296e+01,1.959629872e+01,2.351308402e+01,1.438346699e+01,5.183132686e+00,8.249927966e+01,1.304948811e+01,6.573463037e+01,3.017352585e+01,5.201728494e+01,9.471425176e+01
9.994502795e+01,4.481683945e+01,8.333965330e+01,7.698669087e+01,3.385204354e+01,1.736989265e+01,5.366796680e+01,4.445013970e+01,1.605969365e+00,4.318173210e+01,4.449889357e+01,9.973214148e+01,3.217211284e+01,5.189506792e+01,8.695622859e+01,2.480768186e+01,4.255065562e+01
8.353827896e+01,2.541688886e+01,7.091875536e+01,7.787323524e+01,9.258093476e+01,9.939685168e+01,7.413530482e+01,3.647551976e+01,2.891438005e+01,9.594347713e+01,3.384857657e+01,8.633551973e+01,8.621060816e+01,7.097111488e+01,6.105548093e+00,6.879240905e+01,9.817380035e+01
2.212122379e+01,6.835607337e+01,4.193737833e+01,6.487726288e+00,7.909436858e+01,1.166997803e+01,9.593294557e+01,2.356376516e+01,3.904811367e+01,3.814690648e+01,9.354691560e+01,8.143481225e+01,8.024714881e+01,3.504105277e+01,9.020224375e+01,1.346018813e+01,5.506036131e+01
6.340830498e+01,2.141205561e+01,8.705382491e+01,5.427139975e+01,9.461502095e+00,5.547346289e+01,3.692908824e+01,7.062836163e+01,6.605169890e+01,1.228126925e+01,8.214043123e+01,8.068169417e+01,7.268661979e+01,3.156720587e+01,2.564783845e+01,5.307374510e+01,7.795705781e+01
8.102042361e+01,1.937895647e+01,8.424732028e+01,1.499143273e+01,8.994544369e+01,2.393276849e+01,8.510830427e+01,1.496406027e+01,2.943885535e+01,9.879037788e+01,4.171299010e+01,5.519039439e+01,2.141945369e+01,3.846151538e+01,1.838017691e+01,5.445208289e+01,7.805771533e+01
2.047421344e+01,6.240423664e+01,5.413086791e+01,2.184372117e+01,3.190227729e+00,1.088208867e+01,7.227264082e+00,4.166208783e+01,6.508953150e+01,1.300620089e+01,9.683955548e+01,4.696591496e+01,1.886135194e+01,8.606831426e+01,1.497404466e+01,5.361353289e+01,3.702644627e+01
1.641347092e+01,5.556370538e+01,1.759386189e+01,2.092291643e+01,1.776293684e+01,8.149135200e+01,2.404765617e+01,4.028048826e+01,3.101618042e+00,5.609729726e+01,9.887857868e+01,9.531437401e+01,4.275557083e+01,2.468902055e+01,9.140191744e+01,5.454954702e+00,1.042331692e+01
