v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18
9.590744737e+01,5.240920779e+00,3.103600900e+00,5.719296852e+01,5.420687936e+01,4.813160134e+01,9.781614853e+00,6.100416835e+01,8.208207166e+00,3.149760370e+01,8.021645846e+00,4.720574156e+01,3.271394854e+01,6.479831077e+01,1.855342934e+00,3.639292472e+01,6.793178753e+01,9.639021857e+01
6.763718742e+01,5.276022666e+01,4.476529870e+01,5.568234419e+01,9.304396904e+01,4.097078714e+01,4.133999798e+01,6.301288980e+00,5.356627103e+01,8.835942532e+01,5.406697157e+00,7.548242575e+01,9.463412517e+01,2.590262424e+01,8.650751265e+01,6.145710427e-01,5.986931816e+01,8.337084897e+01
2.910053896e+01,3.230570075e+01,3.083009592e+00,9.983570154e+01,4.952727585e+01,6.604428480e+01,2.509019993e+01,8.033352530e+01,4.756086817e+01,9.722643146e+01,3.336132231e+01,5.984626777e+01,2.659303193e+01,5.961488585e+01,6.846601002e+01,8.587874979e+01,2.345566172e+01,7.884678203e+01
1.487151806e+01,2.818222834e+01,9.287569496e+01,7.578250220e+01,1.758589423e+01,7.098057696e+01,4.977188031e+01,8.887331207e+01,6.884610732e+01,1.115114797e+01,9.440977942e+01,6.564963468e+01,7.024133226e+01,6.647621727e+01,4.200464301e+01,6.094729272e+01,9.889705900e+01,4.576206424e+01
1.557509008e+01,2.361121421e+01,4.131695969e+01,4.324676207e+01,3.124270180e+01,3.831271644e+01,4.326624058e+01,3.082837670e+01,1.234309797e+01,7.741080906e+01,9.121518481e+01,1.270178535e+01,7.943317567e+01,4.409859861e+01,9.169321875e+01,3.167475020e+01,7.202391922e+01,4.869212054e+01
2.691206483e+01,9.904182212e+00,5.404614857e+01,3.161450663e+01,8.205929921e+01,2.070787353e+01,4.365101323e+01,8.056288203e+01,2.124304888e+01,5.008988459e+00,3.519105338e+01,6.951555958e+01,6.090134846e+01,2.707173646e+01,3.693126612e+01,6.378208522e+01,8.085611092e+01,4.919207734e+01
3.344222150e+01,4.012626979e+01,3.487570456e+01,8.430375592e+01,3.958862070e+01,9.044630830e+01,2.836357168e+00,6.802526402e+01,1.551317738e+01,4.414954111e+01,3.965117221e+01,8.371343970e+01,8.682781086e+01,4.260991749e+01,6.445073065e+01,1.243641937e+01,2.678255437e+01,7.418338152e+01
5.129829523e+01,9.566485659e+01,5.223979661e+01,5.484265510e+01,5.806011820e+00,4.078566994e+01,8.426981179e+01,6.779933961e+01,8.174917923e+01,3.244102093e+01,5.489165724e+01,8.134208504e+01,8.023232045e+01,4.534207871e+01,3.647730461e-01,9.312905238e+01,2.184775729e+01,1.223959534e+01
3.978658617e+01,7.599447786e+01,5.796919864e+01,8.641732326e+01,9.068705634e+01,7.267762485e+01,4.921719053e+01,1.699763472e+01,5.110541781e+01,6.199398028e+01,7.294501861e+01,7.817478056e+01,6.600694836e+01,6.266607466e+01,5.880754552e+01,3.153519034e-01,9.862797131e+01,7.775845359e+01
8.089715372e+01,4.333631155e+01,9.638215438e+01,3.385945068e+01,9.266611799e+01,8.099429004e+01,3.027113189e+01,7.306234161e+00,2.863183082e+01,7.765801201e+01,6.845954138e+01,8.103521513e+01,5.509197614e+01,2.230808570e+01,1.799105001e+01,3.000813092e+01,9.530204184e+01,6.691734007e+01
