v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19
3.431635989e+01,3.864563581e+01,8.563944679e+01,2.679390189e+01,7.793699518e+01,6.148711893e+00,5.229481635e+01,5.347870655e+01,5.899921665e+01,1.425109648e+01,1.665470370e+01,8.056185326e+01,4.553003255e+01,9.843570555e+01,7.111731360e+01,7.824464411e+01,3.191588446e+01,9.155158485e+01,7.770191130e+01
8.687346008e+01,1.905808484e+01,9.395578128e+01,7.901913425e+01,9.981337332e+01,1.489710057e+00,3.460785400e+01,3.683887387e+01,6.298250183e+01,9.011883804e+00,4.582340232e+01,4.693266051e+01,5.304155973e+01,4.103700328e+01,3.754794719e+01,8.101893202e+01,8.455713660e+01,5.751117007e+01,4.792379494e+01
1.063756467e+01,5.279211576e+01,2.905453341e+00,9.935049267e+01,6.784736777e+01,6.559004399e+01,6.571955546e+01,4.299688712e+01,1.791840463e+01,1.812182739e+01,5.588575851e+01,9.105033936e+01,6.221938775e+01,1.538943178e+01,3.699757731e+01,3.665803604e+01,7.720771007e+01,3.787881856e+01,4.513382611e+01
5.521056076e+01,2.413925236e+01,1.566714046e+01,9.548984228e+00,7.921432143e+01,8.376833728e+01,4.717315946e+00,4.735527253e+01,2.845747945e+01,4.253999749e+01,2.586152849e+01,1.703201409e+01,5.213843792e+01,9.105395032e+00,9.278940466e+01,5.976598439e+01,6.897469376e+01,9.068041229e+01,6.853632239e+01
4.427944575e+01,4.952859774e+01,9.831753086e+01,3.244095209e+01,1.295395774e+01,9.193682581e+01,2.937827366e+01,4.554123578e+01,8.468681251e+01,4.499003256e+01,8.136119400e+01,5.084647995e+00,4.561690773e+01,2.792818533e+01,1.874825991e+01,8.476695506e+01,8.764678083e+01,8.960560758e+01,3.123735683e+01
6.380555417e+01,6.258654995e+01,2.506500321e+01,6.729669911e+00,9.383009094e+01,9.428809060e+01,5.234646161e+01,5.089056071e+00,7.680676034e+00,3.297197855e+01,3.320373517e+01,5.989897044e+01,6.564476624e+01,6.980176513e+01,7.770103627e+00,4.681668128e+01,7.288163361e+01,5.553176480e+01,6.169403538e+01
8.697789347e+00,8.743296837e+01,6.000323629e+01,7.889600208e+01,8.891240723e+01,5.950783759e+01,5.266132163e+01,5.034462092e+01,8.898317772e+01,1.609913935e+00,9.903923207e+01,9.880675667e+01,1.058982217e+01,1.107486268e+01,4.066642510e+01,3.241854073e+01,7.600798237e+01,9.548331890e+01,3.230933617e+01
2.133178373e+01,6.358145125e+01,7.696679725e+01,4.161481127e+01,3.013384446e+01,8.995905446e+00,1.512231584e+01,6.658672736e+01,1.003657085e+01,1.557245709e+01,1.837872942e+01,6.732932506e+01,2.909231901e+00,7.538090020e+01,2.228501895e+01,8.283048544e+01,1.670971174e+01,5.087766477e+01,1.158997765e+01
9.817773038e+00,8.936140303e-01,5.383688552e+01,4.336449378e+01,3.969535515e+01,4.897162864e+01,6.666782479e+01,3.342087216e+01,3.629001569e+00,2.377632245e+01,4.744439056e+01,9.568303274e+00,7.844585483e+01,8.470236467e+01,4.600328307e+01,7.848742938e+01,1.258302013e+01,8.798042133e-01,1.474271205e+01
3.055350426e+01,1.556931161e+00,5.784533059e+01,4.523543012e+01,8.337426855e+01,8.274078857e+01,6.031711705e+01,6.679923830e+01,9.736591214e+01,9.292205876e+01,4.761582320e+01,9.080958063e+01,2.749269201e+01,5.247410720e+00,2.485754948e+01,9.514393709e+01,2.145921526e+01,7.237487445e+01,9.665908010e+01
