v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
5.119583360e+01,1.155248530e+01,8.644706006e+01,9.082530292e+01,9.938935424e+01,7.218852628e+01,3.420687219e+01,3.792844477e+01,8.311711472e+01,4.027454681e+01,3.948593545e+01,6.174766099e+01,6.030169176e+01,2.300075881e+01,6.726890810e+01,3.054823806e+01,1.435044245e+01,3.103890904e+01,7.688226409e+01,3.397668058e+01
5.755790461e+01,4.832115464e+01,6.841057643e+01,3.431840276e+01,1.579882287e+01,6.839000151e+01,6.273312248e+01,5.939556631e+01,9.500411119e+01,4.312714030e+01,2.870820998e+01,9.194463643e+01,6.888306810e+01,9.896088295e+01,9.703410442e+01,4.339629713e+01,2.712053473e+01,7.736960174e+01,2.060833043e+01,9.008264716e+01
1.405693240e+01,2.208258743e+00,3.331848490e+01,5.492607933e+01,2.378116020e+00,2.723300119e+01,4.629905360e+01,7.210919680e+01,1.001673474e+01,9.202896652e+01,2.447818436e+01,2.150044929e+01,7.791704685e+01,6.588051363e+01,5.697659909e+01,6.735075973e+01,3.206678526e+01,5.542218908e+01,7.895549822e+00,6.308009776e+01
1.946495684e+01,1.965307742e+01,6.862949925e+01,1.536804324e+01,6.172203514e+01,2.033340899e+01,5.324723416e+01,9.522630470e+01,6.003532276e+01,2.691193461e+01,4.581619082e+01,2.636292880e+01,7.988618887e+01,8.704536559e+00,5.159031806e+01,5.358314879e+01,3.009518117e+01,8.933002628e+01,8.349982321e+01,6.713927627e+01
7.507292840e+01,5.364393854e+01,7.330673331e+01,8.403106970e+01,4.888917791e+01,3.273941143e+01,8.942229041e+01,3.051998599e+01,8.685279637e+01,4.896920542e+01,2.801264114e+01,6.854285363e-01,4.962244147e+01,3.062843827e+01,2.043817336e+01,7.118996952e+00,4.777144872e+01,8.919139615e+01,1.942240771e+01,5.402819018e+01
7.395338273e+01,6.267071457e+01,7.571339294e+01,6.211544282e+01,3.253469160e+01,6.463380381e+01,5.292199176e+01,1.671024345e+01,2.350723706e+01,5.381027440e+01,4.367961921e+01,3.716093975e+01,3.078212701e+01,7.952659296e+01,6.104183164e+01,5.297531715e+01,1.395170994e+00,5.058143579e+01,9.706614811e+01,9.370729692e+01
5.660518021e+01,7.469793838e+01,2.763301813e+01,7.613632339e+01,5.196965723e+01,3.352966075e+01,6.801375125e+01,6.812270549e+01,8.366085017e+01,7.164463188e+01,4.298372530e+01,3.197168316e+01,5.178651349e+01,2.067693338e+01,1.741092293e+01,8.635661318e+00,1.025309828e+01,1.838973154e+01,9.744139049e+01,5.385184027e+01
4.596889177e+01,2.627095524e+01,3.285154666e+01,5.982321287e+01,9.843742116e+01,9.228932472e+01,2.820095482e+01,5.395627081e+01,7.533320157e+00,8.130067783e+01,7.982400483e+01,1.296864480e+01,6.603760619e+01,4.650627453e+01,8.466096386e+01,5.476972918e+01,9.284645706e+01,2.223054509e+01,9.190558022e+01,6.880915479e+01
6.476521089e+01,6.878115700e+01,4.861465076e+01,1.374558444e+01,7.135056335e+01,9.943820802e+01,6.987849202e+01,4.074247338e+01,7.588029564e+01,1.631127403e+00,1.214944771e+01,1.789662228e+01,6.614823685e+01,3.642995440e+01,8.135303096e+01,1.422132077e+01,6.435266133e+01,7.977735587e+01,9.529840008e+00,1.321644123e+01
1.132627566e+01,7.439454661e+00,7.966053749e+01,9.455361268e+01,3.851158529e+01,5.935720951e+01,5.244733325e+01,4.757351361e+01,9.423422218e+01,8.969246143e+01,8.418750548e+01,4.299055182e+01,7.895426237e+00,9.069080237e+01,7.325237213e+01,7.547030854e+01,1.348780442e+01,8.984325232e+01,6.873074327e+01,6.704227347e+01
6.717108335e+01,8.361957629e+01,5.664142819e+01,6.951363554e+01,9.006711291e+01,6.624336227e+01,2.562102193e+01,7.963742226e+01,4.937240059e+01,9.483672010e+00,3.802720683e+01,4.824089254e+01,5.530266354e+01,2.010095370e+01,4.342822585e+01,7.694817578e+01,8.085520109e+01,1.682472894e+01,8.868822058e+01,3.110821712e+01
8.197620389e+01,7.351357070e+01,3.868851158e+01,1.550427998e+01,2.649938666e+01,5.946485133e+01,2.665669566e+01,4.741352021e+01,9.808773621e+01,5.100296050e+01,6.666106064e+01,7.505449529e+01,2.442449574e+01,3.002396861e+01,7.183817393e+01,8.914625075e+01,2.591676852e+01,9.304096119e+01,1.952878477e+01,6.055255198e+00
9.842688197e+01,6.165120951e+01,4.827387670e+01,5.459153714e+01,1.172507645e+01,6.926687140e+00,1.724471873e+01,4.661809116e+01,9.674889965e+01,8.813530727e+01,7.800957117e+01,7.176443257e+01,1.201876237e-01,6.515396758e+01,3.309508194e+01,9.042919903e+00,8.264303853e+01,9.281759889e+01,4.275547983e+01,3.623541438e-01
5.398192447e+01,5.683966962e+01,7.906975472e+01,9.286162808e+00,1.354528951e+01,7.385373457e+01,6.535001361e+01,6.090907811e+01,6.282533154e+01,8.171382216e+00,2.086923316e+01,9.261259729e+01,1.814775485e+01,7.068507908e+01,9.117271383e+01,8.243311370e+01,4.314807434e+01,3.936790417e+01,8.910758366e+01,4.922935597e+01
7.048995504e+01,2.542773114e+01,2.090634735e+00,8.391852464e+01,6.382066307e+01,1.477047473e+01,7.958898064e+01,1.525110705e+01,4.006306985e+01,8.044928099e-01,7.135187338e+00,3.172936938e+01,3.262671782e+01,3.835174396e+01,4.589524042e+01,4.370538459e+01,8.388796683e+01,1.860363793e+00,4.739657231e+00,8.568063796e+01
3.807496684e+01,2.175098489e+01,5.096512945e+01,1.872062734e+01,2.469279727e+01,8.951148221e+01,1.718886703e+01,4.244547109e+00,7.350247850e+00,6.342578693e+00,1.304795331e+01,2.834098132e+01,5.465578551e+01,7.784424907e+01,7.711531113e+01,3.728340366e+01,8.490139151e+01,4.720770668e+01,1.103239063e+01,1.552870491e+01
2.244830132e+00,3.044547969e+01,3.470858228e+01,8.803296230e+01,1.061824588e+01,6.171798111e+01,8.529494082e+01,7.878035739e+01,3.283424011e+00,2.687268228e+01,7.478562360e+01,1.223823127e+01,9.004064836e+01,1.979094812e+01,3.597459871e+01,4.835390381e+01,7.637121438e+01,8.033090167e+01,4.811507114e+01,3.179716972e+01
2.696916586e+01,2.635615102e+01,2.995170951e+01,8.086038494e+01,9.893820025e+01,4.096893348e+01,9.110872565e+01,6.122108189e+00,3.337756334e+01,9.226263110e+01,3.513097266e+00,7.444157751e+01,4.781606278e+01,7.297294596e+01,3.227449912e+01,2.097790349e+01,8.743694332e+01,2.398410561e+01,6.486937674e+01,6.337052310e+01
9.999677142e+01,6.456910925e+00,1.625121804e+01,8.281272324e+01,7.002410374e+01,2.817832313e+01,9.040112015e+00,3.517741750e+01,7.067948345e+01,1.086449484e+01,9.540919856e+01,2.097196391e+00,3.393156537e+00,5.151331586e+01,9.210566748e+01,1.125218857e+01,4.017745799e+01,4.472810583e+01,4.409952121e+01,8.884624178e+01
7.287648115e+01,2.855190595e+01,3.924429798e+01,8.342051651e+01,2.981322333e+01,7.220416750e+00,8.499648686e+01,2.903759975e+01,9.222989957e+01,3.725442506e+00,1.898792243e+01,6.227434476e+01,3.196258532e+01,9.218404352e+01,3.758623154e+01,9.061885071e+01,3.213942753e+01,5.467121149e+01,5.534202699e+01,4.584803803e+01
7.967910718e+01,4.706658552e+01,6.466465000e+01,2.259013467e+01,6.962839795e+01,6.485066356e+01,4.922799800e+01,3.200352647e+01,9.473993331e+01,4.923433304e+01,7.609688103e+00,8.224212057e+01,6.399826975e+01,7.448735387e+00,2.135161966e+01,6.106947397e+01,7.612601703e+01,5.837038577e+01,2.172270771e+01,6.258060827e+01
8.674489459e+01,6.116040855e+01,5.523371260e+01,3.150001181e+00,2.028431115e+01,6.841822395e+01,6.912846286e+01,7.572160106e+00,5.231681260e+01,9.560804509e+01,8.919117693e+01,7.657604773e+00,1.865441808e+01,8.600661927e+01,2.110747049e+00,7.087304485e+01,3.266812603e+01,6.786710261e+01,3.038055447e+01,8.460634584e+01
2.361680165e+01,6.830153051e+01,7.598325363e+01,1.491080803e+01,3.393648364e+01,5.066833605e+01,5.564232971e+01,4.739211164e+01,7.605400791e+01,1.028913883e+01,6.745479474e+01,3.607031592e+01,2.880167572e+01,8.859156640e+01,9.897101635e+01,1.748338023e+01,1.037542858e+01,1.870874250e+01,5.092377350e+01,1.051527806e+01
2.490893906e+01,3.461744913e+01,1.186683403e+01,2.993356457e+01,1.981748418e+01,8.379302879e+01,7.245616807e+01,2.009700795e+01,5.322763042e+01,7.859004052e+01,1.549576710e+01,8.050654460e+01,3.173946152e+01,5.468894516e+01,2.964128613e+01,5.393392769e+01,8.876654668e+00,2.230984997e+01,7.034640436e+01,9.950625963e-01
2.649464475e+00,5.089588988e+00,7.079153040e+01,8.599417576e+00,6.978593514e+01,9.701426008e+01,1.044026271e+01,8.082471366e+01,6.175910361e+01,1.470118296e+01,7.363597353e+01,3.402251800e+01,3.507023096e+01,7.586685220e+01,2.588476167e+01,6.053665224e+00,4.012083983e+00,5.200666133e-01,6.443041183e+00,1.345800907e+01
8.542416486e+01,3.955379757e+01,7.232708679e+01,6.933471021e+01,1.693980620e+01,6.970323608e+01,3.317246953e+01,8.358908891e+01,6.055679455e+01,6.935133958e+01,4.052731709e+01,6.816680036e+01,1.677887843e+01,6.903780052e+01,8.256233529e+01,8.126990334e+01,8.192375834e+01,9.907349693e+01,1.926369446e+01,8.771289211e+01
7.813861837e+01,4.319544200e+01,9.627002199e+01,9.975021299e+01,7.802630981e+01,9.389060881e+01,1.471190116e+01,2.661394048e+01,9.068614496e+01,5.858247170e+01,3.014459839e+01,1.153541413e+01,2.175908947e+01,4.530586521e+01,6.740395249e+01,6.321876592e+01,2.928866545e+00,8.613100458e+01,3.605240971e+01,2.626669487e+01
5.853981169e+01,3.828956913e+01,5.044345286e+01,1.856049348e+01,4.531166914e-01,8.785073356e+01,5.331090225e+01,9.291938477e+01,6.323745345e+01,2.384143367e+01,8.295069440e+01,7.623648369e+01,8.102583287e+01,5.834117902e+01,7.876684650e+01,6.175628712e+01,8.500053747e+01,2.506816256e+01,5.876863739e+01,9.625586480e+01
3.835988402e+01,6.498984139e+01,8.885498978e+01,8.779700171e+00,4.348718662e+01,4.680216221e+01,4.771493700e+01,8.134956111e+01,3.304228347e+00,5.247555720e+01,4.773759934e+01,7.615245485e+01,9.220541757e+01,7.577492288e+01,2.590747322e+01,8.500718332e+01,2.379258830e+01,9.030312473e+01,8.151466650e+01,7.239060311e+01
3.349170236e+01,6.422747635e+01,8.401205687e+01,2.509107644e+01,5.839680878e+01,6.153923188e+01,2.962716133e+01,1.517961320e+00,8.245242144e+01,3.125457526e+01,4.269915733e+01,2.583969195e+00,5.311342565e+01,5.297481460e+01,2.571013132e+00,8.004496547e+01,5.850244976e+00,7.621862345e+01,3.663019325e+01,2.620629776e+00
9.038525311e+01,5.451318852e+01,6.245900254e+01,5.378084687e+01,5.387508109e+01,6.315918621e+01,7.213945621e+01,8.880264784e+01,1.231175661e+01,1.895275138e+01,1.764268540e+01,3.858555970e+01,6.138289216e+01,8.863726378e+01,6.868186515e+01,8.640669286e+01,1.783955103e+01,2.894446509e+01,7.514386370e+01,1.466179521e+00
6.785044162e+01,9.700230501e+01,6.474623438e+01,6.626171027e+01,7.291208690e+01,8.541169064e+01,4.671855691e+01,7.731218361e+01,1.251135992e+01,8.300081387e+01,9.439219575e+01,8.677884297e+01,8.396433413e+01,4.190226267e+01,8.081746210e+01,5.735059973e+01,3.447979586e+01,7.016870463e+01,6.355534612e+01,4.995098900e+00
2.814605880e+01,4.994215771e+01,1.421378169e+01,2.615640281e+01,2.882177015e+01,3.253417836e+01,4.607397303e+01,6.994339589e+01,4.251969204e+01,9.600632305e+01,1.525311483e+01,9.673107641e+01,3.200486852e+00,5.787238600e+00,1.268564160e+01,9.579541003e+01,3.749845717e+01,3.096933084e+01,5.892392366e-01,8.644675896e+01
8.479514415e+01,9.006158614e+01,8.171723724e+01,1.018777394e+01,7.992802587e+01,1.799017051e+01,4.891648757e+01,8.730582518e+01,9.073265133e+01,6.369633261e+01,8.742471268e+01,4.288610389e+01,4.683235625e+01,2.339685679e+01,8.703190997e+01,1.538036631e+01,9.894055231e+01,9.726069765e+01,5.176052349e+01,3.957313360e+01
