v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21
4.265306100e+01,4.509705017e+01,6.317324055e+01,3.551245947e+01,5.241264570e+00,1.616567030e+01,3.603603696e+01,8.487501776e+01,5.452205942e+01,6.128681426e+01,4.366919948e+01,2.415997046e+00,4.328927731e+01,6.302807761e+01,2.619134120e+01,9.042472818e+01,1.113499991e+01,7.388876258e+01,7.666000808e+01,1.044314641e+01,4.266186532e+01
2.998173001e+01,2.586226776e+01,7.676248700e+01,5.371141200e+01,4.457823213e+01,9.781331493e+01,8.239637978e+01,1.522578691e+00,3.773953930e+01,6.347652052e+01,5.891052014e+01,9.608200141e+01,2.614346274e+01,7.834472233e+01,2.023819827e+01,5.256211724e+01,2.022595556e+01,5.694262308e+01,2.416028297e+01,4.072348912e+01,1.871749087e+01
6.408729321e+01,5.127172869e+01,5.741742758e+01,1.676942725e+01,1.784037357e+01,3.033579933e+01,3.057418847e+01,8.203700266e+01,3.302485455e+01,8.633499835e+01,3.523127866e+01,4.165843797e+01,1.467128729e+00,7.307448818e+01,2.119673091e+01,6.026742756e+01,9.156997298e+01,2.297611351e+01,8.641763679e+01,5.982282702e+01,8.671467948e+01
9.473848385e+01,9.876310085e+01,9.292521625e-01,4.259454423e+01,4.446728377e+01,5.274646281e-01,8.439128534e+01,7.640359740e+01,7.494715006e+01,3.884124593e+01,4.708871816e+01,5.941918637e+01,2.709272938e+01,6.851166132e+01,6.265385445e+01,3.770523276e+01,6.747196352e+01,5.157765703e+01,7.636349329e+01,2.770849165e+01,4.204204839e+01
8.494493163e+01,1.211891632e+01,3.904017133e+01,3.771901625e+01,1.903343599e+01,4.348904348e+01,6.246307918e+01,2.467211448e+01,8.507633372e+01,6.359997857e+01,5.757097570e+01,9.751873404e+01,8.598440841e+01,2.569838499e+01,5.106003597e+01,1.984420571e+01,7.194843633e+01,7.577317643e+01,6.231957830e+01,2.125489096e+01,2.170125878e+01
3.500917088e+01,6.418274576e+01,4.989872441e+01,6.721597653e+01,7.582592246e+01,7.066503844e+01,9.750266772e+01,4.887068346e+01,8.381228913e+00,5.872243722e+01,7.509087743e+01,7.282060875e+01,8.072520557e+01,3.197136458e+01,5.450427999e+01,1.809243799e+01,7.554190570e+01,2.263622962e+01,8.017460552e+01,6.510462680e+01,2.929610369e+01
7.556341601e+01,6.477372621e+01,7.757109326e+01,4.755480806e+01,8.442849184e+01,5.297920193e+01,9.052252413e+01,9.946556909e+01,5.718689438e+01,6.963603391e+01,5.148507262e+01,4.280609543e+01,9.951977128e+01,5.812167613e+01,3.174520972e+00,3.198337038e+01,6.412146700e+01,8.426449493e+01,4.017115475e+01,4.478342476e+01,2.809736914e+01
3.354671831e+00,2.223327247e+01,5.944479536e+01,5.558930935e+01,2.026788026e+01,1.344753228e+01,4.793146728e+01,8.849256641e+01,2.587314578e+01,8.559299524e+01,2.332617861e+01,1.629038863e+01,6.103045246e+01,8.527233688e+01,5.937848325e+01,9.476603634e+01,6.458303239e+01,2.545160747e+01,9.968191912e+01,1.183651948e+01,7.428375367e+01
6.029758870e+01,2.790220450e+01,2.214024075e+01,3.536996827e+01,7.073832277e+01,3.456658162e+00,2.040485508e+01,9.041187074e+00,9.890928778e+01,3.112019367e+01,6.068786995e+01,9.193439952e+01,6.775630074e+01,2.030909862e+01,2.044335819e+01,4.254752122e+01,9.221694123e+01,3.862734175e+01,8.929216404e+01,8.766369934e+00,2.247565049e+01
6.191263207e+01,5.627248921e+00,5.685729876e+01,4.945232276e+01,5.178807846e+01,1.002520793e+01,4.239132819e+01,6.083719636e+01,8.136124309e+01,6.051094261e+01,6.538183603e+01,7.158616186e+01,7.734242621e+01,8.763741084e+01,6.513978409e+01,1.286681844e+01,3.401496512e+01,4.697253106e+01,4.380605619e+01,1.341171984e+01,7.712412392e+01
7.197111312e+01,2.513031230e+00,4.687174209e+01,7.748516112e+01,5.072927855e+00,2.985028930e+01,7.320053877e+01,3.555044831e+01,5.658450639e+01,7.028713557e+01,3.388010919e+01,4.385743769e+01,8.394571912e+01,7.661442304e+00,4.648355150e+01,8.545134047e+00,7.636219989e+00,4.391524101e+01,3.641990717e+01,2.316035034e+00,2.102048595e+01
9.393920539e+01,2.301473271e+01,1.947583243e+01,4.543118914e+01,4.986128520e+01,4.203235556e+01,7.864360371e+01,3.301389966e+01,3.121842466e+01,9.266398821e+01,3.972092859e+01,1.334359332e+01,1.783092635e+01,5.742722945e+01,7.806598917e-01,1.875340507e+01,6.922864375e+01,6.908174791e+01,8.608524948e+01,2.529476900e+01,4.794015614e+01
6.428332588e+01,4.462019518e+01,1.433562095e+01,3.644143499e+01,9.907403240e+00,9.935104190e+01,6.666584686e+01,3.331076752e+01,9.918120708e+01,4.479030247e+01,7.989087787e+01,9.887395830e+01,6.345195214e+01,2.080141803e+01,6.204783413e+01,5.139264768e+01,5.672324793e+01,9.817484690e+01,6.015419271e+01,5.720033431e+00,9.585665805e+01
2.866691442e+01,8.113524646e+01,4.448685859e-01,7.627379053e+00,9.383235120e+01,6.729095554e+01,6.162913372e+01,9.983002545e+01,4.217657861e+01,9.991856434e+01,1.566511180e+01,8.292844189e+01,7.059537022e+01,8.371050074e+01,1.987865467e+01,3.681971343e+01,1.679524352e+01,4.925992161e+01,6.338044070e+01,7.070927083e+01,6.571566323e+01
5.627327015e+01,9.601914303e+01,7.370368243e+01,2.039752524e+00,6.227993335e+00,6.990852583e+01,8.874069287e+01,4.544141752e+01,3.737830974e+01,4.328669199e+01,9.081551907e+00,1.736910705e+01,9.011838784e+01,3.950785439e+01,5.393210612e+01,3.999434034e+01,4.930909742e+01,4.483797066e+01,2.490146256e+01,1.966450953e+01,1.201456691e+01
4.370614559e+01,9.636215914e+01,6.592098948e+01,5.892148819e+01,8.915345884e+01,1.525444587e+01,6.748103632e+01,1.432857785e+01,2.692006460e+01,9.514610231e+01,8.788515800e+01,2.264444014e+01,8.864007194e+01,2.169819129e+01,4.812782544e+01,7.239501624e+01,6.913241713e+01,2.448244596e+01,7.873246758e+00,3.575174450e+00,6.206157773e+01
