v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22
2.129261223e+01,6.685016345e+01,3.510928354e+01,9.139309460e+01,2.847512549e+00,8.030875575e+00,2.959939661e+01,2.025739181e+01,3.655070363e+01,2.688439905e+01,5.344388324e+01,2.254449603e+01,4.262539702e+01,8.851245700e+01,1.726778559e+01,4.922407415e+01,4.671558838e+00,9.402585371e+01,7.314301092e+01,1.520685580e+00,6.977085932e+01,6.838452916e+01
3.270629743e+00,4.197958650e+01,8.182765594e+01,3.490738195e+01,6.910552327e+00,9.508558022e+01,4.880054575e+00,3.371503281e+01,5.765943179e+01,5.652210524e+01,7.985379703e+01,3.122308914e+01,5.595329595e+00,4.081666563e+01,9.050084716e+01,2.794926327e+01,2.660911431e+01,4.125878906e+01,6.644443693e+01,1.256215496e+01,4.829077130e+01,7.393566521e+01
5.564716525e+01,6.687818465e+00,2.504856283e+01,9.737599287e+01,1.745532873e+01,7.665738304e+01,7.218245457e+01,6.613144256e+01,3.005716276e+00,5.896232657e+01,7.583742459e+00,7.310839635e+01,7.200032434e+01,3.947713267e+01,9.177492945e+01,1.889532035e+01,8.000488763e+01,8.762977694e+01,7.427675466e+01,8.058358769e+01,7.957156696e+01,7.614342675e+01
7.698294347e+01,5.623183515e+01,7.669072761e+01,9.003113383e+01,9.801286638e+01,9.066721196e+01,3.227176834e+01,7.800535764e+01,6.186130195e+01,2.703187422e+01,4.346108349e+01,4.667658339e+01,5.236344738e+01,8.266854390e+01,8.490664229e+01,7.725408842e+01,7.929883045e+01,3.063738855e+01,7.176804800e+01,5.332974389e+01,3.942797103e+01,9.213504925e+00
2.638188417e+01,6.283310229e+01,9.967792179e+01,8.979563836e+01,1.288332138e+01,9.521022206e+00,9.856872540e+01,4.965079701e+01,9.882453592e+01,5.255527404e+01,3.640074424e+00,9.033980627e+01,1.949267273e+01,1.731006288e+01,8.861758757e+00,7.492119076e+01,3.355928788e+01,7.945023796e+01,4.309259258e+01,5.377283929e+01,1.340139005e+01,5.974223963e+01
1.640766614e+01,8.989736380e+01,3.078696658e+01,6.467600283e+01,5.332076893e+01,8.980375217e+01,6.407507741e+01,5.813815859e+01,3.908141197e+01,9.538911600e+01,1.234971844e+01,6.206754484e+00,8.406054384e+00,6.290762232e+01,7.931297507e+01,9.201566374e+01,4.704262041e+01,5.908844562e+01,5.359742739e+01,4.695697040e+01,9.112218713e+01,9.053152834e+01
2.586368693e+01,5.152829495e+01,9.463531461e+01,4.285193664e+00,1.045310167e+01,8.509129540e+01,8.944182945e+01,9.413915863e+01,5.747922196e+01,8.504622817e+01,4.355583311e+01,5.685290492e+01,1.362461675e+01,5.636963588e+01,3.379312961e+01,5.824886330e+01,8.462837790e+01,4.763588198e+01,9.316960089e+00,2.103171122e+01,3.251852744e+01,5.894919887e+01
6.342823947e+01,8.263735637e+01,2.823763515e+01,4.905567555e+01,5.087304725e+00,8.490970761e+01,3.342586246e+01,2.193500067e+01,9.892138412e+01,1.082132638e+00,9.873167838e+01,4.088675524e+01,7.974043856e+01,8.981829304e+01,4.661514247e+01,5.504168855e+01,6.882896574e+01,3.599368924e+01,9.260925143e+01,9.973605118e+01,5.012449060e+01,5.727964243e+01
4.542901464e+01,6.514840930e+01,2.645226165e+01,9.541839468e+01,2.643381012e+01,3.605111306e+01,8.437229303e+01,7.729514910e+01,4.199817378e+01,8.235683504e-01,3.240212474e+01,2.842972473e+01,6.384436409e+01,6.486033060e+01,9.208460244e+01,8.892023455e+01,6.523014737e+01,9.100594225e+01,3.200219223e-01,7.014177398e+01,5.387008757e+01,9.483921467e+01
5.403176944e+01,8.835112459e+01,5.056674654e+01,5.359517374e+01,3.758251820e+01,2.349222994e+01,5.580248925e+01,5.797796344e+01,9.841855006e+01,6.962373823e+01,4.873163187e+01,5.610859782e+01,5.598885793e+01,9.207778867e+01,2.024064489e+01,3.622283510e+00,3.989014522e+01,8.027684376e+01,5.971629300e+01,5.250632126e+01,6.857612493e+00,5.818296193e+01
