v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23
7.128219030e+01,7.582052698e+01,3.551734004e+01,3.203466872e+01,2.886742558e+01,5.946335568e+01,8.731193945e-01,6.563019952e+00,9.201735024e+01,5.686484646e+00,3.365807770e+01,1.288975168e+01,6.882126291e+01,8.288872506e+01,8.601027694e+01,4.627288258e+01,8.935160410e+01,9.206699570e+01,5.437189825e+00,1.571138585e+01,5.521931926e+00,6.904117215e+01,4.705816540e+01
7.649891555e+01,6.236024389e+01,1.657547716e+01,7.753786606e+01,7.080066830e+01,5.427720883e+01,2.501451739e+01,7.136484805e+01,6.713429169e+01,4.691904439e+01,4.952434166e+01,2.862462170e+01,3.340425878e+01,2.260636207e+01,5.499361582e+00,6.019095366e+01,9.077785746e+01,7.967174014e+01,9.434937727e+01,3.296095876e+01,5.556459083e+01,3.936711483e+01,7.028162753e+01
3.090263811e+01,4.726093089e+01,8.368174552e+01,9.384980515e+01,9.709375045e+01,2.753562525e+01,3.128823617e+01,8.266722611e+00,4.647508110e+01,2.501067463e+01,5.419763508e+01,7.965178916e+01,5.221429481e+01,4.802877860e+00,7.791303795e+01,3.856526451e+01,6.885302097e+01,3.528158220e+01,6.291858484e+00,3.520123167e+01,5.089967386e+01,9.897072891e+01,8.814029858e+01
7.567461228e+01,2.167355617e+01,8.133124780e+00,1.170883370e+01,4.482262732e+01,3.555364727e+01,7.426084533e+01,3.881514951e+01,6.225177373e+01,1.120944586e+01,3.680776196e+01,5.257262111e+01,1.904186593e+01,9.264342211e+01,6.688893248e+01,2.418031261e+01,1.284706899e+01,5.654110783e+01,8.853844684e+01,8.481958414e+01,7.697757976e+01,9.612142179e+01,8.234906868e+01
7.828264389e+01,5.031700582e-01,3.475248496e+01,2.655497670e+01,8.767229604e+01,7.743935523e+01,3.843758381e+01,2.091126295e+01,3.330664744e+01,9.054622917e+01,6.998814182e+01,8.522392879e+01,7.410577018e+01,8.419178585e+01,5.304083539e+01,5.502859989e+01,1.383172578e+01,7.050009040e+01,3.249485030e+01,7.077699446e+01,5.775443855e+01,2.128953046e+00,5.298946942e+01
1.389015794e+01,9.036806327e+01,2.882836474e+01,8.953812041e+01,9.928175881e+01,1.633683785e+01,2.377791855e+01,5.169879878e+01,8.024558518e+01,7.357029355e+01,5.688448298e+01,1.000250354e+01,1.313677676e+01,7.167347470e+01,1.643091292e+01,5.646954756e+01,5.740662649e+01,5.824667694e+01,2.153078299e+01,6.289875817e+01,8.009668138e+01,8.305802690e+01,9.882768521e+01
3.838528350e+01,1.569787714e+01,7.725435059e+00,2.364816641e+00,6.337287320e+01,2.343686259e+01,1.884537570e+01,4.854497743e+01,3.272287168e+01,6.012625932e+01,6.676023662e+01,4.159529627e+01,9.990981268e+01,4.553796029e+01,8.184995251e+01,7.559266101e+01,5.520027775e+01,9.441991192e+00,8.505096979e+01,5.540374245e+01,1.955188737e+01,3.853710726e+01,4.185715959e+01
1.966581750e+00,2.465010444e+01,3.177533681e+01,7.906147687e+01,8.771389317e+01,1.157598973e+01,3.623281338e+01,4.782784622e+01,1.995539155e+01,3.840459677e+01,5.953693680e+01,8.127414630e+01,9.551389374e+01,8.674808041e+01,1.480472229e+01,6.454234196e+01,5.481055196e+01,4.493713058e+01,6.777188168e+01,3.436539679e+01,6.231858688e+01,6.881922668e+00,6.728374265e+00
8.493301796e+01,3.097742696e+01,3.165466870e+01,3.449797835e+01,7.202611395e+01,5.208340177e+01,3.659265076e+01,4.405221559e+00,4.562681432e+00,4.996325820e+01,5.176170505e+01,4.149545167e+01,6.809981783e+01,3.803391846e+01,2.347184780e+01,6.026932214e+01,2.117777054e+01,8.029986461e+01,4.364411274e+01,6.193630414e-01,3.073468970e+01,7.594123173e+01,6.128420631e+01
1.304901142e+00,8.382388895e+01,5.998474374e+01,5.035115912e+01,9.330831799e+00,7.276184017e+01,9.020395167e+01,7.991227151e+01,6.583051227e+01,6.396952642e+00,5.009564674e+01,2.919850448e+01,7.281615303e+01,2.046423463e+01,5.857258154e+01,9.261272533e+01,2.758243224e+01,4.673404348e+01,6.418880679e+01,5.324639104e+01,9.107664674e+01,4.145161834e+01,5.839671303e+01
2.822631101e+01,8.503599183e+01,7.183452279e+01,1.437766308e+01,2.393578453e+01,2.441835894e+01,1.947461503e+01,6.135240146e+01,5.547098567e+01,1.775530662e+01,3.655780630e+01,8.225477772e+01,1.120679352e+01,7.973718096e+01,3.462124493e+01,3.308387771e+01,6.151351610e+01,3.890354318e+01,8.539425705e+01,9.528206659e+01,3.430657429e+01,2.045326718e+01,9.000801491e+01
6.190544064e+01,8.109383172e+01,8.049240294e+01,7.045362110e+01,3.382626200e+01,6.081679053e+01,4.732427158e+01,2.361072556e+01,3.839040473e+01,7.966157748e+01,6.079224052e+00,8.977910765e+01,4.671347812e+01,3.118316454e+01,6.241465888e+01,6.132663258e+01,6.567555746e+01,6.686705050e+01,8.639300126e+01,3.726335422e+00,6.001339348e+01,5.674578229e+01,9.155855140e+01
1.321870060e+01,9.990972995e+01,7.458854439e+01,1.685869200e+01,3.205190275e+01,5.273886815e+01,7.936215150e+01,7.193692053e+01,2.440167985e+01,8.877488758e+01,3.060732258e+01,3.478779896e+01,3.852297014e+01,3.046052990e+01,9.844420744e+01,3.524473232e-01,6.168412923e+01,9.870372209e+00,1.337312484e+00,4.531380361e+01,3.429397213e+00,7.612909709e+00,9.750542450e+01
5.266878041e+01,9.337180115e+01,6.851560420e+01,3.089481477e+01,3.058904769e+01,4.285982451e+01,8.828624888e+01,6.619809032e+01,9.673136855e+01,2.279127118e+01,4.261472181e+01,5.628681984e+01,3.082792979e+01,5.589961138e+00,4.009703268e+01,1.818035426e+01,8.708846141e+01,6.850882684e+01,7.737255725e+01,4.791126497e+01,2.365068654e+01,1.629248018e+01,9.082177667e+01
3.779219077e+00,5.638076360e+01,6.671401657e+01,5.824207289e+01,2.996882565e+01,8.392563226e+00,5.205721229e+01,7.362396357e+01,6.590666142e+01,2.563438323e+01,6.965866043e+01,3.487319012e+01,8.431519287e+01,2.283412813e+01,4.378960059e+01,9.929544192e+01,3.181230611e+01,7.225104899e+01,9.966600780e+01,3.190133336e+01,8.393244020e+01,9.735373038e+01,9.455145461e+00
9.454244251e+01,3.992460016e+01,2.361555852e+01,4.415881435e+01,5.326496954e+01,1.269792717e+01,7.381904430e+01,9.990486989e+01,6.553814916e+01,4.289393539e+01,6.292081637e+01,7.204533287e+01,1.811629365e+01,9.158642155e+01,5.102806953e+01,1.308711468e+01,1.167625313e+01,1.548559746e+01,7.575732215e+01,1.050624587e+00,5.640919619e+01,9.955489220e+01,9.187054750e+01
3.272888161e+01,6.742650072e+01,2.114217285e+01,4.290077072e+01,6.624632126e+01,7.862518292e+01,4.825497780e+01,4.540247685e+00,3.028209854e+00,8.179023621e+01,7.294565348e+01,7.558452163e+01,1.358476600e+01,4.702236042e+01,3.703532770e+01,7.509909236e+01,2.036187415e+01,8.630482622e+01,8.912838376e+01,6.277808928e+01,2.727482334e+00,5.364344058e+01,2.984756070e+01
3.238468943e+01,8.182033254e+01,7.093369759e+01,5.839316228e+01,6.610145168e+01,7.423423196e+01,2.038753401e+01,1.151006741e+01,3.450874506e+01,9.474585913e+01,6.972512194e+01,4.792035332e+01,1.170473745e+01,4.773125463e+00,4.683480719e+00,6.084914046e+01,1.447668756e+00,7.190680981e+01,2.400037677e+01,2.033161370e+01,5.134212319e+01,3.329298447e+00,9.319028527e+01
6.853030000e+01,5.440409162e+01,7.161012077e+01,9.954299753e+01,7.647074309e+01,7.182054504e+01,2.699389594e+01,3.295251145e+01,4.972729833e+01,5.109818693e+01,9.032735856e+00,2.921854285e+01,4.430920632e+01,8.057236855e+01,4.507107522e+01,8.571509593e+01,1.769502513e+01,3.135773006e+01,7.367758286e+01,6.208793326e+01,1.165859901e+01,7.656571180e+01,4.267842274e+01
4.346594189e+01,3.144264659e+01,7.436260662e+00,9.842354979e+01,4.131218458e+01,1.889185876e+01,9.709099843e+01,3.731400953e+01,1.941430227e+01,3.053305054e+01,4.862832793e+00,7.259680079e+01,2.441964159e+01,1.589101294e+01,8.617908189e+01,3.418340398e+01,6.491098139e+01,4.262309779e+01,5.911576244e+01,3.331058049e+01,6.460132396e+01,4.907393950e+01,5.469211492e+01
2.891045584e+01,6.002130450e+01,3.560835740e+01,8.270001956e+01,1.116832425e+01,4.983977682e+01,2.469855021e+01,2.326481659e+01,8.325929762e+01,7.583581577e+01,5.092784857e+01,7.972226664e+01,2.854012840e+01,3.560800108e+01,5.484780872e+01,6.257408560e+01,2.504967643e+01,7.915212028e+01,1.919762213e+01,1.253411988e+01,8.513441231e+01,4.546785705e+01,4.473621801e+01
7.582452721e+01,6.701258162e+01,9.795640255e+01,9.304764084e+01,2.525958951e-01,1.137831074e+01,8.239005339e+01,2.021484418e+01,5.469690918e+01,9.175258808e+01,6.941985578e+01,3.222639949e+01,6.183648343e+01,5.140710632e+01,3.332719192e+01,7.921777571e+01,8.468177551e+01,4.024428290e+01,5.196853148e+00,7.231475905e+01,2.267873732e+01,6.543215131e+01,7.329518355e+01
6.496407583e+01,8.684276990e+01,2.739807533e+01,6.570521378e+01,7.852926590e+01,6.475661013e+01,4.305520702e+01,5.079558806e+01,5.953729214e+01,9.735258478e+00,4.422367769e+01,2.566639139e+01,6.190884385e+01,3.395154549e+01,6.018058144e+01,2.423707270e+01,1.886589212e+01,1.758894577e+01,3.870731946e+01,1.104268772e+01,1.120160739e+01,3.380763298e+01,6.899650898e+00
5.558135078e+01,8.225675727e+01,9.744537680e+00,9.179419603e+01,4.707629206e+01,7.003525702e-01,5.004018423e+01,5.472315885e+01,8.538953932e+01,6.491748932e+01,1.913789841e+00,5.736863065e+01,4.285296088e+01,4.544099488e+01,3.445058642e+01,6.873878740e+01,4.266608509e+01,4.976450917e+00,7.518184354e+01,3.465502822e+01,8.387487003e+00,9.109085003e+01,7.012479311e+01
2.703197273e+01,8.690340817e+01,9.139425297e+01,1.868375051e+01,3.164779223e+01,4.346719419e+01,4.177370136e+01,5.094805526e+01,7.354484482e+01,6.573496233e+01,7.935174525e+01,7.268915410e+00,8.419080005e+01,6.706403623e+01,9.507513982e+01,8.502268526e+00,1.924427640e+01,5.153333654e+01,6.230219407e+01,9.712117953e+01,2.983421096e+01,8.803868588e+01,4.295451110e+01
5.223067470e+01,9.769288500e+01,1.841995559e+01,2.383833917e+01,6.976833430e+01,8.082894741e+00,8.875848593e+01,1.949043984e+01,2.008686144e+01,5.597098159e+01,8.466380344e+01,5.032449558e+01,4.160397924e+01,1.916279459e+01,6.710069290e+01,4.532484981e+01,4.508632500e+01,7.136937230e-01,3.412840902e+01,6.043327762e+01,2.875146184e+01,8.770300334e+01,1.890279336e+01
4.736062564e+01,7.289998311e+01,7.857755827e+01,2.584144690e+01,4.894577557e+01,4.809346697e+01,2.474053618e+01,8.236089407e+01,9.903273178e+01,8.373218846e+01,9.531334353e+01,5.046501121e+01,4.062089687e+00,8.879237077e+01,4.487004528e+01,3.255540283e+01,3.352336717e+01,6.405567283e+01,9.580346331e+01,8.833790687e+01,1.491382693e+01,3.070213148e+01,7.853596310e+01
6.633374462e+01,5.671563936e+01,6.369096817e+01,3.072254572e+01,8.893980345e+01,5.742499225e+01,4.268499403e+01,8.866780843e+01,9.576952583e+01,6.061438334e+01,6.348550619e+01,3.329507345e+01,1.849941875e+01,9.500513533e+01,4.640650138e+01,7.890077283e+01,4.189968436e+01,7.321586731e+01,1.730766054e+01,9.910648686e+01,1.176890471e+01,6.644961913e+01,9.646614904e+01
2.288610374e+01,4.668769496e+01,9.204693371e+01,1.831877313e+01,4.110140428e+01,3.815497110e+01,4.182263695e+01,3.925840168e+01,9.812780347e+01,5.227761665e+00,2.989868231e+01,1.035139802e+01,3.203050187e+01,6.218938763e+01,3.624848724e+01,7.009076339e+01,6.621781021e+01,4.650943675e+01,3.319645234e+01,7.804685176e+01,5.140882599e+01,2.655680506e+01,6.990654894e+01
3.168106982e+01,5.283584199e+01,3.189864715e+01,9.210335925e+01,9.810381828e+01,4.992653391e+01,2.135579822e+00,1.973687125e+01,7.662561586e+01,8.514996695e+01,5.482038042e+01,8.451152696e+01,8.745202625e+01,8.720421438e+01,7.921086855e+01,6.048224080e+01,4.030492879e+01,9.567838567e+01,8.139709758e+01,4.224270291e+01,5.160092178e+01,1.791552016e+01,9.231781439e+01
7.761280126e+01,2.350013095e+01,8.799412380e+01,9.913738196e+01,8.012566950e+01,2.015185547e+01,8.533441348e+00,6.240897191e+00,9.180864148e+00,1.546435886e+01,9.785501922e+00,3.901238885e+01,6.492206788e+01,7.948948004e+01,1.380136926e+01,8.057774766e+01,3.275046367e+01,4.576859099e+01,5.921370703e+00,1.147246621e+01,9.466792497e+01,8.517871602e+01,2.158278979e+01
5.108735865e+01,3.926782141e+01,7.279844733e+01,8.682638762e+01,9.277541603e+00,7.727175810e+01,6.013164489e+01,2.302815925e+00,5.968360720e+01,7.623154200e+01,7.487687052e+01,8.335383019e+01,3.223097159e+01,5.250185572e+01,7.249085908e+01,5.612832560e+01,8.526887367e+01,3.843650961e+01,5.353068439e+01,1.410285292e+01,1.715427875e+01,7.173198262e+01,5.331147690e+01
