v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24
2.079501871e+01,3.212989803e+01,4.945434856e+01,1.329290496e+01,1.484587306e+00,2.300338705e+01,8.184576163e+01,8.190744665e+01,9.911740995e+01,9.431801645e+01,5.676987881e+01,6.445898912e+01,9.799624116e+01,6.478390778e+01,5.824139362e+01,8.127443679e+00,3.993635662e+01,8.243321347e+01,7.792033294e+01,5.833483130e+01,4.178081994e+01,5.739460177e+01,5.912919196e+01,4.661357214e+00
5.715504759e+01,6.369057996e+01,3.788854251e+01,5.844527581e+01,3.459062162e+01,6.021154751e+01,9.254841887e+01,9.599162928e+00,4.945053327e+01,8.527928850e+00,3.416206242e+01,1.349796606e+01,3.001598766e+01,8.167676288e+01,9.822568118e+01,8.247709080e+01,8.212213193e+01,6.934118224e+01,6.359099849e+00,3.000380933e+01,6.330516665e+01,9.345818034e+01,2.163391492e+01,1.453280138e+01
9.185520431e+01,2.767080149e+01,2.582391925e+01,9.111262984e+01,9.106168624e+01,1.052849258e+01,5.700263452e+01,7.705036890e+01,5.218952111e+00,3.202135536e+01,7.650242771e+01,7.547293355e+01,3.926271227e+01,8.385633804e+01,4.062565818e+01,4.672425680e+01,3.657915573e+01,6.731366901e+01,7.304338992e+01,7.775657548e+01,1.162767714e+01,2.471013340e+01,8.601388688e+00,4.505440204e+01
7.673592042e+01,8.257421432e+01,4.282313659e+00,7.369581374e+01,8.527055825e+01,5.542438358e+01,4.061917797e+01,8.265403684e+00,2.597932648e+01,1.182728881e+01,2.176650051e+01,5.565453281e+01,4.183663037e+01,8.810675796e+01,9.407422559e-01,1.295976723e+01,2.994518992e+01,3.790930205e+01,8.972958891e+01,3.280755153e+01,2.695006445e+01,2.554579161e+01,7.890090352e+01,2.482910353e+00
6.530227318e+01,3.702071450e+01,4.572386418e+01,1.192849679e+01,2.828514012e-01,2.255859070e+00,1.749729159e+01,8.552739682e+00,5.168027664e+01,1.302284836e+01,2.385798354e+01,8.728364399e+01,5.117097152e+01,2.877640246e+01,8.932307294e+01,4.205705930e+01,1.307656312e+01,4.461155372e+01,8.091185232e+01,3.016188121e+01,9.401817242e+01,7.268257206e+01,1.446762329e+00,5.122247306e+01
2.671435736e+01,3.673812349e+01,3.993665687e+00,7.204166033e+01,6.637098249e+01,3.613182558e+01,5.354213676e+01,9.277044889e+01,3.086973226e+01,1.801541520e+01,4.371598394e+01,4.003996685e+01,5.455664549e+01,2.081594407e+01,8.181606092e+01,9.387300194e+01,1.868417289e+01,2.553973598e+01,2.319291656e+01,1.742168973e+01,7.619756865e+01,6.222413463e+01,8.381412233e+01,9.286569242e+01
6.113671828e+01,9.258546864e+01,1.815117722e+01,1.620633470e+01,5.258166740e+01,2.600449366e+01,1.756262053e+01,2.164079409e+01,9.748563920e+01,5.474828787e+01,8.047757268e+01,9.590467214e+01,7.806222215e+01,2.791827878e+01,8.099702290e+01,1.787523136e+01,2.863913853e+01,5.645259803e+00,4.543940832e+01,2.815078343e+01,4.673544768e+01,5.535100432e+01,4.103267941e+01,7.899680960e+01
6.183215921e+00,8.934327761e+01,5.707781015e+01,2.651410762e+01,2.030630759e+01,3.170684293e+01,9.020602776e+00,7.103628805e+01,3.363434836e+01,1.881323554e+01,7.572772902e+01,7.452034934e+01,8.395104667e+01,4.308806616e+01,3.484492162e+01,5.353472352e+01,3.240293435e+01,1.275906892e+01,3.583265360e+01,1.210530535e+01,8.590411736e+01,5.877177248e+01,3.029036690e+01,6.649269666e+01
4.050861805e+01,3.655330953e+01,2.300198474e+01,3.008771491e+01,3.294900331e+01,2.475133260e+01,2.802869658e+01,4.639477235e+01,3.262521094e+01,8.090838709e+01,2.877117848e+01,1.811858604e+01,4.880783085e+01,3.722707244e+01,6.973797375e+01,5.325284283e+01,9.016646168e+01,3.669136535e+01,6.652259288e+01,8.911554932e+01,2.729795898e+01,3.270374679e+01,4.078753231e+01,7.043126390e+01
3.261906786e+01,7.527489128e+01,7.059403841e+01,5.235715047e+01,2.091207545e+01,1.148315417e+01,3.279033710e+01,3.905280242e+01,5.818422142e+01,8.931387500e+01,3.452261888e+01,3.941415718e+00,7.855363732e+01,3.355774739e+01,5.100163435e+00,9.609204016e+01,6.513806004e+00,1.741203181e+01,5.391536261e+01,1.296304368e+01,6.965927769e+01,9.813018107e+01,2.206472281e+01,7.523178964e+01
