v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25
2.814642501e+01,7.903644751e+01,5.060395278e+01,1.126496223e+00,4.427982890e-03,4.945083154e+01,6.947344448e+00,2.770733145e+01,3.947740990e+01,3.455691063e+01,1.450598557e+01,5.450257964e+01,8.558007752e+01,9.098060143e+00,9.545581272e+01,1.141433962e+01,5.889199189e+01,1.259725521e+01,2.199377471e+01,8.292686840e+01,3.919402122e+01,9.687650461e+01,1.406231570e+01,7.755030734e+00,2.379675163e+01
1.658369195e+01,5.855280498e+01,8.737953118e+01,8.515251877e+01,5.583411899e+01,1.296522000e+01,7.351869724e+01,8.758000989e+01,8.516967226e+01,8.413901702e+01,1.677170836e+01,9.760466191e+01,7.425061320e+01,4.312702180e+01,5.590520977e+01,5.566072969e+01,9.780882741e+01,1.326205045e+01,9.361443557e+01,4.611416543e+01,1.403205072e+01,7.853883437e+01,2.856608365e+01,4.534155585e+01,5.954992168e+01
3.138724376e+01,6.278444263e+01,9.619069908e+01,4.362976926e+01,9.506509071e+01,8.847384909e+01,2.356627495e+01,8.687885381e+01,3.311153581e+00,4.533860342e+01,5.519611795e+01,1.151530514e+01,5.152042850e+01,3.022884225e+01,2.540513999e+01,1.387440718e+01,8.981121759e+01,2.528253665e+01,5.897512655e+01,9.848718075e+01,3.240111172e+01,4.800106358e+01,5.395010318e+01,8.398749789e+01,4.819983451e+01
6.936200131e+01,4.689384569e+01,1.459935123e+01,8.177553324e-01,1.876954951e+00,2.504099303e+01,5.119959507e+01,2.375179066e+01,6.933523859e+01,6.166949053e+01,9.885009642e+00,6.760225809e+01,9.709102641e+01,6.135018609e+01,1.461227102e+01,4.661658236e+01,6.852978929e+01,9.787352901e+01,4.643830283e+01,2.289768493e+01,1.063669792e+01,3.467767272e+01,8.402962279e+01,6.651709930e+01,3.419818760e-01
9.941317807e+01,5.415841792e+01,1.059225327e+01,9.342685617e+01,5.166279765e+01,4.670388438e+01,8.454542970e+01,6.149973688e+01,5.609458842e+01,2.927167513e+00,6.568553182e+01,1.445814231e+01,3.917744463e+01,7.011970078e+01,9.316654475e+01,7.110464902e+01,5.110706980e+01,3.569629743e+01,6.506160618e+01,4.778440813e+01,7.764707281e+01,9.802406440e+01,4.569719936e+01,8.419715511e+01,8.476702642e+00
3.871686658e+01,2.353694856e+01,5.153970819e+01,7.213555828e+01,4.248372598e+00,3.631562446e+01,3.278155310e+01,7.801181598e+01,8.439963685e+01,8.003533213e+01,1.476854914e+01,5.222658917e+01,8.597781110e+01,1.932208651e+01,3.061403038e+01,8.453661378e+01,2.560463469e+01,2.157590399e+01,2.639561242e+01,2.498525590e+01,2.113407833e+01,2.447661653e+01,3.149481689e+01,5.167272341e+01,4.920963621e+01
8.487750924e+01,1.466122823e+01,3.291466284e+01,2.414382114e+01,5.925633030e+01,7.829970055e+01,3.042157380e+01,7.986603413e+00,8.911997117e-01,3.234959777e+01,3.455695576e+01,4.581408322e+01,9.285023619e+01,5.154961577e+01,1.732458684e+01,6.652930998e+01,7.570814121e+00,7.080915759e+00,9.480846032e+01,9.918737720e+01,9.382322027e+01,4.041276179e+01,8.077707733e+00,7.754493708e+01,2.201448279e+01
7.873411320e+01,3.729957900e+01,4.683624018e+01,1.874852665e+01,7.366853947e+01,9.035968326e+01,3.709762895e+01,4.339732719e+01,9.065922709e+01,2.293469010e+01,8.653179373e+01,3.831460995e+01,6.477035932e+01,1.852435796e+01,7.430558137e+01,8.986499890e+01,9.805754783e+01,9.119374508e+01,8.087131918e+01,8.766482748e+00,4.256197948e+01,8.398701825e+01,3.726543981e+01,1.640569570e+01,3.423124734e+01
4.826725636e+01,6.564969415e+01,9.430614514e+01,3.414199018e+01,3.757913335e+01,8.140962906e+01,9.940185747e+01,5.803033773e+01,6.735652003e+01,8.304470010e+01,7.151031278e+01,9.507816352e+01,9.824711371e+00,1.321989981e+01,3.498719175e+01,4.946446247e+01,1.322578585e+01,8.993755536e+00,5.263539744e+01,7.448554135e+00,7.685301221e+01,5.469082474e+01,6.681243385e+01,4.613541162e+01,3.931000830e+01
6.809930438e+01,7.582821922e-01,7.149254469e+01,8.884199635e+01,9.976494336e+01,5.800452521e+01,6.013373263e+01,1.633452668e+01,6.334021724e+01,2.877223366e+01,4.078163172e+01,6.684201863e+01,3.606366315e+01,1.959055245e+01,1.058218166e+01,7.456937621e+01,6.246416997e+01,8.318715055e+01,9.303825086e+01,5.698090275e+01,3.803601722e+01,2.336421572e+00,2.366674387e+01,9.066706894e+01,8.128730915e+01
