v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26
6.407343966e+00,9.731527254e+01,6.037082529e+01,4.388400041e+01,9.404800729e+01,7.132977961e+01,1.958547054e+01,6.825333538e+01,3.812594529e+01,8.619268633e+01,7.178006251e+00,6.045944191e+01,1.098270537e+00,8.449485320e+01,3.856800271e+01,9.810414962e+01,3.766846889e+01,3.569728199e+01,4.653158766e+01,4.266774114e+01,6.099050364e+00,7.256670699e+01,8.980247157e+01,6.566486742e+01,7.676974390e+01,4.651961289e+01
7.630741597e+01,4.942211865e+01,8.393861134e+01,4.941133493e+01,4.003531407e+01,7.399450787e+01,4.186767878e+01,7.581218362e+01,8.193486752e+01,5.628966609e+00,2.117454174e+01,2.537431721e+01,3.716957110e+01,6.729014470e+01,4.054043464e+01,5.618633007e+01,4.217709522e+01,5.549440615e+01,9.649153530e+00,7.721006306e+01,1.577410031e+01,5.901398293e+01,2.325606671e+00,3.214678211e+01,3.134193105e+00,6.029622557e+01
4.947433928e+01,3.308789424e+01,5.203919945e+01,2.796513286e+01,4.532334804e+01,8.486094149e+01,1.335974411e+01,8.812414368e+01,1.703724868e-01,7.508319103e+01,3.197882327e+01,6.982769166e+01,1.786812194e+01,9.416718083e+01,3.595142953e+01,1.285462931e+01,1.879228574e+01,3.537721791e+01,2.338339654e+01,4.458011279e+01,9.592293520e+01,9.590553661e+01,7.550480662e+01,3.715729985e+00,4.555368370e+00,1.888183810e+01
7.569146133e+01,8.214004114e+01,2.858411155e+01,5.909708590e+01,7.232237396e+01,7.312236980e+01,8.919902030e+01,7.103237270e+01,6.100458606e+01,6.522272820e+01,2.484217177e+01,6.899778377e+01,3.573332606e+01,8.273845064e+01,7.763950310e+01,6.385401073e+01,9.067124674e+01,7.315282038e+01,8.301239668e+01,9.650365454e+01,9.270497640e+01,2.102517220e+01,8.874378067e+01,7.099331394e+01,8.167891098e+01,4.466012577e+01
6.201613669e+01,4.745146310e+01,6.138898731e+00,8.234602153e+01,8.544601788e+01,3.260846695e+01,5.670386700e+01,7.928488433e+01,6.372665842e+01,5.300005803e+00,1.897614723e+01,5.846805767e+01,9.068616025e+01,4.619731188e+01,8.546078963e+01,5.552864764e+01,6.833888935e+01,6.444274475e+01,9.523165193e+01,1.109619990e+01,5.334320097e+01,8.425919614e+00,3.410076421e+01,7.682859117e+01,4.742138439e+01,1.806080917e+01
6.080409717e+01,3.505079193e+00,7.899913327e+01,5.810739551e+01,2.925222235e+01,7.724686615e+01,4.395239229e+01,5.917300408e+01,6.951154149e+00,8.352194060e+01,3.502036308e+01,9.449778097e+01,6.884834124e+01,6.199549306e+01,3.575445915e+01,6.589312768e+00,7.967525828e+01,5.357733632e+01,8.073989751e+01,2.002763921e+01,1.183816915e+01,5.353396093e+01,1.919442322e+01,7.786165862e+01,2.749811747e+01,6.952751675e+01
4.064929682e+01,1.150463319e+01,5.709163150e+01,1.146014779e+01,9.248060871e+01,4.316421857e+01,7.094279624e+01,1.159024332e+01,3.149668958e+01,3.746162338e+01,3.349366216e+01,5.904456342e+01,9.206082476e+01,1.935930932e+01,3.141315856e+01,8.518946025e+01,3.218507229e+01,4.422340926e+01,5.294818522e+01,4.016556238e+01,6.137943250e+01,8.807205903e+01,6.379499568e+01,5.980342368e+01,4.688676647e+01,3.687621111e+01
1.650908572e+01,6.198320806e+01,3.968248328e+01,8.959205350e+01,3.640198186e+01,8.580104923e+01,6.205074802e+01,2.945689854e+01,5.951899108e+01,5.830130050e+01,4.560341741e+01,2.335627109e+01,1.758019229e+01,5.412913340e+01,7.844815133e+01,9.647013019e+01,6.628196830e+00,4.982387294e+01,9.235660971e+01,2.344624324e+01,4.324240108e+01,6.171357315e+01,8.099289701e+01,6.660806519e+00,4.972437828e+01,2.038818971e+01
9.211876240e+00,8.919193077e+01,7.849219273e+01,9.172227189e+01,7.108280853e+01,8.506064797e+01,6.312711475e+01,6.974051142e+01,1.138285930e+01,7.237258009e+01,5.089012404e+01,6.470911699e+01,2.440940311e+01,1.598235322e+01,8.607725927e+01,9.081533861e+01,8.878412855e+01,5.365157181e+00,6.418484395e+01,4.661241027e+01,3.463863793e+01,6.587903584e+01,5.051963771e+01,6.121637893e+01,6.911580460e+00,3.908695230e+01
8.922988016e+01,3.841652880e+01,4.550754575e+01,8.475598087e+01,4.891424909e+01,3.423370871e+00,5.381369623e+01,2.402295417e+00,3.774128566e+01,1.911469150e+01,7.630799544e+01,1.118439488e+01,1.693439405e+00,5.659820057e+00,8.500127700e+00,8.572139066e+01,7.386854902e+01,6.411501388e+01,6.928590527e+01,6.538370937e+01,7.283054163e+01,9.079316933e+00,1.220925649e+01,5.432877223e+01,1.636214780e+01,7.269544766e+01
