v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27
1.265206050e+01,9.405949109e+01,6.424364220e+01,1.515097247e+01,2.297081489e+01,7.264504801e+01,4.094509895e+01,9.645769743e+01,1.775250514e+01,3.191031412e+01,3.159510966e+01,2.367899765e+01,8.775793662e+01,9.791616688e+01,8.187410762e+01,5.074175355e+01,2.849182285e+01,6.036733485e+01,6.724312997e+01,4.811848071e+01,3.058647981e+01,8.787293504e+01,5.188024420e+01,9.996893911e+01,4.437504592e+00,8.367908822e+01,5.854443508e+01
1.484468447e+01,2.467006909e+01,2.948416130e+01,6.798316321e+01,8.405196470e+01,8.974555397e+01,2.643909945e+01,9.794094396e+01,7.331170767e+01,7.328289477e+01,3.415599182e+01,6.888314861e+01,8.895537502e+01,6.592827947e+00,8.757607418e+01,4.489144284e+01,1.470645118e+01,5.038009617e+00,1.890239868e+00,9.625708974e+01,9.400802553e+01,5.917941438e+01,2.506459275e+01,8.232862703e+01,5.041528314e+01,8.440483524e+01,7.722759239e+01
3.786023271e+01,9.001894486e+01,6.185693762e+00,8.808377672e+01,6.362042754e+01,9.993314580e+01,9.779932043e+00,9.336002642e+01,4.401746832e+00,9.423119352e+01,4.856123682e+01,9.885199730e+01,4.783579392e+01,4.216236203e+01,7.187923797e+01,9.288245662e+01,2.559841297e+01,8.265295780e+01,2.817691281e+01,1.327285530e+01,9.633589733e+01,4.308792666e+01,6.629006735e+01,6.399382216e+01,8.781187260e+01,8.771595106e+00,6.674710595e+01
9.465990524e+01,6.486604580e+01,9.401241043e+01,2.300438282e+01,1.348772539e+01,3.696408094e+01,2.288769793e+01,2.802124796e-01,6.778767044e-01,2.784627881e+01,1.785166544e+00,2.597481006e+01,6.586543601e+01,6.339826600e+00,3.062980723e+00,7.263448713e+01,8.211313745e+01,3.391991891e+01,6.856244733e+01,1.938565126e+01,6.921823959e+01,6.713208588e+01,6.780776036e+01,4.576026880e+01,3.780570541e+01,5.326203017e+01,5.745840779e+01
8.332645706e+01,5.133634658e+01,9.599753328e+00,7.284271703e+01,4.544507528e+00,1.511298093e+01,1.144877840e+01,5.241948750e+01,4.030696324e+01,3.497681528e-01,4.172059404e+01,8.565682300e+00,7.269917266e+01,8.431542009e+01,2.764820040e+00,9.249458160e+01,4.572476021e+01,2.743676884e+01,1.031017341e+01,4.728575617e+01,6.156689045e+01,7.619060321e+01,9.712873411e+01,9.403244670e+01,6.563633403e+00,7.222793456e+01,4.657793822e+01
1.407481043e+01,4.845636671e+01,8.658938554e+01,6.441085803e+01,8.470586878e+01,4.788052528e+01,3.793574113e+01,6.520078597e+00,5.125401452e+00,4.763757270e+01,4.908585224e+01,2.082705881e+01,7.013489063e+01,1.176467495e+01,5.643991520e+01,3.573180130e+01,7.987221939e+01,3.055200802e+01,3.872715852e+01,2.333386469e+01,7.420505888e+01,6.857198014e+01,7.160739813e+01,3.647152864e+01,6.198910719e+01,6.130522571e+00,8.646969153e+01
6.224791760e+01,4.801057228e+01,1.441418841e+01,1.883139589e+00,9.406721590e+01,8.235992359e+01,1.902772530e+01,2.239873995e+01,6.697421857e+01,3.371399400e+01,3.056708969e+01,8.203566116e+01,7.946032679e+01,9.640332031e+01,7.846058602e+00,2.771814893e+01,7.558211613e+01,4.512818217e+01,4.177852688e+01,4.437955643e+01,1.136040606e+01,2.020649317e+01,9.682881268e+01,2.162699742e+01,2.658788096e+01,6.959169438e+01,7.863264014e+01
4.616360406e+01,4.788589043e+01,8.269757141e+01,1.331969501e+00,8.454103632e+01,9.083791759e-01,9.306309093e+01,5.362966232e+00,3.975699890e+01,7.099607270e+01,2.030162366e+01,6.266618653e+01,8.615514623e+01,7.769282964e+01,2.409297564e+01,6.769634872e+01,9.924027480e+01,1.076471605e+01,2.478873004e+01,5.401397760e+01,9.912459714e+01,4.451778584e+01,9.372520999e+01,3.823506424e+01,2.931399683e+01,3.725403383e+01,2.567646575e+01
9.668431814e+01,7.611445935e+01,8.131194144e+01,4.009529553e+01,1.930363181e+01,7.128242737e+01,5.717263897e+01,8.060594472e+01,7.301066151e+01,1.085618699e+01,2.667246395e+00,2.412433495e+01,1.950170280e+01,1.605726659e+01,5.139701747e+01,5.463452039e+01,5.424911994e+01,8.158243837e+01,4.678488922e+01,9.766081194e+01,6.606396322e+00,3.815491716e+01,6.874252400e+01,9.826392730e+01,1.971375255e+01,9.800371974e+01,4.882278438e+01
5.637916560e+01,7.858250725e+01,7.793476807e+01,2.755607126e+01,1.683346437e+01,9.354166152e+00,9.456304805e+01,9.994794246e+01,2.070720232e+01,8.521476424e+01,9.752950501e+01,5.663124878e+01,4.087443923e+01,5.530577490e+00,5.549151804e+01,2.868540699e+01,3.222012719e+01,9.834373689e+01,4.293556217e+01,8.839827324e+01,6.456959115e+01,8.317036745e+01,9.785131152e+00,4.246127387e+01,4.708140492e+00,5.540344154e+00,1.395749447e+01
