v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28
2.430743988e+01,8.348268277e+01,5.402200573e+01,1.680077812e+01,7.759829087e-01,4.692998259e+01,4.795485021e+01,6.356683316e+01,9.606528065e+01,8.593571685e+01,4.037411772e-01,7.289213710e+01,4.723896025e+00,6.562634196e+01,4.567008232e+01,4.906544463e+01,9.452010895e+01,2.547126999e+01,2.858391506e+01,3.060557499e+01,5.539414804e+01,6.214492516e+01,8.760658480e+01,7.123207102e+01,1.980206979e+01,1.378767272e+01,6.838333035e+01,5.294325764e+01
8.444730016e+01,5.661477154e+00,6.743532502e+01,9.059347967e+01,3.699776817e+00,2.955783000e+01,3.915087719e+01,8.430070333e+01,7.225723825e+00,5.142716272e+01,4.606579624e+01,5.687293200e+01,2.595029733e+01,6.004801569e+01,2.034523617e+01,1.745854671e+01,1.290494780e+01,7.453909467e+01,2.462504761e+01,4.863010606e+01,7.349805741e+00,9.656163624e+01,9.589566621e+01,9.913786497e+01,7.527589815e+01,4.099182937e+01,5.563223812e+01,6.393906771e+01
5.822167826e+01,7.930939818e+01,5.128825697e+01,9.922065427e+01,8.550599676e+01,9.184599913e+01,6.681379306e+00,7.529011719e+01,5.960012961e+01,8.694222775e+01,8.068873475e+01,8.062739045e+01,7.415819682e+01,2.730698106e+01,9.577799963e+00,7.024540860e+01,9.658319406e+01,9.585778447e+01,8.978797903e+01,4.149764964e+01,9.978333674e+01,5.870084254e+01,3.629462954e+01,4.709921270e+01,3.616434303e+01,8.731593024e+01,5.655483685e+01,8.114386070e+01
7.702740996e+01,8.054932369e+01,9.177162157e+01,8.089969774e+01,7.535367980e+01,3.267197455e+01,5.723297495e+01,8.608150914e+01,9.389407539e+01,5.927001187e+01,2.306995641e+01,6.035356117e+01,9.357395266e+01,6.281470684e+01,9.180517742e+01,3.835203468e+01,4.194985232e+00,5.103321490e+01,2.481526640e+01,7.070270451e+01,9.182626942e+01,3.234771169e+01,1.790396046e+01,5.517407092e+00,1.820747159e+01,4.370305595e+01,5.356940739e+01,7.513734602e+01
7.566459524e+01,9.152100587e+01,8.914920049e+01,8.373776309e+00,6.458923096e+01,9.842474592e+01,9.588228771e+01,5.527250600e+01,8.116437810e+01,9.220250290e+00,9.668581044e+01,6.540580594e+01,5.050697931e+01,2.546965354e+01,2.949754406e+01,5.638078698e+01,9.055119962e+01,4.315170683e+01,3.623574960e+00,5.346286089e+01,5.875545549e+01,7.921706888e+01,4.667059659e+00,7.206384096e+01,6.897099775e+01,4.458223195e+01,3.270643493e+01,3.362454020e+01
7.697281993e+01,4.969683630e+01,6.138261816e+01,8.255389813e+00,5.642053453e+00,7.734408684e+01,8.314527961e+01,3.566492854e+01,1.102435063e+01,9.174469375e+01,6.243665573e+01,4.540599895e+01,4.186705797e+01,9.415458671e+01,1.188059324e+01,6.655587421e+01,5.147735853e+01,7.045556534e+01,4.935169097e+01,7.459376382e+01,2.792670825e+00,8.194134407e+01,5.090537868e+01,6.965034469e-01,1.678048093e+00,7.533946840e+01,1.937891773e+01,9.345638457e+01
9.269728254e+01,9.493278223e+01,2.800766783e+01,3.916471932e+01,7.051158403e+01,4.447241904e+01,9.731762793e+01,8.288592059e+01,3.116449004e+01,6.457727427e+01,6.757630112e+01,6.692785517e+01,4.469419859e+01,1.604232585e+01,2.966790410e+01,5.161596325e+00,7.032679846e+01,1.904526338e+01,6.615609228e+01,3.674755553e+01,6.876497853e+01,7.682815098e+01,1.276712304e+01,3.867026216e+00,5.309111546e+01,4.496875461e+01,2.168388629e+01,9.148960354e+01
3.076301097e+01,1.735812082e+01,5.618726300e+01,6.945270759e+01,7.393623941e+01,9.624338184e+01,2.994378820e+01,7.561692053e+01,3.266046533e+00,7.670667799e+01,7.077223120e+01,2.770948384e+01,5.397704698e+01,1.599367372e+01,7.994223289e+01,6.292265608e+01,3.077013475e+00,8.761960676e+01,1.877028333e+01,5.999822249e+01,8.283180037e+01,4.802854385e+01,8.007328925e+01,3.866574189e+01,1.212239517e+01,9.745945225e+01,7.591598909e+01,7.645935716e+01
3.482059876e+01,4.165121037e+01,6.688663413e+01,8.458322654e+01,6.434682447e+01,6.840738650e+01,5.202496615e+01,1.780592599e+01,4.746806875e+00,6.190538798e+01,3.791386656e+01,1.753173562e+01,6.089187950e+01,9.897944257e-02,7.586483312e+01,5.337896362e+01,3.128939369e+01,6.406341089e+01,6.780327820e+01,3.052556038e+01,2.718809988e+01,8.642031392e+01,1.473254830e+01,8.735014234e+01,4.364840722e+01,1.369599916e+01,9.655569054e+01,4.259044553e+01
2.544719685e+00,7.518995456e+00,6.085065763e+01,4.825201292e+00,3.983294046e+01,7.543138274e+01,7.382066443e+01,8.055304383e+01,3.498671140e+01,1.611759044e+01,5.687810853e+01,1.469713756e+01,1.301448979e+01,8.181905925e+01,5.918513366e+01,5.799195156e+01,8.532736477e+01,7.861084215e+01,6.095573563e+01,7.829068117e+01,3.907551873e+01,6.995420155e+01,2.593858316e+01,9.976711322e+01,4.983876233e+00,6.658964561e-01,4.805391019e+01,2.656854465e+01
