v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29
4.270211752e+01,3.789327107e+01,9.208063301e+01,5.036472077e+01,9.432235695e+01,4.438900491e+01,8.406715216e+01,9.164978984e+01,6.794983756e+01,4.758583828e+00,5.113538454e+01,9.226569769e+01,7.006387146e+01,1.398196672e+01,4.778941355e+01,9.591835831e+01,5.740305131e+01,9.208503172e+01,4.348733027e+01,2.719902354e+01,9.122198721e+01,8.980141261e+01,1.802416439e+01,5.899317180e+01,5.932870802e+01,3.230791274e+01,9.649065287e+01,8.412139711e+01,7.249257933e+01
6.969121009e+01,7.862184366e+01,4.765195773e+00,7.817180346e+01,5.905899775e+01,1.822670704e+00,5.211578572e+01,7.419016734e+01,8.819276144e+01,7.498814460e+01,8.298714639e+01,7.170085793e+01,9.731960391e+01,1.629098287e+01,2.032153997e+01,9.272480601e+01,4.537656607e+01,7.607846551e+01,3.839974650e+00,5.964322071e+01,7.673205504e+01,4.481237835e+01,3.806047298e+01,7.727582243e+01,5.537660080e+01,4.304203979e+01,9.760558087e+01,8.382580788e+01,4.371863876e+01
4.247559837e+01,2.831961414e+00,6.964849601e+00,2.069464672e+01,8.268626306e+01,9.902759383e+01,1.794053790e+01,3.438918695e+01,7.187751617e+01,3.828928799e+01,3.165297553e+01,3.980073396e+01,2.253407631e+01,7.913667157e+01,2.737577208e+01,8.073704703e+01,5.493477448e+01,8.431628518e+01,7.777135617e+01,5.158265796e+01,3.716982232e+01,7.473004172e+01,7.617637259e+01,1.316303593e+00,6.971671710e+01,2.731470297e+01,4.655639249e+00,8.139041229e+01,5.093486515e+00
3.048242102e+01,9.464404440e+01,6.959986949e+01,1.252985544e+01,3.499819045e+01,8.468865953e+01,7.616025370e+01,4.772614394e+01,9.341280426e+01,2.062619819e+00,1.054540072e+01,5.532473300e+01,4.138409446e+01,2.399898386e+01,6.443428656e+01,4.487440707e+01,5.293834963e+01,9.157488306e+01,8.697591694e+01,1.808983050e+01,2.670643708e+00,7.525933769e+01,9.732576285e+01,8.270178618e+01,1.949086165e+01,6.992549740e+01,3.898959651e+01,4.245806152e+01,5.636175470e+01
2.223045937e+00,9.428560807e+01,1.682361692e+01,2.899941271e+00,5.264208067e+01,6.835247228e+00,9.555646309e+01,3.855355575e+01,6.924545417e+01,4.104124744e+01,5.782287319e+01,6.352179870e+00,2.412656373e+00,5.718016238e+01,4.344861234e+01,4.995333728e+01,9.861267625e+01,8.810384008e+00,4.373071644e+01,1.793294067e+01,7.813823999e+01,7.372363499e+01,9.569646106e+01,5.761083910e+01,2.753411251e+01,1.851450748e+01,7.419904389e+01,9.535017465e+01,6.229571527e+01
5.852325822e+01,8.348376014e+01,4.582010658e+01,7.906169219e+01,5.895850303e+01,6.017454263e+01,3.875517070e+01,8.285777679e+01,3.401663393e+01,8.252287826e+00,5.556762059e+01,5.021317282e+01,3.114428244e+01,1.739285057e+01,2.230124908e+01,5.013278224e+00,2.267721596e+01,8.034755736e+01,9.818667514e+01,3.628235946e+01,1.873208768e+01,2.643425818e+00,4.025467335e+01,6.707044831e+01,6.431592410e+01,8.288172439e+01,8.435900759e+00,2.520643139e+01,8.316493926e+01
8.380287509e+01,2.018709907e-01,4.935568865e+01,8.488754185e+00,5.015999133e+01,4.274736935e+01,9.841149886e+01,9.193437678e+01,9.639487646e+01,5.752952171e+01,4.962158091e+01,3.939204708e+00,7.924277098e+01,3.665122769e+01,4.733324861e+01,9.163811874e+01,5.315300625e+00,8.065927497e+01,2.705164073e+01,4.935957995e+01,5.983204114e+01,9.831465462e+01,2.031682957e+01,9.786788580e+01,6.255462530e+01,5.550328483e+01,6.835356901e+01,5.386358062e+01,4.844147563e+01
9.311432315e+01,7.199860519e+01,2.592076546e+01,7.836114729e+01,1.818023200e+01,5.395253782e+01,6.987331740e+01,6.759836505e+01,7.246219013e+01,6.667977891e+01,2.696097032e+01,9.781158595e+01,3.454350261e+01,5.731667568e+01,4.232181420e+01,8.653251517e+01,8.929604315e+01,2.338026061e+01,5.154244488e+01,5.919763259e+01,5.066012702e+01,2.381462783e+01,5.274708248e+01,4.476654237e+01,5.867305277e+01,6.658778005e+01,9.663776834e+01,3.563378897e+01,4.909048693e+00
5.326107356e+01,5.566435172e+01,3.230318603e+01,6.323391420e+01,4.957826593e+01,2.938216318e+01,8.432373895e+01,2.334551750e+01,8.422049239e+00,7.161439813e+01,4.833570050e+01,1.396957876e+01,7.444731195e+01,3.021984157e+01,9.732969778e+01,4.175537471e+01,4.763023487e+01,5.465445791e+01,1.155824621e+01,8.884615923e+01,1.822076362e+01,5.525534006e+01,2.304380725e-01,9.176287431e+01,5.280550208e+01,6.197440270e+01,6.143945463e+01,3.795347289e+01,8.444021255e+01
2.624511117e+01,5.996568573e+01,6.196966886e+01,7.326578191e+01,8.437658015e+01,6.999230604e+01,5.516617898e+01,7.320959664e+01,4.232971875e+01,4.400511722e+01,8.357615926e+01,6.509418147e+01,7.464609182e+01,4.464280596e+01,5.608771724e+01,6.269100655e+01,8.042686302e+01,9.248805362e+01,5.359290538e+01,9.192480355e+01,7.926400971e+01,4.863928907e+01,4.247909824e+01,1.278760003e+01,3.207147954e+01,8.090707697e+01,3.070687190e+01,6.216857653e+01,4.783587221e+01
