v1,v2,v3
5.009961527e+01,6.261460455e+01,7.573487801e+01
3.692239290e+00,9.738179425e+01,7.303657508e+01
6.695008649e+01,3.987079959e+01,9.089700586e+01
3.946954626e+01,8.567516903e+00,6.371887503e+01
6.810698793e+01,5.227933718e+01,2.347005126e+01
3.537971607e+01,2.974225822e+01,3.475274729e+01
5.473903794e+01,6.509596235e+01,7.331934622e+01
2.703091685e+01,4.837639627e+01,9.943011192e+00
9.715131931e+01,7.310568738e+01,3.190686949e+01
8.270196461e+01,8.708339807e+01,5.165364458e+01
4.246979667e+01,4.929743599e+01,5.538671411e+01
6.232357599e+01,8.621866051e+01,7.646658680e+01
6.554600920e+01,2.927124540e+01,6.410188435e+01
5.155511430e+00,6.284700069e+01,5.256939454e+01
1.368647723e+01,1.122466264e+01,4.081577507e+01
5.643856345e+01,9.367581745e+01,6.137060585e+01
5.560675766e+01,6.711085342e+01,7.250482482e+01
7.818856993e+01,9.507839651e+01,5.845125818e+01
2.322701267e+01,6.660769447e+01,6.634051511e+01
7.975665529e+01,2.592581169e+01,3.004254538e+01
6.776079467e+01,6.132857361e+01,6.015270200e+01
7.324673605e+01,2.544852561e+01,8.301736267e+01
1.509584539e+01,5.457813266e+01,8.466784889e+01
6.108415230e+01,2.823437929e+01,2.265811582e+01
7.024361408e+01,4.131407978e+01,5.755264527e+01
2.027982154e+01,3.816755325e+01,5.198160974e+01
2.227768405e+00,5.101536556e+01,8.543202572e+01
5.027120905e+01,7.020693376e+01,7.497568066e+01
3.737511605e+01,1.508430851e+01,4.966554305e+01
2.186702282e+01,4.242421133e+01,9.188109000e+00
8.990280925e+00,2.504850133e+01,1.223507807e+01
5.812558258e+01,1.130572069e+01,7.717009247e+01
7.748825605e+01,3.702954696e+01,8.247970726e+01
9.341833589e+01,6.013829003e+01,3.043033501e+01
5.681265659e+01,4.112114797e+01,5.674083496e+01
7.139872670e+01,9.952495931e+01,6.383477439e+01
8.510093715e+01,3.976366351e+01,8.493294192e+01
6.182667128e+01,4.211555992e+00,4.665700934e+01
6.018011094e+00,6.824449762e+01,6.595415800e+01
2.198635395e+01,2.706313953e+01,6.609347482e+01
1.047371814e+01,9.404373698e+01,9.204761851e+01
9.949282134e+01,9.999130350e+01,2.623976572e+00
3.350831580e+01,4.364316962e+01,3.712308216e+01
3.168766216e+01,8.166598460e+01,6.961976139e+01
8.397334712e+01,9.214166981e+00,5.152425080e+01
4.453775032e+01,1.373698400e+01,1.668342102e+01
7.458596965e+01,9.465863108e+00,9.858305071e+01
6.291652425e+01,6.634504736e+00,7.750175726e+01
9.785554246e+01,3.226966662e+01,6.700047209e+01
2.441534048e+01,4.299273166e+01,5.088537477e+01
2.460467690e+00,2.859082132e+01,3.893940445e+01
1.777380557e+01,2.109144648e+01,8.649504760e+01
5.425047646e+01,1.828468382e+01,7.165722806e+01
