v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30
7.009751252e+01,8.386692395e+01,7.415976467e+01,7.225875950e+01,5.700511362e+01,7.470910703e+01,1.001384001e+01,9.554880281e+01,2.826250990e+01,8.519827279e+01,8.577376945e+01,3.069753968e+01,6.133931158e+01,3.120534020e+01,6.165086968e+01,7.459237801e+00,9.505644727e+00,6.278485912e+01,6.379003996e+00,2.792011800e+01,1.494792214e+01,8.276697829e+01,4.851709140e+01,2.831904010e+01,2.465197972e+01,9.225452682e+01,1.537038481e+01,5.855842312e+01,4.535059165e+01,1.678201637e+01
7.901575081e+01,4.274901226e+01,5.931436578e+01,1.885308270e+00,2.431708100e+00,2.652185978e+01,4.602295382e+01,1.564942350e+01,2.168132161e+01,7.473139007e+01,1.534277791e+01,5.775429658e+00,3.732509031e+01,9.477560488e+01,7.660344111e+01,4.236359870e+01,3.784960961e+01,1.901256338e+01,8.555719722e+01,2.218863476e+00,6.540928809e+01,1.829583332e+01,9.395349205e+00,4.097117205e+00,5.595372218e+01,2.958029230e+01,5.748638177e+01,4.738018495e+01,9.542346790e+01,2.624192419e+01
4.679497184e+01,5.921041482e+01,2.888904971e+00,9.468356740e+01,9.467369023e+01,7.809387329e+01,2.314219820e+01,7.836371850e+01,2.495503888e+01,7.625172159e+01,7.570519531e+00,2.791097731e+01,5.149135845e+01,5.778022085e+01,5.193229642e+01,9.688090776e+01,3.658936967e+01,4.563502501e+01,6.946400601e+00,9.651718777e+01,7.905413504e+01,2.534613407e+01,8.961073568e+01,3.673887146e+01,3.407493809e+01,1.930285684e+01,5.621432511e+01,6.328104109e+01,1.557448974e+01,1.504879258e+01
7.435189792e+01,6.784376821e+01,7.934992455e+01,8.059333739e+01,7.889355645e+01,7.168409931e+01,9.899056663e-01,2.553106614e+01,5.059913173e+01,7.365568208e+01,6.944669447e+01,8.587932114e+01,9.524957371e+01,7.987430420e+01,7.580807422e+01,1.867680286e+01,7.613772215e-01,4.721501348e+01,3.568588078e+01,3.419150056e+01,3.999762661e+01,5.441222117e+01,9.357686140e+01,1.481157516e+01,4.601490481e+00,2.845916678e+01,3.050834451e+01,5.973367850e+01,7.189194445e+01,2.846091703e+01
3.183318179e+00,4.581596304e+01,1.735929827e+01,3.023941973e+01,7.138635280e+01,7.021843729e+01,6.886287624e+01,4.158825523e+01,8.753047415e+01,1.938575871e+01,3.467545362e+01,2.905569524e+01,4.509188871e+01,4.348413881e+01,9.124889301e+01,7.643680878e+01,5.979434309e+01,7.747814599e+01,1.000020026e+01,7.570060906e+00,5.934843166e+00,8.567721769e+01,9.278998033e+01,2.724256994e+01,2.130909792e+01,2.079016941e+01,9.115380230e+01,7.823532229e+01,2.385871659e-01,3.785401969e+01
7.870735594e+00,9.111132697e+01,7.577701779e+01,4.119306356e+01,8.472873192e+01,7.572327994e+01,3.639369989e+01,3.197109795e+01,4.866202477e+01,7.066214225e+01,6.539748364e+01,5.402516153e+01,6.979914372e+01,3.872306303e+01,6.583691384e+01,2.748049161e+01,8.623387009e+01,9.925083316e+01,2.257657048e+01,1.295756539e+01,1.455772315e+01,6.663816071e+01,8.686748710e+01,8.533597500e+01,4.896869268e+01,7.913166352e+01,2.435676706e+01,8.468775814e+01,2.831992579e+01,8.481089447e+01
4.382374859e+01,6.157853715e+01,7.496986121e+01,8.242174106e+01,4.094454517e+01,4.416332158e+01,4.282048090e+01,3.370436601e+01,7.869003247e+00,3.552729273e+01,6.569929861e+01,9.571580998e+01,1.674065438e+00,4.202021920e+01,8.089845776e+01,4.425269609e+01,1.687110161e+01,3.144013118e+00,6.425252190e+01,1.139175167e+01,4.613705431e+01,5.197478921e+01,1.093658123e+01,5.089825583e+01,9.418619541e+01,3.729989243e+01,2.077824609e+01,2.387959550e+01,4.388118746e+01,9.991688785e+01
5.492793464e+01,8.037443402e+01,8.730154421e+01,9.781771649e+01,4.409696840e+01,4.779512204e+01,9.939004593e+01,2.899222044e+01,1.308835312e+01,9.588573224e+01,4.115428013e+00,6.357232239e+01,4.485958957e+01,1.838575196e+01,2.865806233e+01,5.243872875e+01,3.668135392e+01,8.281067551e+01,7.147385491e+01,8.789989314e+01,2.783758699e+01,5.428699054e+01,6.549770521e+01,5.486143766e+01,2.922832272e+01,1.549473352e+00,6.718628825e+01,9.357883500e+01,9.558045502e+01,6.514049279e+01
4.253150541e+01,8.944360086e+01,5.231312389e+01,9.687738142e+00,4.443240769e+01,4.972293486e+01,6.232050704e+01,3.321616686e+01,7.291487263e+01,9.544441600e+01,1.672745488e+01,3.609725697e+01,6.471747462e+01,3.596441299e+01,9.299059959e+01,9.572984250e+01,7.098525305e+01,1.700293793e+01,5.829882528e+01,1.587079685e+01,3.113476150e+01,3.754744706e+01,1.245408552e+01,6.755060102e+01,1.297289123e+01,5.195098906e+01,9.094225699e+01,9.069646271e+01,6.279381794e+01,8.000460544e+01
3.723992396e+01,9.658857175e+01,1.024156370e+01,1.381337598e+01,8.943157282e+01,4.719397657e+00,7.887670705e+00,4.197604603e+01,4.152415419e+00,9.375136218e+01,5.941430108e+01,9.243625787e+01,1.023500897e+01,2.688030553e+01,3.335751558e+01,1.666264116e+01,9.592136348e+01,6.032260780e+01,9.322076334e+01,2.585052685e+01,4.871753428e+01,6.173102565e+01,6.693984665e+01,1.564247627e+01,9.102956785e+01,1.810807842e+01,6.186536904e+01,1.048073703e+01,9.416870331e+01,4.078815641e+01
