v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31
8.664877708e+01,8.772698466e+00,1.868273053e+01,5.888421871e+01,5.160115102e+01,7.349058889e+00,7.986591185e+01,7.927945873e+01,5.768414925e+01,7.920045999e+01,9.052788114e+01,6.802408865e+01,8.381160730e+01,2.840904737e+01,5.450053924e+01,3.258667240e+01,4.759164044e+01,7.248548836e+01,9.112432931e+01,6.074963353e+01,2.621182932e+01,4.317642329e+01,8.370635027e+01,8.389261675e+01,3.563731746e+01,6.931786071e+01,5.213565820e+01,2.621912216e+01,3.200981185e+01,8.653363488e+01,4.309687253e+01
4.658288981e+01,6.713960974e+01,6.051144916e+01,2.729249529e+01,9.149675430e+01,7.223537591e+01,8.972442936e+01,8.386205375e+01,6.542104729e+01,4.038240611e+01,1.327646687e+01,8.972703543e+01,7.116076341e+01,5.069950270e+01,9.637759552e+01,3.961654302e+01,9.902839602e+00,5.498331582e+01,5.094738154e+01,5.823008957e+01,3.438823515e+01,2.122654639e+01,8.440082939e+01,4.888044751e+00,4.901262592e+01,5.343788451e+01,2.369003524e+01,5.279326077e+01,1.886613151e+01,2.554533603e+01,2.272355532e+01
7.878837219e+01,5.924726273e+01,5.999033329e+01,7.610879675e+01,1.986158221e+00,9.682219131e+01,6.175853687e+01,7.679051261e+01,4.791712967e+01,5.604726106e+01,5.131064666e+01,4.059260051e+01,5.507782397e+01,5.773620387e+00,8.519137840e+01,2.830063472e+01,9.807422193e+01,2.440310406e+01,1.486927295e+01,7.956333900e+01,9.891553584e+01,7.714191054e+01,7.917095238e+01,1.340668894e+01,8.846868250e+01,3.878362262e+01,8.064036189e+01,8.106925533e+00,5.138040813e+01,9.503165689e+01,3.045617526e+01
5.251935575e+01,4.758500174e+01,2.092225507e+01,2.398677510e+01,2.860064577e+01,4.775910422e+01,3.392749730e+01,9.898656859e+01,9.371810852e+01,7.538249999e+00,5.192297272e+01,6.847463571e+01,3.077550770e+01,4.975397923e+01,3.990103992e+01,8.273071180e+01,1.118887398e+01,2.230589673e+01,9.180011709e+01,1.568513919e+01,2.110152342e+01,5.732487122e+01,3.486734164e+01,9.195196547e+01,9.759683737e+01,8.395509653e+01,3.909103414e+01,7.181343442e+01,3.262678143e+00,9.253209663e+01,2.411484068e+01
5.649163939e+01,5.220908883e+01,5.306214600e+01,8.005256760e+01,4.724091103e+01,4.150748631e-01,6.312622068e+01,2.223046181e+00,1.531187365e+01,1.830809252e+01,5.552573095e+01,1.584737060e+01,1.093627951e+01,5.498430065e+01,7.316904293e+01,9.162034952e+01,1.408436489e+00,5.894796720e+01,9.267107914e+01,7.615299614e+01,1.217732978e+01,8.517757874e+01,2.694229769e+01,3.603854321e+01,2.447798032e+01,3.693585430e+01,9.680234767e+01,2.215714253e+01,9.457590401e+01,7.962697172e+01,3.197933460e+01
1.324667707e+01,5.465745940e+01,9.674495543e+01,5.302017996e+01,4.116541573e+01,7.704750291e-01,7.408133103e+01,7.359563266e+01,2.065339615e+01,1.190706158e+01,1.857066805e+01,8.025584011e+01,2.436830165e+01,8.751840427e+00,8.662234025e+00,2.536953269e+01,5.327232973e+01,3.807954625e+01,4.971726130e+01,1.687439314e+01,6.771591795e+01,8.778137199e+01,9.528461154e+01,5.447820942e+01,7.456030790e+01,2.604793709e+00,1.155250088e+01,3.180050901e+01,5.166561891e+00,7.443900753e+01,1.270601762e+01
3.600938742e+01,1.304752514e+01,9.070047741e+01,4.125959219e+01,9.081013606e+01,8.230753027e+01,5.714223172e+01,1.008566514e+00,9.274788056e+00,1.307521037e+01,9.131270586e+01,8.832833227e+01,9.412044975e+01,2.900282860e+01,7.470412173e+00,5.158127225e+01,5.160249337e+01,7.696320537e+01,6.450324210e+01,4.595565886e+00,9.263960310e+01,8.548495663e+01,2.513352411e+01,2.905018164e+01,4.399134021e+01,9.624002772e+01,3.098659353e+01,3.482871396e+01,9.691707484e+01,9.132922486e+01,3.669685154e+01
3.531991493e+01,4.288432872e+01,5.746862428e+01,6.651734195e+01,1.615882425e+00,1.406816201e+01,4.698267819e+00,5.307413482e+01,9.452902725e+01,3.066594316e+01,5.282236778e+01,2.455116292e+01,8.781059053e+01,6.753151685e+01,5.697887661e+01,2.104366063e+01,4.128081809e+01,2.015216270e+01,4.183833585e+01,9.791526594e+01,8.327428694e+01,2.373660183e+01,2.009989386e+01,2.289726660e+01,3.244595452e+01,1.433933670e+01,2.856524776e+01,4.425455690e+01,6.182853668e+01,3.978690418e+01,3.082518784e+01
7.289674074e+01,5.835771243e+01,7.066126296e+01,8.327371509e+00,4.833057511e+01,9.756531147e+01,4.297008073e+01,7.663521124e+00,5.418934511e+01,9.445565301e+01,8.861141250e+01,5.149058970e+01,9.785442179e+01,5.369741989e-01,7.930436007e+01,7.046092581e+01,6.374515034e+01,4.141528289e+01,1.696997079e+01,6.668036248e+01,5.545209398e+01,7.945838379e+01,4.805137599e+01,9.822653680e+01,3.835333799e+01,3.719743097e+01,2.144288648e+01,8.691599531e+01,9.659793037e+01,4.520304668e+01,6.150963896e+01
7.467291419e+01,3.259367873e+01,8.408055783e+01,5.530024882e+01,9.526269297e+01,1.831399572e+01,8.736586328e+01,8.761476079e+01,9.085639981e+01,8.061942781e+01,5.097920090e+01,4.257629077e+01,4.197290202e+01,4.692204441e+01,2.811158430e+01,6.388516429e+01,3.517569265e+01,4.849131746e+01,2.449034665e+01,9.406311009e+01,5.585260018e+01,9.398544075e+01,1.096062501e+01,2.373324534e+01,5.308916792e+01,7.533641875e+01,7.156858277e+01,3.546732113e+01,9.324957297e+01,5.335609118e+01,3.868375280e+01
2.064757509e+01,7.838108955e+00,2.050968841e+01,6.555832618e+01,3.691827407e+01,4.295264523e+01,8.407525059e+01,7.882966417e+01,6.484621509e+01,9.146746171e+00,2.463109917e+01,6.067926224e+01,5.402439607e+01,5.175938953e+01,3.384786164e+01,4.816999470e+00,9.508618309e+00,4.055476725e+01,5.949163643e+01,7.383531098e+01,8.511035927e+01,9.901880495e+01,7.243622627e+01,9.388827885e+00,9.424488109e+01,6.033898136e+01,1.007837662e+01,5.664574740e+01,3.382725723e+01,5.904933301e+01,3.303724199e+01
8.735646411e+00,5.033484304e+01,5.977202086e+01,1.237398768e+01,2.246267045e+01,5.103844635e+00,9.742214271e+01,7.562739309e+01,7.327918224e+01,9.649348028e+01,6.070425381e+01,7.042725534e+01,8.379812773e+01,4.749397125e+01,2.220391021e+01,1.636864245e+01,8.510878325e+01,8.278756963e+01,3.685459542e+01,7.115648095e+01,9.708940857e+01,2.564965762e+00,1.663101693e+01,7.107619088e+01,5.950062589e+01,4.316385340e+01,5.263666132e+01,4.875532356e+01,7.794727071e+01,1.113473244e+00,9.553194998e+01
5.980795507e+00,4.275836097e+01,1.736381666e+01,8.048856540e+01,1.349772759e+01,9.423817654e+01,9.682091530e+01,9.525036795e+01,6.085021172e+00,5.177470745e+01,3.299540940e+01,7.350883018e+01,9.379458848e+01,6.536325266e+01,4.930346120e+01,2.336820953e+01,8.068247714e+01,2.195234157e+01,8.776075796e+01,9.782831559e+01,4.035247290e+01,4.456951487e+01,8.233803201e+01,4.804921156e+01,5.455018284e+01,8.212663703e+00,7.680576364e+00,5.336914681e+01,4.234407640e+01,1.442078036e+01,4.247694003e+01
6.427940187e+01,9.176934781e+01,5.553604454e+01,1.981398444e+01,1.146782885e+01,7.107684466e+01,9.672915431e+01,4.389590193e+00,5.452054270e+01,1.233955364e+01,8.586009174e+01,3.075185480e+01,1.909762060e+01,1.267692502e+01,2.770311316e+01,9.837370557e+01,3.216360235e+01,7.665761759e+00,2.113851205e+01,2.007236263e+01,2.488287553e+01,5.219663839e+01,1.130811069e+01,3.647208023e+01,1.181649612e+01,5.892261950e+01,6.417677418e+01,9.135756281e+01,7.936018102e+01,8.703037313e+01,3.409086268e+01
4.149592443e+01,6.840962372e+01,6.309502128e-01,1.726261740e+01,6.518737689e+01,3.277187726e+01,4.106345413e+01,2.716776464e+01,4.389847959e+01,8.950452342e+01,5.928001186e+01,3.099508372e+01,1.563247143e+01,5.420709342e+01,2.764420849e+01,4.020510263e+01,2.469694582e+01,4.676017308e+01,2.690283147e+01,5.504325551e+01,6.151142943e+01,3.246136015e+01,4.476109287e+01,8.256810815e+01,9.800480768e+01,3.478140846e+01,8.174185311e+01,4.267898716e+01,3.119274076e+01,9.922100423e+01,5.742970624e+01
2.973936696e+01,8.035820803e+01,8.845257446e+01,7.178381784e+00,8.542754491e+01,7.792517964e+01,1.752431856e+01,1.003975912e+01,9.281218330e+01,9.758160229e+00,6.928662656e+01,4.876407378e+01,4.528702615e+01,7.081102984e+01,7.585335224e+01,4.716063430e+01,6.081443524e+01,8.649312473e+01,9.448324016e+01,7.317385541e+01,3.230181318e+01,4.657281688e+01,9.532359416e+00,5.642090287e+01,3.746534843e+01,4.766978857e+01,9.610111990e+01,4.129286098e+01,5.952251459e+01,1.750579331e+01,5.578051460e+01
4.076554267e+01,7.367956754e+01,3.124874172e+01,4.510449380e+01,5.459762294e+01,8.839587228e+01,7.864653776e+01,2.861984211e-01,6.719302902e+01,6.697941079e+01,9.648099006e+01,5.027940138e+00,2.076019196e+01,1.968700558e+01,9.216341393e+01,7.565277993e+01,5.447792069e+01,6.088895113e+01,5.663343450e+00,1.953018399e+01,8.417889871e+01,8.502296758e+01,9.844208682e+01,7.332526525e+01,9.904616428e+01,9.609338255e+01,4.986046609e+01,8.368230665e+01,7.373336953e+00,7.306681245e+01,5.057720206e+01
1.468311774e+01,7.121470861e+01,2.030178334e+00,4.572124793e+01,9.182855281e+01,8.786352427e+01,6.107817316e+01,3.323640591e+01,4.589565620e+01,5.473053131e+01,8.936921101e+00,8.450334685e+01,2.145641908e+01,7.507955455e+01,1.154065027e+01,1.218716387e+01,9.714881896e+01,8.072675199e+01,1.028272750e+01,4.173907020e+01,3.629420022e+01,3.931205352e+01,8.701012938e+01,3.800039914e+00,5.694887456e+00,5.926112074e+01,4.873909341e+01,5.210318581e+01,9.019235093e+01,7.998673853e+01,2.134734986e+01
1.575904219e+01,3.144217104e+01,1.102284969e+01,1.121260639e+00,5.706865994e+01,5.862291182e+01,1.800636038e+01,3.608843312e+01,9.309138857e+01,9.653266552e+01,2.587002718e+01,7.747292606e+01,7.382213435e+01,4.088811239e+01,3.331894914e+01,7.186678468e+01,4.557719266e+01,8.831957662e+01,6.796028932e+01,8.598210351e+01,8.193923849e+01,7.867908813e+01,2.122717362e+01,2.988461009e+00,8.339303067e+01,9.269012128e+01,8.362450809e+01,6.714982474e+01,1.855463293e+01,7.568104535e+01,2.163528979e+01
8.043553160e+01,5.300772516e+01,6.334695623e+01,7.308296070e+01,6.325865890e+01,9.845792278e+01,4.730269920e+01,2.727124650e+01,2.473352199e+01,8.671506483e+01,8.104766553e+00,8.073395090e+01,9.175017934e+01,9.502483963e+00,6.767903999e+00,3.074854584e+01,2.774031080e+01,9.513742190e+01,2.077246425e+01,9.578729025e+01,1.129071378e+01,4.545175206e+01,4.829540911e+01,1.375446290e+01,8.828834757e+01,1.167713236e+01,1.924286245e+01,9.842004487e+01,1.148510449e+01,6.966142420e+01,2.144091393e+01
5.687405717e+01,4.096084493e+01,4.762790793e+01,5.848567186e+01,7.219389281e+01,2.067373072e+01,5.422516530e+01,6.073141437e+01,9.590951386e+01,2.180716797e+01,7.735111146e+01,8.556336270e+01,9.653511179e+01,7.358298269e+01,5.009163046e+01,2.630512232e+01,6.810773150e+00,7.943109320e+01,2.069416875e+01,7.894799640e+01,1.874402886e+01,4.987017646e+01,5.366581270e+01,3.752206678e+01,8.953083768e+01,6.057439142e+01,5.877747320e+01,5.856356965e+01,4.834414054e+01,9.244453303e+01,1.219804905e+01
3.305556464e+01,6.690536772e+01,5.630568633e+01,9.895561817e+01,7.176211087e+01,4.163752757e+01,1.078372202e+01,8.647294424e+01,9.761005020e+01,5.909719783e+01,3.792072840e+01,1.045248952e+01,3.925611773e+01,3.943853083e+01,5.352378260e+01,8.520315482e+01,5.724916334e+01,4.225717695e+01,8.832084829e+01,6.793100862e+01,9.947220270e+01,1.126957513e+01,2.767564888e+01,3.521159500e+01,1.788719567e+01,5.545725577e+01,3.440254106e+01,5.991427569e+01,9.683987670e+01,5.269093910e+01,2.993248763e+01
2.598551003e+01,8.452792699e+01,3.870848433e+01,6.860235995e+01,7.551529240e+01,5.428309277e+01,7.083681645e+01,5.354003901e+00,6.821796203e+01,1.415176374e+01,7.393313737e+01,1.291612013e+00,4.211862590e+01,6.546938896e+01,5.722732722e+01,7.928286407e+01,9.634522204e+00,1.888792669e+01,3.689810176e+00,9.183962436e+01,8.648434184e+01,8.420371559e+01,2.395910397e+01,2.576159260e+01,3.432321824e+01,9.002811691e+01,5.716681356e+01,5.510993717e+00,6.157725985e+01,2.376579703e+01,4.743178691e+01
4.715477395e+01,6.865769529e+01,7.477353112e+01,9.541110411e+01,1.651534894e-01,6.515378784e+01,5.379875959e+01,2.819298984e+01,7.732655283e+01,8.129121720e+01,7.373889663e+01,5.497914200e+01,3.093919831e+01,6.962328866e+01,1.457774393e+01,2.435500378e+01,1.783259779e+01,9.580533450e+01,2.266279949e+01,3.323391945e+01,7.399427461e+01,9.496667680e+01,5.602833070e+01,9.016866572e+01,8.212125694e+01,5.706047380e+01,6.274077408e+01,8.967332962e+01,4.280635128e+01,5.551950741e+01,2.437211526e+01
7.979806719e+01,2.865887338e+01,9.930026073e+01,5.757792205e+01,6.390199069e+01,3.336353749e+01,8.379637011e+01,3.633400125e-01,3.115158611e+01,8.830963324e+01,1.512915023e+01,2.017447714e+01,3.145471325e+01,8.372485426e+01,2.585560778e+01,8.040609288e+01,9.992748424e+01,8.226164351e+01,7.812912348e+01,9.064690640e+01,6.284288773e+01,2.903255422e+01,1.620998540e+01,2.813401884e+01,4.670073590e+01,8.475223191e+01,1.457814571e+01,7.246835168e+01,4.822293175e+01,9.769835400e+01,4.425972556e+01
2.258572883e+01,8.900712569e+00,1.003872023e+01,2.117621065e+01,8.336301627e+01,3.191922688e+01,6.805346799e+01,7.315734367e+01,8.009667763e+01,9.085848765e+01,2.382817431e+01,5.308884878e+01,8.917642187e+00,3.524033119e+01,1.387340486e+01,8.703748164e+01,7.341375113e+00,1.261581904e+01,8.857375255e+01,7.216136344e+01,6.596374884e+01,2.362848794e+01,9.889842088e+01,4.030317781e+01,9.183151777e+01,5.077236520e+01,9.904690654e+01,7.176936240e+01,5.422054220e+01,3.336603692e+00,1.878113762e+00
8.900561338e+01,4.115702732e+01,1.985296375e+01,8.302932324e+01,3.735617797e+01,6.303644686e+01,4.479043187e+01,5.022465913e+01,3.334144020e+01,9.172949363e+01,2.716658088e+01,4.505204190e+01,1.882780564e+01,1.827004112e+01,8.770565212e+01,4.357379330e+00,4.310239256e+01,7.268557771e+01,1.002399902e+01,2.821289772e+01,7.112676319e+01,4.289384064e+01,9.371680221e+01,6.776926001e+00,7.730974545e+01,4.674902556e+01,5.847160230e+01,8.095344424e+01,9.859262852e+01,5.462574808e+00,8.746678186e+01
4.373231187e+01,9.028978492e+01,8.128954057e+01,8.677491846e+01,5.589175244e+01,4.752321874e+01,8.660212186e+01,1.537391135e+01,1.386820973e+00,3.995401547e+01,7.083540166e+01,1.928901438e+01,9.887255812e+01,6.854256248e+01,5.893662168e+01,6.502080999e+01,7.797415261e+01,3.237813214e+01,4.421048109e+01,8.880583503e+01,8.570031844e+01,6.901093275e+01,2.458434481e+01,8.757675248e+01,5.025707086e+01,5.136633509e+01,2.937248959e+01,3.044096151e+00,8.806946449e+01,4.585051263e+01,8.678806862e+01
