v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32
1.783386705e+01,1.830819562e+01,7.081134431e+01,1.125812871e+01,8.995086150e+01,4.263879430e+01,5.854977927e+01,4.262890187e+01,5.362021779e+01,7.450549092e+00,1.561402043e+01,3.240825579e+01,3.120062042e+01,9.348698183e+01,4.500469722e+01,2.755174765e+01,6.120748346e+01,9.115360770e+01,8.077857244e+01,9.118163223e+01,6.916575546e+01,2.854269679e+01,4.714251297e+01,1.354602723e+01,8.763131613e+00,8.203942195e+01,6.766522495e+01,5.320193792e+01,5.584439719e+01,1.555963882e+01,2.323786883e+01,5.392546557e+01
1.087188234e+01,5.767848481e+01,5.284651125e+01,6.098207359e+00,9.091538532e+01,6.991711560e+01,7.635303997e+01,3.109638635e+01,4.368496893e+01,7.604105472e+01,2.217881975e+01,1.087887800e+01,1.859768779e+01,2.386147825e+01,1.323392903e+01,5.780177285e+01,1.346773342e+01,5.659865655e+01,3.467170607e+01,2.670121362e+01,3.287914803e+01,7.833226662e+01,2.100288719e+01,9.984587554e+01,3.054871262e+01,7.251365794e+01,1.717472953e+01,2.036212121e+01,5.252232540e+01,5.786712679e+00,1.796839830e+00,8.259423931e+01
6.864003150e+01,6.542230748e+01,9.034763489e+01,3.209558488e+01,4.841121774e+01,6.585487778e+01,2.221133324e+01,2.282939281e+01,1.494476320e+01,5.194343520e+01,7.513310556e+01,2.980664586e+01,1.588171019e+01,1.083746125e+01,9.288148331e+01,3.505055156e+01,6.850866786e+01,1.632498575e+01,7.583836073e+01,3.228419450e+01,6.104586319e+01,3.303490465e+01,6.213439486e+01,3.625682664e+01,7.818040050e+01,3.521132936e+01,3.257765407e+01,3.015697335e+01,4.896235956e+00,9.804830909e+01,3.340030976e+01,5.023905834e+01
3.455870202e+01,4.422214077e+01,3.875086898e+01,6.828373169e+01,8.321365255e+01,1.305784839e+01,7.757277889e+01,8.738293067e+01,2.667186685e+00,5.008421425e+01,7.037215309e+01,8.969973804e+01,6.430869705e+01,6.864352794e+01,6.819739101e+01,4.119811581e+01,3.499842732e+01,2.571544614e+01,1.244096170e+01,6.807813611e+01,4.405244979e+01,9.955254054e+01,1.075146592e+01,2.041150917e+01,3.128086346e+01,8.994944716e+01,8.180939440e+01,5.697218620e+01,5.292244258e+01,5.113704221e+01,9.844235308e+01,2.885763632e+01
2.326019794e+01,9.726340201e+01,7.496562681e+01,8.066434869e+01,1.410696118e+01,9.212052276e-01,3.309849633e+01,8.309196155e+01,4.186852110e+01,5.246220272e+01,9.231032796e+01,5.706054856e+01,3.644083544e+01,4.401049936e+01,3.880371175e+01,5.726406909e+01,1.741946846e+01,3.870838058e+01,1.239268709e+01,4.814612817e+00,1.984041512e+01,2.425490194e+01,3.758442186e+01,6.515978525e+01,6.251138879e+01,1.424567180e+01,7.744693708e+01,7.180895290e+01,8.248931659e-01,9.820369312e+01,7.063850725e+01,8.339085976e+00
4.884654373e+01,1.577639739e+01,6.261381983e+01,8.045146063e+01,1.310485539e+01,7.119270083e+01,5.884095236e+01,7.374876891e+01,4.133847269e+01,9.288079824e+00,4.011093003e+01,7.956823633e+01,6.885348032e+01,9.421814948e+01,8.319647468e+01,5.650613363e+01,4.256500928e+01,6.948169984e+01,4.235566846e+01,8.246775540e+01,9.653853090e+01,4.375550901e+01,5.851060852e+01,9.456012454e+01,6.403517694e+01,8.383537605e+01,5.114077870e+01,8.676136619e+01,5.486766484e+00,1.982067751e+00,3.147527410e+01,1.088726953e+01
8.483874475e+01,6.638116217e+01,5.810597540e+01,3.989404603e+00,6.540533689e+01,9.285949321e+01,8.486107422e+00,4.880992737e+00,7.133453511e+01,4.875268283e+01,1.302537775e+01,1.619742640e+01,1.361656474e+01,1.685937474e+01,1.911896221e+01,2.172702909e+00,6.438215117e+01,5.601556173e+01,9.891894248e+01,7.786882498e+01,5.984671848e+01,9.500954926e+01,5.128778757e+01,2.495425050e+01,3.377642133e+00,8.184111033e+01,1.642749106e+01,3.739731424e+01,8.286266065e+01,7.342664338e+01,5.956537698e+01,9.758989826e+01
2.605098439e+01,8.792802422e+01,2.453019311e+01,9.137829652e+01,9.543185482e+01,9.317054152e+01,1.392453672e+01,8.850765591e+01,9.261012929e+01,9.789992329e+01,1.023150381e+01,7.052726599e+01,7.942273111e+01,3.235418070e+01,1.661245813e+01,1.017368214e+01,6.225329546e+01,4.436506408e+01,9.032333537e-01,4.811118519e+01,1.479480439e+00,8.809716325e+01,4.729114376e+01,7.393581854e+01,2.457524003e+01,9.773868631e+01,3.541476256e+01,7.794563221e+01,1.556729520e+01,7.178257610e+01,1.373882063e+01,1.741288353e+01
3.049767211e+01,3.629383352e+00,1.103080756e+01,1.002601083e+01,1.497661135e+00,9.901938360e+01,9.861316452e+01,9.245836358e+01,5.847668053e+01,6.149296816e+01,4.066282051e+01,1.288486475e+01,7.181897261e+01,2.333107267e+01,1.210195345e+01,5.875160371e+01,8.457924902e+01,6.128607390e+01,1.319926107e+01,9.600375731e+01,9.537502465e+01,6.536671080e+01,9.368819454e+01,8.135267692e+01,9.527423481e+00,3.646668546e+01,3.939631351e+00,9.133510453e+00,5.197380235e+01,3.683880166e+01,9.311610652e+00,5.818840499e+01
6.959369303e+01,7.455057568e+01,8.221384783e+01,4.201695743e+01,8.776899996e+01,8.899304551e+01,4.682736275e+01,2.238514141e+01,3.049415102e+01,2.860735577e+01,7.856294390e+01,2.759407094e+01,8.893030817e+01,2.722311791e+01,8.301958838e+01,4.961621490e+01,2.502962014e+00,2.803968906e+01,7.828680986e+01,5.653113060e+01,9.844428005e+01,9.964852646e+01,6.908849421e+00,3.409270328e+00,7.282119859e+01,8.062546766e+01,6.727562428e+01,7.715752083e+01,1.642719121e+01,9.360047003e+01,1.447170084e+01,8.651962478e+01
7.767233705e+01,7.675099231e+00,5.382256840e+01,6.661524163e+01,1.078896339e+01,8.388415211e+01,1.722104981e+01,8.592040882e+01,4.158552871e+01,8.923855070e+01,4.171932375e+01,4.430184660e+01,6.490904946e+00,6.284363783e+01,4.081194116e+01,8.129947758e+01,5.794880556e+01,9.239323859e+01,2.335378620e+01,6.186712377e+01,7.313609818e+01,3.601576616e+01,3.534522755e+01,1.229782980e+00,1.728207117e+01,1.742889400e+01,8.550893851e+01,7.229854957e+01,7.328936232e+01,9.667331191e+01,7.659972660e+01,5.996030672e+01
8.025874741e+01,9.288025156e+01,7.324827135e+01,8.703139286e+01,3.654309131e+01,6.569279374e+01,8.486015602e+01,5.275231379e+01,1.120451125e+01,2.220448960e+00,1.735435483e+01,7.432866575e+01,2.521783701e+01,9.020259387e+01,6.547582366e+01,5.542252855e+01,8.489692282e+01,6.320807771e+01,4.663777590e+01,6.579714327e+01,3.986256113e+01,7.611437775e+01,8.078133659e+01,6.130224882e+01,9.043595367e+01,2.536787789e+01,4.551648063e+01,8.120918466e+01,6.099191094e+01,8.642283052e+01,1.166677607e+01,7.930113937e+01
6.085472514e+01,6.750528935e+01,7.819506441e+01,4.952678087e+01,5.041521995e+01,7.467281549e+01,9.062304281e+00,4.670064550e+01,9.727198922e+01,6.953133531e+01,7.761734001e+01,1.849139491e+01,7.486937631e+01,1.721274864e+01,7.599399165e+01,8.029629933e+01,4.498051608e+00,7.767029012e+01,4.843371081e+01,1.990604445e+01,6.506848811e+01,4.720986349e+01,1.663667395e+01,6.289002462e+00,7.168004747e+01,5.758228017e+01,9.027346014e+01,8.631726473e+01,3.272520395e+01,8.674842642e+01,1.790881539e+01,2.277888164e+01
4.734257243e+01,2.685190806e+01,8.917672180e+01,2.658617314e+01,6.505548250e+01,3.354476833e+01,5.295633422e+01,7.427271599e+01,1.031050282e+01,5.155625474e+01,7.269951939e+01,4.343383083e+00,7.883925448e+01,4.949024665e+01,1.241223618e+00,9.661940412e+01,7.851564169e+01,2.368690488e+01,6.625377649e+01,2.474654713e+01,2.263798604e+01,8.834649379e+01,7.930360092e+01,9.498973051e+00,6.223366026e+01,7.741379006e+01,2.904466502e+01,9.383278242e+01,6.689785088e+01,9.855539397e+01,1.849125207e+01,1.139046964e+01
3.119202226e+01,9.321950037e+00,3.572724621e+01,3.390799207e+01,8.900663842e+01,4.967859110e+01,1.832741604e+01,7.508774050e+01,2.141816315e+01,2.432681825e+01,2.367220660e+01,1.378910423e+01,8.484648273e+01,3.898889307e+00,4.325642679e+01,4.042941697e+01,9.280169169e+01,1.613996836e+01,8.433577124e+01,2.874941151e+00,2.370683023e+01,3.543649033e+01,6.661401711e+01,2.307729063e+01,9.314819918e+01,1.463981107e+01,5.388565928e+01,1.621220962e+01,8.844526705e+01,2.105304656e+01,2.551501205e+01,9.781376992e+01
5.770863361e+01,4.515964987e+01,2.602458285e+01,9.605053273e+01,9.304844422e+00,7.784393458e+01,3.882339254e+01,4.534518602e+00,9.644922979e+01,9.027637648e+01,6.569798480e+01,4.016098376e+01,1.923051475e+00,3.345181055e+00,2.435948912e+01,6.727286754e+00,6.389305554e+01,6.743358632e+01,7.427571227e+01,1.033201098e+01,9.253171717e+01,9.429294325e+01,2.589465234e+01,3.323137900e+01,9.879894990e+01,3.900602166e+01,4.107843658e+01,9.892587935e+01,9.407332292e+01,5.004023421e+01,8.146398461e+01,1.998728565e+01
5.763412336e+01,6.517177351e+01,9.772923552e+01,7.230027351e+01,5.462819476e+01,2.752607909e+01,3.245786850e+01,3.688422243e+01,9.779603303e+00,8.850730793e+01,5.540596381e+01,6.116094708e+01,8.495629910e+01,4.254622958e+00,4.444386545e+01,7.458478484e+01,3.817471764e+01,5.711658058e+01,1.853688921e+01,6.501281836e+01,1.698624907e+01,3.141951311e+01,9.827538456e+01,4.038595808e+01,2.837674084e+01,5.816928787e+01,3.723658080e+01,6.576634698e+01,5.160417868e+01,5.240661339e+01,6.829579858e+01,6.934691521e+01
6.132004644e+01,1.162884974e+01,4.098466846e+01,7.771779374e+00,7.124049785e+01,1.135258140e+01,2.627502794e+01,6.986775788e+01,3.806675550e+00,1.574330396e+01,2.161103268e+01,2.547187093e+01,7.313525525e+01,6.148514505e+01,6.092434865e+01,8.481798969e+00,3.306094429e+01,7.975414593e+01,5.908507557e+00,4.459729292e+01,9.544838264e+01,5.972451134e+01,4.743080930e+01,8.324377824e+01,6.146920239e+01,9.558104106e+01,1.628859633e+01,2.017135329e+00,8.876182781e+01,9.990016000e+01,4.208814753e+01,8.162878556e+01
2.152061096e+01,9.574470174e+01,4.393414465e+01,1.514627224e+01,8.865809723e+00,7.198825509e+01,9.618097180e+01,6.572872626e+01,4.243992547e+01,2.616993191e+01,2.525552214e+01,6.849150616e+01,2.309932336e+00,7.091372093e+01,1.261531036e+01,6.361902789e+01,2.367447026e+01,3.275616149e+01,4.582715491e+01,9.038757535e+01,3.313658538e+01,6.014676931e+01,6.567435041e+01,1.344714649e+01,9.988066940e+01,1.520020706e+01,5.366945526e+01,5.461472601e+01,7.536666886e+01,4.952414632e+01,5.043575098e+01,4.918574456e+01
3.337089996e+01,6.333211750e+01,9.635729488e+01,4.242933917e+01,4.270189391e+01,8.714425218e+01,9.749576992e+01,5.540004114e+01,9.138198561e+01,1.717656399e+00,7.698931045e+01,8.862521985e+01,7.710949916e+01,2.650548647e+01,7.962034278e+01,2.778195461e+01,1.165126824e+01,8.899344431e+00,7.741994248e+01,4.405766510e+01,4.896132541e+01,7.668965072e+01,3.867583825e+01,2.952347465e+01,3.901070285e+01,8.688994948e+01,2.188110017e+01,8.935494375e+01,3.018941363e+01,9.792262774e+01,6.955101528e+01,1.151889710e+01
2.631114735e+01,2.597476454e+01,4.011484238e+01,1.341164271e+01,2.175615669e+01,4.488843048e+01,6.566814827e+01,1.345305137e+01,9.183185567e+01,3.655377785e+01,4.509759582e+01,8.581764466e+01,8.213223896e+01,2.476579509e+01,4.845737569e+01,7.681047205e+01,7.590641531e+00,6.236369065e+01,2.712439163e+01,8.932166261e+01,2.390352662e+00,2.570317920e+01,5.032806418e+01,4.701668489e+01,4.410324302e+01,9.576455232e+01,3.662542454e+01,6.647462156e+01,7.060733422e+01,5.562885682e+01,9.145659975e+01,8.361731616e+01
5.247172777e+01,3.761975443e+00,9.436907470e-02,3.123848570e+00,3.627765418e+01,4.345848810e+01,5.824522201e+01,9.375904497e+01,5.011464127e+01,3.149396896e+01,9.199883361e+01,9.787135164e+01,9.095227727e+01,7.834608910e+00,6.166195936e+01,6.786298421e+01,6.541669471e+00,7.717774090e+01,6.912553887e+01,7.478661367e+01,6.822758613e+01,3.975959061e+01,3.984891736e+01,7.699059068e+01,9.703308148e+01,9.480570089e+01,3.887278437e+01,6.247318697e+01,3.829230794e+01,7.081230145e+01,9.089273482e+01,9.878781233e+01
5.365058252e+01,4.962322450e+01,6.135419438e+01,2.785183650e+01,3.969716781e+01,7.601869400e+01,8.520918505e+01,3.692983547e+01,5.647613760e+01,7.033311219e+01,4.376122918e+01,5.536040962e+01,3.209282061e+01,6.247328092e+01,6.024278283e+01,7.857628611e+01,2.320340079e+01,3.170121734e+01,3.453657505e+01,5.073224956e+01,6.483049129e+01,8.561275687e+01,9.704245139e+01,6.237934884e+01,8.871387425e+01,5.082031831e+01,7.214080270e+01,9.705703292e+01,8.536852466e+01,9.147737560e+01,9.507473891e+01,8.126627477e+01
1.211235047e+01,8.725386008e+01,8.065661789e+01,2.923453620e+01,5.119787801e+00,3.448501520e+00,6.299883462e+01,4.727668966e+01,8.382739844e+00,2.392104709e+01,9.554459777e+01,1.568810854e+01,5.199471887e+01,5.901646801e+01,8.405011930e+01,4.910475602e+01,6.699093284e+01,7.174529576e+01,6.084270502e+01,5.417864173e+01,5.093339249e+00,4.899853995e+01,3.555734252e+01,5.121527769e+01,6.496994262e+01,2.937403118e+01,6.273895870e+01,2.463716728e+01,4.540547111e+01,7.466966461e+01,4.261571485e+01,5.007534048e+01
