v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33
4.246814352e+01,4.017475473e+01,9.995393055e+01,5.065213061e+01,9.983090112e+01,4.986813202e+01,8.811029691e+01,9.116787595e+01,7.059159444e+01,3.651602544e+01,1.973306895e+01,5.915512066e+01,6.606475298e+01,5.652232430e+01,7.778141095e+01,3.631526356e+01,1.645876758e+00,1.939640771e+01,1.437216308e+01,1.937738863e+00,9.785268697e+00,6.375742025e+01,9.047581210e+01,3.181846614e+01,4.709312709e+01,4.506228215e+01,3.123253327e+01,3.302594363e+01,5.442860462e+01,3.754570368e+01,4.590436192e+01,9.811955985e+01,7.664001727e+01
8.444860735e+01,6.863813235e-01,9.506400953e+00,4.780066137e+01,5.435365126e+01,4.557481123e+01,7.206608752e+01,4.321881457e+01,4.513646646e+01,6.847798727e+01,2.656963647e+01,5.729712179e+01,1.950519101e+01,6.031037664e+01,1.512330161e+01,7.828800982e+01,8.705808300e+01,8.674222321e+01,1.815101193e+01,9.071903264e+01,1.170590660e+01,8.018500187e+01,5.009257834e+01,7.144806734e+01,5.436312184e+01,1.376351667e+01,7.787373223e+01,9.174477020e+01,7.770022927e+01,8.017801045e-01,9.509917248e+01,9.190608901e+01,4.862991604e+01
9.441002842e+01,5.193792420e+01,5.507068281e+01,6.468977851e+01,7.050495375e+00,3.656286769e+01,1.379298339e+01,2.606213290e+01,2.844480659e+01,4.660162260e+01,6.908857338e+01,1.063682224e+01,1.752822650e+01,5.048622010e+01,5.413699063e+01,7.057968174e+01,7.178354122e+01,5.488475386e+01,9.950193671e+01,9.616047723e+01,2.995646189e+01,1.930704120e+01,7.816969267e+01,3.933063748e+00,6.055923246e+01,5.703647904e+01,6.758513454e+01,8.789274736e+01,7.584653791e+01,3.984487905e+01,8.899267770e+01,3.335831647e+01,8.028111732e+01
2.243820339e-01,7.449059392e+01,6.341334028e+01,1.233489566e+01,9.129296678e+01,2.875081190e+01,6.548113308e+01,6.497610427e+01,9.866497558e+01,2.039083843e+00,5.857834911e+01,4.906342408e+01,7.544791118e+00,5.797949512e+01,2.931062991e-01,8.886336000e+01,8.321187345e+01,7.431389775e+01,4.641981453e+01,3.463634605e+01,1.712174502e+01,6.796909138e+01,1.079171260e+01,3.712150343e+01,3.039862237e+01,3.996965660e+00,8.255335424e+01,6.818458232e+01,5.986365366e+01,6.571264960e+01,4.008344904e+01,7.300885529e+01,7.210347045e+01
9.265393658e+01,9.680921373e+01,4.557916655e+01,5.482680658e+01,6.930896839e+01,4.923943063e+01,2.545830586e+01,3.872248203e+01,6.289783705e+01,5.322618432e+00,6.669420545e+01,8.895788282e+01,9.485012971e+01,7.721598915e+01,6.709278283e+01,3.806417011e+01,8.668411551e+01,6.026778640e+01,7.302477246e+01,7.147150960e+00,9.291977304e+00,9.015946307e+01,7.206270091e+01,9.940970592e+01,2.095722598e-01,8.773523722e+01,3.829046612e+01,5.062791434e+01,7.810322513e+01,3.578643561e+01,9.076083269e+01,6.537202816e+01,7.012455542e+01
3.494322995e+01,3.946722514e+01,6.745975050e+01,2.708540838e+01,6.684429944e+01,7.418163565e+01,5.882879397e+01,9.721482368e+01,9.196560057e+01,9.228898132e+01,6.496443954e+01,6.419227229e+01,7.289148086e+01,9.293059564e+01,3.964133253e+01,3.470427445e+01,3.194662149e+01,1.788074934e+01,8.658210385e+01,4.735942569e+01,7.520472767e+01,5.594714442e+01,8.783140864e+01,7.579802342e+01,8.301355660e+01,6.882196199e+00,8.243428956e+01,7.104968340e+01,1.066401595e+00,1.437844093e+01,6.116284560e+01,2.025623694e+01,7.301679506e+01
2.304264961e+01,5.415917708e+01,5.313223507e+01,2.886151320e+01,7.124387422e+01,1.511244921e+01,7.800312636e+01,5.684202363e+01,9.651162698e+01,6.796462285e+01,3.118733207e+01,1.274231538e+00,5.355232449e+01,6.417304828e+01,9.882787730e+01,1.487558845e+01,9.057596626e+01,3.949186811e+01,5.416499661e+01,7.275814942e+01,1.264089081e+00,3.870720723e+00,1.365446329e+01,9.993258818e+01,6.813076693e+01,2.138166467e+01,8.634041652e+01,1.397166101e+01,3.814127722e+01,7.476733618e+01,8.683235096e+01,2.318437330e+01,9.549245342e+01
7.256887278e+01,4.589166067e+01,2.700500701e+01,8.516122093e+01,8.302665629e+01,7.301730783e+01,8.786908569e+01,9.715324855e+01,8.260158288e+01,8.351460929e+01,4.846032868e+01,7.295436388e+00,7.946555877e+01,7.075595770e+00,8.301436244e+01,5.581459577e+01,7.796726314e+01,1.620523695e+01,2.432643940e+01,9.068230784e+01,1.357436292e+01,2.686863951e+00,1.671931074e+01,7.429684358e+01,3.707236495e+01,2.142738450e+01,9.134181771e+01,1.160542014e+01,7.680789551e+01,9.340975110e+01,6.982180208e+01,6.824410056e+01,6.253215333e-01
8.022639345e+00,6.703124467e+01,3.212336275e+01,6.480631213e+01,1.439711081e+01,4.455448496e+01,1.525819832e+01,6.335090053e+01,7.208252819e+00,2.545576604e+01,3.539028991e+01,4.894480544e+01,5.102302731e+01,6.766156950e+01,4.543150947e+01,4.830987343e+01,1.490089491e+01,4.008491730e+01,4.389612244e+01,8.003924898e+01,9.014959942e+01,7.962121818e+01,7.707335575e+01,3.990049974e+01,1.054733162e+01,2.194358419e+01,1.952407731e+01,6.030652497e+01,8.524901087e+01,8.862387567e+01,6.587507156e+01,1.312971643e+01,1.428295892e+01
1.584163153e+01,2.101966345e+01,1.482959065e+01,8.363939572e+01,1.397659741e+00,7.845728308e+00,8.751965502e+01,4.867028660e+01,1.297159851e+01,2.114572883e+01,3.382334991e+01,3.691553989e+01,4.977163469e+01,1.297335930e+01,4.058971357e+01,3.673190643e+01,4.225939710e+01,7.789899053e+01,2.614068841e+01,7.196363816e+01,2.929855783e+01,6.351909314e+01,3.437129575e+01,2.540332035e+01,5.255977710e+01,9.593565822e+01,8.024184732e+01,3.571000923e+01,5.545734986e+01,8.193793091e+01,3.041673597e+01,4.561260908e+01,6.090007950e+01
3.527391143e+01,4.972911500e+01,3.465560020e+01,6.745007226e+01,9.041189720e+01,2.996536584e+01,3.978219377e+01,2.031933273e+01,8.364336948e+01,3.875763880e+01,1.446163234e+01,3.293161999e+01,4.057102661e+01,3.010449971e+00,6.530383860e+01,8.024515527e+01,3.021965296e+01,8.944357980e+01,4.709244800e+01,1.703476852e-01,4.693189541e+00,7.802100223e+01,7.957970102e+01,4.477113453e+00,4.118862776e+00,6.467056151e+01,8.949046674e-01,6.663118619e+01,8.178526348e+01,6.221475956e+01,7.277714434e+01,7.433146365e+01,6.862609304e+01
5.254837260e+01,2.630842368e+01,8.408600607e+01,4.830232939e+01,1.693750350e+00,8.827852553e+01,2.628971393e+01,2.545329658e+01,9.515778990e+01,9.165101571e+01,6.414923508e+01,8.132523784e+01,1.110095302e+01,2.643791199e+01,5.818320922e+01,2.602766543e+01,3.423008721e+01,2.992492308e+01,4.470566163e+01,7.744392474e+01,7.843777831e+01,8.245129213e+01,8.824490139e+01,7.306647958e+01,7.762812432e+01,3.934703998e+01,7.793535127e+01,3.223756345e+01,7.787945102e+01,8.337079494e+01,3.929648924e+01,4.198398769e+01,6.721323086e+01
9.878403992e+01,8.484937661e+01,1.126009688e+01,9.097193834e+00,8.048180639e+01,3.587596138e+01,9.683754935e+01,4.819310170e+01,5.519676124e+01,1.813363841e+01,7.157408963e+01,6.106714469e+01,6.060312133e+01,3.727517257e+00,4.838195050e+00,7.120833195e+01,9.341161352e+01,4.031213381e+01,2.546847897e+01,8.101052953e+01,1.522214330e+01,1.017022830e+01,4.196291293e+01,1.824590339e+01,8.347362454e+01,4.704755337e+01,3.115713133e+01,5.773542074e+00,3.642459847e+01,1.197621731e+01,9.104781276e+00,3.157379951e-01,7.456520137e+01
