v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34
5.332780633e+01,6.422740408e+01,9.340751184e+01,8.219954477e+01,7.512424022e+01,8.647089860e+01,5.273626337e+01,7.661390839e+01,3.186092400e+01,9.290703158e+01,6.085363868e+01,5.631977260e+01,4.282727609e+01,3.305125346e+01,3.136224509e-01,7.562005821e+01,9.012555763e+00,8.342880702e+01,7.241751318e+01,6.298285578e+01,1.484292027e+01,7.173289330e+01,2.791182655e+01,7.727276118e+01,6.471900247e+01,1.087640112e+01,2.107965727e+01,5.227497752e+01,5.608664031e+01,7.942744772e+01,3.963043038e+01,9.469418345e+01,2.410064702e+00,2.319832661e+01
9.483656533e+01,6.818891950e+01,2.335987643e+01,9.360011424e+01,8.171489909e+01,1.934464076e+01,9.283830683e+01,1.077974423e+01,3.330208785e+01,4.319350126e+01,9.139251405e+01,9.695664343e+01,8.915687238e+01,5.614990203e+01,1.274413105e-01,5.846156699e+01,3.872582456e+01,1.652398030e-01,6.507590017e+01,8.494319533e+01,9.182446196e+01,3.065677958e+01,1.373675955e+01,8.595352967e+01,7.129852716e+01,4.419296659e+01,1.051371375e+01,4.997800441e-01,6.252051666e+01,2.608543035e+00,9.016480123e+01,8.046458651e+00,2.736191971e+01,3.469971743e+01
9.736100839e+01,1.093770106e+01,4.905271243e+01,2.170695912e+01,9.717198201e+01,1.006381818e+01,2.632097579e+01,3.565218408e+01,5.830914868e+00,7.393089366e+01,7.150291022e+01,2.512583066e+01,1.726838040e+01,5.307924612e+01,8.880359091e+01,1.289159564e+01,2.699974804e-01,2.739017721e+01,1.081932684e+01,9.279756614e+01,5.354663922e+01,8.221656615e+01,4.503620514e+01,6.990920046e+01,8.650497471e+01,1.137417732e+01,2.840159515e+01,9.646699731e+01,9.838875190e+00,8.294709771e+01,4.701574715e+01,3.439721886e+01,3.542991232e+01,8.190194721e+01
4.731066423e+01,4.212004748e+01,8.651721922e+01,6.581989375e+01,8.968418535e+01,3.511145314e-01,8.127145556e+01,1.941144278e+01,7.184513372e+01,4.055021833e+01,9.768907941e+01,6.499135036e+01,1.107435822e+01,8.577468934e+01,9.528833228e+00,1.607500813e+01,3.330159451e+01,4.676505892e+01,6.116547967e+01,1.169064297e+01,7.870479100e+01,3.201533277e+01,5.320081936e+01,3.188791622e+01,6.839522027e+01,6.172135779e+01,5.049567158e+01,4.982516266e+01,6.886914040e+01,4.343197523e+01,5.321497885e+01,6.353334488e+01,3.029675770e+01,7.968485174e+01
9.183412673e+01,8.484452926e+01,9.594632810e+01,2.031703809e+01,2.489488275e+01,2.270448289e+01,8.951814584e+01,1.317038752e+01,1.446916359e+01,6.838902888e+01,5.444857003e+01,1.725966616e+01,3.873941404e+00,7.215714140e+01,1.289913693e+01,9.894329921e+01,3.432256647e+01,3.849287572e+01,8.449423606e+01,9.281850741e+01,3.968477546e+01,7.341694271e+01,8.964652087e+01,8.427715350e+01,5.134239797e+01,3.858084447e+00,9.729506345e+01,8.381142012e+01,1.522573277e+01,6.232370248e+01,1.612633945e+01,5.058860909e+01,2.384684427e+00,4.120863148e+01
1.032486867e+01,3.854478489e+01,4.634943638e+01,7.630698699e+01,8.759219743e+01,5.364585036e+01,6.573463827e+01,8.342000661e+01,6.816411484e+01,7.951718335e+01,9.020132872e+01,5.840777046e+01,6.050971628e+01,9.665186319e+01,1.354665991e+01,9.006943153e+01,9.832076423e+01,2.409639527e+01,1.545680962e+01,9.620547534e+01,5.419019870e+01,7.457432138e+01,8.705427664e+01,1.161001815e+01,8.035165621e+00,9.207120381e+00,6.838314638e+01,6.851045991e+01,9.314472426e+01,6.490172264e+01,7.455810456e+01,5.299881280e+01,8.706371018e+01,7.184968067e+01
7.160503802e+01,3.136087829e+01,3.110771430e+01,1.615437845e+01,6.307039918e+01,5.726906755e+01,1.691478091e+01,4.224057076e+00,4.853016559e+01,6.475430967e+00,1.862715669e+00,2.175083935e+01,4.482078591e+01,9.156491673e+01,9.279830392e+01,7.442925236e+01,1.146395369e+01,8.898473163e+01,3.368063627e+01,2.817237142e+01,1.055894134e+01,1.966707723e+01,1.850319091e+01,6.809482638e+01,9.444058151e+01,4.242539319e+01,5.735889440e+01,1.902416809e+01,5.801041817e+00,8.193353889e+01,6.730117140e+01,2.000410192e+01,8.971005671e+01,8.209178425e+01
2.245620861e+01,2.617287316e+01,8.338477398e+01,6.098890734e+01,8.091412789e+00,1.758464108e+01,5.747604022e+01,5.960923284e+01,8.250361711e+01,4.111215412e+01,3.036178526e+01,6.181955293e+01,5.580359406e+01,8.980092492e+01,2.149029016e+01,8.895844373e+01,1.319530570e+01,8.946005637e+01,6.314646427e+01,1.466891290e+01,3.766282088e+01,4.992573725e+01,2.462013113e+01,2.665616538e+01,5.240324469e+01,8.489634426e+01,9.758557062e+01,1.624306310e+01,2.260646301e+01,7.211222795e+01,9.323931929e+01,8.532900012e+01,2.353523595e+01,7.089220651e+01
2.819124015e+01,6.058435879e+00,1.900699279e+00,4.945592159e+01,9.341084859e+01,9.265736992e+01,2.239477288e+01,8.075120088e+01,5.905414246e+01,4.732376461e+01,2.309745272e+01,7.781306027e+01,8.792235633e+01,8.615040968e+01,2.524099831e+01,4.363331592e+01,3.607164582e+01,3.730787010e+01,1.273087192e+01,1.701394391e+01,8.668756354e+01,3.107095415e+01,6.954768484e+01,4.451109885e+01,7.214206014e+01,9.364256594e+01,3.390699602e+01,8.571325175e+01,8.624749111e+01,1.009976154e+01,8.513470274e+01,4.129487452e+01,2.038780637e+01,6.380378390e+01
3.059601957e+01,4.353717404e+01,5.614033401e+01,6.918725965e+01,5.937562773e+01,1.706115179e+01,1.519472307e+01,6.648910225e+01,3.441921476e+01,2.111982969e+01,2.790505734e+01,6.602096719e+01,2.336742525e+01,9.059017035e+01,8.664384330e+00,5.938759023e+01,9.699976162e+01,7.510904409e+01,1.447016339e+01,9.258074443e+01,2.225408322e+01,6.484561437e+01,1.540349593e+01,8.946327806e+01,8.403091139e+01,5.620486325e+01,1.085409275e+01,8.427369548e+01,4.460836573e+01,3.345129872e+01,5.228532780e+01,2.642831111e+01,8.570653513e+01,5.207051597e+01
4.864804285e+01,9.523052390e+01,7.866486340e+01,9.037358399e+01,3.924235812e+01,9.580947052e+00,1.475417155e+01,7.344232710e+01,1.101547038e+01,7.213612215e-01,9.212077652e+01,4.215946304e+01,8.333464689e+01,7.324824289e+01,8.905243686e+00,9.667419931e+01,8.387071776e+01,7.981395331e+01,6.021081063e+01,8.734853610e+01,3.086418382e+01,4.205007212e+01,1.408648129e+01,3.467551869e+01,5.542896759e+01,5.728178351e+01,9.191951808e+01,8.531275225e+00,8.590069327e+01,6.767176183e+01,4.599984158e+01,7.554933524e+01,5.166804455e+01,6.308424313e+01
5.055861376e+01,1.699074386e+01,7.177902225e+00,5.575882246e+01,1.478293987e+01,5.481986014e+01,9.491791891e+01,3.324760120e+01,9.717768582e+01,9.063405666e+01,9.194739250e+01,5.826685289e+01,3.675436872e+01,2.659950930e+01,9.397382721e+01,7.889513216e+00,1.275069876e+01,5.280944516e+01,9.376802650e+01,1.454138877e+01,6.328988473e+01,6.622623275e+01,3.694121145e+01,6.566468495e+01,5.488222078e+01,2.040856088e+00,4.822577321e+00,1.130977285e+00,3.403901223e+01,8.497469585e+01,2.915425228e+01,6.469004504e+01,9.624074292e+01,1.211444409e+01
5.424784827e+01,8.391296072e-03,7.978726865e+01,6.712821748e+01,7.130660965e+01,8.499143944e+01,9.823538631e+01,7.861754287e+01,3.161397922e+01,4.212374085e+01,6.740253871e+01,2.628058582e+01,4.164106729e+01,6.859780744e+01,4.483324134e+01,6.959150875e+01,8.438948874e+01,8.516362415e+01,3.195768266e+01,5.433432768e+01,2.086544347e+01,5.139033544e+01,1.202280019e+01,6.528378217e+01,9.748563800e+01,5.907147155e+01,8.252911324e+01,8.240981597e+01,9.014407937e+01,3.165085475e+01,1.229854741e+00,5.008751483e+00,3.987974417e+01,5.712422227e+01
1.463743056e+01,5.431668157e+01,9.152261857e+01,7.447284851e+01,1.689316807e+01,4.101748611e+01,5.426265229e+01,7.642629971e+01,8.582032463e+01,3.830320295e+01,5.542918151e+01,5.226875647e+01,5.561565069e+01,3.732334617e+01,3.304370214e+01,4.793278302e+01,1.578662870e+01,2.878113869e+01,1.186593559e+01,5.885144618e+01,3.573552564e+01,8.200416378e+01,5.445596669e+00,7.778892018e+01,5.041933579e+01,9.906872277e+01,5.122238206e+00,5.033921204e+01,6.302411744e+01,7.344722032e+01,1.154053039e+01,2.702682150e+01,8.377056729e+01,5.454637112e+00
2.662059636e+01,7.732951395e+01,4.230731163e+00,9.016143639e+01,5.994764424e+01,5.953930739e+01,8.115937070e+01,2.168357182e+01,1.982816522e+01,9.005767179e+01,8.990040203e+01,8.407542448e+01,3.767284466e+01,1.765474831e+00,8.671387658e+01,4.954660352e+01,6.727135008e+01,2.847125140e+01,1.644424976e+01,8.457243510e+01,4.692243538e+01,5.553874764e+01,6.102497414e+01,1.022133498e+01,2.918170336e+00,3.910965115e+01,1.488842741e+01,4.656176064e+01,6.090475723e+01,4.244879112e+01,6.294787276e+01,1.740326723e+01,4.158335521e+01,7.563825809e+01
7.504569787e+01,3.933871335e+01,1.458576344e+01,2.422881345e+01,8.085804848e+01,4.326955114e+00,1.647961712e+01,8.601751829e+00,7.653416085e+01,2.474959998e+01,4.770871050e+01,2.125303033e+01,9.070471022e+01,9.840383987e+01,4.319432725e+01,7.517185715e+00,8.754442613e+01,5.825752362e+01,3.033076410e+01,8.869460226e+00,6.309751197e+01,5.517755937e+01,4.277925309e+01,3.644625604e+01,5.454442071e+01,2.946968036e+01,4.665331211e+01,6.057035714e+00,9.668549358e+01,6.345742680e+01,3.953189806e+01,8.016719451e+01,8.946766831e+01,9.739356644e+01
8.824559489e+01,4.723523162e+01,2.097456338e+00,3.066409130e+01,7.146640513e+01,8.666489933e+01,2.376824786e+01,9.437206831e+01,9.071290323e+01,8.649420085e+01,5.967460959e+01,8.093805578e+01,4.531284409e+01,6.841571820e+01,6.321796231e+01,2.208659095e+01,3.122887104e+01,3.857252563e+01,7.814841259e+01,7.797090286e+01,1.965064666e+01,6.676158276e+01,8.554082212e+00,4.433686611e+01,2.726037274e+01,7.171417672e+01,6.015500091e+01,7.410344926e+01,2.498510858e+01,9.153333922e+00,4.681820808e+01,6.141119613e+01,1.947390974e+01,5.057067902e+01
8.308001177e+01,4.808646173e+00,8.481559297e+01,1.952324990e+01,8.059085447e-01,4.430700604e+00,1.353694931e+01,9.487856464e+00,7.938350290e+01,8.914080626e+01,5.227648815e+01,2.490931954e+01,2.063450093e+01,9.952268727e+00,1.248742624e+01,7.619578889e+01,6.157480141e+01,5.867876903e+01,3.410003580e+01,4.622676257e+00,5.524835412e+01,7.829591745e+01,2.547489702e+01,5.389468585e+01,3.232667377e+01,5.733636147e+01,9.184071784e+01,9.353593666e+01,5.335458589e+01,9.727478280e+01,9.549004398e+01,7.233811823e+01,5.978918079e+01,7.643126181e+01
2.800702702e+01,3.733772356e+01,4.426815023e+01,4.734371204e+01,6.712781492e+00,4.051311673e+01,5.483818384e+00,5.020781270e+01,6.157083556e+00,4.343662021e+01,8.766111044e+01,5.296983803e+01,3.208055813e+01,5.085775218e+01,5.379285374e+00,2.048094943e+01,6.649217806e+01,5.571408657e+01,2.022170871e+01,7.154293544e+01,6.191744926e+01,3.921975942e+01,8.556311032e+01,1.203458703e+01,7.198188399e+01,9.070895557e+01,6.337685206e+01,8.175654817e+01,8.913971947e+01,6.958442045e+01,6.339597158e+01,9.123557188e+01,5.703097037e+01,5.644949471e+01
1.486922998e+01,4.090210143e+00,1.617145418e+01,8.045648771e+01,8.896410912e+01,5.541990933e+01,7.579512506e+00,5.869765249e+01,7.207202298e+01,3.568123604e+01,4.115302600e+01,5.733259446e+01,3.027985844e+01,1.412786890e+01,6.348445682e-01,1.470602697e+01,7.745300516e+00,5.158677017e+01,4.152540908e+01,5.283800353e+01,2.758108679e+01,3.137281516e+01,4.151434013e+01,7.599678522e+00,9.315606842e+01,4.135298659e+01,6.164598381e+01,7.333075509e+01,5.329768415e+00,9.283077696e+01,2.027970488e+01,9.473877400e+01,6.934255082e+01,7.910075774e+01
