v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35
5.718772621e+01,3.271821616e+01,6.514397217e+01,6.984546717e+01,2.126949406e+01,6.823947000e+01,4.752026807e+01,6.169936816e+01,6.391900817e+01,7.328329690e+01,4.448602172e+00,5.859414832e+01,1.919501677e+01,6.532422301e+01,5.426948208e+01,3.297881573e+01,2.974191674e+01,5.952921723e+01,2.347896736e+01,4.565672548e+01,2.854898208e+01,9.002453741e+01,9.002839098e+01,1.278706988e+01,8.771415929e+01,7.466130618e+01,7.636932669e+01,8.509516864e+01,6.553158554e+01,1.158296699e+00,5.967477481e+01,6.599880474e+00,3.424939831e+01,8.251620774e+01,4.707689168e+00
5.968082044e+01,4.702695149e+01,2.513397175e+01,8.490986887e+01,5.448495811e+01,4.397044501e+01,6.045641160e+01,5.940164923e+01,2.829295039e+01,9.107489139e+00,1.632416766e+01,6.429944488e+01,4.683272991e+01,2.787857272e+01,8.885505304e+00,3.472475756e+01,6.440991547e+01,2.977394243e+00,8.809310795e+01,1.361538784e+01,7.369519146e+01,8.691987244e+01,4.294240048e+01,5.653268211e+01,6.711468191e+01,2.216614954e+01,5.882997691e+01,1.410565697e+01,7.156035750e+01,8.250139951e+01,7.151649511e+01,4.220287044e+01,8.619199031e+01,5.789610575e+01,5.848929205e+01
7.876829144e+01,8.026216986e+01,1.256437004e+01,3.162301924e+01,2.512649094e+01,4.363589762e+01,7.958005516e+01,3.933161889e+01,2.128342559e+01,9.704471887e+01,6.338150264e+01,5.940171074e+01,6.690203915e+01,5.614030072e+00,8.088348218e+01,9.072977739e+01,6.761834200e+01,1.113524082e+00,5.393182140e+01,4.658686939e+01,1.021620938e+01,6.228295729e+01,7.793780931e+01,8.535143262e+01,5.231221027e+00,9.055744930e+01,3.578672713e+00,1.981475343e+01,3.144418083e+01,4.394485927e+01,2.793825675e+00,5.051239359e+01,3.684910012e+01,8.915679743e+01,6.035004361e+01
1.992199393e+00,1.799639625e+01,5.762489907e+00,8.824827364e+00,7.923418426e+01,4.248421997e+01,8.031746055e+01,7.419889801e+01,7.300209912e+01,1.916682534e+01,5.212038025e+01,2.417020735e+01,5.575384952e+01,9.546146594e+01,4.127439327e+01,1.651769541e+00,2.849812845e+01,8.955427290e+01,5.594180291e+01,4.629277262e+01,1.926121906e+00,9.325974160e+01,2.057756659e+01,9.787518149e+01,9.114202443e+01,5.757958821e+01,4.539488766e+01,2.327631121e+01,8.173142077e+01,1.191764853e+01,5.082624319e+01,7.257686615e+01,1.286181371e+01,6.685986419e+01,7.988121246e+01
9.633392266e+01,6.362443861e+01,7.218170554e+01,5.379784140e+01,9.995816856e+01,7.613700179e+00,9.494345001e+01,3.015833726e+01,4.217949210e+00,3.487356798e+00,2.958422182e-02,1.367162582e+01,8.944300402e+01,9.683829672e+01,8.487703747e+01,4.191749927e+01,3.156522195e+01,4.197594172e+01,4.048439054e+00,6.546087065e+01,4.718454583e+01,3.125987134e+01,9.641689893e+01,5.992762710e+01,1.131970013e+01,5.734189526e+01,9.720697926e+01,9.793082020e+01,9.645938507e+01,7.309888295e+01,5.214150432e+01,7.975400066e+01,6.494189362e+01,6.588562040e+00,4.123283438e+01
5.033239502e+01,2.793417189e+01,8.003131106e+01,6.721537048e+01,2.602430129e+01,7.488182069e+00,7.594246265e+00,7.587417177e+01,1.041369754e+01,4.393278655e+01,5.495874468e+01,4.571767194e+01,5.828714430e+01,1.788167372e+01,5.936006150e+01,1.474838185e+01,7.652063137e+01,9.478033923e+00,5.470409911e+00,1.733627925e+00,8.891411479e+01,6.410355005e+01,7.280853965e+00,5.452309100e+00,2.975605203e+01,2.083930101e+01,8.306060560e+00,7.177693003e+01,6.640324688e+01,1.355456942e+01,1.430341277e+00,9.086029841e+01,3.207010997e+01,1.471168810e+01,4.053085382e+01
6.828114664e+01,8.486268422e+01,9.411125012e+01,5.696271840e+01,3.065633647e+01,1.648980603e+01,1.479528968e+01,3.032717055e+01,6.822489976e+01,3.920119100e+01,1.749237082e+01,1.056210542e+01,7.017240231e+01,3.489561058e+01,6.154503961e+01,6.055700402e+01,9.877460990e+01,6.574511902e+00,8.933001266e+01,8.795496181e+01,5.217451677e+01,2.634155639e+01,2.089626729e+01,4.902938977e+01,7.856612028e+01,3.057531858e+01,9.079365442e+01,8.210895342e+01,3.944434141e+01,9.488601129e+01,4.569744121e+01,5.039223752e+01,3.548685318e+00,3.752475343e+01,8.611022485e+01
1.038407767e+01,3.669767077e+01,3.202355691e+01,9.878354372e+01,5.174487780e+01,9.948256771e+00,9.241123390e+01,8.440814141e+00,8.398497272e+00,1.804676620e+00,1.237567221e+01,5.585951733e+01,3.320591034e+01,1.877220600e+01,8.304940159e+01,8.397113877e+01,7.916028023e+01,6.881787648e+01,5.515266242e+00,2.673219670e+01,5.101045125e+01,9.377945658e+01,3.314567034e+01,3.591873476e+01,6.078714113e+00,4.244952590e+01,1.462852349e+01,7.804215566e+01,5.779636062e+01,2.826749509e+01,1.901701463e+01,3.247084454e+00,6.754339909e+01,4.542958915e+01,4.074367916e+01
2.088906512e+01,2.720775977e+01,3.096579163e+01,2.596629497e+00,1.357905848e+01,8.829096933e+01,8.654655721e+01,1.645540879e+01,9.977731865e+01,3.096278880e+01,5.625099528e+01,2.704871902e+01,5.710466412e+01,4.423780105e+00,9.709661921e+01,4.984983400e+01,4.408093086e+01,7.907395682e+00,7.513666405e+01,8.064242089e+01,2.988256830e+01,8.195318855e+01,6.628414562e+01,4.117102830e+01,9.131695019e+01,5.553161145e+01,6.989498793e+01,7.834242457e+01,6.419623946e+01,1.348372822e+01,9.322477696e+01,3.050395116e+00,1.998605352e+01,2.374889122e+01,3.162459011e+01
9.326273417e+01,4.602087896e+01,2.367603024e+01,9.687008376e+01,5.914289019e+00,2.634413891e+01,8.196490233e+01,4.385803872e+01,7.365815849e-01,9.009976830e+01,1.644349524e+01,5.747367265e+00,4.882678900e+01,5.678700455e+01,8.982757138e+01,5.364314307e+01,3.067552611e+01,7.949557069e+01,3.900537968e+00,6.187850262e+01,6.753074848e+01,3.450677799e+00,1.881134220e+01,1.375657678e+01,5.737996234e+01,8.542871351e+01,8.801940205e+01,3.809748697e+01,3.724403193e+01,9.660027342e+01,7.508740522e+01,2.478627893e+01,8.167201334e+01,3.232877556e+01,2.590759997e+01
9.941426445e+01,7.392819908e+01,9.385315488e+01,4.631033488e+01,5.318209417e+01,3.192707030e+01,8.907668473e+00,9.834286093e+01,6.870069082e+01,4.412076425e+01,9.528548192e+01,9.034320947e+01,5.786480157e+01,6.493180866e+01,6.495973092e+01,6.447930973e+01,1.212186551e+01,4.338644836e+01,3.615830251e+01,8.567711825e+01,9.240976175e+01,8.060905049e+01,9.355536945e+01,3.160663595e+00,8.547568840e+01,7.569499635e+01,3.973182491e+00,6.743945038e+01,2.186571480e+01,7.425135187e+01,1.589650263e+01,3.402427481e+01,1.797862990e+01,5.361783390e+01,1.067228783e+01
3.907183632e+01,5.168989724e+01,1.014570001e+01,5.451407291e+01,3.936211221e+01,4.564715593e+00,1.897712851e+01,9.439759166e+01,7.280322273e+01,3.551607285e+01,3.645325458e+01,9.003795031e+01,3.805583540e+01,3.954874764e+01,1.524847546e+01,9.136331344e+01,9.248662534e+01,2.879346286e+01,3.055855688e+01,7.035221890e+01,2.227342588e+01,1.645191338e+01,9.964807317e+01,7.526809679e+01,2.754526868e+01,8.376078854e+01,8.258314869e+01,3.915417500e+01,2.451319658e+01,4.770736805e+01,9.535460608e+01,8.819274355e+01,6.146813909e+01,6.674239924e+01,2.613863570e+00
7.500504509e+01,2.956149610e+01,2.849728357e+01,2.936918263e+01,5.798177757e+01,6.490008696e+01,9.460025932e+01,3.025880894e+01,2.138030660e+00,7.897171321e+01,9.662268212e+01,1.201184595e+00,5.132180756e+01,2.548032788e+01,7.016674295e+01,4.651429668e+01,3.850828975e+01,8.646216791e+01,4.264809048e+01,6.421886824e+01,8.846822358e+01,5.566048418e+00,2.316873039e+01,4.618357559e+01,1.312575481e+01,7.056386879e+01,1.886935948e+01,5.769191989e+01,1.562380084e+01,1.708984316e+01,4.985806133e+01,6.153500384e+00,9.901612912e+01,5.345884909e+01,3.401379541e+01
8.817274730e+01,7.646782452e+01,7.098710604e+01,4.781699793e+01,1.196394074e+01,4.950097005e+01,7.686228239e+01,7.083084596e+00,2.225743361e+01,1.609829732e+01,4.701607735e+01,1.498437347e+00,4.805476616e+01,5.731496127e+01,4.036589839e+01,1.008779235e+01,9.569563235e+01,5.414385320e+01,2.766546577e+01,4.723256993e+00,7.627981062e+01,8.025468423e+01,6.035257922e-01,4.236146835e+01,6.029973957e+01,5.995953445e+01,5.685606884e+01,7.428295985e+01,7.016677071e+01,7.910107892e+01,9.098991659e+01,6.388131266e+01,7.271070413e+01,5.842361058e+01,9.760717865e+00
3.940890785e+01,3.464562815e+01,4.578490318e+01,1.096076016e+01,2.627519541e+01,2.602729525e+01,1.560253173e+01,1.507315006e+01,2.137800314e+01,7.091218918e+01,4.533879992e+00,3.336325552e+00,4.164083678e+01,2.282757608e+01,7.743633162e+01,9.944544945e+01,4.072705686e+01,1.644538730e+01,8.140680793e+01,4.357904436e+01,4.474049149e+01,4.833811641e+01,1.794417557e+01,2.953894860e+01,6.192618465e+01,7.804921375e+01,7.270107962e+01,2.855563136e+01,8.729114876e+01,2.890782975e+01,2.422146510e+00,3.287017605e+01,6.787641748e+01,9.555354014e+01,5.183393371e+01
9.696516802e+01,1.486476977e+01,5.902743256e+01,6.027407738e+00,3.703472096e+01,9.404228322e+01,8.765493801e+01,1.983059574e+01,2.176269967e+01,7.252535057e+01,4.219298197e+01,7.677207221e+01,1.437974121e+01,7.354621247e+01,8.099991892e+00,1.852162409e+01,2.265559800e+01,9.776212307e+01,7.095671317e+01,9.265104502e+01,8.496220015e+01,5.156269103e+01,3.704248057e+01,3.927173271e+01,9.471917847e+00,6.998824996e+01,5.834832760e+01,2.930355892e+00,5.904705697e+01,2.607518081e+01,1.028366157e+01,7.746521163e+01,5.313525062e+01,4.992907513e+01,9.209130091e+01
6.319076760e+01,5.505505807e+01,7.905651992e+00,1.078192765e+01,8.912509712e+01,3.241635916e+01,1.550872081e-01,5.178459671e+00,3.944468030e+01,6.966490537e+01,3.655140665e+01,9.558888552e+01,2.274454587e+00,3.570870133e+01,9.571373142e+01,9.377841397e+01,1.276447911e+01,1.948380988e+01,1.386848508e+01,2.547063515e+01,8.115432063e+01,5.614508720e+00,6.381313482e+01,7.712439656e+01,6.179497661e+01,7.009271990e+01,2.533580302e+01,7.637992030e+01,7.437546315e+01,5.287924997e+01,3.858919182e+01,1.122270612e+01,4.078573870e+01,8.061419110e+01,3.190061245e+01
3.637922798e+01,9.433911514e+01,2.286806009e+00,5.512126947e+01,4.653908354e+01,9.381694933e+01,9.392347872e+01,2.369984351e+01,7.966262469e+01,5.237145046e+01,3.573441722e+01,4.231987165e+01,4.087674842e+01,3.638396092e+01,8.802704389e+01,7.690668453e+00,8.968167355e+01,1.516107606e+01,1.388431155e+00,2.402972100e+01,5.019332544e-01,5.658812167e+01,4.370567130e+01,2.343576191e+01,7.697447512e+01,7.746347621e+01,6.629076960e+01,9.658910909e+01,6.053647868e+01,9.322545601e+01,4.495476792e+01,8.715268158e+01,4.287643347e+01,5.082342745e+01,4.011734707e+01
3.431969950e+01,8.396177024e+00,3.902967992e+01,6.333603547e+01,1.947193122e+01,6.845970232e+01,9.427350011e+01,9.374834102e+01,9.231627106e+01,5.761924817e+00,2.130148241e+01,5.167037559e+01,1.861522022e+01,8.568911293e+01,8.019991388e+01,2.834123277e+00,7.161793920e+01,2.828765601e+01,3.283931968e+01,6.388216104e+01,2.963525834e+01,9.160812820e+01,9.956965654e+01,8.517496971e+01,8.758114964e+01,1.155682691e+00,8.457105294e+01,2.904526479e+01,3.858220480e+01,4.846325088e+01,5.376849329e+00,1.429938017e+00,5.719556237e+01,2.808069403e+01,9.038177798e+01
2.692590119e+01,1.732540590e+01,8.737465702e+01,7.187390154e+01,2.178149060e+01,9.485935765e+01,5.276509001e+00,4.972111220e+01,1.463071988e+01,2.273675873e+00,9.348561940e+01,4.738359893e+01,7.631786512e+01,7.848743267e+01,1.322025863e+01,2.170261637e+01,4.796462758e+01,6.920389528e+01,4.710005625e+01,7.991529523e+01,4.989884005e+01,4.781305532e+01,5.515295899e+01,4.378909485e+01,3.514203452e+01,4.589491590e+01,4.371111438e+01,2.810017522e+01,4.422670344e+01,9.078127153e+01,6.925803756e+01,7.195628727e+01,8.608822691e+01,3.314923641e+01,7.613655435e+01
6.495912145e+00,1.452124380e+01,3.560316685e+01,3.514914672e+00,6.336563552e+01,5.953518281e+01,3.687804849e+01,4.690235718e+01,8.196193287e+00,8.982044017e+01,5.939369574e+01,2.571327642e+01,9.245409828e+01,9.115018186e+01,7.677877572e+01,8.846761669e+00,5.050829954e+01,4.101417907e+01,6.469420118e+01,1.630048085e+01,1.418919321e+01,8.639919494e+01,4.621334571e+01,5.036468162e+01,9.601262447e+01,2.461145218e+00,6.283427646e+01,8.964859195e+01,8.787408165e+01,8.734984869e+01,6.338212413e+01,6.922820158e+01,6.662119432e+00,8.312166936e+01,2.929562295e+01
8.521430739e+01,2.017321158e+01,3.174356384e+01,7.497064743e+01,7.309905821e+01,4.543049460e+01,6.878937268e+01,1.755027495e+01,2.812315093e+01,6.470013877e+01,1.455235549e+01,4.968626148e+01,7.021408791e+01,9.080789067e+01,2.377205941e+01,5.811617240e+00,1.547148547e+01,4.993665403e+01,8.183784596e+01,8.908318405e+01,7.391557594e+01,4.389700279e+01,2.490481374e+01,7.325511909e+01,7.126364953e+01,3.367190044e+01,7.705848460e+00,4.896910680e+01,7.208413815e+01,4.110879781e+01,3.955037209e+01,2.932994588e+01,8.545278491e+01,4.173419197e+00,5.680287613e+01
4.934672595e+01,6.663974431e+01,2.228887487e+01,6.994639437e+01,3.224327636e+01,5.506596595e+01,9.814449792e+01,2.768966729e+01,1.889280353e+01,4.174498615e+01,8.119030802e+01,4.781351904e+01,3.991268798e+01,4.811795095e+01,6.872429681e+01,2.527939365e+01,9.063405187e+01,8.413183567e+01,6.835091400e+01,6.458072024e+01,4.926553661e+00,7.537848391e+01,2.658249843e-02,2.707778152e+01,1.395486237e+01,2.008178977e+01,5.036936282e+01,8.559392407e+01,5.600508568e+01,5.938829328e+00,4.976481482e+01,4.982773597e+01,3.070295354e+01,6.050996568e+01,1.003366826e+01
7.919722021e+01,6.901876145e+01,1.097535069e+01,1.658056562e+01,5.472372618e+00,8.972244831e+01,7.588613267e+01,7.167308208e+01,7.549815102e+01,2.750752739e+01,2.083934528e+01,6.253414592e+01,6.473445197e+01,7.846590316e+00,2.895026190e+01,6.956003863e+01,7.278365279e+01,5.774257032e+01,2.318721957e+01,6.003526355e+00,3.494708146e+01,9.503580080e+01,8.193304413e+01,6.546350572e+01,6.747154528e+01,8.623900898e+00,5.335348265e+01,2.095694121e+01,3.419237743e+01,5.553382797e+01,5.879913121e+01,4.767224435e+01,4.491604736e+01,8.051804558e+01,6.080878048e+01
