v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36
9.788036328e+01,7.326043814e+01,6.144734663e+01,8.286142095e+01,3.493336595e+00,1.883331589e+01,7.653093757e+01,3.379213656e+00,4.526801008e+01,3.704868788e+01,4.494946484e+01,8.299169964e+00,6.321588839e+01,6.867561527e+01,6.141246030e+01,2.520409003e+01,6.967220484e+01,3.348489258e+01,7.197319882e+01,5.915338852e+01,1.053873562e+01,4.821811919e+01,6.811825041e+01,9.522257008e+01,5.130712820e+00,6.758089281e+00,9.961110489e+01,2.559024300e+01,7.543397302e+01,1.312871233e+01,7.530136479e+01,3.530282287e+01,4.932002026e+01,2.460022855e+01,9.520084730e+01,1.101279553e+01
5.430900090e+01,5.125341193e+01,6.572589038e+01,9.677476695e+01,6.789697758e+01,1.061892123e+01,9.407021960e+01,9.045233550e+01,3.851609325e+01,4.067634430e+01,2.836128625e+01,6.592652235e+01,5.349508009e+01,7.715650912e+01,7.258164780e+01,5.981454181e+01,9.857744385e+01,2.370538471e+01,9.423690820e+01,5.600436316e+00,5.436810657e+01,7.252739006e+01,7.516490435e+01,4.083285423e+01,7.879055573e+00,2.446924987e+01,5.022568276e+01,6.975031149e+01,6.008046091e+01,5.997570852e+01,1.917602881e+01,2.700946032e+01,1.081173082e+01,6.328570856e+01,2.031648112e+01,8.293414950e+01
1.811221912e+01,3.638652615e+01,4.589610121e+00,1.135622435e+01,7.050806838e+01,1.913221958e+01,4.254715974e+01,2.882029455e+01,1.459626065e+01,8.590443810e+01,4.951520388e+01,1.564174230e+01,2.555501629e+01,2.224328829e+01,3.790287483e+01,8.216390144e+01,3.886575810e+01,3.462622183e+00,5.523540447e+01,6.308807727e+01,1.370415909e+01,9.476651237e+01,6.345848029e+01,9.774222430e+01,1.342106947e+00,5.051389060e+01,3.489906458e+01,4.236061757e+01,4.895096248e+01,3.610641815e+01,3.978778703e+01,4.591381680e+01,2.148251301e+01,4.553201797e+01,5.387714322e+01,4.806270228e+01
8.920254388e+01,6.746298199e+01,1.097772343e+00,7.328286693e+01,1.509338995e+01,4.237638959e+01,5.234918326e+01,6.647163999e+01,2.350089891e+01,3.907223115e+01,2.189924279e+01,9.708867093e+01,7.039899023e+01,5.890072798e+01,2.136226326e+01,1.056222472e+01,3.373030504e+01,7.194111357e+01,1.123085699e+01,7.382830288e+01,6.082796883e+01,1.592293284e+01,7.597195034e+01,3.292199015e+01,6.244475466e+01,8.375085317e+00,6.615054358e+01,5.740433254e+01,6.799365251e+01,3.912558986e+01,3.893930009e+01,4.064986514e+01,7.446057966e+01,6.513492544e+01,6.750311710e+01,4.062086714e+01
2.459822505e+01,7.771290401e+01,7.616734091e+01,4.782132703e+01,8.631602248e+01,7.951181456e+00,1.892756063e+01,7.037155688e+01,5.834356481e+01,6.367664283e+01,3.970462439e+00,3.961760608e+01,5.120335121e+01,6.541285043e+01,5.466381329e+01,6.993161651e+01,3.709969041e+01,6.063351098e+01,3.089445759e+01,4.210245115e+01,3.019755474e+01,2.833821535e+01,6.203054238e+01,1.679484972e+01,6.070375539e+01,5.595907240e+01,1.521777385e+01,3.299180188e+01,5.197993328e+01,8.333147892e+01,5.884980715e+01,2.017815831e+00,6.480730713e+01,4.615272467e+01,1.414548633e+01,8.686541939e+01
6.239148200e+01,8.666971689e+01,6.123683254e+01,5.251829990e+01,8.518406159e+01,4.680095986e+01,8.361595379e+01,1.234013975e+01,8.533648398e+01,2.273125919e+01,6.634033911e+01,7.480720788e+01,6.680487380e+01,7.902274964e+01,7.797360004e+01,5.541442216e+01,3.023202771e+01,4.359301288e+01,3.140421490e+01,7.251671486e+01,7.951833193e+01,5.099512598e+01,5.589776009e+01,5.643112606e+01,3.331657302e+01,9.550320718e+01,8.187908446e+01,7.402279716e+01,5.675075307e+01,2.790884480e+01,1.969685312e+01,3.702702610e+01,9.034567652e+01,6.269923187e+01,5.722887423e+01,3.413796808e+01
7.585381942e+01,4.923335230e+01,3.766689728e+01,8.035271576e+01,7.229361489e+01,3.668824523e+01,2.983763602e+00,9.462135798e+01,3.886393783e+01,1.313078110e+01,9.149663159e+01,4.667146635e+01,3.891919848e+01,8.772688503e+01,9.868794388e+01,5.108019422e+01,5.669066886e+00,9.552020663e+01,1.054186428e+01,5.733166571e+01,8.883491287e+01,7.740756916e+01,9.930858748e+01,9.414241310e+01,3.012656840e+01,1.016439087e+01,1.601737323e+01,3.331732242e+01,2.677508456e+01,6.688069361e+01,8.090044891e-01,9.301706889e+01,7.482623744e+01,1.340493567e+01,6.889966787e+01,5.796080897e+01
7.023201626e+01,3.499510696e+01,3.633769680e+01,4.424263092e+01,2.641523557e+01,3.974528192e+01,9.190586034e+00,9.609953006e+01,2.463604459e+01,7.689248736e+01,1.792091460e+01,3.421552649e+01,2.532086753e+01,6.166022596e+00,1.480328343e+01,5.091348444e+01,8.461908845e+01,5.811563138e+01,3.512521057e+00,8.168427288e+01,7.661151678e+01,1.942308404e+00,2.750114428e+01,7.150409445e-01,6.689945088e+01,9.717956165e+01,7.778317714e+01,2.178367084e+01,1.816245693e+01,8.698989850e+01,5.225992888e+01,4.446995968e+01,2.425008578e+01,7.918540892e+01,2.863145576e+01,3.891019129e+01
4.827043363e+01,9.032109289e+00,4.283091809e+01,8.365847778e+01,2.231819561e+01,4.049847586e+00,9.743902109e+01,4.531006000e+01,7.840179760e+00,8.560656490e-01,4.480860977e+00,3.275635547e+01,9.096659344e+01,6.407913147e+00,8.653578739e+01,8.000780982e+01,1.043389445e+01,6.764200120e+01,8.759172242e+01,4.977581091e+01,8.294451079e+01,8.511711877e+01,3.170572356e+01,4.765914539e+01,6.562056599e+01,4.318615896e+01,4.925793406e+01,5.855814792e+00,2.650142426e+01,8.152687726e+01,3.465766717e+01,3.935908386e+01,7.068786014e+00,9.189211022e+01,1.354596791e+01,4.899053986e+01
3.144192140e+01,9.042321634e+01,3.782670019e+01,4.804430754e+01,8.881754870e+00,5.185799423e+01,1.020554134e+01,7.639251948e+00,7.856508879e+01,9.580031209e+01,7.085750276e+00,5.114555925e+01,6.126464564e+01,9.224066673e+01,5.792346587e+01,5.902905084e+01,6.857606882e+01,5.889985314e+01,5.311923341e+01,2.605080369e+01,1.552811327e+01,1.694990607e+01,8.078479165e+01,3.017489378e+00,1.595742513e+01,1.297651756e+01,3.293683907e+01,7.574967038e+01,2.257401710e+01,8.555534865e+01,4.738827227e+01,2.740624385e+01,3.609609728e+01,1.089344422e+01,3.703343463e+01,1.533307109e+01
