v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37
1.037090534e+01,9.715574879e+01,7.759233566e+01,8.013950059e+01,8.480098766e+01,8.079920807e+01,4.914794088e+01,7.506175805e+01,9.872146938e+01,8.911376962e+00,8.760700576e+01,9.619855653e+01,6.322280938e+01,6.020967477e+01,5.040532565e+01,2.528960586e+01,8.287849900e+01,2.919663417e+00,2.456559789e+01,4.665622443e+01,6.978491189e+01,1.293548398e+01,7.447205037e+01,8.354686102e+01,7.572617519e+01,2.185812021e-01,5.100368318e+01,8.930422386e+01,4.508315807e+01,8.025381881e+01,7.920344906e+01,1.696409040e+01,5.375541708e+01,7.577619467e+01,6.395618217e+01,8.598965123e+01,8.957840272e+01
8.605593414e+01,1.323567490e+01,2.680527150e+01,8.455656033e+01,2.199114482e+01,1.516399529e+00,3.916121186e+01,1.323509256e+01,2.250988504e+01,9.576055930e+01,1.253091887e+01,2.467281076e+01,4.787150802e+01,8.456112812e+01,5.269415244e+01,3.261936504e+01,5.961356077e+01,4.428811894e-01,3.776884255e+01,3.521151493e+01,2.605778475e+01,9.457332565e+01,5.832606806e+01,3.510157034e+01,1.171389830e+01,2.086876625e+01,4.740299404e+01,3.660396618e+01,3.752098712e+01,2.110700485e+01,3.674112070e+01,7.233469508e+00,6.523475837e+01,4.058658559e+01,4.240912853e+01,5.556845799e+01,5.029139208e+01
7.046001752e+00,8.130107381e+01,6.391121978e+01,8.903006714e+01,3.758998948e+01,3.353783966e+01,7.072000106e+01,9.187130071e+00,2.600493315e+01,4.679124728e+01,5.184219360e+01,1.734569346e+01,6.978285795e+00,2.785217395e+01,3.154066664e+01,7.087778242e+00,8.946622628e+01,7.119872177e+01,4.014488608e+01,4.271426620e+01,9.751954210e+01,7.015348768e+01,7.477232929e+01,2.074178895e+01,2.627822156e+01,2.825396935e+01,1.542698999e+01,5.133943095e+01,2.161545999e+01,7.181842669e+01,7.515014606e+00,9.962758691e+01,1.323573090e+01,9.710272439e+01,8.997034536e+01,2.127297893e+01,6.670391487e+01
5.637715388e+01,4.184457192e+01,8.417164947e+01,5.154484141e+01,5.813475687e+01,6.833934159e+01,5.284302778e+01,6.725138693e+00,2.972756831e+01,1.469171010e+01,9.971645065e+01,3.810695703e+01,6.116118273e+01,1.011941544e+01,1.299467447e+01,9.802617787e+01,4.459297448e+01,5.036012773e+01,1.335042929e+01,8.102211915e+01,1.459560602e+01,9.120547889e+01,4.346984064e+01,2.500843919e+01,2.425576303e+01,3.009037734e+01,9.648675289e+00,2.611250419e+01,8.020975898e+01,2.500973344e+01,5.347469170e+01,2.394877270e+01,7.648585548e+01,3.081001953e+01,2.717712474e+01,3.086394645e+01,3.801954096e+01
3.497073442e+01,5.113759429e+01,3.291212906e+01,4.611624115e+01,6.325659602e+01,3.164202959e+00,7.085851721e+01,3.806052967e+01,6.255363678e+01,2.090773958e+01,1.451104796e+01,1.085910666e+01,2.155423270e+01,1.470429472e+01,7.899713270e+01,6.760540441e+01,1.525752544e+01,5.344443366e+01,4.869065004e+01,3.035233751e+01,9.148242027e+01,9.031712821e+00,2.785559393e+01,8.637116575e-01,6.198610040e+00,6.527677810e+01,2.751217861e+01,7.351330688e+01,5.244381236e+01,4.451675451e+01,8.983892697e+01,2.111065171e+01,4.056756019e+00,4.255496699e+01,9.782319966e+01,2.239222025e+01,8.662480901e+01
8.441194853e+01,1.926419015e+01,9.100122828e+01,7.828926423e+01,5.664131940e+01,9.359747161e+01,1.399594526e+01,9.557745334e+01,8.350048316e+01,8.729616543e+01,3.944105216e+01,9.387980721e+01,5.492637939e+01,3.029162189e+01,5.362790467e+01,9.681766082e+01,2.424821406e+01,8.439816334e+01,7.968097057e+01,9.219210717e+01,8.663313387e+01,7.065223805e+01,1.514665148e+01,3.732523581e+01,1.838670659e+01,6.954602174e+01,7.854933569e+01,6.382779696e+01,8.666853670e+01,9.387833810e+01,1.440602303e+01,5.589820204e+01,7.265343756e+00,4.649858794e+00,4.593495908e+00,5.929384343e+00,2.954640199e+00
1.933372762e+01,7.492381110e+01,9.840063839e+01,7.977085418e+01,3.346081937e+01,7.098181842e+01,6.979432046e+01,6.053099701e+01,3.914265179e+01,8.118010175e+01,3.926281375e+01,6.759869274e+01,2.372956747e+01,1.419408727e+01,1.705809153e+01,4.004210084e+01,4.759792081e+00,2.636011748e+01,1.039678044e+01,7.810790023e+01,1.374922972e+01,6.354899739e+01,4.714076578e+01,8.620687382e+01,4.981520178e+01,9.435533236e+01,6.845803466e+01,9.592943576e+01,1.533743578e+01,2.821180941e+00,2.175280806e+01,8.349566569e+01,1.867263923e+00,7.912602688e+01,5.992553812e+00,9.039657106e+00,2.998644390e+01
5.500493407e+01,4.613537107e+01,4.537049249e+00,2.860923489e+00,9.290703892e+01,1.135613844e+00,2.690414071e+01,3.524772475e+01,2.705437725e+01,9.160856540e+01,9.508554852e+01,4.593277442e+01,2.896606808e+01,8.426083071e+00,8.439623087e+01,3.531198690e+01,2.975585260e+01,7.955829094e+01,3.819628285e+01,9.847876447e+01,2.854431481e+01,2.153268891e+01,7.282975994e+01,6.742714198e+00,8.589385140e+00,2.691963447e+01,8.649853826e+01,8.136617285e+01,4.926523929e+01,1.620004605e+01,8.567176705e+01,3.092132942e+01,2.052961655e+01,6.062252376e+01,5.655268414e+01,3.820903242e+01,4.469275270e+00
2.115696218e+01,9.721786685e+01,5.723301697e+01,2.949015676e+01,1.625398511e+01,1.981461044e+01,3.259895590e+01,4.138525531e+01,6.844371863e+01,2.479887573e+01,2.685265826e+01,7.808705823e+01,5.996955390e+01,8.943249189e+00,9.718519939e+01,8.910511222e+01,6.904937604e+01,4.426593371e+00,6.948653526e+01,4.682653364e+01,9.392523947e+01,8.493862479e+01,6.700368497e+01,3.219112696e+01,5.801761287e+01,6.189185732e+01,7.200056819e+01,1.891807361e+01,2.043905691e+00,5.890508510e+01,7.418110425e+00,9.483162646e+01,2.864958311e+01,5.817439652e+00,7.333075825e+01,2.674630555e+01,7.933546885e+01
1.468598473e+01,3.065222110e+00,8.199339842e+01,9.156883096e+00,8.898056974e+00,2.948876735e+01,3.399029237e+01,4.386896780e+01,1.750008365e+01,5.983663333e+01,2.160034190e+01,4.431090657e+01,2.685579598e+01,6.677171686e+01,6.971827638e+01,9.512416677e+01,7.800531925e+01,3.863668772e+01,6.656797609e+01,1.540358060e+01,1.137306447e+01,2.984351715e+01,6.118943630e+01,2.886916342e+01,8.998854588e+01,9.724860242e+01,8.552393292e+01,5.173280707e+01,3.188194138e+01,5.197323787e+01,3.162135946e+01,3.635977250e-01,3.996979879e+01,6.572443488e+01,2.462716418e+01,8.151768301e+00,9.362110532e+01
6.899544317e+01,1.841886903e+01,5.333954113e+01,4.076424937e+01,7.488662618e+01,5.682809427e+01,6.378941205e+00,2.364853114e+01,3.709829137e+01,8.615191232e+00,6.860850382e+01,5.402999105e+01,4.582055312e+01,4.344217747e+00,7.681458740e+01,3.095534246e+01,9.945646950e+01,7.635595959e+01,3.813684654e+00,2.521527826e+01,9.112401613e+01,2.135347505e+01,3.023719519e+01,8.745227201e+01,5.158138168e+01,2.907157912e+01,8.794633974e+01,2.269755833e+01,6.988413079e+01,4.934369778e+01,8.063234488e+01,3.707115928e+01,5.733149029e+01,3.543526147e+01,7.193304686e+01,3.859025538e+01,5.754712436e+01
4.712036358e+01,6.440977887e+01,3.381871340e+01,9.747996906e+01,3.618757229e+01,8.611993610e+01,3.767769426e+01,6.167143521e+01,3.259790406e+01,2.702768590e+01,7.642171689e+01,8.304029442e+01,6.699642382e+01,9.270197300e+01,4.708032007e+01,4.433087140e+01,9.382774208e+01,7.092185503e+01,1.859574375e+01,4.296484825e+01,2.652589723e+01,4.700761333e+01,6.677880823e+01,4.785466226e+01,1.225334951e+01,8.050737063e+01,4.716706880e+01,1.109576048e+01,8.263679360e+01,5.102566660e+01,3.570685510e+01,2.323570267e+01,4.250257758e+00,8.595500599e+00,5.718913318e+01,9.234435314e+01,2.895393898e+01
5.480459754e+01,2.051112340e+01,7.927975541e+01,4.517457938e+01,2.905942870e+01,4.356253312e+01,2.511071870e+01,5.615101808e+01,1.510386250e+01,9.210206253e+01,4.356759663e+01,9.844589459e+01,6.301309475e+01,2.752150920e+01,3.510116306e+01,3.351125934e+01,6.206572528e+01,5.180838415e+01,6.978835618e+01,6.398109808e+01,6.994847801e+01,9.900861397e+01,8.126994582e+01,4.584086025e+00,5.615673400e+01,5.190737031e+01,3.024134279e+01,1.176182144e+01,3.935617089e+01,1.178385664e+01,8.119655639e+01,9.184587126e+01,9.495891557e+00,1.563190987e+01,3.328157385e+01,9.088429364e+01,4.283942723e+01
8.858379508e+01,7.546879392e+01,5.687660492e+01,3.274357149e+01,2.483723494e+01,4.177183133e+01,5.449451477e+01,1.008348541e+01,1.418549356e+01,2.964535466e+01,8.842291953e+01,4.959406307e+01,4.968738028e+01,7.961880911e+01,8.995816608e+01,7.669930042e+01,5.958667237e+01,3.887166143e+01,3.552599131e+01,8.473159406e+00,3.466520152e+01,8.211159958e+01,3.648654462e+01,8.871867003e+00,3.116875996e+01,5.777343464e+01,2.335749917e+01,5.040348924e+01,9.935688162e+01,5.390917762e+01,2.995918134e+01,5.134126286e+01,1.744242449e+01,1.224631665e+01,6.967966917e+01,6.347182530e+01,6.097046484e+00
7.343475720e+01,1.427786603e+01,4.589468008e+01,9.075509907e+00,9.960144043e+01,1.018414973e+01,6.259530451e+01,7.324272409e+01,9.850523121e+01,3.340840476e+01,1.272836158e+01,8.455340352e+01,8.866054037e+01,8.622274458e+01,1.956899831e+01,7.473444254e+01,7.775578792e+01,1.430680480e+01,7.941435444e+01,3.248571878e+01,6.574646026e+01,9.793792836e+01,4.741925140e+01,1.418779244e+01,2.228073495e+01,4.980078063e+01,4.874187242e+00,2.316963443e+01,1.975631131e+01,4.624233697e+01,5.608629488e+01,4.039965573e+01,9.255804313e+01,7.258770381e+01,6.703351996e+01,7.320631567e+01,6.258919689e+01
