v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38
2.757238396e+01,2.288356143e+01,9.190072776e+00,9.194646680e+01,8.327526970e+01,7.542315398e+01,6.665680020e+01,2.840787746e+01,5.478169302e+01,3.799428490e+01,9.723417697e+01,6.636186080e+01,1.383815731e+01,4.417398506e+01,4.485099511e+01,7.550866102e+01,9.876913691e+01,2.238768875e+01,5.469126490e+01,7.275268620e+01,2.451892275e+01,4.554610662e+01,8.289331770e+01,9.853024427e+01,9.400179958e+00,1.181095207e+01,5.273268600e+01,3.996691947e+01,4.191648041e+01,7.277382786e+01,4.211531363e+01,1.876398029e+01,4.471411019e+01,8.896995201e+01,5.597026263e+01,8.895100023e+01,2.032699175e+00,2.789405408e+01
4.570234387e+01,5.508996285e+01,4.633012588e+01,4.028442223e+00,3.651210393e+01,9.293613022e+01,2.148621001e+01,1.162849508e+01,6.480150689e+01,3.536847743e+01,7.743507891e+00,1.552711200e+01,5.304984393e+01,9.094957278e+01,6.826965570e+01,7.707184307e+01,7.490022933e+01,8.485492849e+01,5.326875681e+01,6.719255389e+01,9.605718197e+01,2.543080288e+01,2.261749925e+00,9.746458953e+01,9.499110118e+01,4.991187865e+01,9.448413361e+01,9.870156537e+00,5.628170617e+01,5.478290301e+01,2.452587145e+01,3.222771884e+01,4.629115417e+01,4.760502288e+01,8.685260641e+01,3.736206166e+01,3.942070328e+01,7.931269393e+01
2.941319521e+01,3.007836962e+01,6.816853429e+01,5.498289099e+01,2.566761783e+01,2.306581730e+01,9.466155864e+01,7.574550118e+01,4.962868254e+01,9.624801737e+01,2.041945152e+01,7.093144527e+01,4.810004316e+01,1.180290435e+01,3.562877682e+01,6.189913837e+00,4.278420227e+01,4.140983883e+01,3.722848630e+01,2.196197861e+01,9.226920690e+01,8.056067550e+01,9.570689463e+01,2.978466175e+01,4.186996080e+01,3.900921711e+01,4.110756247e+01,6.722894605e+01,6.874810924e-01,6.001406823e+01,6.718872806e+01,2.754423465e+01,4.975502999e+01,2.425712153e+01,7.629173005e+01,2.040193349e+01,3.091747204e-01,7.303164848e+01
6.780219861e+01,4.556761401e+01,3.857139449e+00,8.878286346e+01,6.198427089e+01,7.349982643e-01,6.426320065e+01,7.537756919e+01,5.742333986e+01,4.657678693e+01,8.028045135e+01,6.706078489e+01,4.365555388e+01,8.446476752e+00,3.532730673e+01,9.661038216e+01,2.544143344e+01,6.586939169e+01,7.645678748e+01,2.495602427e+01,1.371102404e+01,5.422431587e+01,1.998079000e+01,9.089844584e+01,6.471399388e+01,9.880626994e+01,4.816616212e+01,7.000043760e+01,6.668436591e+00,1.783767045e+01,2.568504417e+01,1.124614141e+01,5.283036624e+01,5.866870375e+01,1.609720846e+01,2.696603037e+00,7.453827009e+01,8.412015138e+01
1.072557399e+01,4.510868480e+01,5.963825696e+00,5.387601990e+01,9.092538129e+01,8.090150989e+01,3.552776945e+01,8.832902443e+00,3.977737054e+01,3.279693729e+01,7.094845729e+01,9.814693476e+01,6.605701502e+01,2.096455288e+01,7.470779443e+01,5.632648608e+01,4.349153991e+01,4.860270547e+01,4.015168943e+01,4.425670718e+01,4.342668928e+01,2.404068453e+01,4.007307312e+00,8.948682354e+01,9.446025947e+01,2.470976008e+01,9.245076880e+01,9.971522945e+01,9.492521074e+01,3.250668490e+01,6.498433775e+01,5.802783626e+01,2.971643596e+01,9.994804980e+01,9.165805364e+01,7.918945207e-01,4.149599148e+01,3.275043639e+01
4.163879458e+01,1.692858036e+01,6.864753633e+01,3.736147095e+01,4.034265768e+01,8.691089339e+01,3.676794888e+01,8.633816507e+01,2.629172604e+01,5.358402398e+01,8.941103780e+00,9.546349229e+01,3.196435200e+01,6.632658941e+01,7.254028763e+01,8.707729581e+01,6.277268903e+01,2.367024299e+01,4.615555912e+01,7.997603263e+01,9.800362646e+01,5.969673006e+01,8.892911967e+00,7.034406900e+01,4.366427239e+01,2.357510736e+01,1.548524270e+01,3.910394702e+01,7.771725457e+01,4.098597751e+01,8.419762321e+01,1.786289408e+01,6.084840528e+01,1.278733794e+01,5.745800504e+01,4.744602902e+01,5.296338706e+01,8.100614334e+01
1.235413779e+01,9.038224605e+01,5.440790700e+01,1.990508731e+01,7.647792745e+01,1.815219972e+01,1.869089246e+01,9.062838686e+01,9.622818983e+00,2.076455509e+00,3.174294995e+01,9.927332082e+01,8.432933078e+01,3.034486065e+01,5.654416626e+01,9.409614926e+00,6.482101421e+01,4.529302069e+01,9.172483751e+01,8.047640309e+01,7.225951103e+01,3.745271980e+01,9.936568565e+01,8.891496655e+01,1.871101431e+01,2.500774119e+01,8.323162912e+01,7.123080145e+00,1.147792698e+01,9.017544567e+01,5.306768150e+01,7.609423866e+01,5.971675073e+00,9.231761677e+01,6.974217237e+01,4.414221658e+00,9.178732328e+01,9.196617702e+01
4.434353170e+01,6.554040493e+01,9.485078228e+01,2.669285415e+01,2.011746091e+01,1.053515814e+01,4.006072757e+01,5.752496388e+01,1.913215316e+01,4.724817178e+00,8.589183592e+01,2.923217582e+01,5.654987605e+01,3.877626206e+01,5.756987675e+01,8.919036670e+01,5.328763281e+01,6.928491508e+01,2.653493694e+01,2.013508633e+01,3.486282090e+01,2.244800626e+01,7.723375389e+01,8.221293651e+01,6.142595560e+01,8.895472846e+01,4.156536083e+01,6.650532656e+01,6.044359867e+01,6.479120404e+01,8.686566190e+01,8.533062116e+01,5.025925538e+01,7.642727404e+01,6.258590547e+01,1.873721959e+01,8.324090364e+01,3.863559838e+01
8.755908159e+01,6.005398640e+01,3.500927453e+01,4.989848808e+01,4.275952619e+01,8.821554047e+01,3.155746706e+01,4.658227409e+01,8.401122034e+01,2.995308723e+01,7.271183435e+00,3.081071701e+01,7.160953791e+01,7.120139358e+01,7.062374615e+01,2.393452890e+01,7.785538115e+01,5.802485959e+01,9.883506231e+01,4.779164726e+01,6.760969193e+01,3.095105740e+01,2.930366633e+01,9.317783925e+01,4.426819837e+01,5.639653393e+01,1.912391345e+00,9.231876088e+01,8.819917593e+01,3.483682015e+01,2.479288099e+01,2.045219585e+01,6.948356931e+01,3.803333454e+01,3.525150618e+00,8.351937441e+01,3.428843210e+01,8.564576029e+01
7.183608881e+01,5.309713387e+01,6.784751193e+01,2.823379813e+00,2.646983811e+01,1.828555606e+01,5.960317455e+01,3.016466790e+01,4.133907457e+01,3.100600609e+01,2.002585599e+01,2.125103037e+01,4.433934890e+01,6.545049842e+01,6.509994056e+01,3.398734886e+01,2.523955568e+01,6.686018700e+01,2.946280260e+01,3.820961682e+00,2.652595795e+01,4.671238635e+01,3.974034630e+01,8.326027924e+01,4.667854120e+01,5.375163213e+01,4.550503282e+01,5.031519268e+01,2.967265503e+01,2.492270136e+00,2.660647795e+01,6.465672308e+01,6.663571151e+01,7.529907492e+01,7.601385190e+00,1.425055700e+01,4.744556488e+01,9.599677091e+01
