v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39
4.040606709e+01,9.819782621e+01,8.917847139e+01,2.112079566e+00,1.591120473e+01,8.723501487e+01,5.603768449e+01,2.390140725e+01,1.134940068e+00,9.707053378e+01,4.930353602e+01,5.282665032e+01,1.507528370e+01,8.748219364e+01,4.461084592e+01,6.817959744e+01,6.666683997e+01,5.834861383e+01,7.429902361e+01,7.132145398e+01,1.428753138e+01,9.537888417e+01,4.768005834e+01,8.805717633e+01,2.714939123e+01,3.823911730e+01,8.869600348e+01,1.137069246e+01,1.669066072e+01,9.491501398e+01,6.898123188e+01,2.182396540e+01,5.227755054e+01,8.121671447e+01,7.140390972e+01,3.328168402e+01,1.833480808e+01,9.614931894e+01,2.982157643e+01
2.462637013e+01,7.569387637e+01,7.696242905e+01,4.444180463e+01,8.110006674e+01,5.459662404e+01,3.419404438e+01,2.115889942e+01,5.596221089e+01,6.876611056e+00,4.869869659e+00,7.005248712e+01,2.311080773e+01,8.109960521e+01,5.786794391e+01,9.516610021e+01,1.672984849e+01,1.433297924e+01,9.407894187e+01,8.702077311e+01,5.318048681e+01,6.393661280e+01,6.669579255e+01,5.438377121e+01,6.089388486e+01,4.054548323e+01,3.813575088e+01,2.332419918e+01,1.274065528e+01,6.287534218e+01,5.670466859e+00,2.580942000e+01,3.704880577e+01,9.276302472e+01,5.214836347e+01,7.916206471e+01,2.287265030e+01,6.528494115e-01,4.684626679e+01
7.546006429e+01,2.874406149e+01,9.216571890e+01,3.273915033e+01,1.467140432e+01,2.700854933e+01,1.955059399e+01,1.810391112e+01,1.423434404e+01,6.790203889e+01,9.906685049e+01,8.863108356e+01,1.622847955e+00,4.959638274e+01,8.359422011e+01,8.519031279e+01,4.624695222e+01,4.248631676e+01,2.994969522e+01,2.098983563e+01,7.215798061e+01,8.008943961e+01,7.410551044e+01,2.527517118e+01,3.796589924e+01,2.025891046e+01,1.380007309e+01,2.491731404e+01,2.479276749e+01,9.412739734e+01,9.266620330e+00,7.285640880e+01,9.354171066e+01,1.120871997e+01,6.133474038e+01,5.847263126e+01,2.655241487e+01,4.956271194e+01,9.709004208e+01
7.204837157e+01,3.122941090e+01,5.178013899e+01,6.066032390e+00,8.542933216e+01,3.754046597e+01,8.961624466e+01,5.407678087e+00,7.610174575e+01,5.574607864e+01,9.255859998e+00,9.263044600e+00,2.526888239e+01,2.680473147e+01,5.802674829e+01,9.140332667e+01,9.485307457e+01,5.094967634e+01,8.142075783e+00,7.819743518e+01,8.438055155e+01,3.567677405e+01,3.108289443e+01,9.863035979e+01,2.006537720e+01,9.891543946e+01,8.607054448e+01,3.924398775e+01,1.594255415e+01,2.109034450e+01,7.624197837e+01,6.248731205e+01,5.320382115e+01,3.370176077e+01,6.616891273e+01,9.223042912e+01,3.319258928e+01,8.242846337e+01,8.022224819e+01
2.826969218e+01,5.982487105e+01,5.477506735e+01,2.105574476e+01,2.817214666e+01,2.270558762e+01,4.086174997e+01,9.698761971e+01,1.963160762e+01,8.280765606e+01,3.895805545e+01,4.341267724e+01,6.397009552e+01,8.829770201e+01,7.878390624e+01,9.886462575e+01,2.176493951e+01,7.674322640e+01,8.381927554e+01,8.798340820e+01,1.970182777e+01,4.099739025e+01,4.323624398e+01,5.378384980e+01,9.600361890e+01,7.408174751e+01,6.805485106e+01,5.454502966e+01,9.456065996e+01,9.030499201e+01,6.135557121e+00,5.698772758e+01,5.930102069e+01,6.199817829e+01,8.905349409e+01,8.610191614e+01,5.670020619e+01,3.110083268e+01,9.744388526e+01
9.982014302e+01,9.711611437e+00,2.081455115e+01,6.763159076e+01,1.278948287e+01,2.682734368e+01,8.358107105e+01,5.645919470e+00,5.735868917e+01,9.287218653e+01,2.177323437e+00,7.365685165e+01,7.690431167e+01,7.128576331e+01,6.184240022e+01,3.563697170e+01,9.814415552e+00,9.583310569e+01,5.467063714e+01,7.821260805e+01,1.315231163e+01,4.023142842e+01,7.702899609e+01,8.878989329e+01,2.959066572e+01,4.327490656e+01,3.550669674e+01,7.108419751e+00,6.571034996e+01,2.059441854e+01,3.447313521e+01,6.980011913e+01,2.072226244e+01,5.018555907e+01,2.285077985e+01,7.862087950e+01,3.243363715e+00,8.643204519e+01,1.896951394e+01
6.060942927e+00,3.838856002e+01,4.816432469e+01,2.385867001e+01,5.576378823e+01,1.956236763e+01,6.081851301e+01,5.648025246e+01,3.495849798e+01,6.107048184e+01,2.894822006e+00,6.303575205e+01,9.455997400e+01,9.289854991e+01,2.333125768e+01,9.479848877e+01,2.449807224e+01,2.242551343e+01,6.433315285e+01,5.554900411e+01,5.766167646e+01,6.743828368e+01,8.794502384e+01,3.033849775e+01,4.035460296e+01,2.845347701e+00,3.252383717e+01,3.663895127e+01,8.383191862e+01,5.822701161e+01,1.820706820e+01,3.368834182e+01,8.837618312e+01,6.779406348e+01,6.729068835e+01,3.578615930e+01,8.645138129e+01,5.547918875e+01,9.698054458e+01
9.158393415e+01,9.129477175e+01,6.021050042e+01,1.856970960e+01,8.789629726e+00,3.732813421e+01,1.620017815e+01,7.080746993e+01,8.194231020e+01,8.460205431e+01,2.699576633e+01,9.945435633e+01,5.509799754e+01,9.570533969e+01,2.968902509e+01,5.649484158e+00,2.826590931e+01,7.100514775e+00,3.022213462e+01,3.160819361e+01,9.151343594e+01,7.504933020e+01,7.839019060e+01,9.874525941e+01,6.119329389e+01,1.361893391e+01,4.364103086e+01,9.142755969e+01,5.711916279e+00,6.982058782e+01,2.057271384e+01,6.842472076e+01,7.856893413e+00,3.473438431e+01,7.387336155e+01,4.789129022e+01,3.553886979e+01,5.793872252e-01,2.661440448e+01
9.771339707e+01,5.649773372e+01,1.593365844e+01,3.301793408e+01,7.695530587e+01,8.376888516e+01,8.553197305e+01,1.779521900e+01,2.146551914e+01,1.166411724e+00,9.240661202e+01,9.180491783e+01,3.762436021e+01,5.335324818e+01,3.740234755e+01,7.816819452e+01,3.024094331e+01,8.043787498e+01,3.993008263e+00,8.255344443e+01,8.848915891e+01,7.077852571e+01,8.255385156e+01,2.870031056e+01,2.485037199e+01,1.371412981e+01,2.506175572e+01,5.949724731e+01,2.097027999e+01,6.225633729e+01,3.738561049e+01,7.802206736e+00,8.382905635e+01,5.587261958e+00,9.587677050e+01,8.809110879e+01,6.326622535e+01,1.518748901e+01,2.158065192e+01
9.097996341e+01,5.118363712e+01,6.738525729e+01,2.876440708e+01,1.489118195e+01,3.589187815e+01,5.734473772e+01,1.478992591e+00,3.656305444e+01,7.560630440e+01,7.253060424e+01,9.869168489e+01,9.915548830e+00,6.295501654e+01,1.323832096e+01,4.886076842e+01,9.155293779e+01,4.740778477e+01,4.680610035e+01,4.612789190e+01,5.106545685e+01,5.878677476e+01,3.409418828e+01,5.404496270e+01,6.748487921e+01,9.502047343e+01,1.034779966e+01,4.239694113e+01,5.678531823e+01,1.376391116e+01,9.643565686e+01,1.498694603e+01,2.522976064e+01,2.858606238e+01,6.642926381e+01,3.127451379e+01,7.017342344e+01,1.192150808e+01,9.312458232e+00
5.255622736e+01,4.755787556e+01,4.756168427e+01,9.233657866e+01,6.378812988e+01,5.464571922e+01,2.244924792e+01,8.416750582e+01,4.997667937e+01,4.300382673e+01,6.995898375e+01,6.427425249e+01,5.237474101e+01,9.888517839e+01,3.985345851e+01,8.901876217e+01,3.922169664e+01,3.071781413e+01,2.692218769e+01,3.145529985e+01,2.097511294e+01,8.729460003e+01,3.744712376e+01,9.214757875e+01,9.512295565e+01,8.379846512e+01,5.323346982e+01,8.821881832e+01,4.162768660e+01,5.001648700e+01,7.844609229e+01,1.471692990e+01,5.244502060e+01,1.837281438e+01,8.945645114e+01,7.105976046e+01,8.382813154e+01,6.150362752e+01,7.833254888e+01
6.970390594e+01,2.616796063e+01,8.109576403e+01,5.745447538e+01,5.050243972e+01,8.615069611e+01,9.105781142e+01,3.115498718e+01,9.455026003e+01,3.737361068e+01,7.826788594e+00,5.205024906e+01,7.720781550e+01,4.814765288e+01,1.822242828e+01,6.472528568e+01,2.853164977e+01,2.844576518e+01,7.832565014e+00,6.175201383e+01,9.613909070e+01,2.427010201e+01,1.308158666e+01,1.606838175e+01,1.689591059e+01,3.256538894e+00,8.513803058e+01,8.761808119e+01,8.512697373e+01,9.489258356e+01,4.449549381e+00,8.670559025e+01,4.229640713e+01,5.735911266e+01,7.908838331e+01,5.193083087e+01,5.743269378e+01,7.915811351e+01,6.368893792e+01
7.149730665e+01,6.214209666e+01,5.066482951e+01,4.310228811e+01,6.793488640e+01,7.324314871e+01,1.346376815e+01,1.652441809e+01,1.435740397e+01,2.323520382e+01,8.838013655e+01,8.322245431e+01,4.127809431e+01,3.707740661e+01,2.681405236e+01,5.994975866e+01,4.168080255e+00,1.776640816e+01,8.306279096e+01,6.962243108e+01,8.970584064e+01,3.459001524e+01,8.688151518e+01,4.939310554e+01,1.099357417e+01,9.593346939e+00,2.747855951e+01,2.883909325e+01,4.849389454e+00,1.439728895e+01,2.299053029e+01,4.889079261e+01,1.034177557e+00,4.140893254e+01,1.535459659e+01,6.129408282e+01,2.508884335e+01,9.854037021e+01,3.808495124e+01
5.153849457e+01,1.905044856e+01,3.989592008e+01,6.020422429e+01,8.288032098e+01,4.849910035e+01,9.914964001e+01,2.773429631e+01,3.577553617e+01,8.077726209e+01,3.504636766e+01,6.114654052e+01,2.216684942e+01,1.357835323e+01,5.935760440e+01,5.494314205e+01,7.861802747e+01,3.722503268e+00,4.418689752e+01,7.539003341e+01,7.067052314e+01,5.536460283e+01,5.728170192e+01,1.874265590e+01,5.001833555e+01,7.149870671e+00,6.908878694e+01,7.838802151e+01,4.515448346e+01,6.233070240e+01,6.979423025e+01,5.995479481e+01,9.538356899e+01,6.253906744e+01,2.357186321e+01,5.971776051e+01,3.845726299e+01,3.009737928e+00,6.463674748e+01
7.384671064e+01,6.883101176e+01,8.068875015e+01,8.984534392e+01,9.490316197e+01,8.956858467e+01,9.200723962e+01,9.571952283e+01,3.195619269e+00,5.362419757e+01,2.970964848e+01,4.749796810e+01,9.671604067e+01,2.397554722e+01,5.409114705e+01,8.249147860e+01,7.672854662e+01,4.507073336e+01,8.623060815e+01,1.885729762e+01,8.036029305e+01,2.025898405e+01,4.954259038e+01,3.401909987e+01,1.178113404e+01,8.771530563e+01,9.926543215e+01,9.617399206e+01,7.556782586e+00,5.548045917e+01,6.190081478e+01,5.927162680e+01,7.191104830e+01,7.101067086e+01,5.499718306e+01,6.221201735e+01,6.843574066e+01,8.421403483e+01,9.954591241e+01
7.972447862e+01,6.271269295e+00,9.448774650e+01,8.263650394e+01,5.534154696e+00,7.201244514e+01,7.969934219e+01,9.758583983e+01,3.313110464e+01,1.165935445e+01,8.776154779e+01,2.938309797e+01,2.074323491e+00,2.449912231e+01,6.945656527e+00,9.727823727e+01,6.878688826e+01,6.918102632e+01,4.500423851e+01,7.801329913e+01,8.577147227e+01,4.781793789e+01,9.075377445e+00,3.646222120e+01,9.032999750e+01,9.265775760e+00,4.288062097e+01,4.508239380e+01,4.096710458e+01,9.071743086e+01,4.154353707e+01,5.416751911e+01,8.962853905e+01,7.895582774e+01,5.590111730e+01,9.808215758e+01,2.924977617e+01,8.899519851e+01,8.042661670e+01
3.763619946e+01,1.119659868e+01,1.527384121e+01,8.491759896e+01,8.313666267e+01,2.858154067e+01,3.776870672e+01,7.333380790e+01,2.116525844e+01,2.932876484e+01,6.373698544e+01,8.042684776e+01,6.613775183e+01,6.077851901e+01,9.819527579e+01,7.241236164e+01,1.428662369e+01,9.720754702e+00,5.647452239e+01,8.945996596e+01,6.098958849e+01,6.297706294e+01,8.494833411e+01,6.557740574e+00,8.647185329e+01,9.253998155e+01,8.975256267e+01,2.959521605e+01,1.912399358e+01,7.367573451e+01,7.151904454e+01,3.949093960e+01,6.423563962e+01,7.153298810e+01,4.557229969e+01,2.056672514e+01,5.033472933e+00,5.940524330e+00,5.533815058e+01
1.534899914e+01,4.691851058e+01,9.296615530e+00,9.136743107e+01,4.646849059e+01,5.182170027e+01,4.407163128e+01,1.809094795e+01,4.031397371e+01,4.464706062e+01,3.000283517e+01,6.779138667e+01,1.595845078e+01,7.672835687e+00,1.136309096e+00,1.478841316e+01,2.818272411e+01,8.304787417e+01,1.562344560e+01,6.251168551e+01,5.350078205e+01,5.167941159e+01,8.742761200e+01,1.451855501e+01,9.732998492e+01,7.937587949e+01,4.524167025e+01,3.938177229e+01,1.693114043e+01,9.803975480e+01,2.343984429e+01,9.059342925e+01,8.709840820e+01,6.567967414e+01,8.449661768e+01,7.015144122e+00,8.326856727e+01,5.155736321e+01,5.626595805e+01
3.521893309e+01,4.233234107e+01,2.534935094e+01,4.706625467e+01,6.476341179e+01,6.187727315e+01,3.356252698e+01,3.770017972e+01,1.751376034e+01,8.834010006e+01,7.506254765e+01,1.127740034e+01,5.569177130e+01,5.214676280e+01,3.031908286e+01,6.551138933e+01,4.442376188e+01,5.379888530e+01,9.555062668e+01,7.526003708e+01,5.418067451e+01,5.100708455e+00,9.069841926e+01,5.003210285e+01,3.260897529e+01,1.749615988e+01,1.003509000e+01,6.951025418e+01,4.385925958e+01,3.630095575e+01,8.293419363e+01,7.229075773e+01,9.194146575e+01,9.067436218e+01,2.736419136e+00,3.782187107e+00,4.322402638e+01,3.593730128e+01,5.242941213e+01
