v1,v2,v3,v4
5.567367924e+01,5.915495085e+01,7.649653699e+01,2.433400788e+01
3.860909934e+01,7.508729591e+01,7.261027897e+01,1.767844360e+01
8.228151609e+01,1.348637894e+01,5.154906581e+01,9.225825520e+01
7.541976246e+01,5.594691442e+01,2.247823635e+01,8.939228251e+01
7.952177743e+01,8.837451387e+01,1.459836136e+01,5.930097927e+01
4.335950720e+01,3.579232178e+01,6.588184244e+01,5.342204633e+01
2.300017996e+01,8.196257230e+01,1.446417003e+01,7.081871088e+01
3.635008219e+01,8.480606465e+01,5.283253302e+01,7.412262696e-02
4.174527323e+00,8.812773447e+01,3.889760771e+01,6.128533088e+01
6.061487270e+01,2.993454613e+01,4.565694182e+01,1.729412580e+01
8.922329009e+01,9.563359249e+01,3.371673304e+01,1.665907587e+01
2.413826696e+00,2.339956804e+01,8.568924802e+00,1.330915047e+01
4.706817055e+01,4.311424919e+01,9.598073174e+01,4.882036481e+01
2.238932942e+01,5.584246028e+01,1.434592862e+01,7.029008806e+01
3.449902709e+01,4.050714185e+01,6.082455485e+01,3.783331194e+01
9.773226415e+01,8.680361510e+01,4.091139474e+00,5.139083744e+01
2.263506807e+01,3.556543401e+01,7.429650821e+01,1.178190335e+01
3.275511718e+01,9.665394967e+01,4.937658869e+01,2.982825024e+01
9.921473629e+01,7.344538367e+00,9.444172517e+00,4.873889686e+01
1.650787356e+01,8.519219326e+01,5.524420269e+01,7.706792600e+01
4.407680953e+01,9.541593709e+01,1.024035051e+01,4.126637820e+01
3.000405562e+01,9.929095066e+01,1.667932861e+01,6.163060097e+01
8.462115783e+01,2.200882626e+00,8.439739414e+01,8.548028283e+01
3.820203803e+01,9.944266366e+00,5.517983541e+01,6.226624385e+01
3.349803806e+01,1.643564044e+01,1.980571231e+01,9.791050803e+01
7.025031754e+01,7.617155921e+01,1.597289779e+01,2.004247252e+01
9.588461012e+01,2.556507072e+01,9.725167011e+01,6.507472165e+01
6.438369766e+01,9.717980226e+01,5.245930849e+01,2.563672977e+01
1.014017282e+01,2.128256522e+01,5.233213174e+00,1.595287964e+01
2.765356134e+01,8.605441417e+01,9.482694801e+01,7.814633881e+01
8.216933519e+01,7.289539199e+01,4.709847079e+01,3.809476029e+01
7.481380313e+01,5.725552976e+01,1.195271231e+01,4.457884607e+01
6.006898926e+00,7.886583219e+01,4.350732625e+01,9.631951733e+01
7.006549879e+01,6.189953708e+01,5.723276515e+01,1.360873949e+01
3.759354193e+01,4.337207988e+01,9.005053308e+01,2.773748431e+01
4.836000807e+01,1.701511808e+01,6.788949534e+01,1.684139993e+01
3.393267813e+00,8.131140854e+01,2.381703070e+01,8.735828604e+00
4.588332060e+01,1.598047887e+01,3.090447866e+01,3.024140207e+01
4.766932135e+01,4.474689938e+00,1.242667773e+01,8.135707906e+01
8.415107941e+00,6.032078452e+01,5.995132408e+01,2.731881969e+01
4.800712197e+01,6.502246293e+01,9.681649859e+01,8.288154363e+01
2.878870787e+01,7.979417119e+01,1.638883851e+01,2.028383358e+01
3.555743600e+01,8.274183287e+01,1.870255373e+01,5.881998687e+01
5.143951364e+01,6.639896615e+01,6.761643030e+01,7.525525348e+01
5.365076346e+01,6.444435095e+01,4.962511774e+01,7.213328766e+01
9.305252793e+00,9.729428517e+01,5.144723135e+01,5.212780435e+01
6.680628251e+01,8.658271258e+01,8.750292884e+01,7.096872338e+01
3.942943955e+00,5.488189827e+01,4.728261072e+01,9.611698210e+01
3.479645242e+01,9.659308692e+01,9.190511683e+01,8.486942272e+01
1.281237821e+01,3.526765535e+01,1.484768625e+01,9.218376969e+00
1.156128320e+01,8.702115029e+01,5.979054688e+01,1.141582957e+01
9.641862714e+01,5.977160742e+01,4.942629727e+01,6.551539351e+01
4.300072663e+01,8.377020426e+01,1.852581453e+01,3.763326939e+01
4.044000816e+01,6.829899514e+01,3.063112224e+01,9.433806488e+01
1.230738816e+01,9.827620430e+01,1.917016018e+01,8.611367251e+01
3.983604110e+01,9.416664354e+01,2.030717848e+01,7.379920481e+00
2.647036513e+01,1.494515586e+00,6.571478967e+01,6.868608660e+01
6.696980960e+01,2.357786181e+01,5.888397121e+01,2.666609490e+01
6.319635379e+00,2.785705326e+01,2.973460794e+01,8.457637691e+01
7.814922920e+01,9.989206379e+01,8.197410052e+01,4.344379396e+01
9.892424662e+01,7.764981584e+01,3.337279019e+01,7.123156874e+01
7.769709091e+01,3.057583138e+00,4.808229260e+01,6.273068316e+01
1.047401936e+01,7.332965432e+01,8.717611629e+01,2.388247717e+01
4.248786628e+01,3.252814468e+01,1.266776341e+01,5.206415816e+01
6.830322978e+01,6.272631796e+01,7.693526302e+01,3.446028478e+01
9.117541087e+01,9.858042320e+01,9.885642523e+01,5.366041081e+01
4.398339686e+01,4.172989879e+01,4.306090036e+00,3.495941944e+01
2.112677273e+01,7.100311481e+01,6.401094057e+01,6.189245733e+01
8.341530818e+01,4.074978427e+00,8.091377341e+01,3.771501182e+01
2.157038110e+01,2.176184657e+01,6.343611485e+01,3.688699280e+01
2.135559766e+01,8.483512172e+00,8.512480762e+01,7.743529852e+01
6.756873220e+01,5.833434929e+01,2.832718377e+01,6.897319390e+01
7.962677555e+01,9.366466173e+01,8.500842881e+01,7.683793397e+00
4.612002802e+00,3.208778877e+01,9.336320228e+00,8.787954314e+01
4.609000799e+01,6.640681474e+01,3.086326609e+01,1.799584572e+01
6.104583511e+01,3.394556996e+01,7.319075060e+01,9.380640432e+01
8.693244999e+01,4.359068959e+01,7.125554005e+01,9.781844514e+01
8.705001398e+01,3.730127357e+01,9.446989267e+01,5.004648571e+01
7.228216974e+01,7.245832908e+01,3.001522920e+01,1.774550974e+01
9.559877000e+01,5.947037596e+01,1.393288756e+01,1.057883263e+01
6.193145531e+01,5.222788916e+01,2.469120051e+01,2.543507792e+01
4.810253911e+01,3.775012856e+01,8.860742584e+01,6.401010944e+01
8.095421846e+00,1.676149838e+01,2.793917260e+01,2.533506201e+01
5.904430202e+01,7.045802483e+01,2.486121308e+01,8.064643279e+01
6.288325567e+01,7.264192888e+01,7.849667340e+01,3.215714264e+01
1.145191196e+01,5.155925745e+01,5.396685362e+01,6.324956570e+01
9.277850544e+01,2.437597897e+00,8.650541201e+01,6.999350852e+01
6.827137608e+01,1.773169517e+01,7.597572620e+00,5.095362297e+01
4.111674404e+01,7.723196223e+01,6.754630405e+01,5.582632192e+00
