v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40
6.560846649e+01,5.769560824e+01,5.683391728e+01,6.666567553e+01,6.146830731e+01,1.250294824e+01,1.977816687e+00,1.924999059e+01,1.082179845e+01,7.686239566e+01,5.281958181e+01,1.120980897e+01,8.738960428e+01,9.781109484e+01,6.829373888e+01,2.242549632e+01,1.289367778e+01,4.143571392e+01,4.369646638e+00,5.491004101e+01,7.152240493e+01,1.367444110e+01,1.105599968e+00,2.364704398e+01,3.011857107e+00,6.450318104e+01,7.295354828e+01,4.264141671e+01,6.259129296e+01,9.686560783e+01,7.570826796e+01,8.265561086e+01,3.055547202e+01,2.000649219e+01,9.171356299e+01,7.038704728e+01,3.063651223e+01,5.434655058e+01,9.840756648e+01,3.307431608e+01
3.488295651e+01,5.899547695e+01,4.584566696e+01,8.248538170e+01,6.833552732e+01,9.965281790e+01,4.664689885e+01,9.594690596e+01,2.040491026e+00,6.974620865e+01,1.992743622e+00,3.183184316e+01,6.726539833e+01,8.454447319e+01,5.307897418e+01,2.126061470e-01,8.691114904e+01,3.148387955e+01,7.272260422e+01,6.467720083e+01,1.016743601e+01,8.733655617e+01,7.356701086e+01,6.862373036e+01,9.395439582e+01,5.370984920e+01,3.057928222e+01,9.526929802e-01,4.370167179e+01,2.577592796e+00,4.328379700e+00,3.378799419e+01,5.682238142e+01,5.919209043e+01,7.525993586e+01,8.670656926e+01,5.032554521e+01,6.606661942e+01,2.741458030e+01,5.111400162e+01
4.620898914e+01,5.092565841e+00,3.470843147e+01,5.320696621e+01,3.206260514e+01,1.304363495e+01,3.747079568e+01,8.903080405e+01,4.376452800e+01,9.624373066e+01,1.531642551e+01,1.735207655e+01,2.699266476e+01,6.027495518e+01,3.165335133e+01,6.327175828e+01,7.258847421e+01,8.800315872e+01,4.555686190e+00,1.500968754e+01,8.843223598e+01,1.730810245e+01,6.056125114e+01,8.220485446e+01,5.743380752e+00,3.771280460e+01,5.047270560e+01,9.803720096e+01,4.619632666e+01,4.828772060e+01,9.724185517e+01,7.691167578e+01,6.833417607e+01,7.739125559e+01,5.528331704e+01,6.155580057e+01,3.563259378e+01,6.899232104e+01,7.645381477e+01,4.093010279e+01
4.945004721e+01,4.094746645e+01,5.510207273e+01,1.985318461e+01,5.246711628e+01,5.323895023e+01,8.914900872e+01,6.568248590e+01,9.751463209e+01,1.566677997e+01,4.643334047e+00,5.219621938e+01,1.398190683e+01,3.355854533e+01,7.336104949e+01,8.001583509e+01,3.536414726e+01,8.359280957e+01,8.612216551e+01,7.630134316e+01,7.466711518e+01,3.097133523e+01,3.898395323e+00,1.941407257e+01,6.446141699e+01,3.574579256e+01,6.545111053e+01,6.725159032e+01,2.079266493e+01,5.886727578e+01,5.475155843e+01,4.857816248e+01,8.076354779e+01,2.382157189e+01,1.011610809e+01,1.196510194e+01,5.495372460e+01,2.341630074e+01,6.608520503e+01,1.817859449e+00
5.742016033e+01,6.088505521e+01,5.195909655e+01,8.448007681e+01,1.899198961e+01,1.188254190e+00,2.858257559e+01,5.395067808e+01,4.764128072e+01,6.220956384e+01,1.797894832e+01,8.952693264e+01,1.815045216e+01,9.604309682e+01,9.043201730e+01,6.828313990e+00,3.571727100e+01,9.802862995e+01,5.184751224e+01,9.261325542e+01,8.141290609e+01,9.724977934e+01,1.324024302e+01,6.512216981e+01,1.330453425e+01,4.161329823e+01,8.918690750e+01,6.758288443e-02,6.082100532e+01,8.871137244e+00,4.969543038e+01,4.398301232e+01,8.202342226e+01,5.474683379e+01,1.878478570e+01,2.589471643e+01,9.021174182e+01,6.878877075e+01,1.304552798e+01,5.834589158e+01
3.989467038e+01,9.507305549e+01,9.341942000e+01,1.871545833e+01,6.754782333e+01,3.378197415e+01,7.704813999e+01,6.190744228e+01,4.354537322e+01,3.110804322e+01,3.269234306e+01,8.217222371e+01,9.641230396e+01,8.466225853e+01,1.236042363e+00,1.711655673e+01,5.392812694e+01,5.917698583e+00,3.902589979e+00,3.729510108e+01,6.086650209e+01,9.701288955e+01,1.953170010e+01,5.026910122e+01,1.545360255e+01,2.186957702e+01,3.868713315e+01,5.361402374e-01,2.513999564e+00,2.865671830e+01,7.865913472e+01,9.810256562e+01,6.322749461e+01,7.807223324e-01,1.214094443e+01,1.458590420e+01,1.780060423e+01,4.484133916e+01,1.774787886e+01,5.250095657e+01
7.459107225e+01,5.652710545e+00,5.242889655e+01,6.318609579e+01,6.887954725e+01,5.894683565e+01,2.654087005e+01,1.778239063e+01,5.683145359e+01,4.188427329e+00,7.133016825e+01,4.513036416e+01,3.080566146e+01,2.573089917e+01,7.288169985e+01,6.949392009e+01,7.035352403e+01,6.618913208e+01,7.492912595e+01,8.129524822e+01,8.913148092e+01,6.230880066e+01,2.197820454e-01,7.479938151e+01,5.673513614e+01,9.787732088e+01,3.128370685e+00,8.838741255e+01,9.461142758e+01,7.123227582e+00,3.581877935e+01,8.502850940e+01,2.236827473e+01,3.346139933e+01,1.272050124e+01,2.284709423e+01,1.205933531e+01,9.637414592e+01,8.620556461e+01,2.836426925e+01
2.732844099e+01,6.355731104e+01,2.238760802e-01,1.889520071e+01,6.567996661e+01,4.252255793e+01,2.646229638e+01,8.471998466e+01,9.746660506e+01,6.239454467e+01,2.448739532e+01,8.660324271e+01,3.746062080e+01,7.927908231e+01,3.337715279e+01,6.536690873e+01,4.198565361e+00,7.588604860e+01,8.858862964e+01,6.639825751e+01,9.717702998e+01,4.246091269e+01,9.935892228e+01,1.122733099e+01,3.213265618e+01,8.475325887e+01,8.462849401e+00,2.623609311e+01,1.685139709e+01,1.058094836e+01,9.688014166e+00,1.864919543e+01,6.411742018e+01,7.688370004e+01,1.316683752e+01,4.398920384e+01,7.054856820e+01,2.304436156e+01,8.179892334e+01,8.141768417e+00
2.447157403e+01,1.840839291e+01,6.553254909e+00,1.464975755e+01,3.588986099e+01,7.387066278e+00,8.519717862e+01,9.401524322e+01,8.241602953e+01,7.511460941e+01,1.192797216e+01,9.809079376e+01,7.117527784e+01,4.230650720e+01,2.283542434e+01,1.529574963e+01,9.926840203e+01,1.277092681e+01,7.241532067e+01,9.592771785e+01,9.253474209e+01,3.042267706e+01,7.438855915e+01,9.768436570e+00,4.793003260e+01,9.753522204e+01,7.697186842e+01,1.946075583e+01,9.583504347e+01,5.493512640e+01,8.055569516e+01,2.594513497e+01,6.173662425e+01,9.800308730e+01,7.868211176e+01,7.129033010e+01,6.047183730e+01,7.972997778e+01,4.157952169e+01,2.951600079e+01
7.494925623e+01,4.006109059e+01,9.561122145e+01,7.596818199e+01,4.756804914e+00,2.746193482e+01,8.955148260e+01,2.347689013e+01,7.613288355e+01,7.871656954e+01,9.542492378e+01,1.861075215e+01,8.794257499e+01,7.657575967e+01,7.251641186e+01,3.521142019e+01,9.662060061e+01,2.252898256e+01,5.910301128e+01,6.141555751e+01,7.135722912e+01,7.950267506e+01,6.490343233e+00,3.081226715e+01,5.571163217e+01,7.809599073e+01,6.398050711e+01,1.514691946e+01,6.392104787e+01,3.127381815e+01,5.469927162e+01,4.215330572e+01,3.749850777e+01,3.538135923e+01,9.423383703e+01,1.611756620e+01,8.122074312e+01,1.577543920e+01,9.169260305e+01,4.448037050e+01
