v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
3.469855446e+01,1.806213138e+01,7.366682500e+01,3.984007976e+01,1.290547125e+01,5.735299064e+01,9.468090580e+01,4.216001918e+01,9.895511944e+00,9.955834568e+01,4.721354002e+01,9.738078885e+00,7.684092312e+01,7.428948552e+01,7.375342586e+01,4.552023706e+01,7.493802380e+01,4.711813573e+01,4.345922682e+01,3.010158470e+01,4.284209918e+01,5.549878883e+01,2.512201748e+01,9.602733069e+01,2.584838324e+01,6.110768867e+01,9.674899929e+01,5.502293088e+01,1.554391466e+00,8.814619743e+00,2.051481776e+01,7.906435109e+01,4.529229722e+01,4.370219341e+01,8.152721255e+01,8.616451926e+01,5.919270806e+01,8.706427268e+01,7.968792100e+01,9.196168638e+01,9.170729956e+01
2.699410085e-01,2.438057364e+01,8.565334935e+01,4.114993650e+01,8.306430048e+01,1.290944985e-01,5.579489176e+01,7.457311182e+01,6.493252947e+01,6.407776743e+01,3.354773361e-01,8.720705637e+01,3.500832498e-01,1.748808026e+01,3.314168721e+01,2.158034251e+01,4.810932605e+01,6.620054170e+01,7.553654349e+01,7.411894316e+01,6.379569858e+00,8.128291976e+01,3.713403353e+01,8.876027818e+01,9.589318334e+01,8.934519209e+01,9.330142052e+01,1.056822584e+01,7.555224316e+01,5.197660770e+01,8.114422232e+00,2.437238022e+01,3.407445336e+01,6.041367908e+01,2.587025718e+01,2.038774084e+01,7.795613360e+01,4.963457180e+01,1.847214306e+01,5.157378405e+01,9.374115492e+01
5.020351824e+01,2.768840855e+01,1.547178010e+01,3.621873089e+01,1.629777377e+01,7.331303325e+01,2.473001362e+00,1.474699061e+01,9.009652466e+01,8.210399506e+01,7.345236232e+01,2.002355548e+01,9.951536107e+01,1.431273330e+01,1.102099025e+01,4.913244060e+01,1.344175349e+01,6.765375281e+01,2.990819841e+01,5.827150874e+01,5.875227551e+01,9.838496274e+01,9.628183683e+01,3.147922226e+01,7.035928960e+01,5.530456394e+01,4.581557920e+01,4.517780398e+01,8.245589718e+01,4.084004516e+01,5.083242579e+01,4.680069759e+01,2.049020286e+01,1.122879884e+00,3.319983107e+01,3.449104445e+01,6.697736298e+01,9.988069618e+01,5.100415990e+01,4.668790808e+01,7.770059399e+01
2.018822558e+01,7.091804528e+01,9.204535947e+01,1.509172528e+01,4.213243428e+01,2.210430442e+01,5.550512321e+01,5.539680394e+01,3.237682158e+01,2.497772943e+01,1.803330907e+01,1.182456306e+01,8.318564932e+01,4.820901232e+01,5.365070310e+01,9.043046269e+01,4.536148702e+01,1.739096276e+01,1.982430214e+01,9.237195001e+01,6.402390849e+01,2.950505020e+01,9.447347547e+01,1.571375694e+01,6.257708475e+01,5.395481848e+01,3.088200531e+01,4.369842057e+01,5.775642064e+01,5.885203689e+01,2.488235111e+01,5.820055556e+01,3.798600814e+01,8.139450021e+01,5.399091062e+01,8.132875635e+01,3.279837489e+01,7.220542631e+01,9.066841822e+01,1.038807804e+01,4.447883191e+01
5.393095246e+01,5.144354466e+01,4.611568474e+01,9.151272276e+01,6.542143711e+01,5.498067907e+01,4.895411598e+01,2.128946384e+01,8.909892846e+00,8.377892874e+01,5.334890179e+00,9.358187160e+01,9.282668742e+01,1.802662523e+01,9.071009488e+01,3.505926280e+01,7.560329710e+01,4.241637594e+01,7.274669834e+00,7.912912495e+01,1.970325661e+00,6.163678017e+00,6.988603698e+01,9.234879002e+01,4.968565008e+01,5.239014193e+01,3.482233701e+01,5.634149974e+01,3.237126094e+01,8.667912257e+01,3.265356587e+01,5.228248525e+01,8.747600581e+01,4.788419234e+00,7.686080488e+01,3.676781142e+01,3.609523748e+01,6.473724465e+01,1.505846758e+01,5.121870623e+01,9.538385357e+01
8.689929545e+01,7.790407691e+01,5.889021077e+01,5.957667043e+01,1.486878414e+01,7.491004834e+01,6.164427388e+01,6.328040481e+01,8.194865969e+01,4.630235225e+00,7.011393970e+01,7.186267167e+01,6.764875637e+01,9.992494483e+01,1.764897977e+01,3.210548198e+01,7.721555011e+01,8.742425633e+01,4.345407608e+00,2.877829295e+00,9.169576522e+01,4.075406607e+01,8.991008863e+01,6.881112923e+01,9.204600803e+00,3.712802732e+01,9.390826891e+01,7.419599322e+01,2.384212938e+01,8.826435102e+01,4.647511237e+01,7.106058429e+01,4.248022506e-01,2.644283881e+01,5.155047579e+01,3.389075270e+01,8.724506402e+01,1.167069759e+01,3.892129548e+01,3.132118850e+01,4.557410994e+01
2.627622136e+01,1.658150289e+01,4.605305124e+01,9.648411827e+01,8.848357856e+01,6.318609168e+01,7.734470989e+01,5.909181067e+00,6.739367226e+01,7.071002159e+01,9.788000706e+01,8.362001798e+00,4.958460452e+00,7.216196012e+01,7.123096845e+01,8.329570100e-01,5.296478087e+01,1.661908519e+01,2.092577184e+01,4.862980677e+01,8.603673203e+01,5.368571542e+01,1.293929099e+01,1.562359316e+01,4.662196686e+01,5.124005041e+01,6.523357920e+01,9.630840104e+00,7.018197205e+01,5.472918614e+01,3.171363620e+01,7.869427068e+01,9.777961643e+01,8.514733205e+01,1.212069483e+01,2.854574053e+01,4.025920810e+01,3.910873731e+01,3.091981943e+01,5.352516173e+01,6.802630434e+01
3.383658258e+01,5.815881853e+01,9.655833094e+01,4.595182926e+01,7.502041297e+01,9.131978922e+01,8.189382365e+01,6.097350105e+01,3.102583930e+01,8.352558491e+01,4.020681550e+01,3.514971555e+01,7.077390212e+01,5.193954289e+01,3.148144746e+01,1.107980380e+01,8.279849067e+01,7.155391503e+00,6.638568982e+01,3.744889867e+01,3.488196813e+01,5.905549854e+01,8.278082288e+01,6.675695585e+01,1.466605135e+00,1.186268017e+01,5.531637608e+01,6.392787698e+01,4.668625957e+01,8.310456697e+01,5.474213220e+00,3.348525033e+00,5.925020047e+01,9.328322806e+01,7.937499610e+01,1.230910271e+01,7.894347512e+01,4.746260002e+01,2.217052017e+01,4.494691538e+01,4.273146665e+01
3.108923526e+01,6.750525724e+01,8.049872605e+01,4.697488287e+01,5.310706971e+01,5.352210373e+01,6.646405874e+01,1.198316274e+01,5.004644139e+01,3.185153524e+01,8.956834145e+01,2.281523918e+01,7.576405873e+01,8.371639172e+01,1.566173599e+01,6.238134786e+01,5.768160249e+01,7.349045177e+01,7.711153814e+01,2.404777407e+01,5.085818612e+01,8.915337593e+01,8.681485611e+01,5.030276954e+01,9.997323059e+01,3.291049966e+01,7.940792316e-01,7.582245155e+01,7.444920080e+01,7.381279394e+01,2.079368633e+01,1.767667204e+00,5.535399510e+01,7.104509207e+01,3.809850622e+01,6.067876805e+00,8.867150139e+01,2.906146917e+01,4.612939788e+01,2.299897270e+01,5.143095930e+01
6.279423582e+01,4.868439323e+01,1.457065536e+01,1.749090357e+01,3.160667027e+01,3.218964519e+01,7.564493175e+01,9.756602723e+01,4.295034650e+00,3.089217504e+01,4.897428520e+01,9.345867827e-01,8.908662413e+01,5.110716796e+01,5.086920752e+01,2.107996110e+01,6.088824536e+01,1.913836114e+01,1.448143733e+00,5.971265054e+01,3.467305819e+01,9.046366196e+01,1.349425601e+01,5.166429216e+00,7.716861350e+01,7.040066733e+01,7.260708570e+00,8.693441306e+01,6.188125531e+01,4.625076992e+01,9.309413521e+01,8.608377150e+01,5.902155876e+00,8.754661834e+01,1.855126692e+01,5.297458990e+01,4.727189464e+01,6.927185097e+01,5.188030248e+01,9.067679876e+01,6.588125502e+01
9.341526911e+01,2.093473917e+01,8.186076589e+01,4.692400332e+00,2.668491852e+01,6.403002515e+01,8.656773529e+00,2.863791051e+01,1.208512174e+01,6.820495536e+01,4.652186748e+00,8.033704697e+01,5.919773140e+01,3.920284210e+01,1.361183623e+01,3.319776460e+01,5.013627560e+01,1.678797123e+01,5.384245600e+00,7.024096208e+01,6.235811870e+01,2.427079139e+01,6.707535279e+01,6.193504901e+01,5.811554597e+01,4.985107394e+01,3.248090733e+01,6.003860367e+01,3.133251118e+01,3.254077343e+01,4.766913818e+01,2.048073501e+01,4.277153583e+00,5.021235458e+01,5.889166724e+00,1.870175047e+01,5.301657965e+01,9.537329048e+01,8.377618083e+01,7.592728147e+00,9.309861606e+01
2.365280736e+01,3.900329086e+01,6.938536815e+01,4.666306508e+01,3.976478672e+01,5.986219616e+01,5.939955830e+01,5.005151013e+01,8.453848017e+01,4.153915011e+01,2.075699397e+00,6.581135044e+01,8.759791266e+01,3.067807896e+01,4.930222353e+01,2.896407881e+01,9.315097957e+01,9.130828135e+01,2.786019929e+01,6.372841350e+01,2.485729683e+01,6.961352738e+00,1.279673577e+01,4.460134825e+01,1.052959240e+01,6.515245861e+00,6.314204937e+00,3.899941630e+00,2.488685657e+01,6.667729912e+01,6.005269992e+01,7.721762087e+01,3.608338044e+01,7.130753182e+01,3.037085067e+01,9.229440290e+01,4.379245056e+01,6.417918888e+01,2.147663259e+01,9.811979530e+01,8.285956155e+01
8.181464355e+01,9.754122037e-01,1.586007034e+01,3.846956165e+01,9.884906281e+00,8.928941787e+01,7.405738911e+01,2.259503243e+01,6.795943452e+01,8.669420278e+01,4.245952387e+01,4.014695539e+01,5.280360322e+01,7.978729064e+01,8.327492617e+01,7.949012503e+01,1.247195433e+01,9.964262071e+01,5.216110562e+01,2.767932871e+01,6.835132009e+01,9.088483869e+01,9.757741862e+01,7.303528088e+01,3.236613890e+01,7.956605193e+01,7.032701140e+01,8.312867828e+01,8.126414734e+01,6.718652668e+01,4.915365636e+01,4.096950725e+00,4.448284287e+01,1.892734484e+01,6.893656659e+01,1.561934342e+01,4.959822406e+01,5.847631374e+01,4.112516177e+01,8.176664384e+01,9.739929607e+01
2.266358822e+01,4.422809771e+01,1.013814469e+01,5.061511058e+01,8.783130416e+01,1.437380049e+01,6.327620948e+01,3.744227833e+01,4.494256911e+01,9.307283327e+01,8.511034257e+01,5.145359238e+01,4.644564466e+01,4.189661461e+01,4.487110288e+01,7.596210184e+01,5.525907644e+01,7.041152614e+01,4.208553808e+00,6.101915817e+01,3.672608976e+01,6.563152669e+01,5.148668763e+00,2.577469272e+01,2.391656485e+01,2.310982670e+01,7.609523421e+01,2.426865849e+01,4.145537532e+01,3.148914109e+01,8.231557644e+01,8.447050950e+01,5.439486534e+01,9.904589522e+01,4.804824363e+01,5.866193826e+01,8.402711201e+01,8.595891889e+01,5.311640795e+01,2.033757525e+01,4.136082812e+01
7.778402150e+01,4.083162854e+01,1.434714520e+01,4.743502200e+01,6.844293788e+01,9.368240915e+01,5.350714782e+01,4.460391496e+01,7.025553167e+01,5.874380420e+01,3.302788699e+01,6.930235721e+01,2.223280202e+01,6.815167227e+00,8.410374764e+01,3.264927151e+01,1.956566945e+00,4.115479584e+01,9.170074821e+01,5.747315344e+01,3.129695787e+01,8.518158854e+01,5.990497188e+01,1.583633044e+01,7.793048461e+01,7.935049545e+01,7.695168783e+01,7.447961856e+01,9.807247760e+01,3.230486800e+01,3.088161910e+01,7.023325707e+01,5.156873762e+01,6.130687034e+01,9.060957542e+01,8.353093362e+01,3.464517312e+01,9.125228015e+01,6.377424151e+01,8.981165567e+01,9.637752644e+01
1.095000958e+01,1.416577644e+01,4.105662369e+01,3.364314738e+01,5.860423431e+01,6.025207488e+01,2.373996014e+01,9.977015896e+01,6.011768646e+01,4.512875171e+01,5.879072602e+01,9.697275454e+01,4.933738133e+01,7.357967879e+01,7.048329690e+01,1.449417251e+00,6.433545779e+01,3.928163461e+01,8.078406944e+01,1.695535751e+01,8.038602748e+01,4.521941796e+01,5.350867314e+01,7.103707884e+01,7.139367526e+01,7.197728887e+01,1.275827498e+01,7.967951847e+01,7.519332551e+00,5.237535692e+01,3.202904968e+01,8.688048997e+01,7.546089671e+00,1.689290719e+01,1.901599857e+01,3.655839192e+01,7.605215845e+01,6.604301003e+01,7.862377926e+01,2.085203490e+01,9.210567557e+01
6.160482541e+00,2.087577532e+01,1.423855413e+01,3.938015428e+01,7.323838153e+01,4.277877009e+01,6.703552644e+01,7.771329190e+01,2.316720104e+01,6.044523889e+01,3.259269977e+01,9.012314468e+01,1.401789802e+01,5.206916312e+01,7.681687004e+00,9.711415517e+01,9.545892435e+01,2.330623737e+01,4.223243800e+01,2.271041656e+01,6.211839977e+01,6.624986838e+01,2.520368741e+01,3.406273834e+01,9.031170251e+01,8.168251059e+01,6.721665516e+01,6.518009303e+01,9.695837791e+01,1.837287574e+01,2.677361525e+01,7.482780381e+01,3.689646534e+00,5.097885007e+01,5.512244481e+01,8.940822906e+00,5.588758778e+01,5.014876029e+01,8.837198721e+01,4.430383526e+01,5.992935240e+01
6.399190811e+01,5.392608303e+01,1.975433356e+01,1.586607113e+01,5.846511427e+00,5.453470632e+01,4.360307239e+01,9.678406866e+01,6.065677964e+01,8.872882880e+01,5.777225382e+00,2.077903556e+01,7.686342231e+00,9.014365371e+01,4.132952102e+01,4.274452553e+01,9.945369068e+00,2.392115112e+00,3.458523127e+01,9.779081918e+01,3.832807718e+01,5.455824945e+01,9.325262865e+01,4.681107762e+01,1.861794039e+01,7.266234521e+00,6.177211085e+01,5.606508294e-01,7.032149013e+01,7.251574015e+01,6.115311908e+01,5.472544030e+01,6.481741996e+01,1.961153046e+01,3.421125518e+01,9.297405136e+01,9.192249397e+01,5.356641574e+01,8.336441649e+01,9.012726478e+01,4.909464832e+01
