v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42
5.138720557e+01,6.193365542e+01,4.562793765e+01,2.097187021e+00,7.072080325e+01,4.585528353e+01,8.333480123e-01,2.579800797e+01,8.924080326e+00,7.898609043e+01,4.032123477e+01,7.324649565e+01,7.023169026e+01,3.528929723e+01,9.279888819e+00,8.473005036e+01,7.914219919e+01,4.616204102e+01,9.769129332e+01,2.635514254e+01,6.521592921e+01,7.471850539e+01,9.576460319e+01,5.424564077e+01,3.939845349e+01,3.651375877e+01,5.643380425e+01,9.892343812e+01,9.237949734e+01,5.035592190e+01,5.016658093e+01,5.662091614e+01,2.392476857e+01,4.397503152e+01,4.800755756e+01,4.131974808e+01,1.528851974e+01,7.152170056e+01,6.507802982e+01,9.548312099e+01,8.748668710e+01,3.640625782e+00
8.996191063e+01,9.364144719e+01,2.241131608e+01,9.684365500e+01,7.207998879e+01,1.193761259e+01,5.638255458e+01,6.345151748e+01,8.658683356e+01,9.379223196e+00,3.899576392e+01,4.953528109e+01,3.393718768e+01,2.671432458e+01,5.607885433e+01,1.874432105e+01,1.107287129e+00,4.090453387e+01,3.281833595e+01,3.423538414e+01,1.317114041e+01,8.242530713e+01,6.463203211e+00,1.466405382e+01,1.853384863e+01,3.837201855e+01,5.579517665e+01,1.071979827e+01,9.777014834e+01,9.770599178e+01,9.782413900e+01,8.660206099e+01,2.076355732e+01,3.338065364e+01,5.201092120e+01,5.942148050e+01,6.801962310e+01,8.849480270e+01,3.002334692e+00,8.872570600e+01,8.931987582e+01,5.533748794e+01
9.954089894e+01,6.464621352e+01,1.526952929e+01,8.535852907e+01,6.837555484e+00,7.345393485e+01,3.138892684e+01,1.647682759e+01,7.199258382e+01,9.763327786e+01,5.971867263e+01,7.826974220e+01,4.058288057e+01,4.177111121e+01,1.866854263e+00,2.587772890e+01,4.596030019e+01,8.010707703e+01,7.173018462e+01,4.361315949e+01,1.102092119e+01,1.893974428e+01,6.762131891e+01,6.709474056e+01,3.504615711e+01,4.795532942e+01,3.107556568e+01,8.860742067e+01,3.297290777e+01,2.186024408e+01,4.736741615e+01,5.255324856e+01,6.256326172e+01,4.373655547e+01,4.658873840e+01,6.535363387e+01,7.770062471e+01,7.205019372e+01,5.369743422e+01,9.685020688e+01,6.348369304e+01,2.358789401e+00
2.304554570e+01,6.212507823e+01,8.906528155e+01,2.468221251e+01,4.125424136e+01,9.466762995e+01,6.439155652e+01,5.648627305e+01,6.975906397e+01,6.929785481e+01,3.179705977e+01,9.138789243e+01,9.205075547e+01,4.522056237e+01,4.309128190e+01,4.061775489e+01,3.581821253e+01,2.727504978e+01,9.690580757e+01,2.841419450e+01,1.387569793e+01,1.596759593e+01,6.825286878e+01,9.077150891e+01,6.621492559e+01,6.959577980e+01,9.805959733e+00,2.196033938e+01,5.228518978e+00,1.359121086e+01,3.825483473e+01,1.220760368e+01,8.729328965e+01,2.812218260e+01,5.405443263e+00,9.817933803e+01,6.068131047e+01,1.382211817e+01,3.009263691e+01,2.456400295e+01,5.919950517e+01,2.969123440e+01
5.017372606e+01,1.527331527e+01,1.467947035e+01,4.717131017e+01,3.324667353e+01,1.549240574e+01,1.350033078e+01,5.667751184e+01,5.378785504e+01,4.926673130e+01,2.652442024e+01,3.384107272e+01,4.707581077e+01,1.215498469e+01,9.092047984e+01,8.269044004e+01,8.389319465e+01,4.791516507e+01,6.628697920e+01,1.012993410e+01,5.218806631e+01,6.046230487e+01,2.305961749e+00,7.788783884e+01,4.845023018e+01,3.895657321e-01,9.146520465e+00,3.647757893e+01,2.547658526e+01,2.343013509e+01,9.136152594e+01,4.201297262e+01,7.988545049e+01,3.725952314e+01,7.603365898e+01,7.705510429e+01,5.116787397e+01,3.122271831e+01,7.448578193e+01,2.702507605e+01,6.143992722e+00,7.860216449e+01
3.215621136e+01,5.270851507e+01,5.524203547e+01,1.814240291e+01,8.538732970e+01,3.373174861e+01,8.737970521e+01,5.803906715e+01,7.630924941e+01,4.627858655e+00,4.669871972e+01,8.030355649e+01,6.391185183e+00,9.018538290e+01,1.742168938e+01,3.468043260e+01,8.344816274e+01,7.958714394e+01,6.151723479e+01,4.664515646e+01,1.735512710e+01,1.056708534e+01,3.746577220e+01,6.932376487e+01,3.884577486e+01,2.177690640e+01,1.218684329e+01,4.203845989e+01,6.927155510e+01,7.865770562e+01,6.710750317e+01,8.317090886e+01,7.176906287e+01,9.733356336e+00,3.433488976e+01,1.625743896e+01,1.373072453e+01,3.762603264e+01,2.770511494e+01,4.772330069e+01,1.517389490e+01,1.494576786e+01
3.474687721e+01,8.758048952e+01,7.271744169e+01,1.174373388e+01,4.372321998e+01,9.846903421e+01,7.816394970e+01,4.919558288e+01,3.169408018e+01,1.344414011e+01,5.403291310e+01,5.003404397e+01,5.516526631e+01,5.197577617e+01,9.196116331e+01,2.599184968e+01,3.176051481e+01,1.004082689e+01,3.051709617e+01,4.710176565e+01,7.322011011e+01,5.635134732e+01,5.444931760e+01,5.796623225e+01,7.516035297e+00,1.587641553e+01,8.477607789e+01,3.112683636e+00,1.908506045e+01,9.375254642e+01,8.891481591e+01,8.938460780e+01,7.622909046e+01,6.790203488e+01,7.975403884e+00,1.904455940e+01,2.243573695e+01,7.808735620e+01,4.198657852e+01,4.142406003e+01,5.581708664e+01,5.909558031e+01
7.883779809e+01,5.619396428e+01,2.623056844e+01,7.602288123e+01,3.490233474e+01,4.852138183e+01,6.312553936e+01,2.034523008e+01,2.562383878e+00,8.040294800e+01,5.343025432e+01,1.705140521e+01,7.982969526e+00,9.584985778e+01,2.909228123e+01,8.253260912e+01,7.489138062e+01,7.584330238e+01,4.137147648e+01,3.930891736e+01,3.082277999e+01,8.165874929e+01,1.217210877e+00,2.520696275e+01,7.822498139e+01,5.718397732e+01,1.236685403e-01,2.255532862e+01,4.929179134e+01,1.216498403e+01,4.591085393e+01,6.150416194e+01,8.527841066e+01,5.558951175e+01,4.818549212e+01,3.630660830e+01,4.180538411e+01,6.396830393e+01,6.780431773e+01,5.828584756e-02,8.302647305e+01,1.288746246e+01
9.039906945e+01,7.656122257e+01,1.572821546e+01,9.874201434e+01,8.585660363e+01,5.617388493e+01,5.982126501e+01,1.905776729e+01,9.363095936e+01,1.427177118e+01,5.817386478e+01,7.871283620e+01,6.695329711e+01,6.812587414e+01,8.553968140e+01,1.736578716e+00,8.918065221e+01,3.599264120e+00,6.490567962e+01,7.272755177e+01,3.905929825e+01,6.302109453e+01,2.449116875e+01,1.112327922e+01,7.420763772e+00,2.180664907e+01,6.864756706e+01,1.793058209e+01,4.070332480e+01,9.732879481e+01,3.179343564e+01,1.777043696e+01,4.949416181e+01,7.562634953e+01,1.297216978e+01,8.532578527e+01,1.980148937e+01,4.934371601e+01,9.518074931e+01,5.600302052e+00,5.368220891e+01,7.399913713e+01
2.646797148e+01,4.906704815e+01,8.036911191e+01,4.037200811e+00,6.772367524e+01,9.224210084e+01,8.696899562e+01,4.975815038e+00,3.122946074e+01,3.631428624e+00,6.077170864e+01,9.795848934e+01,5.374142225e+01,7.451063049e+00,7.773448302e+01,4.084858005e+01,5.056436247e+01,4.470708012e+01,3.802967610e+01,4.733722853e-01,4.759330509e+01,7.620349229e+01,5.090233580e+01,1.143810554e+01,1.891211210e+01,8.316863282e+01,5.473239367e+00,5.835644935e+01,3.046671917e+01,6.098103635e+01,7.418282309e+01,7.819348840e+01,6.618345620e+01,8.683202977e+01,7.355135197e+00,2.422578220e+01,5.812262417e+01,1.885688179e+01,1.795687043e+01,7.760302322e+01,2.227298325e+01,3.433083439e+00
