v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43
5.465440123e+00,9.010830788e+01,4.877361135e+01,3.693642673e+01,4.296736519e+01,7.437653667e+01,4.049087004e+01,2.939356961e+01,3.855752555e+01,6.592199339e+01,2.367295762e+01,9.773998852e+01,1.277598313e+01,9.597387094e+01,5.447096855e+01,6.605468131e+01,8.501671897e+01,7.329472643e+01,6.785198282e+01,6.455630191e+01,7.361653358e+01,8.343961990e+01,4.110170255e+01,2.765585681e+01,1.600606605e+01,2.257438882e+01,9.834263842e+01,3.240872036e+01,2.433821016e+01,6.020561488e+01,4.648123643e+01,5.720857690e+01,6.046503436e+01,2.756944869e+00,9.239603816e+01,3.513383571e+01,5.003862087e+01,9.971028931e+01,6.936200709e+01,3.708187785e+01,6.723697148e+01,7.854762780e+01,5.121920771e+01
1.143600394e+01,9.793269208e+01,5.248752763e+01,6.071826624e+01,8.960863720e+00,5.288047077e+01,7.584349610e+01,5.628268100e+01,8.763330695e+01,6.773362477e+01,1.529653424e+01,9.223141130e+01,4.928345316e+01,5.269142824e+00,8.516968036e+01,2.803362908e+01,9.985652170e+01,8.582020140e+01,1.265528239e+01,3.600682188e+01,2.172795065e+01,8.359800536e+01,5.649582588e+01,4.067664907e+01,9.378593155e+01,5.901634018e+01,9.823195334e+01,9.623861599e+00,1.527055972e+01,7.435950917e+01,1.541119907e+01,9.636938161e+01,7.918650270e+01,3.882805562e+01,7.784373159e+01,4.208840172e+01,6.816246257e+01,3.403669649e+01,5.985992817e+01,1.702221418e+01,7.450606781e+01,1.657282094e+00,8.195286372e+01
8.074835025e+01,7.749095975e+01,2.793373015e+01,3.314278886e+01,9.129034008e+01,1.853335204e+01,3.033854116e+00,7.543817095e+01,9.091294632e+01,2.061834365e+01,8.618283406e+01,9.330321684e+01,4.075917842e+01,1.058746642e+01,1.484249609e+01,6.817239508e+01,9.906093538e+01,6.238344376e+01,2.356349223e+01,8.452556474e+01,9.904076267e+01,9.512539003e+01,2.776706565e+01,4.485285865e+01,5.860627612e+01,9.943505365e+01,4.733225183e+01,1.229601537e+01,5.959342662e+01,9.143969605e+01,5.467964434e+01,5.786383414e+01,2.050573470e+01,5.809819803e+01,1.034524907e+01,3.002019014e+01,7.797359900e+01,2.087378308e+01,7.173105993e+01,3.896568309e+00,2.338261604e+01,3.381347803e+01,2.436934827e+01
4.776044889e+01,1.391332775e+01,8.032150134e+01,3.642974292e+01,5.591204895e+01,3.926350867e+01,6.214412815e+01,4.618202417e+01,6.581215084e+01,7.653390692e+01,9.013434970e+01,1.135993702e+01,9.708717487e+01,5.410198594e+01,5.383280065e+01,2.881417832e+00,2.238843283e+01,8.916068811e+01,9.589694028e+01,8.048267138e+01,3.070770719e+01,9.769203822e+01,4.969345720e+00,6.633035238e+01,2.597020466e+01,8.466637934e+01,6.730351979e+01,5.378174940e+01,5.512055539e+01,3.571068769e+01,3.725993189e+01,2.527241271e+01,5.229550341e+01,6.904180415e+01,8.830765581e+01,5.492513407e+01,5.453456234e+01,3.544331262e+01,5.807628511e+01,4.997329126e+01,4.498682510e+01,9.484356813e+01,3.672248814e+01
6.835151835e-01,2.975487087e+01,3.432936987e+01,1.724317556e+01,7.071716673e+01,5.863413331e+01,4.241256236e+01,3.937909733e+01,9.297060930e+01,5.368378283e+01,7.829821843e+01,1.468562592e+01,6.180414350e+01,3.697459764e+01,3.359051251e+01,7.125409749e+01,9.722985323e+01,3.854994728e+01,9.782778263e+01,2.362882575e+01,4.345930403e+01,1.377376176e+01,2.976686776e+00,2.858975292e+01,9.336056073e+01,5.638792701e+01,5.512913511e+01,1.779747714e+01,8.660985405e+01,9.845840520e+01,1.439972068e+01,7.511845372e+01,7.465833640e+01,1.962093724e+01,3.018256823e+01,8.798105084e+01,7.165220209e+01,3.010189150e+01,1.437134692e+01,1.529986928e+00,9.236792591e+01,8.645851898e+01,2.568134066e+01
5.528443762e+01,5.665530279e+01,3.911133878e+00,2.285678321e+00,5.576415852e+01,7.240731510e+01,5.182940539e+01,8.559281196e+00,2.642584849e+00,9.151794898e+01,5.818996908e+01,3.644303692e+00,7.719397801e+01,7.696555703e+01,2.631522983e+01,5.324092564e+01,4.126559124e+00,1.782419094e+01,5.517025220e+01,4.867779631e+00,3.812301890e+01,2.445821432e+01,1.967064434e+01,3.617799746e+01,8.015283926e+01,8.823276188e+01,1.217681984e+01,3.149469075e+01,7.095046424e+01,3.844002666e+01,7.767463385e+01,2.167850224e+01,4.678211833e+01,2.384825297e+01,8.811251479e+01,8.766537862e+01,2.479931968e+01,5.224862464e+01,6.058841726e+01,3.286035254e+01,9.880069621e+01,2.122798425e+00,5.557015708e+01
5.747330916e+01,7.342710668e+01,9.003759789e+01,7.520328370e+01,2.770106249e+01,9.712298658e+01,5.950634022e+01,6.210420993e+01,6.128519159e+01,5.914159344e+01,8.150324844e+01,9.512285101e+01,7.574572807e+01,2.291309933e+01,4.168799641e+01,1.475892832e+01,4.650819414e-01,2.032125655e+01,5.424201638e+01,4.844519417e+01,8.579420934e+01,7.344810806e+01,6.198346102e+00,3.972099406e+01,4.570420770e+01,7.679399222e+01,2.720025172e+01,7.327689518e+01,2.423956984e+01,4.538722510e+00,6.756202403e+01,7.385625959e+01,5.683577228e+01,3.000879724e-01,2.616135078e+00,6.958271957e+01,9.593432422e+01,7.762691661e+01,4.574957259e+01,4.249835938e+01,2.201679084e+01,7.310909482e+01,9.055528047e+01
6.878204787e+01,7.476223534e+01,9.940770545e+00,1.078407415e+01,6.896339983e+00,3.022157872e+01,1.908077615e+00,8.832877959e+01,6.231624344e+01,5.275528360e+01,2.499120694e+00,9.136067858e+01,4.895312252e+01,1.927178598e+01,8.232801585e+01,8.405825027e+01,6.135976051e+01,7.603696425e+01,1.187512914e+01,1.899726881e+01,3.978328258e+01,7.208009677e+01,7.553966093e+01,6.046258435e+01,7.486204432e+01,9.728865345e+01,3.290384227e+01,1.716594575e+00,2.189978871e+01,1.509746748e+01,4.668463168e+01,8.107738832e+01,2.959941474e+01,9.482533357e+01,9.621015672e+00,6.360098166e+01,1.982624865e+01,1.052046284e+01,4.164994274e+01,1.283889364e+01,3.235736436e+01,3.088374270e+01,5.104059075e+01
2.546053507e+01,1.576744230e+01,1.244390570e+01,4.754817954e+01,2.709751868e+01,5.358872996e+01,9.092227644e+01,5.795784812e+01,3.793114220e+01,2.359728125e+01,7.532650464e+01,4.344015210e+01,4.539376028e+01,2.008296454e+01,3.482311563e+01,4.655542999e+01,2.992559217e+01,1.152409075e+01,2.748275434e+01,2.937920994e+01,1.050154093e+01,3.014890132e+01,6.433278735e+01,2.111397899e+01,2.447638247e+01,1.772929222e+01,1.109671895e+01,9.096315223e+00,4.676297513e+01,5.869171187e+01,1.802108959e+01,2.838447052e+01,4.595042705e+00,4.014837575e+01,7.021181706e+01,2.317607920e+01,4.251762793e+01,4.842566813e+01,1.956670939e+01,7.162422962e+01,2.884029334e+01,1.266988861e+01,3.400237462e+01
7.512913113e+01,6.264042717e+01,3.133624252e+01,8.495324479e+01,6.135820124e+01,5.709671107e+01,3.373098816e+01,4.977009449e+01,2.228375263e+01,7.057085602e+01,2.298273863e+01,2.208401195e+01,7.925807809e+00,2.923565559e+01,8.219161973e+01,3.862175805e+01,3.201366179e+01,3.832717363e+01,4.852770346e+01,3.308965715e+01,8.651697277e+00,5.986119461e+01,9.035658186e+01,8.391297785e+00,9.962017881e+01,3.903357904e+01,4.469747243e+01,2.706739979e+01,4.954383286e+01,6.506461218e+01,7.378038943e+01,3.558769736e+01,2.381221518e+01,5.124974068e+01,1.560008965e+01,4.918757013e+01,3.277168761e+01,6.676655568e+01,8.568294890e+00,7.540979000e+01,5.027478681e+01,4.539477686e+01,5.947326551e+01
