v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44
3.948678048e+01,6.576077539e+01,9.584270437e+01,8.684084876e+01,6.459077751e+01,9.902881577e+01,9.515948965e+01,8.875078397e+01,3.822529813e+00,5.070260932e+01,1.512972878e+01,8.219532446e+01,5.511874541e+01,5.986287442e+00,5.235062587e+01,7.322951419e+01,5.433494807e+01,4.005484053e+00,7.498668746e+00,8.933319555e+01,8.093451755e+01,3.067894092e+01,1.009086241e+01,2.710234578e+01,6.947904303e+01,3.912529668e+01,4.394116576e+01,3.422090447e+00,4.926625528e+01,6.964194867e+01,2.267955456e+01,6.850967471e+01,7.004309926e+01,1.863595869e+01,3.817193581e+01,6.010001788e+01,5.094120869e+01,3.372073663e+01,7.056716496e+01,5.459148208e+01,4.530837268e+01,4.668027480e+01,8.109366118e+01,1.339721656e+01
6.965327777e+01,2.352377786e+01,9.996050847e+01,5.264862155e+01,7.031593406e+01,4.127149754e+01,9.696865457e+01,3.740115087e+01,8.607657431e+01,8.558789070e+01,5.627225529e+01,5.314390604e+00,7.867844043e+01,4.054483336e+01,3.417110574e+01,7.209063124e+01,1.159252261e+01,6.303063285e+01,7.762679010e+01,9.545277368e+01,1.413888039e+01,1.240861473e+01,5.590680023e+01,6.145803031e+01,2.954721314e+01,7.841208382e+01,2.631902365e+00,1.005416828e+01,3.185565085e+01,2.186173424e+01,1.143807025e+01,9.502227586e+00,9.308937748e+00,4.066896497e+01,9.669424563e+00,4.672261965e+01,7.944674109e+01,2.631588857e+01,9.613432756e+00,3.465829747e+01,7.378419953e+01,2.585849869e+01,5.651893544e+01,1.387242172e+01
5.705887873e+01,1.099644083e+01,5.868111909e+01,1.534499021e-01,3.302882881e+01,7.068561729e+01,5.302719593e-01,7.426290633e+01,1.295194823e+01,1.924250965e+01,3.089927131e+01,6.679623243e+01,8.532352948e+01,9.216482848e+01,9.073008181e+01,1.321142170e+01,7.052180255e+01,5.874339300e+01,8.775499380e+01,5.121647203e+01,6.114186714e+01,3.578752980e+01,9.531830055e+01,7.614624120e+01,1.431569121e+01,5.126430930e+00,4.173036418e+01,7.384729250e+01,8.090959530e+01,6.635689038e+01,7.681777759e+00,2.004389017e+01,6.585583005e+01,9.603779181e+01,9.500118390e+01,5.595389051e+01,7.278900679e+00,9.846968871e+01,9.773132269e+01,9.342757353e+01,8.291160512e+01,8.611313903e+01,1.727464792e+01,5.440857173e+01
1.528257682e+00,7.347132932e+01,9.770422765e+01,6.921443493e+01,9.621557106e+01,6.662454761e+01,2.234652320e+01,6.851858165e+01,8.072665520e+01,7.497582094e+00,2.083668591e+01,9.802528946e+01,6.405884448e+01,1.135643799e+01,3.885490003e+01,8.633630771e+00,2.659629879e+01,4.047165916e+01,8.055119030e+01,3.627259367e+00,8.565092805e+01,2.968707211e+01,1.909359468e+01,5.374882909e+01,1.732493111e+01,9.630171596e+01,2.987844599e+01,6.891620352e+01,6.369831355e+01,4.352544894e+01,9.436078105e+01,2.459643756e+01,2.544263039e+01,6.269434182e+01,1.019541598e+01,3.602531085e+01,3.881362358e+01,1.152604418e+00,4.413186608e+01,5.721726901e+01,4.401166201e+01,5.563940470e+01,8.924315178e+01,3.647614886e+01
7.415668617e+01,2.170857824e+01,7.748034860e+01,1.604337767e+01,9.907222554e+01,7.719710424e+01,2.541482712e+01,2.604671479e+01,8.402434375e+01,5.198507737e+01,8.776558112e+01,5.736505382e+01,4.061049049e+01,4.632692031e+01,8.552643095e+01,2.037184365e+01,4.589464549e+01,6.350748344e+01,5.693538268e+01,4.415541167e+01,1.445326860e+00,6.273613991e+01,1.899959482e+01,5.102750986e+01,5.386479027e+01,9.484280067e+01,4.800178058e+01,4.991462100e+01,4.213543091e+01,1.503697005e+01,3.769664494e+01,6.731988559e+01,2.133857765e+01,7.688332191e+01,4.341033812e+01,6.253279657e+01,5.646110218e+01,8.827674393e+01,3.632522200e+01,6.473538652e+00,1.881717273e+01,9.121452480e+01,5.799943515e+01,4.316646915e+01
4.436033038e+01,7.325646710e+01,2.748526904e+01,8.967758064e+01,3.509471184e+01,1.581647241e+01,6.824227049e+01,3.984989238e+00,4.828546180e+00,1.160051559e+01,5.675737628e+01,9.586680463e+01,5.508409723e+01,9.274142312e+01,9.688366159e+01,2.279801884e+01,6.123520716e+01,9.282694414e+01,4.084270981e+01,3.790891519e+01,2.832430341e+00,9.515301854e+01,7.336284917e+01,5.110315449e+01,6.539498985e+01,3.361811477e+01,8.045120197e+01,5.915194045e+01,9.748830890e+01,6.310651335e+01,6.943696695e+01,6.063330974e-01,3.282033593e+01,3.600307135e+01,4.734245475e+01,4.272750487e+00,1.967193477e+01,6.917216382e+01,5.716132570e+01,4.226355542e+01,9.637081768e+00,6.972293753e+01,7.871930548e+01,8.333603226e+01
8.986381814e+01,7.819023923e+01,3.088164664e+01,5.257604492e+01,4.233802925e+01,1.423009883e+01,8.805902787e+01,6.743316551e+01,5.252641032e+01,3.168401050e+01,3.102529253e+00,1.146430315e+01,3.832957601e+01,7.827329655e+01,1.918449752e+01,7.975114219e+01,9.277794022e+01,8.734873074e+00,3.589679355e+01,4.468998957e+01,1.501583077e+00,5.167062707e+01,5.372293927e+01,3.453794571e+01,2.111718117e+01,8.955701649e+01,8.642699017e+00,4.317688377e+01,1.841778501e+01,5.167505201e+01,7.048879982e+01,1.899076803e+01,3.214188564e+01,6.100672704e+01,4.967802552e+01,4.733596352e+01,5.807182870e+01,1.753294020e+01,6.346802442e+01,2.858351573e+01,7.512634043e+01,8.143225737e+01,3.120575358e+01,9.582356228e+01
8.914290436e+01,9.991251905e+01,1.150999903e+01,8.200439490e+01,9.046124441e+01,9.803268383e+01,3.034706892e+00,5.807833148e+00,9.651687421e+01,1.354084968e+01,5.041967529e+01,7.210881913e+01,5.843517404e+01,6.723266336e+01,7.034723289e+01,3.933817529e+00,9.284035563e+01,7.994840039e+01,3.530366005e+01,7.276084685e+00,9.421017672e+01,8.645945041e+01,9.961280658e+01,2.178493169e+01,1.291069318e+01,3.856768714e+01,3.321303867e+01,4.472389600e+01,6.829542703e+01,2.649276980e+01,1.271270459e+01,4.551020760e+01,3.834378007e+01,5.521936244e+01,4.611227596e+01,7.443198706e+00,4.218872211e+01,9.320157192e+01,8.334718504e+01,5.388200123e+01,3.469676821e+01,3.128592213e+01,3.254335881e+01,8.046517163e+01
9.290353289e+01,9.868761219e+01,4.029921911e+01,9.520947601e+01,1.652374173e+01,6.104268020e+01,6.870137585e+01,6.599225222e+01,6.491318613e+01,6.871482129e+01,9.631695180e+01,6.729910840e+01,5.040881313e+01,1.763430694e+01,8.133562798e+01,4.110168009e+00,5.350500190e+01,7.300180244e+00,2.944026672e+01,2.597851022e+01,3.570137728e+01,8.236923772e-01,5.734163070e+01,8.025774042e+01,5.678808720e+01,1.499101566e+01,1.175537217e+01,7.316162808e+01,5.448093056e+01,5.974653500e+01,6.070708797e+01,4.900685895e+01,8.457396342e+01,8.465254267e+01,2.007460844e+01,4.061554476e+01,1.013085316e+01,1.412974208e+01,7.380091168e+01,8.689181358e+01,7.950440746e+00,2.647663169e+01,8.947092549e+01,7.751467504e+00
5.150749939e+01,1.928604016e+00,1.932397282e+01,1.750378856e+01,6.638716218e+01,6.813226285e+01,7.413530482e+01,6.179243966e+01,2.371043683e+01,3.968892332e+00,7.390488102e+01,2.265355509e+01,2.273479971e+01,9.652640801e+01,7.902132666e+01,4.181070430e+01,3.379955763e+01,2.732496998e+01,1.147394034e+01,4.438244544e+01,5.565204357e+01,3.738500660e+01,5.039882493e+01,8.550253197e+01,6.223319893e+01,7.206652196e+01,9.066396969e+01,7.343296186e+01,6.910412280e+01,3.862627330e+01,2.951250805e+01,5.373228631e+01,5.277818119e+01,3.905957589e+01,6.001092015e+01,3.084850406e+01,9.443212661e+01,2.722792755e+01,8.387487946e+00,3.260231115e+01,2.610662066e+00,5.417875781e+01,5.542863166e+01,6.959467545e+00
