v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45
7.624458208e+01,9.522737633e+01,4.955380570e+01,3.526911908e+01,4.857113896e+01,6.120813395e+01,5.351337478e+00,1.998107404e+01,2.060587382e+01,7.280639057e+01,8.908969674e+01,5.622076597e+01,2.883323620e+01,9.394536406e+00,6.745488570e+00,4.849904403e+01,5.147930767e+01,7.257795204e+01,9.478257240e+01,5.151786500e+01,3.418622187e+01,4.007208831e+01,5.162988363e+01,6.178705958e+00,6.176592770e+01,6.147552368e+01,2.802697363e+01,4.780418709e+01,2.508502891e+00,5.908568188e+01,7.153569108e+01,7.210066050e+01,7.828027047e+01,5.957163196e+01,1.510534614e+01,9.287638762e+01,4.057227883e+01,1.051566518e+01,2.290600646e+01,1.145996480e+01,4.872097281e+01,9.138911866e+01,9.570699472e+01,1.464164225e+01,7.077963826e+01
2.364880699e+01,9.577786404e+01,9.428843032e+01,4.331205727e+01,1.762524997e+01,3.170792321e+01,8.155819409e+01,4.171662603e+01,6.749060533e+01,2.176938245e+01,2.634662762e+01,9.861941535e+01,8.239131851e+01,2.794602126e+01,4.362238312e+01,9.808277674e+01,6.340815407e+01,4.028427815e+01,3.079647738e+01,9.630913904e+01,3.686681314e+01,7.513256200e+01,2.726439565e+01,8.544482846e+00,9.296156434e+01,7.603827601e+01,3.981657734e+01,9.473384583e+01,8.715662322e+01,6.994134149e+01,8.192974619e+01,8.298697569e+01,8.848942224e+01,5.713215386e+01,7.556970005e+00,9.749173254e+00,3.038423457e+01,3.786019751e+01,3.009429674e+01,1.409956092e+01,1.642616324e+01,1.857745076e+01,6.852391780e+01,5.401044110e+01,1.715752333e+00
4.274636247e+01,8.498643640e+01,5.775640296e+01,3.816728342e+01,9.634815305e+01,6.633061442e-01,2.978998640e+01,9.097336179e+01,4.699593048e+01,3.889696618e+01,5.991302460e+01,7.757232556e+01,2.758649230e+01,3.560317555e+01,3.317774614e+01,4.392583184e+01,6.448249864e+01,1.385655945e+01,7.888476791e+01,5.325519000e+01,8.856699495e+01,7.286909642e+01,6.229271931e+01,8.004048835e+01,2.707754966e+01,4.709387937e+01,1.214903652e+01,9.436256091e+00,8.679162724e+01,1.812902336e+01,8.457009013e+01,5.184690463e+01,1.551227558e+01,4.541882396e+01,1.285434246e+00,6.561523254e+01,1.705605044e+01,1.697370287e+01,7.035132157e+01,5.290537842e+01,4.644875824e+01,9.033309946e+01,3.983505659e+01,3.376821280e+01,6.234519331e+01
7.665966478e+01,1.112264573e+01,4.195278081e+01,6.937554827e+01,5.749559196e+01,2.127974579e+01,5.087793744e+01,1.777938948e+01,8.409094686e+01,2.682532539e+01,3.658033760e+01,9.771213735e+01,9.976073177e+01,4.870185624e+00,6.291996357e+01,8.461025877e+01,3.913946267e+01,5.975844077e+01,5.727668502e+01,8.236174133e+01,8.999765817e+01,7.800204450e+01,2.542601041e+00,4.208613101e+01,1.603901202e+01,5.035743820e+01,9.802416145e+01,4.490633909e+01,7.087522660e+00,9.710811877e+00,8.185809937e+01,9.041236522e+00,5.280026399e+01,8.365998943e+01,2.065612204e+01,5.113445115e+01,6.037690641e+01,5.434709813e+01,3.286180513e+01,3.900766493e+00,7.213253089e+01,5.073758791e+01,9.677504963e+01,8.178099046e+01,9.144044975e+01
6.248294809e+00,1.927801187e+01,1.965666461e+01,6.830128904e+00,7.138238766e+00,9.619065822e+01,2.659343098e+01,4.474121698e+01,8.158012204e+01,6.362558542e+01,8.549315443e+01,9.009061851e+00,6.444292109e+01,4.404922415e+00,5.383243499e+01,4.169794777e+01,1.174969284e+01,3.080956890e+01,2.303788641e+01,5.877051704e+01,3.306179380e+01,4.919217978e+01,4.886674145e+01,3.561224610e+01,6.526309408e+01,8.177526411e+01,6.363869024e+01,5.628721991e+01,8.936488174e+01,8.649291082e+01,4.582225981e+01,9.481074120e+01,9.671710875e+01,1.862070156e+01,5.307638127e+01,8.410399247e+00,5.914085456e+01,6.706051107e+01,7.138881266e+01,8.363560269e+01,8.008258002e+01,4.756648254e+01,5.002065907e+01,2.503112146e+01,3.930605810e+01
9.700669925e+01,9.532927949e+01,2.990966887e+01,5.601847298e+01,3.583324291e+01,8.706369714e+01,9.029319459e+01,7.143495652e+01,8.664828152e+01,3.432761401e+01,4.727221420e+01,1.425029461e+00,6.936545145e+01,6.953000484e+00,8.717715267e+01,2.388066141e+00,5.673929248e+01,2.461472480e+01,9.489968253e+01,1.141811150e+01,7.853231660e+01,3.268429521e+00,4.974813424e+01,4.526453066e+01,3.288247895e+01,8.251755907e+01,6.724123588e+01,5.452838227e+01,4.848503628e+01,3.834718052e+00,5.260277425e+01,3.629145745e+00,6.907716117e+01,4.038141436e+01,5.338869311e+01,2.399797049e+01,5.250989430e+00,7.372033449e+01,1.458343616e+01,1.024883539e+01,3.691856945e+00,1.384263931e+01,7.571174076e+01,2.283779437e+01,6.291430568e+01
1.066874939e+01,5.952794578e+01,2.838300757e+01,4.262100558e+01,8.005210823e+01,3.084676336e+01,1.423355763e+01,7.827697563e+01,8.077781809e+01,4.102958320e+01,9.880467711e+01,4.295227688e+00,3.787765338e+01,9.729960070e+01,3.362688985e+01,6.724212038e+01,7.871574519e+01,6.815951348e+01,4.446500114e+01,7.353199735e+01,6.444819069e+01,1.188960622e+01,9.136164876e+01,9.763093271e+01,4.379008536e+01,1.462569699e+01,8.795498154e+01,1.089786403e+01,6.669586165e+00,9.035449739e+01,9.221768629e+01,9.889380434e+01,1.220358067e+01,2.978964831e+01,7.301854910e+00,4.059520332e+01,9.330490620e+01,4.651099500e+01,9.855491704e+01,5.285429492e+01,7.533892299e+01,5.390329762e+01,1.932483203e+00,6.464953227e+01,5.128475384e+01
4.033770964e+01,2.330241096e+01,5.919933628e+01,1.856877045e+01,4.118664565e+01,2.960352961e+01,6.864519617e+01,1.546884324e+00,3.442081966e+01,3.470206293e+01,3.733587002e+01,3.748668061e+01,5.344680459e+01,4.522729941e+01,3.422796588e+01,3.959114531e+01,5.928045945e+01,3.103752751e+01,1.648821294e+01,6.800567464e+01,4.476679193e+01,2.280217913e+01,7.018347352e+01,6.052127117e+01,5.370800038e+01,5.108543622e+01,9.596835095e+01,7.351077730e+01,4.144684124e+01,1.373052623e+01,3.028652768e+01,9.664711751e+01,7.573910530e+01,1.170823095e+01,4.981359518e+01,4.589732206e+01,8.054460937e+01,1.522407853e+01,5.089214123e+01,9.448671851e+01,9.170004927e+01,5.566607575e+01,5.853997064e+01,5.141008461e+01,5.631245441e+01
8.502830747e+01,9.517017457e+01,6.786297843e+01,8.387798318e+01,9.598846476e+01,2.675974292e+01,5.693823068e+01,8.619001840e+01,8.724426376e+01,4.241759098e+01,4.299782123e+01,8.997736532e+01,7.714200106e+01,8.105580392e+01,4.901973426e+01,5.591370652e+01,4.677282912e+01,5.693754709e+01,2.756464753e+01,3.587465991e+01,3.131507610e+01,8.189784011e+00,8.882074893e+01,3.381473031e+01,9.796936118e+01,8.168111966e+01,9.570981255e+01,1.663909049e+01,4.586229840e+01,2.882186642e+01,9.579555056e+01,3.177916211e+01,2.579402458e+01,5.156373693e+01,4.602541313e+01,2.479139398e+00,8.193532271e+01,3.455320591e+01,1.330792659e+01,6.888126470e+01,5.915411271e+01,1.111614223e+01,9.823822309e+01,4.849419333e+01,4.403657815e+01
8.454096881e+01,2.350858139e+01,3.781568255e+01,3.830778420e+00,4.814743487e+01,2.797059055e+01,3.309283258e+01,1.657477979e+01,9.304255552e+01,6.947787029e+01,8.268468876e+00,9.536481830e+01,1.730728494e+01,6.811213379e+01,8.830126513e+01,5.964232029e+01,1.026252629e+00,1.216515272e+01,7.052602111e+01,8.249532044e+01,4.518892592e+01,5.405035426e+01,6.325564333e+01,4.487532303e+01,1.442652866e+00,6.680203253e+01,6.020465709e+01,7.981863930e+01,6.297184865e+01,3.481540946e+01,3.994592041e+01,7.398961398e+01,1.353734060e+01,8.235438817e+01,7.159766733e+01,9.619268364e+01,4.143722476e+01,5.262524018e+01,8.069418438e+01,2.994502320e+01,4.352104233e+01,2.145586574e+01,1.728897728e+01,9.829266747e+00,8.626861004e+01
