v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46
5.153822583e+01,9.883156939e+01,8.291322660e+01,4.790649493e+01,7.102114370e+01,9.345360376e+01,4.940718598e+01,3.960889717e+01,8.064233406e+01,1.444681854e+01,9.056800303e+01,7.753093371e+01,7.199660432e+01,2.722311791e+01,5.759889632e+01,8.281079274e+01,3.682976517e+01,7.946946159e+01,1.136457444e+01,6.700777616e+01,2.285701234e+01,7.464714372e+01,1.558134194e+01,8.758520917e+01,2.654606578e+01,5.248903704e+01,9.047277564e+01,4.138448243e+01,2.328505163e+01,8.307183255e+01,7.833769460e+01,1.909973857e+01,4.289678064e+01,4.924400906e+01,6.278552738e+01,7.516386256e+01,8.953920140e+01,5.913862551e+01,2.554131547e+01,9.904669218e+01,5.702637735e+01,7.624590921e+01,8.515182248e+01,2.308528473e+01,4.743218912e+01,8.185924134e+01
9.243923785e+01,5.463605615e+01,5.244561549e+01,5.378543671e+01,2.579745502e+01,2.276991238e+01,6.110263282e+01,1.773330741e+01,7.098176409e+00,5.185215823e+01,4.744086511e+01,9.216449754e+01,3.361189876e+01,4.634304302e+01,2.615702843e+01,2.627277528e+00,3.275975363e+01,5.264776372e+01,6.084270502e+01,3.691578432e-01,3.439152171e+01,5.684668335e+01,2.147848040e+01,4.671556211e+01,2.929904609e+01,4.881795846e+01,5.881770867e+01,7.652489921e+01,1.996930265e+00,4.706153524e-01,5.887297841e+01,3.465183499e+01,4.459711840e+01,7.507352112e+01,5.961150601e+01,9.146801673e+01,4.928303070e+01,1.616141439e+01,5.243819604e+01,4.121519463e+01,3.898484124e+00,1.420684169e+00,5.687535597e+01,6.778216380e+01,7.900040620e+01,3.388602339e+01
2.985181249e+01,8.400269541e+01,1.905653316e+01,5.951828268e+01,2.811300034e+01,4.967859110e+01,9.141075088e+00,3.617358622e+01,4.345419479e+01,1.194580724e+01,7.856294390e+01,5.367590679e+01,8.520876742e+01,5.354801833e+01,1.183236968e+00,4.649929861e+01,2.970646162e+01,6.203703404e+01,1.271164125e+01,1.478084308e-01,9.901039612e+01,3.710720856e+01,5.332609357e+01,1.567041716e+00,9.885598913e+00,4.635073742e+01,7.512872063e+01,2.901013577e-01,1.775817075e+01,2.313247770e+01,6.610864571e+01,4.535185160e+01,2.802407655e+01,6.798757181e+01,6.831235520e+01,7.449850884e+01,1.187766781e+01,7.692436884e+00,7.133672743e+01,3.386280010e+01,1.904554055e+01,4.836707823e+01,7.358983390e+01,9.396933914e+01,6.738904649e+01,5.116316553e+00
5.253928590e+00,9.762108257e+01,6.010195653e+01,2.425218305e+00,9.684435184e+01,7.577089059e+01,5.163142263e+01,4.737189292e+01,5.203898342e+01,8.536680154e+00,5.766348961e+01,5.899203862e+01,3.341383269e+00,6.201541431e+01,1.323392903e+01,2.178811809e+01,9.747869843e+00,5.210367334e+01,6.149082767e+01,4.092781614e+01,7.631616415e+01,1.155116745e+01,4.515903834e+01,5.726842157e-01,8.289409439e+01,2.980171220e+01,6.361158055e+01,3.966644579e+01,3.494887521e+01,1.716479699e+00,4.598385025e+00,1.371220338e+01,4.400874133e+01,7.645203334e+00,3.140343926e+01,7.499178557e+01,9.125861476e+01,6.309193296e+01,2.405658856e+01,6.980886255e+01,2.880552907e+01,6.400945108e+01,2.489306188e+01,2.609373140e+00,7.991113656e+01,8.945269026e+01
5.969601362e+01,9.726340201e+01,8.362719049e+01,4.183622584e+01,8.505471255e+01,2.026262378e+01,8.377511245e+01,1.567162054e+01,8.540986518e+01,4.687450276e+01,2.769619825e+01,1.878332676e+01,2.689025922e+01,2.476579509e+01,1.165803633e+01,2.875553950e+01,8.264193171e+01,2.860697230e+01,3.662817191e+01,2.664444449e+01,5.866906647e+01,6.370054492e+01,4.777014158e+01,3.859720459e+01,9.265027751e+01,2.093946598e+01,9.027346014e+01,8.007030668e+00,9.975867129e+01,4.530638330e+01,9.781008140e+01,5.541368611e+01,6.739400451e+00,1.212892285e+01,1.837983206e+01,5.367223997e+01,9.044319679e+01,1.509996036e+01,4.781339892e+01,9.722067757e+01,3.682648108e+01,5.377188037e+01,2.748858268e+01,6.820189013e+01,9.122170303e+01,8.891665410e+01
9.805867259e+01,4.867317027e+01,1.590735013e+01,3.861804468e+01,6.434197429e+01,6.254666456e+01,3.060924847e+01,5.182179125e+01,1.455685313e+01,1.487161003e+01,4.994058767e+01,1.182645258e+01,7.026270194e+01,4.868736848e+01,6.380363987e+01,7.237957513e+01,7.203294103e+01,2.206054836e+01,2.810684543e+01,4.779233755e+00,3.278828540e+01,9.604241375e+01,9.937678812e+00,4.973005197e+01,9.235811862e+01,6.392160041e-01,9.039172142e+01,1.051912109e+01,5.467157643e+01,5.786527214e+01,2.958697965e+01,4.129990377e+00,3.334130541e-01,4.834862236e+01,4.607537766e+00,2.171731251e+00,5.884387148e+01,1.644597819e+01,3.644797111e+01,4.255616015e+01,1.679914433e+01,2.146691101e+01,5.517135413e+01,9.108539799e+01,5.684548099e+01,2.031570789e+01
8.347665897e+01,6.492869970e+01,5.227988911e+01,1.638559032e+01,8.225072460e+01,7.680087923e+01,2.358766409e+01,6.006323684e+01,2.329481258e+01,2.432681825e+01,2.839580959e+01,6.941248829e+01,6.797270450e+01,5.709479253e+01,4.532951229e+00,9.095430616e+01,3.474675267e+01,3.955067375e+01,6.912553887e+01,8.731094185e+01,4.473084878e+01,4.691037374e+01,8.314624818e+01,4.882875085e+01,5.057305137e+01,9.009345416e+01,5.185829155e+01,3.894449763e+01,3.215642383e+01,1.982067751e+00,2.657747423e+01,5.327194250e+01,9.715573273e+01,6.828433355e+01,1.462148332e+01,7.033343754e+01,7.994782754e+01,4.127835101e+01,9.433890220e+01,9.207065706e+01,8.550756587e+01,8.418879634e+01,2.540209270e+00,5.115329633e+01,2.541191802e+01,5.601225781e+01
9.304811641e+01,4.900597373e+01,4.824262456e+01,1.761152740e+01,7.531395029e+01,5.596211181e+01,8.225178669e+01,2.481819045e+01,4.462170388e+01,5.874392696e+01,5.219283938e+01,5.647000283e+01,9.284415114e+00,8.255205468e+01,9.596059065e+01,6.869671786e+01,6.824288210e+01,6.962023407e+01,6.303781070e+00,6.381626240e+01,4.103724533e+01,4.154559779e+01,2.216357602e+01,2.211202408e+01,4.224714485e+01,5.656588235e+01,5.341126773e+01,6.964696461e+01,8.003300279e+01,3.953772082e+01,2.152132406e+01,7.288120301e+01,2.965029807e+01,9.728840902e+01,3.827616863e+01,9.660734323e+00,1.879040949e+01,2.440841242e+01,8.396746435e+01,7.540807461e+01,8.078573705e+01,6.722653824e+01,1.835143248e+01,4.542285675e+01,9.860582626e+01,8.482242282e+01
3.382196203e+01,2.807163413e+01,3.378009493e+01,5.037389648e+01,5.618997456e+00,8.757900069e+01,5.093331238e+01,1.553781480e+01,6.046009529e+01,8.892856481e+01,6.428179394e+01,5.747629606e+01,3.415601083e+01,6.320368464e+01,2.806446025e+01,3.461424864e+01,2.558552054e+01,1.295133330e+00,9.556110045e+01,5.156112786e+01,1.537759631e+01,6.432975552e+01,4.978983793e+01,2.167607488e+01,6.375277046e+01,2.624371162e+01,7.984893721e+01,6.038931394e+01,8.837945049e+00,5.853504108e+01,2.817536324e+01,4.954365391e+01,1.565706101e+01,6.631092814e+01,7.491320582e+00,7.409301941e+01,9.318392718e+01,4.024334810e+01,8.146653879e+01,1.970105972e+01,6.124558079e+01,2.955191105e+01,5.286256293e+00,2.761311406e+01,1.322942127e+01,7.165971237e+01
6.274527249e-01,1.064740093e+00,9.787031512e+00,8.917739428e+01,8.769851531e+01,2.371103296e+01,4.956155400e+01,6.205574349e+00,1.108797543e+01,6.283811910e+01,5.674499923e+01,5.273476118e-01,4.996145042e+01,2.635319899e+01,1.022751764e+01,4.848198541e+01,2.782697202e+01,6.490582437e+01,6.976327812e+01,2.234102830e+01,4.835761152e+01,4.735824606e+01,8.217389654e+01,2.119251407e+01,7.304582630e+01,7.858148111e+01,4.798924131e+00,1.905862859e+01,8.705040441e+01,5.902563986e-01,6.852557790e-03,5.658391342e+01,8.709745050e+01,9.488868242e+00,3.021806915e+01,9.531569702e+01,7.885849148e+01,4.456165787e+01,7.433396461e+01,9.432212894e+01,5.567412026e+01,5.624329927e+01,1.565699133e+01,3.932911147e+01,3.948726825e+01,5.900391242e+01
