v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47
7.728030653e+01,9.651495308e+00,1.290332695e+01,2.192637181e+01,5.103157037e+01,7.121906313e+00,5.267610566e+01,9.953838608e+00,5.309945768e+01,9.754821676e+01,2.070179149e+01,5.620661997e+01,4.731620990e+01,7.124263907e+01,9.326635199e+01,4.015781214e+01,8.408511572e+01,8.286629381e+01,9.483034858e+01,3.781072340e+01,4.198747356e+01,9.126653987e+01,2.617183216e+01,9.004648308e+01,7.015253612e+01,3.767583283e+01,5.741646232e+01,9.502010965e+01,1.677340065e+01,1.726082053e+01,2.411631263e+01,7.271216171e+01,3.619666221e+01,9.559294499e+01,3.040063410e+01,6.560336163e+01,4.454055888e-01,8.705590070e+01,4.290784069e+01,4.219694713e+01,5.956168964e+00,9.023345072e+00,2.147313452e+01,7.906848094e+01,7.339920110e+01,9.204126118e+01,2.285447970e+01
9.336734117e+01,2.909571035e+01,9.218910698e+01,6.449425930e+01,5.641001918e+01,4.118366706e+01,7.830931251e+01,4.484382036e+00,6.150710879e+01,9.487467205e+01,8.032974109e+01,3.228926834e+01,6.620135649e+01,7.167041035e+01,2.614396229e+00,3.449607236e+01,2.875289980e+01,3.913913760e+01,8.554553842e+01,2.309510265e+01,1.248961678e+01,7.777092111e+01,3.870008707e+01,6.636725176e+01,5.825421389e+00,9.542594163e+01,8.738975640e+01,6.343113632e+01,5.099821758e+01,3.363705836e+01,9.631991917e+01,2.447715869e+01,6.246752096e+01,9.972123066e+01,3.555620831e+01,6.763225028e+01,3.855878380e+01,9.786370391e+01,2.571940895e+01,4.380750829e+01,2.263323513e+01,7.679831489e+01,8.102571842e+01,3.869709502e+01,9.775803732e+01,3.498431796e+01,8.322339293e+01
4.671196335e+01,5.682344481e+00,6.456159759e+01,1.776201050e+01,2.161857659e+01,7.330063071e+01,1.099154631e+01,6.468131106e+01,4.304132923e+01,7.293016529e+01,8.176106516e+01,9.415756528e+01,4.581839324e+01,8.552896493e+01,5.897500764e+01,1.236599768e+01,4.640000192e+01,1.159978543e+01,6.063986590e+01,6.426153535e+01,5.973679238e+01,8.909985915e+01,4.714546504e+01,9.188373593e+01,5.482690166e+00,7.847490081e+01,3.645672239e+00,3.646003617e+01,9.063988850e+01,9.166642195e+01,2.347673867e+01,3.418462527e+01,8.296177907e+01,2.194020794e+01,8.124166297e+01,3.058983950e+01,8.749679737e+01,8.525065326e+01,6.170386566e+01,6.418153839e+01,9.199034240e+01,7.834767487e+01,9.013995074e+01,8.131755957e+01,2.641478573e+01,6.492884882e+00,8.057077529e+01
2.555828214e+01,2.886045741e+01,8.813689670e+01,6.478376476e+01,1.308579992e+01,6.236355083e+00,8.546877049e+01,9.643081011e+01,5.704083356e+00,5.999883355e+01,3.740387093e+01,6.302963386e+01,1.856144786e+01,7.542938128e+01,5.517217330e+01,2.076939119e+01,6.164108975e+01,1.001894324e+01,8.599924524e+01,2.225122403e+01,5.802963050e+01,8.585924618e+01,9.760310140e+01,1.224768152e+01,6.800001960e+01,5.264719718e+01,9.384703725e+01,1.250409585e+00,1.463825844e+01,1.269924763e+00,6.779323737e+01,6.819907513e+01,5.256219694e+01,7.990668664e+01,8.733767478e-01,5.511093099e+01,8.937257046e+01,2.705249659e+01,8.153267771e+01,8.675671250e+01,6.270348645e+01,4.139586173e+01,9.500426252e+01,9.270632366e+01,2.738938954e+01,7.816231256e+01,3.690107119e+01
3.684957905e+01,1.878932094e+01,7.161599219e+01,8.928000057e+01,7.257421495e+01,7.142585008e+01,5.244435971e+01,4.443508957e+01,4.865352855e+00,7.576254644e+01,1.959664801e+01,7.178964439e+00,9.347672286e+01,3.149636316e+01,9.764385456e+01,7.841494548e+01,6.232876153e+01,7.535686289e+01,9.723818644e+01,7.073888415e+01,4.599451777e+01,6.371518487e+00,4.265749165e+01,6.002747010e+01,2.814675833e+01,5.066831462e+01,4.099589360e+01,2.028443869e+01,6.492467435e+01,6.618756270e+01,1.080543711e+01,9.216443594e+01,4.204126854e+01,7.033448985e+00,5.539601019e+01,6.173292862e+01,3.013856892e+01,5.159997961e+00,2.905972233e+01,6.127591705e+01,4.944754947e+01,9.614986593e+01,7.562672278e+01,2.806020791e+01,5.739992898e+01,6.326830100e+01,3.917773568e+01
1.003638817e+01,9.565010413e+01,5.544603190e+01,9.116102840e+01,3.581824675e+01,8.678810550e+01,2.831490645e+01,1.131795782e+01,9.076387425e+01,4.686334270e+01,1.334867888e+01,9.108068406e+01,6.744228987e+01,4.386873923e+01,7.257200280e+01,5.505559797e+01,4.358437472e+01,6.993209370e+01,3.579064389e+01,9.481226014e+01,2.192689589e+01,6.887302288e+01,9.099513304e+00,2.636063538e+01,3.072487705e+00,5.095901711e+01,1.194247291e+01,3.315526574e+01,7.405608936e+01,8.710702665e+01,1.567951737e+01,3.805566248e+01,4.196205628e+01,5.939610125e+01,5.813037070e+01,6.629718144e-01,5.506651476e+01,8.228054529e+01,6.784216177e+01,3.741250520e+01,6.313177261e+01,8.209297765e+01,9.829058900e+01,5.942588944e+01,9.250393729e+01,1.071605957e+01,1.880692891e+01
3.655624682e+00,9.252621941e+01,3.928097861e+01,1.812684796e+01,4.767810405e-01,5.791274624e+01,5.006294539e+00,1.243072581e+01,2.914277634e+01,2.094840073e+01,9.573528942e+01,8.209390869e+01,8.400523076e+01,1.437050834e+01,5.277305297e+01,5.223789442e+01,3.555008049e+01,7.682081945e+01,6.213795197e+01,7.388640553e+00,4.406134474e+00,3.064465379e+01,6.219320722e+01,4.478426759e+01,2.482961839e+01,9.058402208e+01,1.387949341e+01,5.979202954e+01,3.146032922e+01,4.932371335e+01,5.492709670e+01,7.351268839e+01,9.820752783e+01,3.288565882e+01,8.868618642e+01,2.648062302e+01,5.487523291e+01,8.146054422e+00,1.570411990e+00,1.505315759e+01,5.526068731e+00,1.280282047e+01,9.601811077e+01,6.281735705e+01,9.611165857e+01,7.157913954e+01,5.284498730e+01
7.335663111e+01,8.177858061e+00,3.071185246e+01,8.822505680e+01,1.158149036e+01,8.984683569e+01,7.227363727e+01,5.709090083e+01,9.561477397e+01,2.226551834e+01,3.068641590e+01,9.591195711e+01,2.578726341e+01,5.513264593e+00,4.040612577e+01,9.395631615e+01,9.883570883e+01,7.203194550e+01,9.922749526e+00,9.247386782e+01,8.682035122e+01,6.740071664e+01,9.774507668e+01,7.697145711e+01,2.095833949e+01,7.270445004e+01,1.959053000e+01,7.142785045e+01,7.353705725e+01,1.710302157e+01,8.359259814e+01,2.761077057e+01,3.334607686e+01,5.854846381e+01,5.034134959e+01,5.615596189e+01,7.046202617e+01,7.756389605e+01,8.755535021e+01,2.924916900e+01,3.881735068e+01,6.798488039e+01,9.019006897e+00,7.866102688e+01,8.757793681e+01,6.249011202e+01,1.035787864e+01
4.280134441e+01,5.747757331e+01,5.728352871e+01,5.997113200e+01,8.341867751e+01,1.260036746e+00,1.223870845e+01,3.676841048e+01,1.060910531e+01,9.197303919e+01,2.688171283e+01,3.853981633e+01,1.877353999e+00,1.614670847e+01,3.810946719e+01,6.347957300e+01,8.644015925e+01,4.904430364e+01,4.534457049e+01,4.432034462e+01,5.640902334e+00,1.576124457e+01,4.368627671e+01,1.927886241e+01,1.219300308e+01,8.513158594e+01,6.122683331e+01,6.058976870e+01,7.390086387e+01,6.519193298e+01,8.787407864e+01,7.167814241e+01,4.083622710e+00,6.385974013e+01,4.311045343e+01,8.479227093e+01,9.365868430e+01,4.929264360e+00,2.545519966e+01,9.733415655e+01,9.351513830e+01,4.527125150e+01,1.912946668e+01,9.975972345e+01,2.211711048e+01,2.829996319e+01,2.544720043e+01
7.733355991e+01,9.984904015e+01,1.455448952e+01,1.974351128e+01,4.950199419e+01,2.819261560e+01,8.463484990e+01,9.851374856e+01,2.757825643e-01,7.074594367e+01,7.059007311e+01,6.181350228e+01,6.693488938e+00,7.345574551e+01,1.533688054e+01,8.115063573e+01,6.365573014e+01,1.240974677e+01,1.935544495e+01,1.983464957e+01,6.564250878e+01,9.187033847e+01,1.472405409e+01,6.339514820e+01,3.613841681e+01,9.658073435e+01,4.308298204e-01,8.884522965e+01,5.105665260e+00,6.635730067e+01,5.929682195e+01,3.090609072e+01,6.557424839e+01,6.030812210e+01,9.668305220e+01,6.322149498e+01,1.878675547e+01,1.598978955e+01,4.646075653e+01,5.870969000e+01,6.321950271e-01,5.960524827e+01,6.788581536e+01,1.258117066e+01,7.842567623e+01,8.126522364e+01,6.116743538e+01
