v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48
6.547494768e+01,7.423470886e+01,9.942360764e+01,3.764204760e+00,1.052528259e+01,4.096695516e+01,2.415711204e+01,9.978853446e+01,4.133932756e+01,6.738697435e+01,8.943123885e+01,3.893543736e+01,7.885154256e+01,8.632280069e+00,9.173148927e+01,3.953825634e+01,9.150375757e+01,3.259538247e+01,7.470254317e+01,1.747606564e+01,2.072149231e+01,9.738753278e+01,8.098407721e+01,2.652153158e+00,7.348621333e+00,9.213228150e+01,1.072295943e+01,1.126146146e+01,1.399590133e+01,4.704754483e+01,6.276240413e+01,1.822315143e+01,4.901876516e+01,5.579500890e+01,2.837681868e+01,2.162392798e+01,6.691058928e+01,7.472322384e+01,2.051910784e+01,5.332840399e+01,8.992056845e+01,5.571149643e+01,7.792790853e+01,3.903836959e+01,9.059937127e+01,5.426098570e+00,5.478426995e+01,4.585634897e+01
4.515461155e+01,5.590233155e+00,7.330012216e+01,1.866234846e+01,1.015832071e+01,7.907092659e+01,3.561662818e+01,9.672973277e+01,4.573602041e+01,5.610815148e+01,8.571098671e+01,8.540282418e+01,2.469471726e+01,8.183596207e+01,2.607356680e+01,2.130811397e+01,2.281729474e+01,4.384435519e+01,6.638648979e+01,6.263569276e+01,6.476360491e+01,9.970037117e+01,6.244588585e+01,3.884078577e+01,2.927077943e+01,3.840931676e+01,9.715027415e+01,7.473796688e+01,4.101122685e+01,8.498684865e+01,1.729839739e+01,1.291109262e+01,9.429349834e+00,8.792056591e+01,4.781488394e+01,9.114704434e+01,7.449703189e+01,3.693509582e+01,4.408826477e+01,5.402543395e+01,4.091306286e+01,5.487844672e+00,8.573400324e+01,9.632571568e+01,9.652884323e+01,6.329826594e+01,4.144533793e+01,3.291868756e+01
6.163698525e+01,4.732823351e+01,8.844453775e+01,8.831935440e+01,9.342529570e+01,3.573674092e+01,7.449536283e+01,9.058449065e+01,9.678387512e+01,3.580063693e+01,2.513807906e+01,8.221132888e+01,7.104461231e+01,5.715064929e+01,3.501198340e+01,2.086128713e+01,6.937118349e+01,9.775069129e+01,5.929332405e+01,5.152409978e+01,3.164039098e+01,4.195781640e+01,3.101876387e+01,1.441222540e+01,3.060845380e+01,3.012169822e+00,6.971167549e+01,4.108710380e+01,1.995402924e+01,3.415418304e+01,9.089045480e+01,7.879648055e+01,4.187413364e+01,8.597852988e+01,4.585671047e+01,4.086393513e+01,7.230505314e+01,6.648523215e+00,2.563630163e+01,4.612339782e+00,2.350532116e+01,5.487081531e+01,7.363342447e+00,1.037016062e+01,9.164660442e+01,8.117458154e+01,9.013003539e+01,8.943252771e+01
9.963400002e+01,3.247768349e+01,5.786204733e+01,7.778675622e+01,2.321506376e+01,5.927926003e+01,6.587805269e+01,2.404713062e+01,6.002949591e+01,5.422040287e+01,9.758319699e+01,4.385109140e+01,1.246591929e+01,2.567708514e+01,9.713624936e+01,7.794420452e+01,6.488559551e+01,6.510327149e+01,7.865308604e+01,5.518795529e+01,9.235409994e+01,2.620980022e+01,3.137610432e+01,9.954079797e+01,5.861834682e+01,6.964948713e+00,3.945062471e+01,8.552257922e+01,6.815595342e+01,3.861475237e+01,7.895607877e+01,4.312262442e+01,9.258795724e+01,7.752162161e+01,6.850547300e+01,7.053157038e+01,2.242495258e+01,8.985535173e+00,4.286362280e+01,8.468392416e+01,6.792761887e+01,3.219547677e+01,5.773125954e+00,1.436660065e+01,2.145465633e+01,2.748387391e+01,6.813288018e+01,4.063178855e+01
6.060035735e+01,5.219612736e+01,3.152800415e+01,3.919378462e+01,2.957763862e+01,1.841740618e-01,5.165197537e+01,8.885745898e+01,3.290475526e+01,8.579028208e+01,6.153547195e+01,8.278444794e+01,4.215037556e+01,6.918286317e+01,4.616776350e+01,2.347328899e+01,2.580072654e+01,4.100453245e+01,5.540271014e+01,3.614257406e+00,5.294737275e+01,3.759946506e+01,8.210230034e+01,2.321348437e+01,5.077518825e+00,3.328845484e+01,7.024771598e+01,6.548361562e+01,5.657617156e+01,1.487948543e+01,6.653928483e+01,2.855662651e+01,5.923108177e+01,8.026101160e+01,4.524113472e+01,3.535968740e+00,6.714512251e+01,1.578753388e+01,3.733003772e+01,7.630091856e+00,2.814042344e+01,9.495649459e+01,9.360914983e+01,2.624186306e+01,5.887650273e+01,9.336684868e+01,9.211743358e+01,3.243663896e+01
1.506462516e+01,8.952881563e+01,9.008556323e+01,5.449489240e+01,8.418271207e+01,8.645966660e+01,1.590282323e+01,7.033620016e+01,6.583073135e+00,9.477136063e+01,4.500182613e+01,3.421245591e+00,6.086055893e+01,2.718218291e+01,4.516438477e+01,9.609906030e+01,4.140373375e+01,1.352234873e+01,8.529346610e+01,3.702976297e+01,7.299695765e+01,7.466888845e+00,2.388543193e+01,6.777253535e+01,7.572228375e+01,9.165271142e+01,9.166031885e+01,4.300156115e+00,1.349566255e+00,9.835108817e+01,4.585540956e+01,3.851137410e+00,7.922361743e+01,4.752139379e+01,2.729291128e+01,3.174367078e+01,8.037215898e+00,6.252290479e+01,9.764373944e+01,3.345958530e+01,2.992308822e+01,2.714385997e+01,6.721417104e+01,9.404130615e+01,1.150652843e+01,6.052192446e+01,1.803470235e+01,9.210131860e+01
3.018351732e+01,9.785390919e+01,3.066679786e+01,9.826363960e+01,7.386002862e+01,2.384309596e+01,2.302561216e+01,9.734378069e+01,7.467554682e+01,4.614466039e+01,7.639684555e+01,7.726639559e+01,1.380886938e+01,9.496397844e+01,2.598170123e+01,7.474036228e+01,4.676883749e+01,5.471097301e+01,3.046445967e+01,1.962783330e+00,1.557267223e+01,3.832420838e+01,7.937645524e+01,9.129528386e+01,9.022434113e+01,8.939796433e+01,7.377679899e+01,9.733037578e+01,9.918435021e+01,9.545450154e+00,8.704728202e+01,1.466126439e+01,1.278410149e+01,2.814578870e+01,6.048288700e+01,3.979836456e+01,6.723424094e+01,2.343205102e+00,7.527455572e+01,2.447420279e+01,4.962171928e+01,6.377410930e+01,1.120766308e-01,5.522846655e+01,4.466330363e+01,4.783941523e+01,5.490901470e+01,2.004853759e+01
6.795323918e+01,1.167109547e+01,2.784150437e+01,5.906835637e+01,6.043175370e+01,8.560041906e+01,1.341464065e+01,7.302621514e+00,7.067577873e+00,8.931499810e+01,5.445330490e+01,1.054737324e+01,6.062039956e+01,5.218799092e+01,1.678802818e+01,1.904029260e+01,9.245576992e+00,8.210528072e+00,8.029798032e+01,3.295538617e+01,4.387233990e+01,3.949928072e+01,9.582457837e+01,9.858532871e+01,8.362785686e+01,2.091051627e+01,6.158449070e+01,8.637734827e+01,7.180045264e+01,8.113031184e+01,1.533512365e+01,8.100176434e+01,2.485644291e+01,4.346021851e+01,7.777169572e+01,1.845930335e+01,8.955418619e+01,7.268186967e+01,4.856751407e+01,2.859861349e+01,1.364807473e+01,5.192331781e+01,8.663278316e+01,5.963317033e+01,3.517858317e+01,3.252275186e+01,1.502598186e+01,2.772943399e+01
5.325880812e+01,9.660109626e+01,5.882409040e+01,8.098663269e+01,6.206500436e+01,3.271818123e+01,7.238902218e+01,9.884331742e+01,7.941107836e+01,2.413412533e+01,8.229185147e+01,9.525719084e+01,5.066087543e+01,3.357734286e+01,3.337991259e+00,1.775859173e+01,8.051104344e+01,7.211639393e+01,8.921955458e+01,9.195486861e+00,7.265504025e+01,3.716411214e+01,9.097601376e+01,5.356859181e+01,1.130813795e+01,8.839184253e+01,7.486166168e+01,6.581705021e+01,1.690043698e+01,6.333906369e+01,6.269971909e+01,6.316097524e+01,2.678765473e+01,3.491862934e+01,6.124717739e+01,6.230651373e+01,8.389963064e+01,8.909187575e+01,3.803287768e+01,1.282657161e+01,3.900992049e+00,4.161498555e+01,1.838268137e+01,3.246498306e+01,9.433887771e+01,7.867195420e+00,6.304515008e+01,8.331206154e+01
4.395465999e+01,4.228722239e+01,6.551593221e+01,6.418147137e+01,2.522695779e+01,2.601720307e+01,5.506940311e+00,6.175163403e+00,3.612441980e+01,6.975414432e+01,2.274702129e+01,5.390752131e+01,4.288876282e+01,4.835060367e+01,1.949353299e+01,6.770008871e+01,4.840554750e+01,7.015480877e+01,9.109111045e+01,9.710021962e+01,7.817305449e+01,8.793228558e+01,8.468260709e+01,8.773027220e+01,3.699339731e+01,8.796537478e+01,8.787933466e+01,6.805683634e+01,2.556234178e+01,5.922656559e+01,2.947178475e+01,3.993578702e+01,7.627026488e+01,5.944754660e+01,5.708382153e+01,8.800989727e+01,2.035120554e+01,6.638063232e+01,9.553786612e+01,1.186682610e+01,3.214350686e+01,3.099533422e+01,7.205374944e+01,5.424552318e+01,6.237327396e+01,7.935843017e+01,9.531584249e+01,5.003814694e+01
