v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49
6.945971836e+01,4.911136877e+01,4.773569437e+01,3.825673683e+01,4.219245573e+00,9.532100505e+01,8.818807324e+01,1.923016644e+01,1.921180399e+00,1.561405288e+01,6.933067912e+01,9.114763935e+01,6.115409963e+01,1.527067166e+01,3.994397748e+01,8.239849555e+01,9.041113457e+01,9.405634829e+01,8.252129045e+01,4.800046391e+01,7.716226917e+00,1.517391838e+01,2.644421023e+01,8.283823403e+01,9.281408934e+01,8.883337929e+00,7.293968912e+01,8.331155177e+01,2.255525652e+01,6.276181751e+01,8.787082593e+01,8.587078731e+01,3.731748666e+01,7.854542865e+01,5.291991268e+01,7.149625475e+01,1.298359255e+00,8.256969314e+00,3.256117147e+01,1.169127049e+01,2.498324721e+01,2.259380215e+01,3.717768744e+01,1.921321982e+01,1.537860739e+01,3.753721304e+01,7.048103179e+01,1.513512233e+01,1.283242892e+01
6.270658156e+01,6.558505173e+01,7.019097952e+01,8.315595137e+01,3.196876736e+01,4.929734195e+01,5.499450814e+01,7.577151549e+01,3.440854979e+01,6.569292716e+01,4.979368612e+01,7.762149327e+00,9.822748630e+01,6.028882454e+01,8.253168994e+01,2.049477909e+01,9.140310604e+01,6.666195910e+01,9.417602441e+01,8.847095754e+00,6.979612738e+01,7.174817906e+01,6.927569458e+01,7.321361241e+01,9.866771026e+01,5.558170531e+01,4.958361212e+01,2.563149229e+01,9.203805679e+01,2.292749730e+01,6.580790261e+01,8.898073714e+01,5.483316920e+01,5.782263761e+01,2.303556664e+01,3.744399287e+01,1.972932773e+01,8.949759248e+00,1.199800387e+01,7.515348220e+01,9.711059164e+01,2.646030677e+00,5.729780766e+01,8.553949625e+00,2.353245420e+01,5.295396204e+01,2.931947058e+01,7.386943967e+01,9.449708751e+01
4.225374792e+01,6.267408447e+01,4.299057520e+01,3.352537971e+01,1.650834419e+01,1.453358262e+01,7.093168339e+01,9.984281815e+01,3.282164761e+01,2.605184954e+01,3.314874982e+01,9.414792659e+01,5.800526766e+01,7.390920164e+01,2.248847916e+00,1.320958928e+01,3.238777180e+01,6.047795347e+01,4.514618669e+01,1.335319988e+01,5.773898838e+01,4.633173855e+01,2.436069400e+01,2.204345393e+01,4.179283117e+01,7.034489548e+01,4.361215671e+01,9.763006206e+01,9.007516539e+01,2.242581315e+00,3.054041559e+01,8.013261721e+01,9.042646619e+01,9.088874876e+01,3.433871327e+01,5.504449376e+01,2.556043254e+01,9.243007463e+01,2.898279642e+01,7.903570484e+01,6.179230758e+01,2.096341379e+01,2.329602011e+01,7.671406055e+01,3.176883443e+01,6.720903531e+01,3.804273475e+01,9.531321593e+01,6.131155413e+01
6.831098261e+01,8.222345078e+01,4.749765124e+01,4.706231908e+01,5.397661104e+01,5.080751323e+01,5.193596081e+01,6.680496922e+01,8.417706591e+01,8.532004060e+01,2.899630390e+01,8.970699575e+01,1.843446283e+01,2.081037088e+01,9.112514973e+01,6.817308271e+01,6.920006725e+01,8.541130434e+01,5.535274569e+01,9.923682541e+01,5.595739146e+01,8.089327914e+01,5.893440327e+01,4.794149053e+01,3.765074314e+01,6.869603544e+01,7.536667102e+01,9.211628125e+01,2.201937514e+01,8.727706231e+01,5.030720729e+01,2.486762016e+01,5.211267764e+01,2.559400619e+01,8.841747159e+01,1.718428456e+01,6.256784327e+01,3.123936973e+01,1.241444030e+01,7.070404120e+01,6.903832064e+00,9.097453127e+01,8.897398848e+01,4.971474844e+01,9.811441974e+00,9.696515000e+01,6.321268616e+01,1.109115694e+01,2.328947739e+01
2.877389885e+01,4.859904493e+01,7.398478995e+01,6.221027430e+01,8.555561289e+01,4.636424468e+01,5.686943894e+01,2.280850286e+01,2.894632005e+01,5.814863904e+01,5.384783904e+01,9.792946241e+00,8.370467186e+01,5.989589238e+01,4.614235230e+01,4.108071224e+01,7.860304083e+00,7.296318540e+01,6.253730336e+01,2.652918625e+01,1.874930721e+01,6.900129067e+01,9.780538077e+01,7.394169576e+01,8.405121248e+01,8.168704901e+01,5.175615123e+01,2.253508423e+01,8.989512025e+01,6.928075118e+01,6.700092298e+01,9.075898667e+01,3.107135689e+01,9.218918860e+01,6.442412039e+01,6.735105269e+01,9.132936855e+01,7.146817640e+01,8.327276924e+01,8.291892247e+01,7.675503074e+01,6.543254906e+01,5.990381063e+01,7.157997250e+01,5.109268434e+01,3.849211534e+01,2.372792487e+01,9.212940923e+01,7.819105568e+01
8.941387093e+01,7.849402166e+01,9.309011546e+01,4.058027285e+01,7.482477207e+01,1.070601384e+01,8.333046057e+01,2.819719983e+01,2.239712392e+01,3.470197859e+00,8.902843440e+01,3.336697611e+01,3.727943300e+01,4.647829733e+01,5.697950904e+01,4.918704230e+00,1.797413820e+01,8.538760790e+01,3.447265098e+01,4.840251637e+01,3.517367136e+01,9.119109260e+01,1.121039184e+01,5.285703038e+01,6.324575864e+01,8.418523679e+01,8.504481984e+01,6.622232402e+01,4.483956314e+01,7.458564232e+01,2.463260386e+00,7.642656447e+01,7.075265829e+01,1.282131827e+01,5.256944856e+00,2.216402873e+01,3.489780053e+01,6.720499108e+01,5.999489267e+01,5.482845452e+01,9.999520076e+01,2.859348044e+01,6.811616466e+01,6.448282804e+01,2.654587030e+01,8.279377459e+01,8.639808209e+01,6.387572355e+01,9.068344302e+01
7.837060349e+01,1.941402592e+01,2.020659008e+01,9.982964279e+01,1.641919022e+01,9.022678094e+01,8.746527551e+01,3.348561731e+01,6.233892854e+01,5.243789657e+01,1.149541840e+01,5.486157261e+01,5.927357838e+01,1.896695611e+00,5.549477351e+01,8.531057698e+01,4.847659943e+01,4.196663204e+01,7.255335657e+01,9.796895996e+01,2.893071368e+01,9.373346111e+01,4.902991834e+00,1.956670570e+01,2.523493955e+00,2.369033912e+01,2.192901843e+01,2.953621493e+01,9.353140408e+01,4.209636430e+01,8.844560696e+01,4.075959288e+01,8.593904663e+01,5.278089162e+01,6.432561562e+01,6.291379500e+01,8.505989544e+01,4.107124042e+01,9.029379543e+01,2.911443963e+01,5.023549457e+01,3.343453359e+01,6.159300749e+01,4.606372260e+01,6.631225401e+01,4.399220944e+01,4.796317015e+01,9.681252322e+01,2.596844021e+01
5.179220765e+01,1.900791314e+01,8.780525413e+01,1.540205454e+01,9.009209765e+01,7.971193773e+01,6.750693149e+01,3.525377343e+01,8.713493637e+01,5.518122789e+01,3.054777634e+00,7.061800164e+01,2.025191070e+01,2.883106866e+00,7.591393456e+01,4.499853021e+01,8.316764151e+01,4.215317407e+01,1.071341618e+01,8.105049748e+01,7.374586234e+01,2.069877541e+01,1.991791643e+01,7.701986856e+00,2.861771325e+01,7.677379923e+01,6.786204707e+01,3.673791139e+00,6.367309892e+00,5.360424464e+01,9.923706538e+01,8.490505790e+01,7.441600100e+01,9.416644794e+01,9.234796588e+01,7.013043211e+01,8.860619943e+01,7.831829805e+01,6.115592806e+01,6.435726086e+01,5.159816660e-01,7.813184740e+01,8.198740645e+01,8.753395173e+01,6.260119632e+01,8.460053717e+01,7.749098220e+01,9.927907270e+01,7.983487452e+01
4.992070017e+01,1.748684791e+01,5.279818476e+01,4.611315172e+01,5.553472492e+01,6.381448001e+01,9.748442883e+01,5.373120241e+01,4.885182909e+01,8.411720336e+01,9.658317921e+01,9.916091909e+01,7.497119109e+01,7.717112626e+01,6.995079327e+01,2.555115529e+01,5.068743033e+01,7.289957530e+01,9.275044764e+01,2.761528095e+01,2.684331695e+01,6.272987773e+01,8.200974976e+01,7.430925622e+01,3.501531150e+01,7.876645565e+01,9.417748591e+01,7.854184748e+01,9.405360167e+01,4.267881906e+01,6.601474131e+01,3.896081116e+00,5.700362523e+01,4.037594090e+01,3.503708461e+01,1.071198677e+01,9.854443777e+01,3.312066263e+01,1.663230598e+01,3.373611493e+01,3.239924696e+01,3.921306752e+01,9.844094416e+01,8.924708687e+01,8.872017740e+01,9.083019776e+01,8.549771672e+01,2.680886928e+01,5.800190413e+01
8.615967224e+01,2.199129732e+00,2.039631193e+00,2.777717247e+01,6.117542883e+01,5.376901084e+01,5.039717190e+01,1.362970132e+01,4.359137237e+00,7.295257609e+01,7.781156266e+01,7.802953333e+01,3.556553166e+01,2.924348930e+01,1.653378495e+01,2.603236175e+01,4.424811235e+01,9.252927657e+01,1.793595107e+01,3.109389684e+01,9.305674970e+01,9.992040124e+00,4.792949463e+01,4.570899853e+01,3.637649176e+01,1.400972130e+01,2.204522308e+01,6.957287333e+01,8.602083606e+01,8.964034450e+01,9.859136392e+01,6.797485015e+01,9.121107045e+01,8.195384859e+01,9.897303099e+01,2.119284516e+01,7.913801340e+01,1.590289222e+01,7.428481785e+01,6.521299003e+00,7.273915484e+01,5.055130665e+01,1.606019586e+01,5.495029655e+01,2.999137914e+01,3.264539245e+01,3.717184688e-01,2.427393532e+01,2.107707292e+01
