v1,v2,v3,v4,v5
3.953172047e+01,6.260638037e+01,7.992179007e+01,5.173587230e+01,2.129691151e+01
8.953800942e+01,9.408748292e+00,3.021536611e+01,6.245509009e+01,9.338327486e+01
4.705533850e+01,4.654500471e+01,5.613479216e+01,2.082857163e+01,7.594105183e+01
4.053953908e+01,7.984241040e+01,3.833303876e+00,1.244742465e+01,7.860801480e+01
8.836273506e+00,3.158976581e+01,9.868333081e+01,4.274847596e+01,3.566058823e+01
8.258168112e+01,8.225291952e+01,6.539957525e+01,6.216179406e+01,8.743031985e+00
5.351834820e+01,7.944768076e+01,5.122038421e+01,6.620133349e+01,1.486164421e+01
3.112237659e+01,1.306257316e+01,7.054229952e+01,9.843588442e+01,1.959073407e+01
4.826093313e+01,5.199204538e+01,1.141371398e+00,3.701756380e+01,7.854586866e+01
9.568257923e+01,7.176001645e+01,2.326205026e+01,5.965677113e+01,4.434661746e+01
5.524844369e+01,5.515240767e+01,9.099742599e+01,9.396579386e+01,1.447272218e+01
5.312513470e+01,2.231033080e+01,2.871131012e+01,2.794455343e+01,8.453308342e+01
3.838579755e+01,2.449855596e+01,8.495861234e+01,2.638069229e+01,9.948027168e+01
6.652171990e+01,4.733605764e+01,9.257436508e+01,3.336317582e+00,7.550215912e+01
6.257228466e+01,6.954054591e+01,7.342071859e+01,5.317467058e+01,3.339325183e+01
3.910522585e+01,1.924558852e+01,8.779813915e+01,4.066606958e+01,6.700796484e+01
4.646445869e+01,2.052320113e+01,4.745451899e+00,7.344247594e+01,3.295264669e+01
5.016279798e+01,1.679902801e+01,9.694236036e+01,4.943267371e+01,8.562628241e+00
1.967807627e+01,5.896894118e+01,2.966558746e+01,7.412635515e+01,2.153693753e+01
7.015866518e+01,1.552433854e+01,9.615841271e+01,5.911876836e+01,1.545271077e+01
3.227635958e+01,6.673327418e+01,2.055555693e+01,5.201384428e+01,4.874840428e+01
8.887472884e+01,8.002045303e+01,8.158743604e+01,9.482155631e+00,4.022172959e+01
8.143103316e+01,7.225887389e+01,3.788668389e+01,8.248432656e+01,2.477877973e+01
3.001019365e+01,7.841156897e+01,2.390415562e+01,1.844352947e+01,5.409751834e+01
4.171835681e+01,7.738288044e+01,2.853244640e+01,4.037474507e+01,5.216153531e+01
4.513944687e+01,4.290369027e+01,3.712599984e+01,6.880009383e+01,1.711436626e+01
2.053676443e+01,8.873300258e+01,6.827514984e+01,9.977236582e+01,9.025236930e+01
2.072126776e+01,6.987038610e+01,4.590234105e+01,7.781492543e+01,2.410411514e+01
1.440154080e+01,8.994872782e+01,4.352088518e+01,9.247738800e+01,4.599230385e+01
6.446043402e+01,4.417595038e+01,4.261410978e+01,1.266705775e+01,3.076664012e-01
9.432863809e+01,3.672311903e+01,5.090617685e+01,5.295563575e+01,2.090387294e+01
8.542472970e+01,1.655663315e+01,7.831346363e+01,4.746568821e+01,2.398232410e+01
