v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50
5.229867009e-01,1.791259893e+00,4.324034990e+01,9.725739771e+01,3.244522907e+01,8.161119576e+01,4.897399075e+01,8.025578299e+01,7.348980429e+01,5.040189727e+01,4.626636878e+01,8.960299094e+01,5.287629129e+01,2.503854265e+01,5.800829840e+01,7.589415566e+01,2.210228278e+01,7.282110529e+01,2.918780457e+01,6.980306371e+01,9.267899680e+01,8.389523684e+00,3.804215785e+01,4.660203771e+01,8.395606657e+01,2.746690192e+01,6.863184609e+01,3.847904876e+01,4.398909248e+00,1.396657099e+01,4.122828586e+01,8.717194801e+01,9.853906573e+00,1.737320682e+01,1.311896707e+00,1.879830122e+01,3.587581232e+01,1.780241129e+01,6.035862184e+01,8.817208431e+01,4.824627535e+01,6.687148831e+00,9.624136098e+01,1.202011314e+01,4.888577386e+00,8.541320703e+01,8.157459495e+00,8.216023250e+01,6.106747185e+01,5.524395157e+01
7.882669751e+01,5.142738901e+00,7.933329736e+01,8.036679827e+01,3.161637519e+01,4.423874359e+01,2.668592361e+00,2.309531088e+01,3.517273258e+01,1.545724010e+01,9.716647104e+01,5.728214121e+01,6.700701277e+01,9.271684749e+01,5.667680582e+01,5.353237659e+01,2.066260862e+01,3.351326984e+01,5.395708269e+01,1.215689880e+01,8.430017633e+01,5.304076379e+01,1.149835874e+01,7.528907326e+00,4.056155971e+01,2.290571052e+01,6.975765417e+01,7.697859749e+01,9.302534225e+01,3.547378266e+01,1.135340111e+00,2.776409665e+00,8.072859740e+00,3.054258285e+01,9.417541725e+01,7.773237441e+01,5.340240809e+01,2.935750840e+01,5.634648445e+01,2.720492242e+00,8.696663077e+01,9.347783626e+01,5.115530075e+01,2.656780423e+00,4.529483813e+01,5.357124932e+01,2.406303173e+01,6.824736710e+01,7.528909426e+01,8.725171483e+01
9.343305268e+01,7.226374187e-01,7.624555608e+01,6.220071944e+01,2.899437125e+00,9.556799187e+01,2.678132078e+01,5.488694406e+01,7.633486155e+01,1.115413958e+01,8.964913713e+01,2.476571426e+01,7.024630196e+00,9.561610670e+01,8.169946681e+01,4.757965015e+01,1.611616536e+01,2.749771225e+01,2.488866095e+01,2.977439233e+01,7.486165924e+01,1.481067793e+01,8.460496038e+01,4.579433696e+01,9.321942251e+01,5.595833902e+01,8.556892648e+01,7.921712829e+01,7.495662081e+01,6.101757429e+01,3.235174875e+01,3.501620782e+01,7.167173111e+01,7.419542771e+01,4.419590477e+01,6.264890792e+01,4.862682738e+01,9.373215837e+01,9.810284209e+01,5.109800740e+01,3.273447022e+01,5.435875846e+01,7.180115319e+01,8.126302185e+01,2.340869888e+01,1.552500096e+01,6.885870414e+01,4.431387399e+01,4.824739946e+01,4.549164669e+01
7.450956781e+01,8.792418661e+00,6.407184571e+01,2.943544833e+01,7.758768827e+01,6.580175168e+01,8.136630461e+01,8.494451278e+01,7.336295786e+01,8.574989503e+01,7.346451080e+01,9.855537207e+01,2.652242421e+00,4.968531985e+01,2.198949106e+01,6.057522735e+01,7.017156548e+00,2.642264509e+01,7.572019355e+01,7.164759301e+00,6.067040717e+01,9.790278912e+01,3.484888397e+01,3.404442360e+01,5.118936281e+01,6.787031594e+01,5.244883122e+01,8.977163050e+01,7.857832044e+01,1.482656732e+01,4.088807858e+01,2.575594621e+01,4.080914586e+01,3.286736814e+01,3.221804762e+01,6.725175062e+01,6.312096943e+01,5.898220397e+01,2.029140801e+00,3.385239272e+01,7.620601057e+01,7.048535905e+01,1.191632998e+01,7.557747278e+01,2.453531757e+01,2.589958669e+01,7.206258374e+01,4.090267764e+01,9.227473585e+01,1.472060416e+01
6.109803479e+01,6.686299609e+01,9.271348232e+01,1.766896145e+01,2.485298482e+01,3.732628144e+01,8.264369149e+01,4.920348833e+01,5.128111158e+01,6.275372787e+01,1.606075012e+01,7.929118048e+01,1.877537738e+01,5.023769506e+01,4.420224036e+01,9.063671564e+01,8.212473511e+01,8.071700488e+01,8.026596922e+01,4.051340085e+01,9.008582915e+01,7.561557805e+01,9.597556295e+01,2.975519266e+01,9.831725750e+01,6.219531802e+01,3.639665742e+00,7.730179372e+01,5.554631990e+01,8.185747703e+01,5.221021519e+01,9.447827267e+01,1.707269592e+01,7.398648578e+01,3.814950810e+01,3.107839504e+01,5.939685383e+01,9.786357409e+00,4.366659293e+01,9.137602383e+01,4.386937086e+01,8.935300493e+01,8.167198864e+01,7.936016841e+01,5.042230934e+01,5.758470307e+01,4.499420089e+01,5.548537322e+01,3.099108968e+00,5.981995355e+01
6.644847277e+01,6.322227380e+01,7.234991045e+01,2.526127407e+01,3.256035950e+01,5.162763786e+01,8.537276932e+01,1.058881921e+01,6.588851728e+01,9.441852612e+01,2.727576604e+00,7.599760301e+01,2.761698447e+01,9.078796843e+01,3.517785171e+00,6.331979952e+01,7.121711350e+01,9.318954640e+00,2.875873581e+01,9.807184638e+00,2.789499489e+01,1.671595227e+01,2.115236189e+01,2.480298922e+01,8.927264514e-01,8.924092975e+01,9.213802212e+01,5.370779155e+01,6.128318028e+01,3.414361935e+01,4.046274030e+01,2.191402191e+01,2.473666188e+01,4.811743343e+01,7.202631116e+01,9.589973329e+01,4.248419332e+01,2.536224298e+01,5.090402924e+00,6.556205040e+01,5.490643608e+01,3.930058498e+00,8.657535527e+01,9.270077324e+01,4.097707156e+00,9.612337658e+01,6.967642809e+01,4.073426398e+01,6.435501357e+00,4.663783656e+01
4.828098090e+01,2.152407337e+01,3.449739141e+00,1.593535646e+01,5.400544786e+01,6.461268921e+01,3.612851428e+01,7.169890443e+01,5.781891354e+01,4.392292999e+01,7.613159293e+01,4.694380468e+01,5.574997527e+01,7.112006340e+01,7.506566356e+01,7.997271049e+01,4.883180916e+00,5.762954921e+01,9.475150512e+01,1.875074648e+01,1.451892715e+01,5.783555294e+01,4.332145875e+00,9.673799117e+01,8.353831972e+01,9.841868496e+01,3.339691157e+01,3.607611883e+01,9.360390412e+01,4.925771450e+01,4.012317282e+01,5.741735485e+01,2.389057236e+01,2.684117838e+01,2.037769227e+01,8.879401317e+01,2.100259012e+00,2.311859830e+00,9.410910948e+01,3.714545738e+01,5.037499268e+01,1.243428713e+01,3.424516213e+01,6.080490106e+01,4.117432775e+01,1.828774296e+01,8.420220744e+01,2.901843101e+01,8.855120040e+01,4.304834492e+01
4.155573445e+00,2.569909974e+01,3.047866451e+01,9.113961417e+01,4.047674977e+01,5.685173855e+01,7.028466236e+01,5.255413737e+01,8.322701494e+01,1.191961019e+01,3.323143200e+01,5.087708596e+01,4.741747241e+01,5.203484625e+01,4.101903929e+01,1.104688299e+01,9.534169432e+01,1.296002703e+01,3.625179661e+01,9.993502697e+01,7.742093912e+01,5.334183495e+01,6.686109338e+00,1.135326074e+01,8.406649631e+01,5.119886550e+01,5.587604075e+01,5.157773883e+01,1.151247342e+01,1.554873787e+01,7.528196557e+00,3.220812940e+01,7.930293648e+01,1.338239564e+01,2.954684824e+01,9.059512249e+01,2.332490232e+01,8.623234666e+00,5.187440137e+01,1.574154566e+01,4.297496370e+01,5.189447729e+01,1.093451510e+01,6.344758089e+01,6.842138780e+01,3.988653709e+01,5.906312890e+01,6.416872017e+01,6.144858513e+01,8.683623413e+01
4.151488841e+01,2.204131821e+01,7.581382693e+01,7.785220567e+01,1.705034294e+01,7.591644108e+01,1.001928950e+01,2.710569133e+01,9.724614155e+01,1.705185658e+01,5.648467516e+01,1.050522531e+00,6.465587168e+01,1.860563174e+01,6.631343987e+01,4.367470408e+01,6.128413170e+01,7.467639263e+01,7.445396677e+00,3.099165507e+01,3.499051147e+01,5.057933042e+01,2.796588581e+01,6.352657137e+01,7.733229805e+01,6.921582458e+01,6.570303008e+01,8.582127596e+01,2.016672074e+01,8.111979435e+00,4.453053075e+01,5.328206255e+00,8.621202699e+01,2.749692779e+01,6.001882996e+01,4.353855934e+00,6.788244012e+01,2.847704820e+01,4.582764778e+01,8.930056793e+01,1.300323539e+01,5.312606225e+01,6.960290530e+01,1.545833592e+01,2.011494948e+01,2.961979337e+00,1.443160026e+01,2.284556666e+01,3.911605001e+01,3.224358291e+01
9.114153681e+01,7.572176542e+00,9.280883123e+01,6.547668477e+01,8.707612222e+01,1.173822380e+01,4.782518096e+01,3.827631312e+00,5.148378537e+01,4.694945210e+01,8.572992767e+01,7.057839218e+01,8.816169015e+01,3.424847732e+01,6.706051231e+01,6.931944103e+01,8.454000224e+01,8.850957610e+00,7.749340662e+01,5.397725402e+01,8.049963418e+01,9.786621090e+01,6.900896541e+00,5.556489366e+01,1.542970488e+01,6.795159220e+01,9.729657570e+01,5.564313926e+01,9.580459547e+01,7.495734501e+01,1.929737930e+01,2.487781357e+01,9.258961590e+01,2.170815257e+01,8.060015688e+01,3.754840917e+00,2.775666935e+01,1.096277184e+01,2.683101086e+01,8.439813962e+01,2.765523845e+01,1.505290236e+00,8.999888981e+01,4.313113031e+01,8.544210011e+01,9.936591655e+01,2.692468859e+00,3.915511578e+01,3.776147899e+01,7.307256527e+01
