v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51
8.120180150e+01,8.282799177e+01,6.912879649e+01,9.274170617e+01,6.789430088e+01,1.396187427e+01,6.356832686e+01,6.180372039e+01,7.816270262e+01,5.253452891e+01,8.963499455e+01,6.417596037e+01,3.729457149e+01,1.176838665e+01,9.211495947e+01,2.976155940e+01,1.945598635e+01,7.001820398e+01,4.085196959e+01,3.087730665e+01,1.368253142e+01,9.159314237e+01,1.236289536e+01,2.227994512e+01,5.870402379e+01,2.702630421e+01,3.927462595e+01,6.873605478e+01,4.015648932e+01,5.518784342e+01,9.770992351e+01,8.514604738e+00,6.362784722e+01,5.101161617e+01,3.504244996e+01,9.728028644e+01,5.854122171e+01,6.865468568e+01,8.015672913e+01,4.216987690e+01,9.089368509e+01,7.755859198e+01,9.011083409e+01,8.039772277e+01,1.367971473e+01,1.933372885e+01,3.534637478e+01,1.632225129e+01,3.707856166e+01,1.708814229e+01,4.977674698e+01
1.564951625e+01,9.302481875e+01,7.689252737e+01,1.273557389e+01,1.503351870e+00,9.559670905e+01,9.367044428e+01,9.546844854e+01,8.147709376e+01,1.487691488e-01,8.560139934e+01,4.243439618e+01,8.440861758e+01,1.090201144e+00,7.255464872e+01,8.339717444e+00,4.969100993e+01,5.302636604e+01,7.620170701e+01,7.459728705e+01,4.633262192e+01,9.657403363e+01,5.582357542e+01,1.856184544e+01,6.193214917e+01,8.129875207e+01,7.292399705e+00,6.799403867e+01,9.331171448e+01,2.254481677e+00,4.125320499e+01,5.376176403e+01,8.936531935e+01,2.468192952e+01,4.296148558e+01,4.682607094e+00,2.190172732e+01,2.396856429e+01,4.158587169e+01,8.150877879e+01,2.157526813e+01,9.104532646e+00,1.430533966e+01,2.628568852e+01,2.769275271e+01,8.599381582e+01,1.027421109e+01,6.534716809e+01,1.755579663e+01,3.313771455e+01,2.742818053e+01
8.528238190e+01,7.835034193e+01,1.475544734e+01,7.476774884e+01,8.828382183e+01,8.527699957e+01,1.211860298e+01,7.781186437e+01,5.804880145e+01,4.346087602e+01,3.534093382e+01,3.468900597e+01,3.030895990e+01,8.017562655e+01,7.153191578e+01,6.701776905e+01,6.411064050e+01,7.809276655e+01,2.667008781e+01,4.177330245e+01,9.404170707e+01,8.342625464e+01,1.659819013e+01,7.591669202e+01,4.363200502e+01,7.036875609e+01,3.973444676e+01,4.627523125e+01,9.943995117e+01,8.186047771e+01,8.944749311e+01,5.466518936e+01,5.370216040e+01,6.853636687e+00,8.836889383e+01,4.264949841e+01,3.211552890e+01,5.719158301e+00,8.851166185e+01,2.939339109e+01,1.073006229e+01,8.410753197e+01,5.732022898e+01,4.954480269e+01,3.359399964e+01,1.691327634e+01,2.349028932e+01,9.601743883e+00,8.140874228e+01,8.586520281e+01,4.576893014e+01
8.115751941e+01,3.367192618e+01,9.182794591e+01,1.734655806e+01,6.119722590e+01,5.816131582e+01,4.027852741e+01,3.508345971e+01,5.849975747e+01,7.288199223e+01,6.110264433e+01,5.760314028e+01,8.405151897e+01,8.938394296e+01,8.675947018e+01,1.890070551e+01,5.194592585e+00,3.954870695e+01,4.806926530e+01,3.100012219e+01,6.361876175e+01,2.454729771e+01,1.984040202e+01,6.090514807e+01,4.005456468e+01,8.369495658e+01,7.756294096e+01,8.407758752e+01,9.122036907e+01,6.640019296e+01,7.630381115e+01,2.146481959e+01,3.422921457e+01,9.530328946e+01,5.609287348e+00,1.054114643e+01,8.238185011e+01,2.686360322e+01,3.641610976e+01,6.928053439e-01,9.895254382e+01,2.097964761e+01,1.541147734e+01,5.832701643e+01,3.979743997e+01,7.661480524e+01,4.992358139e+00,9.389451704e+00,9.782463102e+01,4.867115938e+01,3.003782941e+01
7.134816089e+01,9.581675459e+01,7.825022687e+01,3.883592945e+01,9.861200933e+01,6.866590203e+01,8.893845926e+01,1.846571308e+01,1.402138724e+01,8.213439633e+01,8.146517761e+01,8.998428520e+01,5.256513435e+01,8.735196741e+01,4.775325747e+01,8.263725861e+01,2.042938190e+01,5.502333735e+01,8.180819724e+01,3.074536349e+01,4.737364256e+01,1.830806902e+01,3.219949656e+01,3.655336750e+01,3.884210389e+01,1.212988349e-01,5.735154744e+01,8.193986193e+01,8.547091162e+01,7.271955362e+01,9.385839716e+01,9.884967008e+01,5.293697047e+01,5.136345953e+01,1.094014440e+01,7.560563842e+01,7.325931707e+01,9.558639608e+00,3.825458464e+01,6.645892265e+01,7.589737751e+01,9.846237841e+00,7.470157095e+01,5.683902264e+01,1.049761732e+01,1.220298177e+01,4.351517055e+00,9.219749960e+00,1.899406662e+01,4.342427679e+01,2.721043426e+01
3.128338265e+01,8.245196347e-01,9.976163088e+01,3.509511446e+01,1.222586137e+01,3.542438399e+01,4.767368250e+01,3.630565786e+01,6.162949572e+01,1.821513535e+01,4.168856324e+01,8.399656342e+01,2.354869564e+00,2.847562173e+01,5.376668610e+01,9.669285710e+01,5.946645993e+01,5.141589211e+01,7.824080697e+01,6.646572441e+01,9.160917699e+01,5.766973544e+01,4.568548594e+01,2.072081601e+01,3.976410817e+00,2.486349345e+01,2.908964464e+01,1.820178604e+01,1.469342529e+01,7.419722210e+01,7.741908325e+01,7.281695591e+01,4.046005760e+01,2.991407466e+01,5.294068925e+01,3.572864321e+01,6.905890040e+01,3.934229924e+01,2.629221622e+01,4.005777088e+01,7.480577512e+01,7.105980497e+01,5.013385330e+01,5.370031705e+01,1.766683224e+01,8.832167211e+01,4.405494499e+01,1.916033747e+01,6.011964321e+01,3.379848458e+01,1.908409923e+01
1.666636827e+01,2.842758108e+01,5.936704712e+01,7.689918773e+00,5.493590042e+01,6.335865929e+01,3.126086150e+01,9.971843619e+01,4.696770178e+01,6.513970674e+01,2.827033984e+01,9.709352836e+01,7.909594297e+01,8.467086007e+01,8.190940489e+01,2.175600835e-01,2.464561335e+00,1.043898496e+01,1.435791744e+01,8.566766281e+01,1.214259215e+01,9.743159127e+01,3.945436292e+01,7.725790331e+01,4.958860267e+01,2.442488781e+01,1.592751431e+01,7.943004778e+01,3.689750578e+00,1.996900353e+01,7.857172739e+01,7.712592632e+01,1.573450804e+01,3.671621943e+01,3.141142231e+01,5.377381655e+01,9.496342462e+01,3.021154114e+01,3.332583594e+01,9.636114537e+01,1.002769319e+01,4.205717415e+01,2.626848454e+01,9.718189676e+01,8.765723585e+01,6.245659846e+01,7.026203943e+00,8.697045559e+01,3.863350567e+01,5.368149616e+00,3.709695467e+01
1.246441449e+01,6.860919793e+01,9.724483727e+01,2.928690723e+01,1.703903123e+01,5.494003535e+01,7.401236508e+01,3.766028331e+01,9.867619294e+01,6.222046860e+01,4.068205481e+01,7.223314676e+01,6.901912493e+01,5.943521340e+01,2.357050885e+01,6.846154893e+01,1.084810026e+01,1.888048768e+01,2.435276921e+01,3.182053856e+01,3.414740982e+01,8.508256412e+01,3.106553456e+01,5.007202148e+01,8.177435207e+01,5.047151793e+01,6.062540437e+01,3.088528438e+01,3.092307455e+01,7.115239979e+01,5.076885994e+01,8.682682523e+01,3.341255779e+01,4.862527517e+01,9.834307895e+01,7.484165845e+01,8.848394936e+01,9.794058092e+01,1.594584634e+01,7.221523468e+01,7.377098272e+01,9.411466913e+01,9.093654192e+01,2.759273809e+00,8.998803123e+01,7.892817194e+01,3.448426140e+01,2.877447691e+01,7.214613994e+01,1.064778189e+01,1.457596440e+01
5.103066494e+00,5.134709890e+00,9.442664995e+01,5.635787349e+01,8.067613093e+01,4.999856998e+01,6.125290765e+00,1.244175370e+01,4.956893821e+01,4.461265921e+01,4.934474950e+01,7.219102437e+01,1.021951227e+01,1.631143799e+01,2.373980234e+01,3.033084458e+01,8.705451577e+01,6.056367820e+01,3.590377315e+01,4.958949438e+01,1.650038723e+01,3.507948436e+01,2.396281118e+01,4.390594514e+01,5.247308294e+01,9.311825095e+01,1.645230892e+01,5.391797341e+01,9.508521671e+01,5.278970634e+01,7.566071610e-01,9.927362273e+01,2.528527052e+01,1.929436396e+01,8.211110566e+01,7.105299835e+01,6.250358688e+01,4.683394872e+01,1.291922787e+01,3.345252708e+01,8.822955413e+01,2.331873160e+01,4.422110698e+01,8.127662148e+01,5.544459054e+01,2.936867128e-01,5.748075469e+01,2.479476055e+01,2.525210371e+01,2.557243845e+01,9.727791436e+00
4.365842144e+01,4.875629859e+01,4.151913505e+01,7.486944279e+01,6.630009178e+01,1.868075118e+01,5.678477055e+01,7.947099307e+01,1.932583163e+01,1.438315792e+01,3.377607490e+01,4.160778432e+01,8.204460817e+01,5.666122651e+01,8.498000553e+01,8.877805690e+00,1.591544662e+01,4.760943728e+01,1.479401926e+01,7.862083645e+01,7.748277495e+01,7.146785842e+01,9.642595418e+00,5.253364845e+01,4.676338353e+01,8.653975952e+01,8.320070103e+01,8.470275191e+01,8.292160154e+01,3.229658339e+01,2.549749206e+01,7.795622417e+01,3.313812021e+01,8.393705910e+01,6.582705861e+01,9.801498041e+00,6.980405751e+01,9.510207741e+01,9.280288657e+01,7.824090652e+00,6.631198725e+01,7.094108951e+01,8.734588247e+01,1.119240066e+01,1.225373161e+01,5.163400135e+01,7.599269261e+01,9.462104839e+01,9.949246858e+01,5.429152782e+01,2.429061015e+01
