v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52
4.498043882e+00,6.336201298e+01,2.077262093e+01,4.247560888e+00,7.124280323e+01,5.570798098e+01,4.056960946e+01,1.984904536e+01,4.291101239e+01,1.325967746e+01,7.178118162e+01,3.533187382e+00,5.695198309e+01,4.974808841e+01,4.433808164e+01,5.858571795e+01,6.227344933e+01,8.946358285e+01,3.467145410e+01,5.634186442e+01,9.361998817e+01,9.692232998e+01,6.456155554e+01,6.150703289e+01,3.574211362e+01,9.100081857e+01,6.343603737e+01,3.772890232e+01,8.584444684e+00,9.378120755e+01,6.153688163e+00,2.492317520e+01,4.500329274e+01,1.761856790e+01,5.004034823e+01,8.782430863e+01,7.621195702e+00,6.713804754e+01,5.021289327e+01,3.458005900e+01,9.060352578e+01,4.598912472e+01,5.361147715e+01,8.702704774e+00,7.045886206e+01,8.030953347e+01,3.542340549e+01,1.981320355e+01,8.874181605e+01,4.546878773e+00,1.603095685e+01,6.194568694e+00
8.505305510e+01,1.567146951e+01,8.072037669e+01,9.732982498e+01,2.268697767e+01,1.101864716e+00,5.158279617e+01,4.151945597e+01,2.445740439e+01,9.518911311e+01,1.075760471e+01,8.241915137e+01,7.175329552e+01,2.907188338e+01,6.855413261e+01,7.378030580e-01,1.260733722e+01,5.307539186e+00,9.348321560e+01,8.492164980e+01,7.330969986e+01,7.270746004e+01,7.558680674e+01,5.460179001e+01,7.430813672e+00,6.875438429e+01,3.968589440e+01,3.551153550e+01,1.489937092e+01,7.843322515e+01,8.665424128e+01,5.246712473e+01,8.962211205e+01,5.993991019e+01,1.927863891e+01,9.408742689e+01,4.379567281e+01,4.062590114e+01,7.248003609e+01,5.234796872e+01,9.755022843e+01,9.282677132e+01,2.292508119e+01,5.277694328e+01,3.677488674e+01,2.846608799e+01,7.744443911e+01,8.690658104e+01,8.677940998e+01,9.087177338e+01,6.921965450e+01,2.776448256e+01
5.273961651e+01,7.255602769e+01,9.802781650e+01,3.712361098e+00,8.357315284e+01,9.728121888e+01,1.021928737e+01,1.042476314e+01,2.959049858e+01,8.251862688e+01,5.468570584e+01,6.568299165e+01,2.377868787e+01,8.606533102e+01,4.206293712e+01,2.760186808e+01,4.854066762e+01,6.996187991e+01,9.814373584e+00,4.688124721e+01,6.999005038e+01,7.388443160e+01,9.545151778e+01,4.345808423e+01,4.430210747e+01,9.138530214e+01,6.222707539e+01,5.465648009e+01,6.281715252e+01,4.945260541e+01,9.906913856e+00,2.576787384e+01,2.696697972e+01,9.603548753e+01,3.635249312e+01,3.126390147e+01,6.177339477e+01,2.946153251e+01,7.176942237e+01,6.583484975e+00,4.253803254e+01,6.211863957e+01,7.360377178e+01,1.596450489e+01,8.928799168e+01,1.400178163e+01,2.440581388e+01,8.305658282e+01,6.635034073e+01,3.723239722e+01,8.441007066e+01,1.545986434e+00
7.353761544e+01,3.914467846e+01,5.904340027e+01,8.131314006e+01,5.019814797e+01,3.200581134e+01,6.075724941e+01,1.944073277e+00,7.274085462e+01,1.345022137e+00,7.936314308e+00,4.342399719e+01,2.414944974e+01,6.378314382e+01,7.582239129e+01,5.833585562e+01,8.632081203e+00,5.152184482e+01,8.861819331e+01,6.949287148e+00,6.005027785e+01,4.886049777e+01,2.174846155e+01,3.492216311e+01,6.952745365e+01,5.213857060e+01,3.171347015e+01,1.491896672e+01,8.883929498e+01,3.616218763e+01,4.479193058e+01,5.321460624e+01,9.118594762e+01,9.896459327e+01,2.334130394e+01,3.372071641e+01,4.005939367e+01,9.651230067e+00,7.126045738e+00,3.809965430e+00,5.216159284e+01,5.641357171e+01,9.081996311e+01,7.505801316e+01,2.088392737e+01,8.061895192e+01,9.722137825e+01,9.771663395e+01,2.697457982e+01,2.213707284e+01,1.548793145e+01,6.969325518e+01
1.963869332e+01,6.162138048e+01,8.408474942e+01,5.781179457e+01,5.210986791e+00,5.664724748e+01,1.844423577e+00,1.094115881e+01,8.206544321e+01,8.789031831e+01,7.223632122e+01,7.458190566e+01,6.118883981e+01,9.597085252e+01,8.463129487e+01,3.073253932e+00,6.541006898e+01,4.551744187e+01,9.134783747e+00,4.007242672e+01,6.349841944e+01,5.480129529e+01,8.350735582e+01,5.952850508e+01,2.204578954e+01,5.817847038e-01,3.445663832e+01,1.938484054e+01,2.764330563e+01,5.095809933e+01,3.789696506e+01,4.977677816e+01,9.938790811e+01,5.568172335e+01,3.596756846e+01,5.913781031e+01,1.821498861e+01,8.348608201e+01,1.423261291e+01,1.494031626e+01,8.893755749e+01,4.703145829e+01,7.253211263e+01,3.852242040e+01,2.898072808e+01,6.523642365e+00,5.040328870e+01,2.228212834e+01,2.068670166e+01,4.963084682e+01,3.159473205e+01,4.043909697e+01
9.052768579e+01,9.780082736e+01,3.064892772e+01,6.418324825e+00,3.383080822e+01,7.360360889e+01,9.822821353e+01,2.518112693e+01,8.928960349e+01,3.838704719e+01,7.380799217e+01,2.618771002e+01,1.532980143e+01,5.400256226e+01,4.401863519e+01,4.598132715e+01,6.503990939e+01,6.610766189e+01,9.086943576e+01,1.668692592e+01,5.900173767e+01,9.621269214e+01,8.912271399e-01,7.203814695e+01,1.613782631e+01,4.099745441e+00,8.207414056e+01,7.715024601e+00,7.494418439e+01,9.139540849e+00,8.824610959e+01,3.937716846e+01,3.949219171e+01,9.989778314e+01,5.375528690e+01,4.965438269e+01,4.383454678e+01,7.723630242e+01,3.965526574e+01,9.742468232e+01,2.189888064e+01,5.267754193e+01,1.681989610e+01,3.226769854e+01,5.831916895e+01,6.215661897e+01,6.531107233e+01,4.351635624e+01,4.488028023e+01,6.681207515e+01,3.497495080e+01,9.845332389e+01
2.808857365e+01,7.640161153e+01,1.700733120e+01,5.161942470e+01,1.688657027e+01,1.688099319e+01,4.763465262e+01,6.036668468e+01,8.352482905e+01,6.596362202e+01,9.376098707e+01,5.476211375e+01,6.678531978e+01,1.046073565e+01,4.150208139e+01,5.049032405e+01,9.559142182e+01,8.794589774e+01,4.734617521e+00,8.887613010e+01,2.118120470e+01,9.457220054e-01,2.397249494e+01,9.725532611e+01,8.660010477e+01,4.971482024e+00,6.120534155e+01,9.493849742e+01,6.457270250e+01,5.566123472e+01,5.285084894e+01,7.696897248e+01,5.121963438e+01,5.267992646e+01,6.594459560e+01,9.518259014e+01,5.795474967e+01,7.347372584e+01,2.807582745e+01,5.669542327e+01,2.144764277e+01,8.983615314e+01,5.660363198e+01,9.082064093e+01,9.472903106e+01,6.633363209e+01,3.200604876e+01,8.026863081e+00,5.904886051e+01,2.166315723e+01,2.970850908e+00,3.912818512e+01
5.582113594e+01,1.688568817e+01,5.521152556e+01,8.840657937e+01,3.818511202e+00,2.732721530e+01,6.811561678e+01,2.620231223e+01,7.848686067e+01,9.663179368e+00,8.913775248e+01,5.115245854e+01,7.734629019e+01,4.895049144e+01,2.889344462e+01,8.675573340e+01,6.342804377e+01,7.838848787e+01,2.077717292e+01,2.064391420e+01,4.308427863e+01,5.619953598e+01,1.251370181e+01,3.654389425e+01,5.429183708e+01,3.608712474e+01,7.046936171e+01,5.999581561e+01,7.437165131e+01,8.465783979e+01,6.950644203e+01,4.468744972e+01,1.988750348e+01,5.949835914e+01,6.526817239e+01,1.614287070e+01,8.578979795e+01,3.489700346e+01,4.445500860e+01,8.385283986e+01,5.231842522e+01,2.285301570e+01,4.749180091e+01,5.994620753e+01,8.744416793e+00,7.280204594e+01,3.465926549e+01,1.568157553e+01,4.177657023e+01,1.922084403e+01,8.242487284e+01,2.032042758e+01
3.973177419e+01,8.501675928e+01,9.251074584e+01,9.011130416e+01,2.076401407e+01,5.623410812e+01,5.876108069e+01,3.468848257e+01,4.205380309e+01,3.466456754e+01,9.599719052e+01,7.440357604e+01,6.948116712e+00,2.884872284e+01,4.749492320e+01,9.106891259e+01,7.792749531e+01,6.684288676e+01,4.317764516e+01,8.697717516e+01,4.966956756e+00,8.870566223e+01,9.510620093e+01,6.033194629e+01,6.937289853e+01,1.959282493e+01,1.720661561e+01,8.368534880e+01,6.597267248e+01,1.015702363e+00,3.392775831e+01,6.315539170e+01,2.324667866e+01,3.685811914e+01,2.658451010e+01,8.269234109e+01,4.604165102e+01,1.948475355e+01,8.325690088e+01,8.804658562e+01,7.737905756e+01,7.557630569e+01,6.561260997e+01,7.827293661e+01,1.516255433e+01,7.149477337e+01,8.934901865e+01,6.232541559e+01,7.540965258e+01,1.436073136e+01,3.491414298e+00,8.315675539e+01
3.448531787e+01,9.546839340e+01,4.181561278e+01,9.149029897e+01,7.910963594e+01,1.837471351e+01,9.599654549e+01,4.797082815e+01,1.084179127e+01,1.563877327e+01,7.184705334e+01,7.051419463e+01,4.816288079e+01,3.205747498e+01,9.670467081e+01,4.732907503e+01,6.990027477e+01,4.026417404e+01,6.205782617e+01,1.093991200e+01,4.470981206e+01,1.836029341e+01,3.746436321e+01,9.452514700e+01,3.781703266e+01,2.449354733e+01,1.636106183e+01,3.540384318e+01,5.062177190e+01,7.254491020e+01,2.649727515e+01,9.450166897e+01,4.015949260e+01,2.908621718e+01,8.470408632e+01,6.280767318e+00,6.400366469e+01,5.545906801e+01,9.690841766e+01,7.437319836e+01,3.721723570e+01,5.545529803e+01,7.688273405e+01,9.447907283e+01,7.304192468e+01,2.481248315e+01,5.233733216e+01,7.652274174e+01,8.680058874e+00,1.127315937e+01,4.016341496e+01,8.989195365e+01
