v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53
4.228779621e+01,6.304526865e+01,2.168865622e+01,9.448990783e+01,1.133084836e+01,6.997428817e+01,6.766278827e+00,1.087207700e+01,3.934509342e+01,5.310932271e+01,5.978745782e+01,5.457906205e+01,3.865532327e+01,6.302128191e+01,4.735050956e+01,4.016835530e+01,2.925188457e+01,5.099745822e+01,5.702728718e+01,4.712245981e+01,4.627217700e+01,9.414906866e+01,6.684702211e+01,2.133064478e+01,9.867450407e+01,1.777285512e+01,2.665555800e-01,5.998201698e+01,5.276943338e+01,5.642189776e+01,9.447236866e+01,2.176898320e+01,1.805884512e+01,2.346308758e+01,2.931420935e+01,5.631874494e+01,7.153416506e+01,4.339178072e+01,3.942960068e+01,9.953636470e+01,7.527827229e+01,5.952761837e+01,7.430926064e+00,1.407031135e+01,9.666799679e+01,1.153710353e+01,8.687079881e+01,9.939706523e+00,5.022593506e+01,2.769602633e+01,5.285975948e+00,8.493500582e+01,2.502559964e+00
7.260923709e+01,7.996042284e+00,2.787631060e+01,4.059646938e+00,8.943581296e+01,9.652802386e+01,9.835728453e+01,8.083823530e+01,3.580592805e+00,9.754195612e+00,8.100008692e+01,8.766821089e+01,2.204544710e+00,7.755366689e+01,3.994168551e+01,5.555412334e+01,4.281198803e+01,2.515336538e+01,9.733833762e+01,9.931259761e+01,2.722067300e+01,1.190049581e+01,5.519906264e+01,3.007418973e+01,8.249969406e+01,7.926935742e+01,5.132018944e+01,6.274940594e+01,1.725634474e+01,8.846533227e+01,9.512489637e+01,7.248990969e+01,4.364709295e+01,1.345074349e+01,1.603400690e+01,7.918703266e+01,7.926864893e+01,5.442539710e+01,3.071088209e+01,9.645448965e+01,6.758693948e+00,8.327692723e+01,2.576660762e+01,7.992029980e+01,4.968013431e+01,6.286442541e+01,7.938305290e+01,9.687000083e+01,8.377277263e+01,7.862120204e+01,5.659509593e+01,4.868203597e-02,9.386751220e+01
1.274071561e+01,4.620360199e+01,8.520165721e+01,7.941976777e+01,5.614612823e+01,7.013488014e+01,6.706224883e+01,5.571611277e+01,8.628568988e+01,3.864477345e+01,5.683337742e+01,1.406331683e+01,3.155756929e+01,7.637492163e-01,9.088198354e+01,5.215407345e+01,3.279240978e+01,7.916139089e+01,2.351746074e+01,4.938696023e+01,2.678633005e+01,8.285051156e+01,2.104080973e+01,5.025683292e+01,8.730027429e+01,6.445293563e+00,7.502938576e+01,5.395131886e+01,3.544406909e+01,3.360124368e+01,3.000435706e+01,4.405792517e+01,6.759203160e+01,1.954143704e+01,5.685428318e+01,6.812182093e+00,2.063215574e+01,7.126254591e+01,9.205481711e+01,2.966262469e+01,3.597238612e+01,8.657804496e+01,3.848202621e+01,8.347662965e+01,6.380955425e+01,2.305888382e+01,7.785256101e+01,6.820607789e+00,3.846461918e+01,3.469007228e+01,6.328706155e+01,3.327151486e+00,6.693669238e+01
8.592156169e-01,6.596328175e+01,6.786062616e+01,3.629754395e+01,3.354430012e+01,8.538906804e+01,7.634536885e+01,2.859530900e+01,8.364622930e+01,7.783825007e+00,2.352672441e+01,3.938592070e+01,3.165409185e+01,7.329153670e+01,2.314665299e+01,8.564841156e+01,2.504650266e+01,9.961821879e+01,9.543655700e+01,2.062911309e+01,9.813389535e+01,6.632782395e+01,4.744843138e+01,6.070266280e+01,3.706170709e+01,8.611254518e+01,2.489499977e+01,6.881939923e+01,3.747026474e+01,6.239668638e+01,8.382272280e+01,6.710213457e+01,2.335378559e+01,5.255559393e+01,6.847899583e+01,5.113201654e+01,7.555747742e+01,3.905453271e+01,1.481335757e+01,8.593700590e+01,7.646819084e+01,6.443836694e+01,8.238626277e+01,7.583793901e+01,8.569018914e+01,6.829805044e+01,2.639498199e+01,6.574072013e+01,9.929131397e+01,3.935334396e+01,8.469714647e+01,4.741615126e+01,3.799708581e+01
5.711531266e+01,2.225459432e+01,1.142140345e+01,6.921535316e+01,4.284900110e+01,6.889479278e+01,8.104619738e+01,4.246539450e+00,6.040916757e+01,3.766756199e+01,8.910080498e+01,4.718024900e+00,9.171741302e+01,9.689318272e+01,5.669208355e+00,3.286121434e+01,2.453231166e+01,1.469425253e+00,5.177680472e+01,3.275830006e+01,3.048453563e+01,8.891688376e+01,1.902034385e+01,6.093052640e+00,6.218528206e+01,7.632774936e+00,2.907186168e+01,1.049484534e+01,6.883350617e+01,3.725341915e+01,3.083011590e+01,5.660388868e+01,2.548541155e+01,6.326550474e+01,9.898228003e+01,6.151966472e+00,8.250562994e+01,2.131174226e+01,6.309679561e+01,4.627149267e+01,5.494010812e+01,9.986511905e+01,5.406594251e+00,1.009539407e+01,3.939923547e+01,3.898027629e+01,9.089005710e+01,4.707771231e+01,5.746466917e+01,3.925250093e+01,3.573393190e+01,6.593221220e+01,3.528923781e+01
3.738510830e+01,3.241350077e+01,9.578186092e+01,8.032809798e+01,3.659168988e+01,9.590365422e+01,5.100094711e+01,7.484218571e+01,5.291164622e+01,5.069191228e+00,8.420084912e+01,6.893643548e+01,1.817171326e+01,5.588266688e+01,9.330215862e+01,6.595872004e+01,8.516051362e+01,9.421552195e+01,5.301988710e+01,1.893378895e+01,1.093816694e+01,1.050642424e+01,7.524023349e+01,4.577854851e+01,5.628623686e+01,1.919842605e+01,4.053728626e+01,2.947023025e+01,8.943341656e+01,6.100711948e+01,5.630721487e+01,6.972999206e+01,9.617194026e+00,8.985133131e+01,4.404201609e+01,7.438320612e+01,5.311901226e+01,6.193796916e+01,4.865842044e+01,5.248897922e+00,9.342975830e+01,2.902943665e+01,2.727247727e+01,1.143368289e+01,2.852256908e+01,4.384955108e+01,7.348867601e+01,6.924892846e+01,7.939748877e+01,8.083454098e+01,1.536335015e+01,9.873056840e+01,2.414536893e+01
5.677198793e+01,8.490399004e+00,5.974474502e+01,7.425468950e+01,2.687922768e+01,3.528075048e+01,2.624968121e+01,7.893420602e+01,7.840543599e+01,9.520034348e+01,3.498812999e+01,5.200770578e+01,9.475380296e+01,7.650436454e+01,6.478011655e+01,8.325357744e+01,2.160768465e+01,3.909334090e+01,8.881896205e+01,9.103442922e+00,5.608615874e+01,4.266322387e+01,3.069453165e+01,8.519242519e+01,3.863799936e+01,4.473030148e+01,2.711102074e+01,9.948764209e+01,4.177387675e+01,4.254142856e+01,2.444854202e+01,3.729323986e+01,1.319361395e+01,5.933191833e+01,6.199621759e+01,6.097989646e+01,6.047399899e+01,3.307352469e+01,9.942144851e+01,8.931773769e+01,1.549879084e+01,3.166006502e+01,7.498507026e+01,4.948655446e+01,3.273062946e+01,6.501701544e+01,3.339013617e+01,2.272696631e+01,1.110578599e+01,1.049816316e+01,2.645909352e+01,6.612259396e+01,5.615194915e+01
2.099994518e+01,9.211647595e+00,9.294264939e+01,7.436429333e+01,8.326796401e+01,2.822378798e+01,9.773628717e+01,2.126374435e+01,9.084757026e+00,1.885962791e+01,2.372207860e+01,3.206375812e+01,7.428669503e+01,9.756902772e+01,2.075676568e+01,7.430946206e+01,5.017365541e+01,2.562767149e+01,8.708061853e+01,8.639444378e+01,4.327189587e+01,2.453782320e+01,1.339430478e+01,2.277038077e+01,7.038323715e+01,6.023014508e+00,8.386834820e+00,2.676970436e+00,5.143633394e+01,9.531458816e+00,9.694436783e+01,5.811777525e+01,2.830590528e+01,9.818997452e+01,8.127919663e+01,3.130228763e+00,3.683815628e+00,6.663413186e+01,3.067311504e+01,6.401609069e+01,1.471936054e+01,3.703937583e+01,5.325871565e+01,9.600364617e+01,8.399435284e+01,1.296463085e+01,1.668811692e+01,5.469653452e+01,7.752234469e+00,5.683402473e+01,9.846932749e+00,5.166798265e+01,8.948105754e+00
2.540510589e+01,7.782453385e+01,7.981412273e+01,1.250748186e+01,7.734292261e+01,2.470650537e+01,3.473060016e+01,1.291181501e+01,2.752465441e+01,8.898671108e+00,2.974530610e+01,8.385475483e+01,2.246772516e+01,4.928674038e+01,5.177422943e+01,7.375928701e+01,1.052795970e+01,6.597427844e+01,7.752553323e+00,8.885241154e+01,8.904646775e+01,1.235757026e+01,9.327895207e+01,4.121397494e+00,3.356984141e+01,6.774478710e+01,6.435619058e+01,6.834475118e+01,1.245450465e+01,3.785280578e+01,7.769919619e-01,3.345775491e+01,7.852691548e+00,1.115302563e+01,4.503899801e+01,2.864073665e+01,9.098463525e+01,3.837293764e+01,8.576150067e+01,2.386029022e+01,7.557545712e+00,7.783906686e+01,2.432825214e+01,9.202021942e+01,3.547504184e+01,1.356709214e+00,5.120453649e+01,1.318956506e+01,8.026137531e+01,7.970239329e+01,4.646613475e+01,1.109296749e+01,5.088059291e+01
2.368242412e+01,6.618624022e+01,6.466224325e+01,2.394266366e+01,6.633414151e+01,3.089084935e+01,4.032286851e+00,4.437412247e+01,1.462350898e+01,2.849550489e+01,9.334803134e+00,6.158435418e+01,9.580161105e+01,2.867285194e+01,7.648146143e+01,2.670014578e+01,4.475353025e+01,3.686256378e+01,7.166941100e+01,1.716518301e+01,3.981370023e+01,4.469507623e+01,1.944996203e+01,6.956929095e+00,1.807621391e+01,7.700157521e+01,6.621876106e+00,6.660220860e+01,8.214448939e+01,6.451011988e+01,4.331828203e+01,2.151402782e+01,7.852268454e+01,3.375128585e+01,7.235126676e+01,6.439470835e+01,8.058972253e+01,5.006390279e+01,6.825469988e+01,3.517511123e+01,5.046516940e+01,1.695658168e+00,8.121405273e+01,6.312908662e+01,3.281800905e+01,7.168223809e+01,7.482250029e+00,3.346775835e+01,1.041621634e+01,2.774529183e+01,3.922244367e+01,5.940754188e+01,2.391508495e+01
