v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54
8.540248734e+01,2.511027305e+01,7.919880615e+01,8.900005575e+01,1.787013516e+01,4.741371451e+01,7.467571882e+01,6.053248958e+01,8.298570439e+01,1.367544946e+01,3.183279334e+01,3.854616182e+01,5.871106674e+01,8.872876095e+01,5.601346246e+01,6.337173660e+00,4.354086350e+01,3.240437850e+01,6.820010133e+01,6.112829361e+00,9.798389722e+01,4.100516933e+01,7.385692403e+01,7.338378069e+01,3.688229227e+01,8.201325924e+01,8.847109459e+01,6.448670466e+01,9.534489769e+01,7.255804004e+01,5.602151976e+01,6.406884982e+01,8.013014616e+01,6.629023134e+01,3.085213339e+00,2.813125792e+00,5.888481275e+01,9.634896287e+00,5.858859579e+01,9.412415797e+01,1.300955340e+01,8.652332879e+01,5.430359094e+01,2.629291053e+01,4.315934897e+01,7.384284819e+01,7.639182821e+01,9.804473942e+01,8.446075194e+01,2.607697688e+01,6.306065745e+00,7.468302278e+01,2.689120196e+01,7.592871877e+01
4.933918993e+01,5.313723255e+01,6.850087431e+01,2.073386085e+01,9.750674081e+01,9.601183494e+01,1.765397827e+01,3.914814925e+01,1.346417689e+01,6.547498928e+01,3.276160501e+01,6.255377978e+01,9.279600289e+01,6.634585701e+00,7.262370618e+01,7.789936982e+01,7.698569844e+01,6.792378979e+01,9.968740411e+01,6.039237769e+01,5.059898618e+01,6.386895355e+01,1.926864226e+01,6.282604777e+00,3.734345415e+01,5.437509494e+01,1.356349201e+00,9.917409924e+01,2.835466272e+01,2.542607287e+01,9.750100221e+01,6.486405664e+01,3.855132692e+01,5.231908655e+01,6.420507917e+01,4.061441968e+01,1.028852871e+01,8.093203617e+01,5.737438051e+01,1.992114872e+01,3.063372486e+01,7.845015607e+01,8.280286027e+01,2.913964556e+01,8.471370198e+01,4.712392028e+01,9.331253442e+01,2.755909109e+01,8.980560722e+01,1.954339237e+01,1.680400602e+01,3.088374829e+01,9.785897325e+01,2.946978765e+01
8.301906501e+01,2.447330076e-01,3.710636443e+01,6.685734197e+01,9.396428822e+01,7.882259450e+01,9.392082153e+01,3.587126322e+01,4.382595151e+01,4.986685659e+01,3.860589654e+01,1.549841516e+01,6.598945619e+01,9.880813274e+01,3.440214158e+01,6.951281499e+01,4.566788767e+01,8.611592056e+01,7.234743007e+00,8.585255287e+01,8.962276690e+01,5.607725081e+01,5.695751429e+01,1.823678044e+01,3.644564104e+01,1.847213407e+01,6.635642468e+00,9.807920414e+01,8.828488328e+01,5.670486912e+01,2.691525220e+01,7.586802154e+01,8.182580370e+01,3.482476327e+01,5.102423312e+01,1.287390472e+01,6.813461577e+01,2.595710196e+01,3.593952598e+01,6.681229775e+00,5.556992491e+01,9.214544505e+01,4.213438036e+01,4.252939669e+01,1.245745325e+01,3.550607735e+01,7.803057149e+01,4.799813908e+01,5.241406487e+01,2.203641201e+01,4.106930302e+01,1.741886308e+01,5.286907170e+01,1.973071972e+01
3.694508209e+01,1.353644002e+01,4.121385147e+01,1.577686451e+01,6.665629019e+01,9.835312454e+00,3.782063549e+01,1.734174814e+01,3.009804919e+01,9.966522766e+01,1.520595082e+01,7.775582918e+01,8.698942711e+01,4.445273578e+01,4.173941717e+01,6.231633879e+01,2.741509823e+01,7.286103665e+00,9.199126162e+01,6.121502022e+01,1.165076173e+00,4.832234576e+01,6.006060922e+01,5.240300833e+01,8.325885164e+01,8.702592507e+01,6.063203697e+01,2.115504434e+01,8.266805653e+00,2.098975733e+01,3.328892158e+01,5.850448616e+01,8.163683616e+00,1.545650477e+01,7.030142517e+01,1.077774352e+01,8.403334085e+01,7.289629469e+00,1.787551775e+01,4.292234887e+01,6.511101009e+01,6.943683481e+01,9.275150121e+01,1.589531725e+01,9.037937136e+01,8.109462365e+01,1.872944376e+00,8.965745542e+01,8.881902864e+00,8.790080485e+01,8.801705734e+01,4.459038147e+00,2.539102056e+01,4.527133931e+01
7.272505436e+01,9.955410450e+01,1.105485274e+01,2.931390375e+01,7.159281844e+01,2.780163797e+01,5.516230155e+01,7.237509084e+01,2.655635202e+01,5.114845212e+01,1.119369320e+01,3.819701672e+01,8.776502221e+00,3.499268580e+01,2.409632657e+01,2.393259319e+01,6.752092458e+00,8.095086668e+00,4.165863676e+01,1.525010956e+01,3.599425783e+01,6.882995155e+01,7.935632508e+01,6.862378004e+01,3.338010008e+01,3.363638610e+01,2.626090781e+01,6.316507932e+01,4.008456376e+01,3.952310469e+00,6.072549126e+01,1.714008295e+01,6.377061141e+01,3.337522046e+01,2.935449431e+01,7.213361287e+01,3.672942987e+01,2.626455861e+01,8.208107684e+01,9.759304709e+01,9.588201161e+00,2.627784148e+01,7.534698150e+01,3.053195313e+01,6.396767013e+01,5.774227608e+01,5.573161022e+01,3.632655615e+01,9.437174081e+01,9.039625470e+01,5.944414243e+01,4.017212124e+01,8.786787657e+01,2.267825354e+01
3.966275629e+01,7.237314286e+01,2.301306952e+01,1.288385568e+01,3.389777520e+00,5.978809046e+01,2.517321493e+01,6.305739093e+01,7.056530626e+01,3.505897619e+01,1.491336610e+01,7.587381939e+01,6.928089880e+01,7.012640893e+01,6.554924779e+01,5.889774958e+01,6.551650237e+01,9.301006600e+01,3.196914651e+01,6.192313227e+01,4.257680377e+01,7.694466564e+01,9.868169965e+01,6.710847537e+01,5.951241745e+01,3.856353953e+01,3.081674080e+01,9.940623866e+01,4.482596017e+01,8.762913416e+01,5.741251445e+01,5.711663566e+01,1.039254787e+01,9.902601840e+01,7.431366731e+01,1.517899097e+01,1.556009839e+01,4.662852111e+01,9.988731809e+01,1.370294921e+01,5.244298646e+01,3.114093682e+01,6.345025168e+00,4.146337528e+01,1.225584707e+01,8.054587445e+01,9.324346829e+01,4.097829533e+01,9.863980933e+01,1.103325577e+01,4.736119753e+01,8.442932499e+01,1.125427664e+01,6.302242304e+01
5.197459314e+00,7.729395303e+00,2.978559841e+01,1.834803731e+01,7.696924191e+01,6.316031152e+01,9.107110198e+01,7.719197400e+01,5.208478529e+01,5.520281225e+01,4.033810241e+01,4.564786269e+01,7.618296478e+00,4.707796768e+01,4.110815215e+01,8.915284952e+01,9.996105047e+01,6.720383046e+01,4.184079320e+01,9.934859822e+01,8.521189858e+01,9.454159821e-01,6.395057715e+01,1.589012078e+01,8.815957536e+01,9.622053036e+01,5.918689858e+01,7.708488434e+01,3.796533628e+01,5.907727152e+00,3.410542141e+01,7.021648217e+01,8.069754390e+00,6.691990990e+01,1.292596238e+01,7.415563851e+01,2.475818873e+01,3.727649946e+01,7.627643785e+01,2.006436161e+01,9.225113582e+01,5.084374034e+01,9.208705720e+01,5.564923488e+01,8.516600580e+01,5.625752063e+01,4.803706182e+01,8.090235211e+01,7.018633230e+01,8.515798691e+00,5.066643111e+01,4.283208355e+01,5.352686030e+01,2.997703476e+01
4.037536288e+01,4.243797790e+01,7.107552063e+01,9.672496711e+01,5.405197846e+01,4.142241749e+01,2.804958156e+01,6.420316962e+01,2.944168617e+01,5.039621884e+01,7.325914274e+01,3.008397913e+01,1.233810930e+01,2.112642177e+01,2.853419919e+01,7.454185565e+01,5.323192579e+01,7.806154415e+01,5.819015059e+01,6.284799624e+01,7.719427389e+01,1.536995456e+00,6.494350280e+01,5.182964377e+01,4.465354846e+01,8.237740741e+01,3.100690084e+01,7.245616995e+01,5.488454769e+01,7.970028860e+01,5.582564901e+01,1.515799534e+00,3.010686143e+01,9.216081132e+01,2.174285412e+01,1.235818524e+01,7.648128239e+01,6.785351241e+01,6.056738342e+01,7.690386742e+01,4.711584691e+01,6.819806979e+01,2.644744024e+01,6.114653636e+01,2.489329684e+01,7.469924427e+01,5.017415467e+01,9.961750390e-01,6.316641760e+01,8.907411244e+01,8.656756107e+01,1.022585608e+01,6.331019965e+01,4.060367059e+01
1.755538617e+01,4.986760056e+01,4.016519180e+01,2.197281137e+01,8.614144006e+01,8.705339367e+01,8.652326990e+01,1.903385676e+01,5.525126634e+01,3.153547954e+01,6.361232145e+01,8.423930950e+01,9.659006111e+01,1.716651264e+01,8.590598145e-01,8.783478719e+01,4.506158151e+01,7.267279769e+01,8.177955879e+01,7.811404059e+01,2.983523307e+01,8.993284589e+01,4.913032188e+01,2.158148007e+01,9.376963462e+01,4.226671502e+01,7.731323940e+01,1.116763800e+01,5.580442678e+01,2.185637643e+01,4.230998226e+01,3.549765272e+01,7.493547291e+01,7.269372353e+01,5.771925329e+01,4.372143951e+01,7.564814452e+01,4.954041274e+01,6.488558710e+01,5.784095267e+01,9.852299001e+01,6.738595681e+00,7.599517315e+01,9.573651657e+01,3.496875028e+01,3.386937169e+01,4.081126092e+01,4.802456315e+01,5.837268093e+01,4.748494326e+01,1.158080882e+01,1.997983151e+01,2.693453708e+01,5.106488198e+01
8.566162551e+01,1.808948679e+01,7.621345798e+01,5.988748837e+01,6.747569573e+01,6.921361918e+01,6.545925668e+01,4.637218501e+01,3.282594534e+01,3.272863315e+01,7.386989323e+01,9.505623866e+01,1.294452552e+01,3.717532649e+01,2.594421712e+01,2.250892215e+01,9.588425309e+01,7.340957843e+01,2.039323134e+01,5.593007354e+01,5.128559160e+01,8.447095040e+00,7.986427198e+00,6.120108961e+01,7.525909129e+00,8.477146783e+01,5.532817671e+01,2.049911258e+01,6.982733277e+01,8.234010146e+01,9.018421634e+01,5.931006490e+01,8.442152768e+01,6.381874884e+01,7.355755531e-01,4.188707769e+01,2.977934754e+01,2.653441305e+01,2.695730742e+01,5.770189378e+01,9.482227008e+01,6.127508138e+01,3.700456410e+00,3.313942700e+00,5.053978797e+01,8.075750457e+01,7.685416857e+01,7.012108943e+01,2.908891645e+01,7.249775035e+01,9.199382224e+01,7.590263144e+00,8.359291627e+01,4.135262460e+01
