v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55
8.075172722e+01,5.724541246e+00,5.525031929e+01,7.198440726e+01,5.267230292e+01,3.786370196e-01,8.709098467e+01,2.722209978e+01,2.715200591e+00,3.179251599e+01,6.995271547e+01,5.092223199e+01,7.126292916e+01,9.827643117e+01,3.085868106e+01,2.441490200e+01,3.425442419e+01,7.766055957e+01,6.389547144e+01,1.840894282e+01,7.678555635e+01,6.437659949e+01,3.402895819e+01,7.663830293e+01,7.439651673e+01,1.190195949e+01,3.338391766e+01,5.466985644e+01,4.827737652e+00,8.912724113e+01,6.950022718e+01,3.546695114e+01,2.802188725e+01,6.462816947e+01,4.394801773e+01,7.637314892e+01,8.758569373e+01,2.411491904e+01,7.832699698e+00,6.586386884e+01,5.800716805e+01,1.226093011e+01,9.733807821e+01,1.279362235e+01,8.267945917e+00,8.417092182e+01,4.712735265e+00,3.502761753e+01,1.690146383e+01,3.036471417e+01,5.855051694e+01,5.811081813e+01,7.336971492e+01,9.793249819e+00,8.237018255e+01
1.074056426e+01,4.240474155e+01,2.930332145e+01,6.054288197e+01,1.000221523e+01,8.432805845e+01,5.684987105e+01,5.444446295e+01,8.248819960e+01,1.929952414e+01,6.470837763e+01,4.163022435e+01,3.844856761e+00,7.000049825e+01,8.228360272e+01,9.665228934e+01,2.717912857e+01,2.273266296e+01,3.270708460e+01,9.206462971e+01,6.285427156e+00,7.042556089e+01,8.720600186e+01,3.322531516e+01,5.765540440e+00,3.602960678e+01,3.248748852e+00,2.883355804e+01,6.565605126e+01,5.238298750e+01,3.039099338e+00,6.737600871e+01,2.303992666e+01,9.329050585e+01,1.872435404e+01,7.016708711e+01,9.377371952e+01,4.990514000e+01,1.445581597e+01,2.473150953e+01,7.235596658e+00,1.019528388e+01,7.017820035e+01,7.859496638e+01,4.663134068e+01,1.610054052e+01,4.392772019e+01,4.278461311e+01,5.244250435e+01,6.980730837e+01,5.607440409e+01,4.568270094e+01,5.572479091e+01,1.055669248e+01,6.391646277e+01
2.461292052e+01,5.949969047e+00,7.767370283e+01,4.755072356e+01,6.694804850e+01,7.528982884e+01,4.960948412e+01,1.164964154e+01,7.318493428e+01,2.654243270e+01,2.903031126e+01,4.531560850e+01,9.151979165e+01,7.403364458e+01,7.172846423e+01,5.184495159e+01,8.437025224e+01,5.953804686e+01,8.066127669e+01,9.182173048e+01,4.192427605e+01,7.197492346e+01,3.125140603e+01,4.141744164e+01,6.946990308e+01,3.074835705e+01,2.764635210e+01,6.256333338e+01,8.665611509e+00,1.295201357e+01,2.487014113e+01,6.149423760e+01,7.164010324e+01,7.093304948e+01,5.249264955e+00,2.692273207e+01,1.375681505e+00,8.583475208e+01,1.875128417e+01,5.850156803e+01,1.159548598e+01,7.113535607e+01,6.947486259e+01,3.733861059e+01,9.575723347e+01,5.197825878e+01,2.652409209e+01,6.006841979e+01,1.149103049e+01,7.833371806e+01,6.735678446e+01,3.714400993e+01,8.888964597e+01,1.692463700e+01,9.318781857e+01
6.188285266e+01,4.708270629e+01,8.619819406e+01,3.608564041e+01,6.608343660e+01,2.848821356e+01,2.764506718e+00,6.991977009e+01,6.208069735e+01,2.513091829e+01,4.945625371e+01,8.337152526e+01,1.275409282e+00,5.008600898e+01,5.414101157e+01,5.444701441e+01,8.154461928e+01,3.873457523e+01,6.578356465e+01,6.664046329e+01,1.101006078e+00,1.964241371e+01,8.819351254e+01,3.590788559e+00,4.617262109e+01,8.865844678e-01,6.570283108e+01,6.086983502e+01,3.399326368e+01,6.113064573e+01,6.936809573e+01,1.158312417e+01,1.347647302e+01,8.587473256e-01,3.128884860e+01,2.947468382e+01,9.918919207e+01,5.607424430e+01,9.851303895e+01,2.176501332e+01,9.564043174e+01,9.519388105e+01,9.274570665e+01,5.051175673e+01,5.040373887e+01,2.149417589e+01,6.523759996e+01,8.355745282e+01,7.372861023e+01,2.972677217e+01,5.817757030e+01,2.181530242e+01,8.164076623e+01,9.098600001e+01,8.155888330e+01
5.770343436e+01,8.466752667e+01,4.639408223e+01,5.570545303e+01,7.466978974e+01,1.410099814e+01,7.042803273e+01,5.465403926e+00,8.894654581e+01,1.585258177e+00,3.072689118e+00,1.695677588e+01,8.029613575e+01,9.311260401e+01,7.640355510e+01,1.345820218e+00,7.204099463e+01,5.581129846e+01,1.842088561e+01,6.442901957e+01,8.483853170e+01,5.265179803e+01,2.594932038e+01,1.981372743e+01,1.126288234e+01,3.613952662e+01,9.584441024e+00,9.379682067e+01,1.068360821e+00,6.329066929e+01,7.632025203e+01,8.506330657e+01,2.123022613e+01,5.773953139e+01,6.457505955e+01,6.886667698e+01,5.776708227e+01,4.909153130e+00,4.203309921e+01,5.118216358e+01,2.983619769e+01,1.451485135e+01,8.533112134e+01,9.620130993e+01,6.156593440e+01,5.932349810e+01,5.845747827e+00,5.844298396e+01,1.839132606e+01,8.774276781e+01,7.157784942e+01,7.510668415e+01,6.699763484e+01,6.871558757e+00,1.020963649e+00
4.501295407e+01,6.854343226e+01,1.308915117e+01,8.288461887e+01,9.986608855e+01,3.472762177e+01,4.624376003e+01,9.813035348e+01,6.156846626e+01,7.216590406e+01,9.572314634e-01,5.350759312e+01,2.677070040e+01,3.019150178e+01,1.681196041e+01,2.025142835e+01,1.109347625e+01,8.972181798e+01,1.855351286e+01,8.333628760e+01,5.479932213e+01,3.730901804e+01,7.295146009e+01,1.338947271e+01,6.063357553e+00,8.711077990e+01,3.931664999e+01,2.712187923e+01,1.900155739e+01,3.937167068e+01,7.888726226e+01,8.092920722e+01,9.130378250e+01,4.620080641e+01,4.573439957e+01,3.905397329e+01,7.077070137e+01,7.834113271e+01,8.453841434e+01,3.909247611e+01,2.730397115e+01,4.027128914e+01,5.465892394e+01,9.611958171e+00,5.618385753e+00,5.834982547e+01,8.932593298e+01,4.378004201e+01,9.567800175e+01,7.004476886e+01,9.183488942e+01,1.156532675e+01,5.318520273e+01,2.687735869e+01,5.056035684e+01
8.926518787e+01,6.552936287e+01,3.890035075e+00,1.934431475e+01,4.679459046e+01,6.212210700e+01,4.612297042e+01,1.667790608e+01,6.464290033e+01,8.418859248e+01,3.297942906e+01,3.813691129e+01,8.149742017e+01,1.855521904e+01,5.949011875e+01,5.566311476e+01,6.446082602e+01,6.751266567e+00,1.310273441e+00,2.626684422e+01,7.598165146e+01,7.676508481e+01,9.476090568e+01,2.686434596e+01,4.085197007e+01,2.570755595e+01,9.591601556e+01,1.263982381e+01,7.994922390e+01,5.679305559e+01,7.365068005e+01,7.178027848e+00,3.493331241e+01,1.070025806e+01,2.457442590e+01,5.972568386e+01,9.710948901e+01,5.046640896e+01,9.049706149e+01,5.953790668e+01,1.734771815e+01,6.510125894e+01,4.634189384e+01,1.151581766e+01,9.416583767e+01,9.178680335e+01,6.845638823e+01,8.588594336e+01,8.117593761e+01,8.304583768e+01,3.147031854e+01,4.671943187e+01,1.978683297e+00,9.411321053e+01,6.806888874e+01
6.270843637e-01,6.674347823e+01,2.258731871e+00,4.794944190e+00,5.067219856e+01,5.308928177e+01,7.224181033e+01,2.240928941e+01,6.664983921e+01,9.135401983e+01,3.183578926e+01,2.630922297e+01,9.926281927e+01,7.544888133e+01,4.866920953e+01,1.444215184e+01,9.682387272e+01,8.417527544e+01,3.467836459e+01,3.879591914e+01,4.658149470e+01,8.922513714e+01,5.691102207e+01,6.298501967e+01,5.297099809e+01,7.093822723e+01,7.407173642e+01,5.523568657e+01,1.524182221e+01,6.804113445e+01,9.452966600e+00,1.647733688e+01,4.604640594e+01,3.392450433e+01,3.211843631e+00,2.890143607e+00,6.033896951e+01,2.487204572e+01,2.483639652e+01,6.404746610e+00,2.901143199e+01,2.484776416e+01,4.339902937e+01,4.917131850e+01,4.528556983e+01,2.464984937e+00,2.279153233e+01,3.426501248e+01,2.715347165e+01,1.704874071e+01,3.152390556e+01,9.041274630e+00,6.581018551e+01,8.120539024e+01,9.013202597e+01
8.727212244e+01,1.691472259e+00,2.026877734e+01,9.893535977e+01,6.272710078e+01,3.125822699e+01,8.006464619e+01,4.455529036e+01,8.975440129e+01,4.582242430e+00,1.788788625e+01,2.698429085e+01,8.615313322e+01,7.629188826e+01,3.676612361e+00,4.564771081e+01,8.138663600e+01,3.861862759e+01,3.903087659e+01,3.690070723e+01,7.899687373e+01,1.794669291e+01,5.490738207e+01,5.352546833e+01,4.401590471e+01,7.237358656e+01,3.559299869e+01,3.164371878e+01,6.675327052e+01,8.700973925e+01,2.150786431e+01,2.057069470e+01,6.155261798e+01,9.129216485e+01,3.493091705e+01,7.907855774e+01,8.220791625e+01,6.922580033e+01,2.628780286e+01,6.044529764e+01,5.067206962e+01,5.824887222e+01,7.831431646e+00,6.992730730e+01,7.502023589e+01,2.312057429e+01,8.801375121e+01,1.686030859e+01,8.689836447e+01,7.510220054e+01,7.467232136e+01,6.823263183e+01,4.584930587e+01,3.923870962e+01,4.774780913e+01
2.339332058e+01,7.378786362e+01,2.150039852e+01,2.539489990e+01,7.861973419e+01,9.690873083e-01,4.711995791e+01,4.829757367e+01,6.310614519e+01,2.350607022e+01,5.323519966e+01,3.394264602e+01,3.971518990e+01,4.311635521e+01,2.953419991e+01,6.751251812e+01,7.493835266e+01,6.484840880e+01,1.682732095e+01,3.432081764e+01,2.515714664e+00,9.029505240e+01,5.613257512e+01,6.473965006e+01,3.967745547e+01,4.190546556e+00,5.067584334e+01,9.232186217e+01,7.538556001e+01,8.633648169e+01,6.594630539e+01,8.698324185e+01,2.503517534e+01,9.673597861e+00,5.969782702e+01,4.303217680e+01,6.597714612e+01,8.514896326e+01,5.732888934e+01,4.804368187e+01,6.665068313e+01,1.105443034e+01,4.068133406e+01,4.695676639e+00,8.964505963e+01,3.147725517e+01,7.058170612e+01,1.741818837e+01,7.328684127e+01,5.474493630e+01,2.590404735e+01,8.301671215e+01,1.232912974e+01,7.802319210e+00,8.875881538e+01
4.394758687e+01,6.412859460e+01,7.162141130e+01,4.173113471e+01,2.418078343e+00,9.150667457e+01,7.201817840e+01,2.752037754e+01,5.494173712e+01,1.294864815e+01,3.783343826e+01,2.010306362e+01,8.197790174e+01,4.870076938e+01,6.132738204e+01,7.446556724e+01,5.541833737e+01,5.003544891e+01,7.107478801e+01,3.423125761e+01,1.006643810e+01,5.280929034e+01,1.065664955e+01,6.157764816e+01,5.566719180e+01,6.272683032e+01,3.548238211e+01,7.073618916e+01,8.491875725e+01,8.351160165e+01,5.347861590e+01,5.541765020e+01,3.970364165e+01,6.657618843e+01,7.620580889e+01,8.607064373e+01,8.183760002e+01,6.092533341e+01,9.889740201e+01,2.132347630e+00,8.229979223e+01,8.329232595e+00,7.739764760e+01,2.854201374e+01,8.847038123e+01,8.233631887e+01,5.909537105e+00,4.391569410e+01,7.071481837e+01,5.784509555e+00,1.748656778e+00,5.540790402e+01,2.545772058e+00,8.670682620e+01,4.806999547e+01
