v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56
8.712220683e+01,5.397367888e+01,6.412661857e+01,1.043254179e+01,1.034545273e+01,1.850922506e+01,8.729816790e+01,9.194752076e+01,9.907467947e+01,8.924860359e+01,3.080727626e+01,1.430025698e+01,6.711850924e+01,7.115437479e+01,6.447766220e+01,8.133154920e+01,8.496566876e+01,9.954873507e+01,9.087142021e+01,5.923813861e+01,2.466091927e+01,1.375258246e+01,9.591350708e+01,6.006321675e+01,4.526050615e+01,2.133935762e+01,5.073963157e+00,9.840770496e+01,9.854570063e+01,2.950046318e+01,3.704100450e+01,6.933112102e+01,5.368536343e+01,5.122257954e+01,5.688221734e+01,4.405099449e+01,5.447775403e+01,3.854970253e+01,9.753803786e+01,7.726449953e+01,9.036295379e+01,7.226485222e+01,7.758387664e+01,1.609953497e+01,8.731991202e+01,5.330356738e+00,3.640109500e+01,5.290189798e+01,9.013357249e+01,3.392320493e+01,9.626909553e+01,4.824650263e+01,9.913848933e+01,2.210095013e+01,7.907803458e+00,3.151044093e+01
4.946401185e+01,9.875689134e+01,9.783425182e+01,3.298314039e+01,6.314112163e+01,7.849829519e+01,8.636778253e+01,3.667132618e+01,3.951567015e+01,2.959509098e+01,9.752439763e+01,7.005472011e+01,5.000612872e+01,2.315205773e+01,8.842001356e+01,3.495204346e+01,2.164828101e+01,2.436011270e+00,7.629626100e+00,7.389717941e+01,2.144053032e+01,6.122003571e+01,6.258112392e+01,5.642195114e+01,9.304816369e+01,4.079200397e+01,7.346985373e+01,6.951518480e+01,4.093690485e+01,8.887044459e+01,8.844508450e+01,3.319409703e+01,2.134958602e+01,9.059255037e+01,8.710700215e+01,7.575403019e+01,6.192679759e+01,5.269961826e+01,1.341012643e+01,3.791017146e+01,6.921844281e+01,9.445596989e+01,5.282492513e+01,1.900707200e+01,5.840150118e+01,2.873538537e+01,2.176716363e+01,5.112706806e+00,4.537173645e+01,6.220268131e+01,1.853383499e+01,4.798844502e+01,9.752431749e+01,5.317240944e+01,5.514818177e+01,1.106944137e+01
3.301361845e+01,5.283836835e+01,5.275803207e+01,4.640296154e+01,6.186680842e+00,3.105942322e+01,5.344847869e+01,6.771179538e+01,5.580340306e+01,5.262726800e+01,7.639535045e+01,7.821854668e+01,7.766142257e+01,8.688374735e+01,8.004777232e+00,6.063241230e+01,8.102224429e+01,6.706860285e+01,2.224930435e+01,4.827000139e+00,8.361929882e+01,9.933246662e+01,4.468269965e+01,3.619693124e+01,4.123515337e+01,9.304357401e+01,4.402653958e-01,5.620723003e+01,3.321329969e+01,6.034931666e+01,9.483940923e+01,8.734637664e+01,3.865742127e+01,6.250462811e+01,2.469512715e+01,6.574947003e+00,9.411077249e+01,7.962926167e+01,1.890113670e+01,1.520403354e+00,5.427944965e+00,7.146713504e+01,3.838578371e+01,9.894672944e+01,8.034306772e+01,6.444395019e+01,9.096097562e+01,7.342253451e+01,6.525083672e+01,4.631589308e+01,2.766316474e+01,9.152084754e+01,8.350896843e+01,7.490082033e+01,3.383680212e+01,6.789493415e+01
1.089539774e+01,5.165798021e+01,7.971656467e+01,6.012046971e+01,9.335703136e+01,6.619253646e+01,5.329706084e+01,4.275546246e+00,3.983775053e+01,5.553831062e+00,7.891409238e+01,4.756950842e+01,7.165273432e+01,1.130046453e+01,6.180621466e+01,6.549749583e+01,6.907701152e+01,1.073313103e+01,9.657546953e+01,9.751768952e+01,3.874058060e+01,9.908885153e+01,9.171811174e+01,4.683087587e+01,7.749097573e+01,3.630439934e+01,2.234210828e+01,3.633810715e+01,9.608093145e+01,5.192415748e+01,4.310003226e+00,1.090984131e+01,8.078211409e+01,4.889695768e+01,5.868611132e+00,9.975036005e+00,1.027442941e+01,9.743581253e+01,8.156137766e+01,7.140879700e+00,7.268182234e+01,6.209273606e+01,1.855734526e+01,9.013069891e+01,9.965614972e+01,4.616644812e+01,4.662026158e+01,2.369870683e+00,2.044009490e+00,9.934193597e+01,9.841140507e+01,3.609311561e+01,6.728003102e+01,5.749077535e+01,2.073452692e+01,1.243210843e+01
7.103400581e+01,1.863898341e+00,2.400929726e+00,9.307541005e+01,5.629871658e+01,1.924734865e+01,3.061835836e+01,3.320204256e+01,1.189522556e+01,9.354117978e+00,3.380442456e+01,7.777009937e+01,2.367672884e+01,7.496791100e+01,3.738427106e+01,2.998539587e+01,9.372632745e+01,3.097373760e+01,2.040894097e+01,9.569109569e+01,9.316989177e+00,2.919032783e+01,6.587670376e+01,2.963217643e+01,3.932313335e+01,7.793036206e+00,3.172793816e+01,6.493285292e+01,8.124061178e+01,2.356858450e+01,6.306783756e-01,6.053895991e+01,8.215074616e+00,4.038895642e+01,4.833182888e+01,2.932677148e+01,8.123285591e+01,5.254249269e+01,4.651095383e-02,3.405477296e+01,8.280365742e+01,5.816219028e+01,3.046981918e+01,1.574544222e+01,1.432899511e+01,9.648626086e+01,7.205152403e+01,7.795959003e+01,4.879048270e+01,2.285643423e+01,9.416851508e+01,5.434782076e+00,9.951614917e+01,8.301649274e+01,7.807908961e+01,7.493191770e+01
1.108429826e+01,8.537414566e+01,3.894527507e+01,6.668285694e+01,6.085431246e+01,3.223074053e+01,6.301127675e+01,3.217621387e+01,2.461460212e+01,4.181397753e+01,9.471884318e+01,8.881088074e+01,5.233615347e+01,6.637893263e+01,9.905070203e+01,6.153682076e+01,2.505855858e+01,6.113186585e+01,5.962625966e+01,9.886333645e+01,4.547676369e+01,7.243129914e+01,3.934913660e+01,7.972801535e+01,7.210353121e+01,8.433510796e+01,1.664130583e+01,7.105384757e+01,5.838236040e+01,1.535819046e+01,8.308110433e+01,4.553070486e+01,3.077048980e+01,1.778069051e+01,1.458006328e+01,9.014164222e+00,6.308928336e+01,3.707460077e+00,7.378371939e+01,6.156752992e+01,2.692327211e+01,3.670148934e+01,1.739183420e+01,7.390786545e+01,5.590490086e+01,9.002583164e+00,2.370029205e+01,6.073355796e+00,1.152966926e+01,2.683707751e+01,3.876498494e+01,8.493373772e+01,2.114693556e+01,4.018858486e+01,8.298946824e+00,8.825787538e+01
7.119906897e+01,2.088592572e+01,9.129058009e+01,7.887672511e+01,7.753052432e+01,5.751239438e+00,1.571554485e+01,2.827660567e+01,3.011764992e+01,4.873944601e+01,7.058039476e+01,1.895403602e+01,5.577329070e+01,4.803687662e+01,6.393046028e+00,6.776070672e+01,4.885249359e+01,9.963170275e+01,3.494213248e+01,6.305315864e+01,2.584077376e+01,6.257614048e+01,8.741084615e+00,5.694780439e+01,5.147689699e+00,8.295858676e+01,1.179803396e+01,8.074513796e+01,4.716882619e+01,2.336521699e+01,8.474131685e+00,7.387588027e+01,8.589547887e+01,1.531285852e+01,2.757833653e+01,6.489503969e+01,1.902937698e+01,3.429040449e+01,6.914749235e+01,8.464454416e+01,5.054949833e+01,5.704020364e+01,7.405271883e+01,6.163100369e+01,5.768567001e+01,2.095019997e+01,8.021854582e+01,3.357945585e+01,1.877496948e+01,4.664691146e+01,9.928347253e+01,6.019074329e+01,4.253617197e+01,3.526120369e+00,4.969778902e+01,6.182193697e+01
3.966717007e+01,5.891852124e+01,1.710027276e+01,4.757698551e+01,5.748541170e+01,2.767607573e+01,3.051516382e+01,4.176983780e+00,8.083244377e+01,6.552495767e+01,5.069038893e+01,6.331177425e+01,2.891619814e+01,8.269071087e+01,7.845981498e+01,7.293313292e+01,5.905542705e+01,5.429346597e+00,8.690201683e+01,6.418277110e+01,9.188522203e+01,1.478880162e+01,8.401648512e+01,6.210197505e+01,1.638008134e+01,1.337738314e+01,6.735549289e+01,4.445682327e+01,3.489390221e+01,7.841443070e-01,6.487236366e+01,6.837139793e+00,3.009215715e+01,7.653818359e+01,5.699717608e+01,1.848835522e+01,9.723364638e+01,6.421610075e+01,9.809562335e+01,4.841355783e+01,7.122677436e+00,3.697413239e+01,9.147331887e+01,1.933444284e+01,3.957801144e+01,5.860677954e+01,8.239901264e+01,7.410551732e+01,6.678469461e+01,7.138423398e+01,1.704380778e+01,8.740632836e+01,2.056906727e+01,1.150519809e+00,9.023505835e+01,8.606136609e+01
4.261218570e+01,2.768501467e+01,9.472019683e+01,3.338501712e+01,1.315307845e+00,5.376534948e+01,8.432408461e+01,7.094498253e+00,2.875953315e+01,1.928711890e+01,1.827155115e+01,8.306135665e+01,5.202641862e+01,1.631207442e+01,3.298115669e+01,1.275703679e+01,2.746975096e+01,9.399165883e+01,3.539542267e+01,9.366979087e+01,6.387680761e+01,5.802188883e+01,6.692860810e+01,6.867615404e+01,3.608487236e+01,1.157923666e+01,1.891907601e+01,6.743568173e+01,2.011559580e+01,5.579104780e+01,3.801441506e+01,2.557052265e+01,2.205545166e+01,9.280940212e+01,7.993303699e+00,2.901084934e+01,7.893900102e+01,4.032574251e+01,7.417106798e+01,6.379058912e+01,1.263978949e+01,9.397051780e+01,2.837499650e+01,9.348793151e+01,6.936000373e+01,4.199497313e+01,6.680226227e+01,1.881873020e+01,5.549813079e+01,1.394220364e+01,9.811131258e+01,5.513285438e+01,6.090149401e+00,7.795112032e+01,3.833916334e+01,8.042746058e+01
6.596260981e+01,9.290244466e+01,8.137904492e+01,6.215658188e+01,2.694852469e+00,5.368869962e+01,3.616852574e+01,7.227944684e-01,7.151702175e+01,8.176578985e+01,4.252447567e+01,3.239511298e+01,9.651658147e+01,9.468996676e+00,7.169625672e+01,3.138985105e+01,7.770203051e+00,7.215769181e+01,3.324864366e+01,6.014119066e+01,4.609027412e+01,9.744373819e+01,7.364595746e+01,6.978598771e+01,8.431587799e+00,9.695585764e+01,7.510138832e+01,2.078325857e+01,1.937761025e+01,7.504230008e+01,2.424639163e+01,1.339968834e+01,2.567351964e+00,8.996747666e+01,7.744791488e+01,8.405195751e+01,2.968702260e+01,1.489343460e+01,4.045966829e+01,9.134184567e+01,4.464679820e+01,4.995797047e+01,8.069048534e+01,7.297436484e+01,6.774910585e+01,6.789609172e+01,8.951559839e+01,7.508253080e+01,1.343975090e+01,7.962651245e+00,6.756962658e+01,7.664609442e+01,9.769660605e+01,7.393771024e+01,3.155962524e+00,6.631851391e+00
