v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58
3.177492146e+01,3.869076911e+01,5.180322291e+01,5.329305575e+01,8.034012858e+01,4.132420163e+01,7.864451839e+01,9.770614168e+01,7.923838198e+01,1.949027322e+01,5.189368869e+01,6.586958881e+00,9.396777987e+01,3.235912738e+01,6.411417447e+01,7.764130621e+01,5.387504965e+01,6.559096338e+01,1.349746752e+01,4.704721965e+01,7.121125299e+01,3.998738181e+01,6.902984276e+01,1.983482859e+01,5.356600542e+01,7.968942653e+01,5.066278857e+01,6.571381393e+01,4.205678733e+01,9.344599928e+01,4.822164412e+01,7.951893928e+01,3.858941907e+01,4.434717716e+01,7.417640465e+01,3.818798024e+01,3.360484977e+01,1.080218660e+01,2.678244368e+01,8.075519285e+01,2.397853734e+00,5.871967173e+01,7.542735240e+01,6.629199013e+01,5.949879931e+01,8.642636762e+00,4.268822192e+01,3.973931195e+01,6.710815126e+01,4.776312525e+01,3.010572492e+01,1.906525407e+01,3.955980147e+01,9.209340471e+01,3.408452685e+01,6.666998268e+01,6.652165480e+01,2.612681468e+01
1.649103748e+01,5.990174663e+00,7.682375993e+01,6.215298161e+01,8.689506333e+01,9.143736150e+00,7.096480941e+01,7.976620297e+00,5.669684759e+01,8.546501883e+01,2.797887573e+01,6.882486870e+01,1.952566344e+01,7.904437973e+01,7.057927850e+00,8.895141372e+01,9.039798572e+01,7.046913465e+01,7.934530785e+00,6.869022919e+01,3.400087637e+01,7.185550702e+01,3.433568163e+01,8.261242697e+01,5.953537974e+01,7.928373757e+01,9.955175453e+01,9.367711272e+01,8.611700562e+01,4.592554495e+01,3.174046764e+01,3.990430288e+01,4.706920014e+01,1.304237073e+01,2.714358698e+01,2.451854609e+01,8.860455202e+01,7.233627177e+01,9.252663156e+01,1.653621831e+01,5.184232433e+01,6.888960802e+01,3.930823940e+01,6.122649064e+01,6.729012084e-01,2.772849878e+01,2.970473841e+01,8.714140447e+01,4.169326570e+01,8.828856545e+01,5.546884379e+01,9.290638728e+01,7.555574504e+01,5.402364465e+01,2.537770382e+01,5.181472015e+01,9.782425982e+01,8.631276211e+01
3.964054812e+01,2.673133384e+01,9.312197202e+01,5.801512785e+01,8.197676288e+01,9.292784831e+01,4.591653288e+00,4.271481193e+01,6.225089077e-01,1.261187803e+01,7.558339981e+01,6.269887553e+00,1.572795231e+01,6.157427603e+01,6.556966584e+01,2.232709116e+01,3.731875969e+01,7.311400522e+00,7.882231616e+01,9.771034640e+01,4.745623913e+01,8.404650874e+01,6.616526667e+01,8.684190579e+01,3.112805830e+01,4.862494636e+01,9.818484670e+01,4.267322732e+01,1.519199784e+00,3.768660302e+01,9.561902103e+01,9.794333885e+01,2.080597173e+00,1.292817138e+01,1.222974221e+01,5.752442551e+01,8.851750951e+01,9.916085496e+01,4.698197966e+01,5.513259285e-01,6.726144725e+00,9.246542502e+01,8.181834198e+01,1.613068077e+01,4.663149156e+01,9.136755718e+01,3.782197935e+01,3.388733661e+01,8.065208170e+01,4.248994604e+01,7.215463272e+01,3.519581720e+01,2.891818702e+01,9.131977751e+01,6.216582778e+01,5.327961419e+01,2.129379030e+01,3.301930511e+01
4.693994404e+01,3.618914058e+01,4.017822386e+01,3.067898088e+01,4.868399769e+00,9.034692841e+01,5.162796450e+00,5.898785746e+01,9.721573204e+01,4.169212898e+01,8.583121892e+01,2.469067129e+01,7.641853113e+01,1.052998898e+01,5.482798476e+01,3.717830688e+01,5.434251379e+01,4.916959702e+01,9.387761034e+01,5.172806032e+01,5.303460028e+01,2.953304254e+01,7.639537748e+00,7.970362386e+01,1.006554716e+01,2.795511516e+01,7.478382921e+01,1.008659226e+01,4.945288326e+01,9.405109304e+01,5.022480209e+01,1.528623584e+01,6.142212360e+01,4.496689789e+01,6.076088856e+01,6.822821157e+01,3.402657696e+01,2.210062932e+01,5.204639040e+01,1.226612361e+01,6.966292585e+01,8.157712402e+01,5.061330856e+01,3.974104729e+01,3.526994512e+01,5.839385776e+01,3.957462518e+00,2.069309084e+01,3.892865807e+01,3.288877456e+00,5.469439819e+01,6.665623676e+01,4.298981338e+01,7.715097938e+00,7.123736730e+01,4.608475864e+01,1.493311641e+01,4.741477184e+01
3.725130355e+01,3.207820953e+01,9.540622624e+01,4.270774548e+01,6.144163586e+01,3.126223264e+01,9.784568144e+01,8.811717250e+01,7.425344084e+01,4.664248874e+01,5.452253784e+01,6.520061252e+01,1.750961081e+01,4.057305981e+01,8.957669298e+01,7.394211578e+01,6.416751702e+01,7.597515270e+01,5.488986845e+01,2.170113827e+01,9.482507033e+00,3.115921237e+00,2.697863889e+01,9.958711257e+01,7.239666402e+00,3.184470896e+01,3.138510775e+01,2.722101588e+00,1.622084595e+01,7.457646793e+01,1.676663646e+01,4.183691591e+01,5.255137045e+01,5.589710439e+01,2.815045653e+01,1.139695530e+01,7.442934263e+01,5.048347880e+01,1.938254183e+01,2.801661127e+01,7.780024913e+01,8.081169029e+00,1.257034002e+01,8.308383072e+01,7.102308445e+01,9.525164910e+01,5.748779177e+00,2.433158056e+01,8.613738665e+01,3.632763770e+01,1.677384968e+00,9.221478601e+01,7.447830274e+01,9.967510785e+01,2.219194280e+01,4.264285245e+01,6.061055974e+00,1.473870388e+01
1.035777776e+01,5.997181094e+01,8.931209193e+01,4.318815860e+01,4.281935156e+00,6.830283623e+01,2.418157572e+01,4.314693064e+01,8.753125060e+01,3.499085612e+01,8.036948732e+01,3.964835437e+01,3.620362725e+01,3.176668216e+01,4.837715699e+01,2.436701498e+01,8.311183275e+01,5.469943877e+01,4.219716404e+01,1.265538127e+01,5.256104049e+01,5.343691841e+01,2.037293566e+01,4.429917922e+01,5.482268298e+01,7.012473373e+01,5.055052787e+01,5.156423128e+01,1.292203419e+01,8.642165508e+01,9.354148772e+01,3.325850911e+01,3.563535134e+01,5.165012161e+01,5.985536265e+01,3.304497325e+00,8.646298595e+01,8.511295576e+01,1.397600753e+01,5.286375270e+01,1.724127053e+00,6.050079227e+01,9.225252579e+01,5.821865240e+00,9.260977725e+01,3.994489865e+00,1.226960753e+01,8.838895511e+01,3.240185618e+00,4.537297438e+01,8.069337408e+01,4.260514352e+00,9.683428953e+01,6.448291227e+01,5.385632292e+00,1.217217041e+01,8.090534314e+01,5.651923248e+00
9.063381460e+01,4.870369843e+01,4.437597417e+01,4.304531557e+01,5.134419302e+01,8.333354907e+01,9.266333655e+01,7.190069749e+01,9.626521152e+01,6.871766107e+01,8.469077666e+01,6.992611352e+01,4.438855130e+01,8.160487066e+01,8.084725810e+01,4.188564812e+00,1.184109306e+01,7.681338971e+01,1.913887152e+01,5.160813470e+01,4.927980854e+01,7.010749023e+01,1.354505929e+01,8.123460752e+01,5.339041338e+00,1.150240667e+01,9.926492218e+01,3.035983339e+01,6.431030156e+01,8.604925066e+01,1.104992548e+01,7.048106917e+01,1.812982245e+00,7.819498300e+01,9.757567999e+01,9.530173762e+01,9.430898082e+01,2.717215840e+01,7.966356071e+01,1.871815678e+01,1.133478057e+01,5.329350862e+01,8.468314486e+01,3.626561336e+01,5.719949459e+01,6.475822312e+01,9.798149658e+01,5.622279649e+01,1.917993385e+01,1.618513501e+01,6.155966541e+01,3.821217560e+00,6.535133833e+01,7.146829570e+00,9.199159022e+01,3.141828378e+01,8.763236912e+00,5.517292055e+01
3.902162973e+01,2.759473761e+01,2.180506170e+01,9.530769283e+01,8.625029143e+01,6.987641638e+01,9.066780394e+01,7.911877782e+01,8.783352367e+00,2.971831208e+01,5.858967927e+01,7.733472985e+01,5.752630060e+01,1.916387055e+01,6.941293004e+01,3.275481587e+01,4.231566321e+01,3.146268692e+01,3.965714939e+01,7.590556731e+01,1.026127002e+01,2.827189726e+00,7.286078380e+01,5.366085185e+01,5.969604743e+01,4.536614765e+01,1.212626438e+01,6.928434155e+01,5.479376948e+01,6.761144288e+01,9.126152013e+01,6.697124537e+01,1.101966924e+00,7.082046943e+01,6.997693700e+01,5.510813372e+00,9.201823820e+01,8.418883835e+01,4.129860719e+01,9.244619530e+01,5.127295123e+01,8.745723514e+01,5.541017911e+01,8.823787802e+01,7.162275291e+01,8.554856868e+01,7.701461533e+01,2.078482750e+01,1.392738267e+01,3.795547211e+01,8.468526095e+01,6.507083299e+01,5.649024546e+00,6.275938028e+01,1.818255664e+01,1.156593437e+01,4.037723691e+01,2.707863169e+01
1.271479087e+01,8.343552452e+01,5.420992783e+01,5.400511366e+01,5.998134615e+01,8.500694856e+00,4.976550398e+01,7.800363773e+01,5.771857509e+01,3.831658519e+01,4.220156781e+01,3.115019756e+01,3.829977682e+01,6.611943077e+01,4.726938053e+00,2.278603865e+01,8.523096675e+01,7.148157072e+01,7.060119772e+00,1.808562578e+01,3.120485232e+01,8.301740301e+01,6.239323918e+01,3.633347240e+01,6.581519553e+01,8.998078673e+01,5.563582443e+01,2.499877465e+01,6.046779355e+01,9.698059706e+01,2.289890558e+01,7.016361249e+00,2.007856813e+01,5.448894743e+01,9.995515496e+01,6.518961827e+01,7.102768378e+01,5.068882796e+01,5.259666740e+01,2.678089781e+00,1.941599840e+01,2.597929561e+01,4.297439217e+01,9.379661325e+01,1.260693708e+00,3.195270144e+01,2.469761092e+01,1.112192978e+01,9.673819932e+01,6.215053550e+01,2.136749460e+01,9.208774696e+01,2.103507907e+01,6.308253996e+01,8.640592266e+01,2.995958426e+01,8.159514003e+01,5.540123663e+00
1.068115609e+01,3.205342740e+00,3.612322094e+01,7.705527303e+01,9.441909848e+01,8.013969345e+01,3.934839673e+01,1.695371460e+01,8.336994610e+01,8.457024644e+00,4.329547197e+01,5.323793995e+01,7.100571498e+01,5.759417408e+01,9.184883029e+01,4.766101767e+01,1.883946297e+01,5.680846634e+01,5.039773382e+01,6.226523637e+00,3.563367713e+01,8.850996886e+01,6.363981109e+01,9.186077792e+01,5.494714538e+01,3.416501532e+01,2.655690643e+01,9.959052269e+01,6.957963701e+01,2.095854307e+01,9.436052177e+01,1.578779589e+01,9.005364344e+01,3.981774909e+01,4.489300253e+01,3.313463366e+01,6.011103935e+01,9.436844899e+01,9.936150614e+00,2.051792622e+01,5.570875424e+01,3.535399373e+01,6.619664317e+01,5.192262297e+01,5.760517961e+01,5.418438947e+01,2.620412758e+01,6.345327461e+01,5.470552068e+01,9.387461196e+01,4.344606757e+00,9.355273206e+01,1.047770748e+01,1.392017505e+00,4.067580290e+01,6.990781886e+01,2.922619313e+01,1.140086692e+01
