v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59
1.176340727e+01,4.228953528e+01,8.035253882e+01,1.780538790e+00,2.026772583e+00,4.916081649e+01,6.609921925e+01,7.484929992e+01,2.823123057e+01,2.352719742e+01,3.005064810e+01,4.577298685e+01,7.803161852e+01,2.374088531e+01,2.059263906e+01,9.489932200e+00,3.986484544e+01,1.473533375e+01,4.686307464e+01,4.623623791e+01,3.890704106e+01,4.538365366e+01,8.663529478e+01,2.576731641e+01,6.875650186e+01,2.494154985e+01,6.404964799e+01,2.233469394e+01,2.572892330e+01,1.902650035e+01,1.728894758e+01,5.810540545e+01,5.475646860e+01,5.762010250e+01,7.688290128e+01,3.796142977e+01,1.382416506e+01,9.118066139e+01,9.709881325e+01,3.110235158e+01,6.231119550e+01,9.110529687e+01,7.794784651e+01,8.291628591e+01,1.335326674e+01,9.845612024e+01,3.634980801e+01,6.175778390e+01,1.497048845e+01,7.965458062e+01,5.686099868e+01,2.455554594e+01,4.122335366e+01,7.618694733e+01,2.235949140e+01,4.604006856e+00,4.472020294e+01,5.684517012e+01,6.803858538e+01
7.982900041e+01,9.602796418e+01,9.671366834e+01,8.254654707e+01,1.478999930e+01,5.574496607e+01,2.388449936e+01,3.934113307e+00,7.776709797e+01,7.686890678e+01,3.864082032e+01,9.657907724e+01,9.637308423e+01,1.898571755e+01,5.894446490e+01,7.681147643e+01,1.231723328e+01,9.171252985e+01,1.888266979e+01,8.882197680e+01,3.470973331e+01,8.821001933e+01,2.745024186e+01,7.401899141e+01,1.431570195e+00,4.216040259e+00,8.929026898e+01,6.478888245e+01,2.018090761e+01,7.501211713e+01,5.273762229e+01,1.196431117e+01,2.493574111e+01,6.166895209e+01,8.031603690e+01,6.693981073e+01,6.272950773e+01,7.623624746e+01,1.008757973e+01,8.582426107e+01,2.681497426e+01,7.416227762e+01,4.186556436e+01,6.291704231e+01,9.277097404e+01,7.997946365e+00,9.983610309e+01,8.878721483e+01,2.802442006e+00,2.758788257e+01,8.343868354e+00,6.021729948e+01,5.854399993e+01,2.663318957e+01,4.075051660e+01,6.202925027e+01,8.222041115e+01,8.259757808e+01,7.478907227e+01
9.278274593e+01,9.558914593e+01,9.971330392e+01,1.706140026e+01,6.192240487e+01,5.506810015e+01,8.941365659e+01,6.846181569e+00,4.653763725e+01,9.466218101e+01,1.517506383e+01,5.976717150e+01,8.507878334e+01,1.450517671e+01,4.073099306e+01,1.226235644e+01,7.860019527e+01,4.365347593e+01,6.863377828e+01,6.490283798e+01,2.060727196e+01,1.492165746e+01,7.877477640e+01,1.353332346e-01,7.998137937e+01,5.733626900e+01,8.519165337e+01,6.932034080e+01,9.947136331e+01,5.096361187e+01,9.368788760e+01,4.176114461e+01,2.240074783e+01,2.461795542e+01,7.055117584e+01,1.497378158e+01,7.555995220e+01,1.303238782e-01,1.887154392e+01,3.276972861e+01,4.324791815e+01,9.175761305e+00,6.287779130e+01,2.122080390e+01,4.919135193e+01,1.853725845e+00,8.940903657e+01,8.923679943e+01,3.000560934e+01,6.993058649e+01,8.642610415e+01,7.163085253e+01,2.007823885e+00,3.172239088e+00,1.245565615e+00,9.641795030e+01,5.458295884e+00,3.699213797e+01,2.669570892e+01
1.936220354e+01,8.042567169e+01,2.906894238e+01,2.603069985e+01,7.731879186e+01,5.422891701e+01,7.527059317e+01,5.806515770e+01,2.469677755e+01,4.263177212e+01,3.550945679e+01,1.846068073e+01,8.493739654e+01,9.235240976e+01,2.241532962e+01,3.173623178e+01,8.455736790e+01,5.397886810e+00,4.227814602e+01,8.128102538e+01,8.962631155e+01,9.400171793e+01,4.481602690e+01,4.768076378e+01,6.068756032e+01,2.136366243e+00,2.525272117e+00,6.398619117e+00,2.615513184e+00,3.212455629e+01,5.121378156e+01,7.596485853e+01,7.375240207e+01,6.240849950e+01,4.832480669e+01,9.230370348e+01,7.601774455e+01,9.392113552e+01,4.390354081e+01,2.982691037e+01,2.119013488e+01,5.439735602e-01,2.281812565e+01,8.452893461e+00,9.731843201e+01,1.037823747e+01,2.010978633e+01,9.298003217e+01,7.367998523e+01,8.155602702e+01,4.060659938e+01,1.784204966e+01,7.743311663e+00,2.404730469e+01,5.751700041e+01,5.479033376e+01,9.477723227e+01,6.342045972e+01,9.743053702e+01
6.312076888e+01,6.411350288e+01,5.093458735e+01,5.566301010e+01,3.297714325e-01,5.450936772e+00,1.973639843e+01,5.672557934e+01,7.748271294e+01,2.789867284e+01,9.452404815e+01,9.925499975e+00,1.297353984e+01,7.542400215e+01,4.663215546e+01,4.438383559e+01,5.889798382e+01,5.854126535e+01,8.942871327e+01,6.429838681e+01,6.654104933e+01,5.481816476e+01,3.208187246e+01,1.432230104e+00,2.370853628e+00,4.294423689e+01,8.747061884e+01,6.558615836e+01,9.726631968e+01,4.638824863e+01,8.326699368e+01,6.217634541e+01,3.796256027e+01,5.828688327e+01,5.601340672e+01,9.139872448e+01,1.881628085e+01,9.076302040e+01,5.917664835e+01,8.884626140e+01,2.910104564e+01,3.318114618e+01,1.295402870e+01,8.675514307e+00,4.251563617e+01,1.736859336e+01,4.888534712e+01,1.398615830e+01,2.589698713e+01,7.910171397e+01,1.715596630e+01,8.890427982e+01,9.620080367e+01,1.351395989e+01,5.453190626e+00,8.012952274e+01,6.165804742e+01,8.808000758e+01,6.125874852e+01
8.564154040e+01,4.290687761e+01,2.631041403e+01,5.656107421e+01,5.121662368e+01,2.475529246e+01,2.025955161e+01,8.283629111e+01,7.501371726e+01,1.552960660e+00,1.411460187e+00,7.772981438e+01,3.649788395e+01,2.621833668e+01,8.440202620e+01,1.308433512e+01,9.351848577e+01,4.949513671e+01,6.788230285e+01,4.039213381e+01,2.012475276e+00,1.611254524e+01,1.033618637e+01,1.622271972e+01,9.246136860e+01,7.062985953e+01,4.806543508e+01,6.361743334e+01,1.464319937e+01,3.982199224e+01,3.678610714e+01,7.476183408e+01,8.569965974e+01,1.561138558e+01,9.024347663e+01,5.465729513e+01,4.564924282e+01,3.588523138e+01,3.947227493e+00,2.479904736e+00,8.730221699e+01,5.780126894e+01,3.759768878e+01,8.032225272e+01,7.015746259e+01,7.490698210e+01,2.926523858e+01,8.145730154e+00,2.251205243e+01,5.374124372e+01,4.671126655e+01,3.977671365e+01,1.135397277e+00,8.913019268e+01,6.849742144e+01,3.592580702e+00,8.999399438e+01,2.759008315e+01,5.553859830e+01
3.057519084e+01,4.352499649e+01,3.730360811e+01,1.480035963e+01,3.974150504e+01,1.773686761e+01,2.939280300e+01,1.566330981e+01,5.875802551e+01,5.688831329e+01,5.249924225e+01,4.457131590e+01,2.236554838e+01,5.682265712e+01,3.744271727e+01,8.665077355e+01,5.199323926e+01,5.389254791e+01,7.093351976e+01,7.556148095e+01,9.664442278e+01,3.447549049e+01,2.541231287e+01,4.732789357e+01,1.934270995e+01,3.700254718e+01,8.770535732e+01,6.669250704e+01,7.355320010e+01,2.199834863e+01,4.523012370e+01,7.109051580e+01,5.273525079e+01,4.875861661e+01,6.586274340e+01,1.682019922e+01,8.392503389e+00,7.758735673e+00,4.791197141e+01,5.673319114e+01,2.120436676e+01,2.754951785e+01,5.586956505e+01,3.012084009e+01,7.147938189e+01,3.313105607e+01,1.693044662e+01,8.575997146e+01,3.544966020e+01,3.596973225e+01,6.994108091e+01,6.441375010e+01,2.855586419e+01,8.723047899e+01,2.598352915e+01,7.912016531e+01,5.681550755e+01,5.742679538e+01,5.824486677e+01
4.884053257e+01,7.570612315e+01,4.329678767e+01,3.547161279e+01,1.003485340e+01,4.013021988e+01,9.094873547e+01,7.295832201e+01,6.225079445e+01,2.823243416e+01,1.292413383e+01,5.475671101e+01,6.598625503e+01,1.764598226e+01,2.514974103e+01,9.700248680e+01,2.162434120e+00,3.294498080e+01,2.714736716e+00,7.974072744e+01,2.866356506e+01,3.612267294e+01,3.644437158e+01,3.030774477e+00,3.156414479e+01,6.129532470e+01,2.112432743e+01,8.021192166e+01,6.263203163e+01,2.490866235e+01,4.603495753e+01,2.708317388e+01,2.943878416e+01,4.359310474e+01,3.358112122e+01,4.590569573e+01,4.518337323e+00,1.400751523e+01,6.913276037e+00,6.704093166e+01,6.700508389e+01,4.810030864e+01,3.678773159e+01,6.765685350e+01,7.001536198e+01,1.393868248e+01,7.126815868e+01,9.010886484e+01,8.936991064e+01,8.285122288e+01,3.551184798e-01,5.096609714e+00,4.565907308e+01,2.690330680e+00,4.204502020e+01,1.343145829e+01,6.661094225e+00,2.174023894e+01,2.547009330e+01
3.042292266e+01,3.391983857e+01,1.553052072e+01,2.930175907e+01,2.460410462e+01,5.911287540e+01,3.020200137e+01,8.990827993e+01,3.061205516e+01,2.105618765e+01,4.083693199e+01,1.191765010e+01,6.433257501e+01,6.739264092e+01,2.843950360e+01,7.154316606e+01,3.071448231e+01,3.510806223e+01,1.726591837e+01,4.164370576e+01,5.323649786e+01,4.248676059e+01,4.338285782e+01,4.090936361e+01,3.586984403e+01,4.835511251e+01,1.563202622e+01,9.328717693e+01,6.665461105e+01,7.110901038e+01,2.068574874e+01,5.055288951e+01,9.384241324e+01,8.873910429e+00,8.167459873e+01,6.549007619e+01,8.496882986e+01,3.444396593e+01,8.133366035e+01,6.974174190e+01,2.326786547e+01,4.840460669e+01,7.407992932e+01,3.517682865e+01,6.812920375e+01,4.595565977e-01,1.956906018e+01,1.933993570e+01,6.698730840e+01,9.784951719e+01,2.700733840e+00,8.706373962e+01,2.582199700e+01,3.971198322e+01,1.256879777e+01,5.521141496e+01,1.350699848e+01,5.654458762e+01,9.000726214e+01
9.794280368e+01,9.808204963e+01,9.186629433e+01,5.406992074e+01,2.006186823e+01,3.587408761e+00,8.246995084e+01,1.958810533e+01,9.930244814e+01,4.927231984e+01,7.952852115e+01,9.557223897e+01,2.396145336e+01,3.255815969e+01,7.432129365e+01,2.539718403e+01,4.961320790e+01,4.297367413e+00,4.161854022e+00,2.110978947e+01,5.857778822e+01,1.842518341e+01,6.788403062e+01,7.129410830e+01,5.710155626e+01,5.901981868e+01,1.788023724e+01,3.318230384e+01,2.584889453e+01,2.948505590e+00,1.133981174e+01,3.551597814e+01,1.541435079e+01,9.937444568e+01,3.672945107e+01,1.830676154e+01,3.504664494e+01,5.658583545e+01,4.566046131e+01,1.590991029e+01,1.307033243e+01,5.680732320e+01,4.993984321e+01,8.951577520e+01,4.012140505e+01,5.838741508e+01,1.752012126e+01,4.913972605e+01,5.575131289e+01,4.462051478e+01,8.265246608e+01,1.926336924e+01,7.144519881e+01,5.000711526e+01,1.696440334e+00,2.504558385e+01,4.402786161e+01,7.497651326e+01,6.208273635e+01
