v1,v2,v3,v4,v5,v6
8.323667315e+01,1.895317943e+01,3.914517157e+00,6.593730046e+01,9.515353929e+01,7.654634615e+01
6.597107377e+01,4.108023653e+01,4.896354644e+01,4.942613747e+01,4.295385479e+01,3.383962392e+01
9.075658515e+01,2.466923180e+01,7.310559722e+01,6.533664679e+01,9.008494264e+01,4.070820266e+01
3.482500100e+01,7.742967564e+01,6.797996432e+01,6.639566883e+01,3.180637486e+01,9.817993680e+01
8.759269236e+01,5.458137722e+01,5.505021888e+01,8.766653987e+01,9.902326626e+01,5.373141094e+01
2.300130586e+01,5.952558451e+01,1.060569779e+01,9.192604931e+01,7.655989472e+01,9.082731040e+01
4.516876241e+01,1.193861442e+01,5.671131682e+01,1.011245703e+01,3.665658052e+01,5.231127358e+01
7.237443635e+01,9.977531213e+01,3.500111245e+01,6.995732588e+01,5.484927903e+01,3.816671155e+01
2.991475109e+01,8.081845341e+01,3.320420920e+01,5.602214376e+01,5.257019377e+01,1.147117927e+01
5.460828710e+01,6.420593425e+01,3.948641730e+01,6.030354129e+01,7.329794021e+01,7.054356772e+01
1.409725414e+01,2.311313820e+01,8.700827637e+01,3.576227711e+01,1.426887167e+01,2.075228849e+01
7.258937974e+01,4.815568595e+01,8.118047021e+00,9.036364257e+01,4.672219314e+01,4.810413623e+01
4.955461377e+01,9.146870675e+01,3.685314808e+01,6.948731313e+01,3.392123662e-01,8.454543310e+01
2.922478745e+01,9.278946785e+01,4.040332802e+01,4.204759365e+01,2.030859559e+01,1.946061455e+01
6.799377667e+00,6.925744736e+01,5.523829028e+01,4.456631721e+01,6.075644833e+01,9.363180891e+00
5.649533553e+01,3.550417883e+01,9.829501477e+01,2.414403790e+01,6.765949523e+01,3.826758000e+01
1.728908677e+01,5.085513565e+01,9.437078263e+01,5.289160377e+01,3.105311678e+01,4.461171134e+01
5.957938309e+01,9.088268338e+01,2.182204913e+01,5.792609091e+00,5.984449467e+01,8.485903159e+01
