v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60
2.402184488e+01,9.747800865e+01,5.051607652e+01,4.051952268e+01,5.041352973e+01,4.111310225e+01,1.204504023e+01,1.517670903e+01,3.112413167e+01,5.199170352e+01,3.377439006e+01,2.485937040e+01,2.179349722e+01,4.640022225e+01,8.993994831e+01,9.577439933e+01,5.646432105e+01,8.737675995e+01,7.468841942e+01,9.028866408e+01,5.624874205e+01,1.793842305e+01,3.002121115e+01,5.750156939e+01,2.251981089e+01,9.346322229e+01,9.079086445e+01,4.439173127e-01,8.426627212e+01,8.228483872e+00,9.287551979e+01,6.474834888e+01,5.844958424e+01,6.319539479e+01,6.094993449e+01,8.140816546e+01,2.115215999e+01,7.400471487e+01,1.912302959e+01,2.691219087e+01,6.713536154e+01,3.405732731e+01,1.410676739e+01,1.418281230e+01,4.164489863e+01,2.502257497e+01,9.037376865e+01,1.603788425e+01,7.751767491e+01,2.127681511e+01,2.105009152e+01,7.871549210e+01,5.220753469e+01,2.862139320e+01,5.312681095e+00,8.195599733e+01,1.454000769e+01,1.842992598e+01,2.423235945e+01,1.393689537e+01
7.409409712e+01,3.521971021e+01,6.760618700e+01,2.127189327e+01,2.347501961e+01,9.744844838e+01,4.325798492e+01,1.536965772e+01,3.926005348e+00,1.739427221e+01,2.517633552e+01,4.204672119e+01,8.588883326e+01,3.238548293e+01,3.609280439e+01,7.272487190e+00,1.181771524e+01,5.524996677e+01,2.552769535e+01,5.724166398e+01,5.919884368e+01,9.840053765e+00,2.772322855e+01,9.509818896e+01,4.642284270e+00,1.500117160e+01,9.081612900e+00,4.482812716e+01,3.406254434e+01,1.789221225e+01,2.328214327e+01,3.318284170e+01,2.353141623e+01,1.844822656e+01,6.695623813e+01,8.311741441e+01,7.256996279e+01,8.891455630e+01,5.491553710e+01,9.469073633e+01,5.924915474e+01,4.791107666e+01,6.441611561e+01,3.967020288e+01,2.958096610e+01,9.439325044e+01,6.803822988e+01,6.505161553e+01,2.224017873e+00,6.560878399e+01,6.461757003e+01,2.126728414e+01,2.036129704e+01,6.554045406e+01,7.491760175e+01,2.796902005e+01,9.648291000e+01,1.951432958e+01,2.328306568e+00,2.504455235e+01
1.257793230e+01,3.145185735e+01,2.065898536e+01,2.351002973e+00,5.667544975e+01,8.030824652e+01,8.308986570e+01,2.312766762e+01,6.291542546e+01,5.885572387e+01,1.262395323e+01,9.868363536e+00,7.947598839e+01,5.243841134e+01,4.207576277e+01,5.453921310e+01,1.004939300e+01,8.160684333e+01,1.521047590e+01,7.136413064e+01,8.553848585e+01,5.998581794e+01,4.589531605e+01,4.872131669e+01,6.584938711e+01,2.859744982e+01,8.229008526e+01,2.107046581e+01,4.178910231e-01,6.939728901e+01,5.587836554e+01,8.014909533e+00,6.575267454e+01,7.170567747e+01,4.774952123e+00,8.076740995e+01,4.953060643e+01,1.288514922e+01,5.136593543e+01,4.273231624e+01,9.088129532e+01,5.764320364e+01,1.745628379e+01,1.780406011e+01,7.848272124e+01,8.168153465e+01,4.558863592e+01,6.909260482e+01,3.704820898e+01,8.601944081e+01,4.980736219e+01,1.494155679e+01,1.541245780e+01,6.651768934e+01,4.746318489e+01,8.648060042e+01,9.990526190e+00,4.550841289e+01,8.377490992e+01,1.841926963e+01
3.020265856e+01,2.270249102e+01,1.929374607e+01,6.102990568e+01,8.035098439e+01,1.001876712e+00,3.023712096e+01,6.826151656e+01,6.447138032e+01,2.399696726e+01,5.263393196e+00,3.501000129e+01,9.588206282e+01,1.014383193e+01,1.563261073e+01,1.232409430e+01,1.771953340e+01,4.494078658e+01,5.816949951e+01,8.881804613e+01,4.879034888e+01,8.433730259e+01,4.418396638e+00,2.903595027e+01,3.172576919e+01,5.863224771e+01,8.916355213e+01,4.231997306e+01,5.651191649e+01,4.011944786e+01,9.220662464e+01,7.521057119e+01,7.399731995e+01,1.296959696e+01,1.382814380e+01,4.134734558e+01,4.484768749e+01,8.812433030e+01,1.934593001e+01,4.691685266e+01,5.379522532e+00,6.670394196e+01,4.328839939e+01,1.254075908e+01,9.644869306e+01,4.614090768e+01,4.563005568e+01,6.875706498e+01,9.433402127e+01,1.482743640e+01,2.170299536e+01,3.386112681e+01,1.272615723e+01,7.538534089e+01,7.103729437e+01,2.305226099e+01,9.174600893e+01,8.848436179e+01,8.168967665e+01,5.487161760e+01
3.502519678e+01,5.278187569e+01,8.409630706e+01,9.661902464e+01,8.060275284e+01,6.311789677e+01,3.207589101e+01,9.548409370e+01,5.266090710e+01,3.152172632e+01,1.125211447e+01,4.363082356e+01,1.755889913e+01,7.322172914e+01,7.946762842e+01,7.609522058e+01,9.825371508e+01,4.175204541e+01,6.955560589e+01,4.909928504e+01,9.496497818e+01,2.676793496e+01,7.417721547e+01,1.288733342e+00,7.454714997e+01,3.409373082e+01,1.462765548e+01,3.544479996e-01,5.096906111e+01,3.292232983e+01,2.337837190e+01,7.959553559e+01,8.084442293e+01,1.537729862e+01,9.734485598e+01,1.420276395e+01,6.492846023e+01,6.950837574e+01,9.260859852e+01,7.881004410e+01,7.129197146e+01,4.330381925e+00,3.545663740e+01,5.568686646e+01,8.204023095e+01,8.249068134e+01,4.514640175e+01,3.646439301e+01,2.196736408e+01,2.889830835e+01,4.446762405e+01,3.292656494e+01,7.336813599e+01,9.559179124e+01,5.236737982e+01,8.311047325e+01,1.259343787e+01,3.683484895e+01,9.265909789e+01,8.503912704e+01
4.953232628e+01,4.646064051e+01,9.713985321e+01,2.650146869e+01,7.309720830e+01,9.892192939e+01,1.581089054e+01,2.462307762e+01,7.630505324e+01,8.489183227e+01,9.106197647e+01,2.729761530e+01,6.087279106e+01,7.359913043e+01,3.688064866e+01,5.782067322e+01,7.611752646e+01,8.936651418e+01,9.038795453e+01,6.434793851e+01,3.645221230e+01,3.578976937e+01,3.372676209e+01,1.839830685e+01,8.885798065e+01,8.861543830e+01,9.624196650e+01,1.937371052e+01,2.817451111e+00,5.295757969e+01,1.809950784e+00,9.736621572e+01,9.828232337e+01,4.692333067e+01,3.960657953e+00,3.614052793e+00,7.599813989e+01,1.222508597e+01,1.858940389e+01,5.922611415e+01,3.608857291e+00,6.488838017e+01,2.091365308e+01,9.878096367e+01,3.740754222e+01,1.122698285e+01,3.375540302e+01,9.369907502e+01,5.806079851e+01,6.413883044e+01,6.860911220e+01,7.073092596e+01,5.554953299e+01,2.776543250e+01,4.032534015e+01,8.715183281e+00,4.053203977e+01,8.202988983e+00,9.565742264e+01,5.376759096e+01
1.086550459e+01,6.680005800e+01,7.952873711e+01,1.897150339e+01,6.696012016e+01,6.294485718e+01,1.811401223e+00,9.906426565e+00,5.437274771e-01,7.643092141e+01,3.935336928e+01,8.148574510e+01,2.455582325e+01,3.261396368e+01,5.255050156e+01,5.236606807e+01,7.998952135e+01,7.789118994e+01,8.326861438e+01,6.302003088e+01,8.691138068e+01,8.441517711e+01,5.654474767e+01,3.755725283e+01,5.956985763e+01,8.737180377e+01,2.148029465e+01,7.467750933e+01,7.564122067e+01,7.255947305e+01,5.499797153e+01,9.781366223e+01,2.265877233e+01,5.070167978e+01,9.363971385e+01,8.415655704e+01,6.919500317e+01,9.114378146e+01,9.481763257e+01,9.575168734e+01,3.750848628e+01,5.455887421e+01,5.858658928e+01,9.802208964e+01,3.359775030e+01,4.333264154e+01,6.755503346e+01,7.045114725e+01,6.685423642e+01,9.166854471e+01,4.617591249e+01,2.880931948e+01,1.985078570e+01,2.450689605e+01,9.118666629e+01,3.595820914e+01,9.133990611e+01,3.024432720e+00,3.155586199e+01,6.955831721e+01
3.566798633e+01,9.819249899e+00,3.595255942e+01,1.468272829e+01,1.082142071e+01,6.178334713e+01,4.593839688e+01,5.300222260e+01,7.709269945e+01,7.407236205e+01,1.455286685e+01,2.501629000e+01,2.334089238e+01,2.213771650e+01,8.809405034e+01,1.394359513e+01,1.207352161e+01,8.364239865e+01,9.610851025e+01,2.715413924e+00,6.952175914e+00,1.952717784e+01,5.198821985e+01,5.567342085e+01,6.459457918e+01,3.859123915e+01,1.845157421e+01,9.489684789e+01,8.732510500e+01,1.750275433e+01,5.743792517e+01,9.644009326e+01,5.104969316e+01,3.720940084e+00,7.474555744e+01,8.934989439e+01,3.406680699e+01,6.372337286e+01,1.192983333e+01,2.942548539e+01,9.198842295e+01,7.312315831e+01,4.639590010e+01,4.340177818e+01,1.505620181e+00,7.199658404e+01,7.668643431e+01,2.187310584e+01,1.942805724e+01,4.947933021e+01,8.440840486e+01,6.717587756e+01,2.380076072e+01,9.895709168e+01,4.487071735e+01,5.230678764e+00,5.247056790e+01,3.492371972e+01,3.101110083e+00,6.867740096e+01
3.909723495e-01,6.718498211e+01,3.756744113e+01,1.292012752e+01,8.362272238e+01,6.118636472e+01,8.275063883e+01,1.182368861e+01,7.733708675e+01,2.484462865e+01,5.182437859e+01,8.423013444e+01,4.146509050e+01,6.634790561e+01,6.777141583e+01,4.489354669e+00,2.899382458e+01,9.712905868e+00,2.271126293e+01,2.974466638e+01,2.284462435e+01,1.283832268e+01,1.921950592e+01,4.016205506e+01,5.410414161e+00,6.370713314e+01,7.140629903e+01,4.503047678e+01,9.700839207e+01,9.426611860e+01,9.219740999e+01,1.623995451e+01,6.697486433e+01,4.913425470e+00,2.575491204e+01,9.289782649e+01,4.995905764e+01,7.066380415e+01,2.215192440e+01,3.636727611e+01,8.425992106e+01,2.199665805e+01,8.985698548e+01,7.852964405e+01,9.865453960e+01,4.358975380e+01,6.978490023e+01,9.845846875e+01,9.880792877e+01,4.342730425e+01,2.711077503e+01,2.119916692e+01,4.907794356e+01,8.702571245e+01,5.733608297e+01,7.416103371e+01,3.744307303e+01,1.580184575e+01,4.283964021e+01,9.441765664e+01
6.912022730e-01,4.964099895e+01,8.260436077e+01,8.308380753e+01,2.864240108e+01,4.138037037e+01,5.044350653e+01,9.156568319e+01,2.211577697e+01,8.515187627e+01,2.621507697e+01,7.265627534e+01,9.592753588e+01,2.249358861e+01,6.921221415e+01,3.555072650e+01,5.483368825e+01,1.351205731e+01,7.761680712e+01,6.129736952e+01,6.509890272e+01,4.454995917e+01,6.195822941e+01,3.302359683e+01,9.454051051e+01,3.895217619e+01,6.537936503e+00,8.644395726e+01,6.247485837e+00,4.020441447e+01,9.797070344e+01,1.888318680e+01,9.818444112e+01,8.664640086e+01,5.869884138e+01,7.332737815e+01,3.922001654e+01,4.085318133e+01,4.074937659e+01,9.991851579e+01,3.193518038e+01,8.882986850e+01,8.622327409e+01,5.514922331e+01,4.582301876e+01,5.310900017e+01,7.039563785e+01,7.118351533e+01,4.618821366e+01,8.860267163e+00,5.316029273e+01,7.467146205e+00,9.030464666e+01,5.753220597e+01,8.194014419e+01,9.472336184e+00,3.059585969e+01,5.948665680e+01,7.445872911e+01,4.601562365e+01
