v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61
8.361099223e+01,7.690410463e+00,9.717239070e+01,3.822856909e+01,3.025826775e+01,5.834682746e+01,3.996814172e+01,2.563472528e+01,2.824236072e+01,5.336164563e+01,3.341731311e+01,1.509161864e+01,6.616455784e+01,9.178194039e+01,7.706907761e+01,6.820250685e+01,5.148098672e+01,1.285057199e+00,1.310486390e+01,3.771668564e+01,1.848374043e+01,7.985628985e+01,2.703131039e+01,4.903031605e+01,5.794997733e+01,9.397949072e+01,7.426879634e+01,6.440459165e+01,8.586957474e+01,2.899343999e+01,7.469410293e+01,9.699432163e+00,2.943969968e-01,4.042506344e+01,9.859762261e+01,9.951282272e+01,5.812113178e+01,6.597469895e+01,2.772099272e+01,8.384812052e+00,5.874716706e+01,5.991507353e+01,4.562253777e+01,4.130388546e+01,6.872799499e+01,9.094484492e+01,8.565683865e+01,7.278991712e+01,8.669171476e+01,7.208409190e+01,7.911219377e+00,8.750426843e+00,2.155844772e+01,9.739573309e+01,4.584701238e+01,9.467440579e+00,8.185607663e+01,5.357627300e+01,5.056045324e+01,6.891779085e+01,5.767634426e+01
8.135283225e+01,7.245017759e+01,6.819805261e+01,9.092348922e+01,5.696990696e+01,9.150402555e+01,4.464334394e+01,1.657684071e+01,8.976910630e+01,3.023606105e+01,1.929503226e+01,7.296417913e+01,3.777355431e+01,8.181284475e+01,9.137166629e+01,5.796390925e+00,4.647876973e+01,1.519378614e+01,1.844935301e+01,7.516312589e+01,2.202666386e+00,3.370015611e+01,2.893756154e+01,8.269348081e+01,1.680286822e+01,8.557303425e-01,4.481747595e+01,1.253163312e+01,1.494338310e+01,2.115333411e+01,4.590438870e+01,1.295392965e+01,3.759385115e+01,4.763203618e+01,7.071219950e+01,6.027272128e+01,3.205334932e+01,6.798849128e+01,8.950733234e+01,5.849300777e+01,8.797486602e+01,7.755107951e-01,8.700372716e+01,4.214343588e+01,8.618359675e+01,6.340215599e+01,2.748546004e+01,7.016959678e+01,8.770718329e+01,5.821193234e+01,6.866434464e+01,4.617892665e+01,2.497008012e+01,4.833697470e+01,6.307440064e+01,7.613712858e+01,2.400050378e+01,1.439110746e+01,8.309629296e+01,7.480674899e+01,8.513219860e+01
7.485738324e+01,8.847868617e+01,2.627025216e+01,8.939666569e+00,3.712068745e+01,9.575877938e+01,6.570364474e+00,2.927209257e+00,7.101391851e+01,7.836985739e+01,5.304453487e+01,1.132892738e+01,1.354819859e+01,2.970306585e+01,2.980575647e+01,6.076000260e+01,6.155199340e+00,4.954130649e+01,5.715560552e+01,1.452598988e+01,6.359437805e+01,5.359952864e+01,2.952283425e+01,4.285910099e+01,4.422637378e+01,1.845878683e+01,7.348143034e+01,7.980474024e+01,7.592128242e+01,2.740680460e+01,4.684312159e+01,8.984265029e+01,1.614488984e+01,8.256852009e+01,5.183203233e+01,1.424373835e+00,1.155424707e+01,7.354469168e+00,2.376826350e+00,6.263572625e+01,9.451095880e+01,1.044527493e+01,4.538456108e+01,2.187588119e+01,2.173132100e+01,3.665029700e+01,2.389036721e+01,1.554838874e+01,3.275948237e+01,8.357964704e+01,4.375334243e+01,9.696468716e+01,9.219866078e+01,7.966247318e+01,3.249344505e+01,9.678663734e+01,1.930652266e+01,2.707042461e+01,2.934959227e+01,9.984961412e+01,9.520130082e+01
8.117499035e+00,6.266676544e+01,9.627469365e+01,7.387058299e+00,6.929784946e+01,4.884060507e+01,1.981261148e+00,8.490835723e+01,5.382800888e+01,8.731657859e+01,8.153889402e+01,8.491883332e+01,8.740867234e+01,2.303452490e+01,6.169098607e+01,6.173264526e+01,2.568829552e+01,1.636394252e+01,6.501612028e+01,7.562999148e+01,5.562392719e+01,7.890539539e+01,7.593449173e+01,3.191662440e+01,4.180185004e+01,3.905942342e+01,7.197751072e+01,3.452541546e+01,2.911958654e+01,4.999921039e+01,7.477720124e+01,6.525154288e+01,7.094464829e+00,1.104240861e+01,6.328930021e+01,1.015346426e+01,9.101120589e+01,4.835592520e+01,3.526691496e+01,3.368151776e+01,7.353747832e+01,5.591159920e+01,1.330650910e+01,8.242407843e+00,6.217973294e+01,3.514916463e+01,1.949330806e+01,2.316164645e+01,8.889328822e+01,9.789183982e+01,2.988756304e+01,6.549438527e+00,1.385391309e+01,9.771120999e+01,2.050052833e+01,2.998336172e+01,1.277978824e+01,5.570514423e+01,8.133175217e-02,2.672724395e+01,7.402071497e+01
2.439808182e+01,5.025447781e+00,1.409880029e+01,6.873217152e+01,2.949498560e+01,5.634349443e+01,8.596050678e+01,5.357163341e+01,4.289197803e+01,2.861971493e+01,8.455875159e+00,6.838572850e+01,7.521074188e+00,5.437523389e+01,1.869385172e+01,9.056222553e+01,5.982092895e-01,1.959362395e+01,7.691521521e+01,4.787085642e+01,7.166557566e+01,3.201220129e+01,2.078966753e+01,7.547478539e+01,5.472591613e+00,2.922391501e+01,9.361822759e+01,7.908997005e+01,7.650663771e+00,6.944316550e+00,1.882652897e+01,6.935627033e+01,1.350416436e+01,2.971409331e+01,3.209066968e+01,1.506544368e+01,6.432609922e+01,2.025421853e+00,8.090148689e+00,8.975437123e+01,6.216497494e+00,2.324876538e+01,3.650945220e+01,4.254099362e+01,1.463851527e+01,1.484919041e+01,6.054642945e+01,8.369498996e+01,7.944557988e+01,8.055789374e+00,3.340184916e+01,7.036999274e+01,4.451524456e-01,2.800138771e+01,9.897154724e+01,8.593728206e+01,2.385941342e+01,8.339989549e+01,1.934958642e+00,1.646705635e+01,3.855515356e+01
2.679177008e+01,8.405334481e+01,1.867281357e+01,6.985346283e+01,8.604287534e+01,3.909914891e+01,5.493897472e+01,2.260717556e+01,5.808817691e+01,3.803785816e+01,3.906754118e+01,2.311889904e+01,7.389814778e+01,7.391791888e+01,5.638133988e+01,3.979775020e+01,7.748542668e+01,1.356968999e+01,5.669134067e+01,4.575327507e+01,5.373613977e+01,4.206702595e+01,4.276463154e+01,7.307240840e+01,5.303490383e+01,2.496450189e+01,8.161497534e+01,6.068866890e+01,4.768784614e+01,2.334578980e+01,5.642941975e+01,6.051187150e+01,1.229391534e+01,9.835299318e+01,5.764781842e+01,9.385899585e+01,6.021367553e+01,8.933999243e+01,8.648435539e+01,2.504334914e+01,6.648017544e+01,4.142691849e+01,2.572707957e+01,3.617890202e+01,7.875930412e+01,2.356626345e+01,2.338495346e+01,1.132106918e+01,4.088293668e+01,4.442798875e+01,9.658264434e+01,5.425302295e+01,3.676512936e+01,4.598370616e+00,8.223315623e+01,9.195366441e+01,3.202325529e+01,2.297081478e+01,5.367863897e+01,3.283901523e+01,6.630733332e+01
1.428961359e+01,8.255267830e+01,6.789309508e+01,2.314717434e+00,5.921532522e+01,6.875647050e+01,1.029863389e+01,3.515834331e+01,7.632418012e+01,9.334146309e+01,8.804448070e+01,7.994936970e+01,8.730683672e+01,1.852565426e+01,5.484220524e+01,2.008960809e+01,5.443278683e+01,1.810839705e+01,8.608006038e+01,8.071939560e+01,9.768368024e+01,3.365851483e+01,8.275087624e+01,3.831473167e+01,5.870608417e+01,5.624041114e+01,1.884958580e+01,9.605367619e+01,5.330513340e+01,2.535005641e+00,3.649049733e+00,7.436431941e+01,5.078094391e+01,3.241310967e+01,5.313758109e+00,5.864092503e+01,5.159942892e+01,3.369126707e+00,7.159437172e+00,2.754865667e+01,6.930582396e+01,5.311243138e+01,1.559853590e+01,4.848866644e+01,5.312104687e+01,9.330036235e+01,4.850156739e+01,6.388050598e+01,9.704679881e+01,2.698058742e+01,9.175051811e+01,3.474919163e+01,2.331033004e+01,4.955092679e+00,7.781078263e+01,1.099670717e+01,6.964699498e+01,4.333101189e+01,5.690463579e+01,4.071814475e+01,4.227995922e+01
7.048339135e+01,7.675828455e+01,3.133005595e+01,8.147563174e+01,7.119363785e+01,5.059706282e+01,9.430878262e+00,4.299078501e+01,1.579856431e+01,3.478579505e+01,2.503471937e+01,1.825849316e+01,7.060514356e+01,7.412969396e+01,5.301238669e+01,6.837713056e+01,2.963670462e+01,8.634619487e+01,8.053059788e+01,8.901059270e+00,8.240392515e+01,1.016171879e+01,4.781153468e+01,1.001273048e+01,5.062588315e+00,8.398754260e+01,5.973828637e+01,8.171883515e+01,2.396352186e+01,3.050597420e+01,7.727715488e+01,5.947400845e+01,7.306837238e+01,3.561361443e+01,6.614507157e+01,9.511360792e+01,8.244004457e+00,4.136966323e+01,8.786809808e+00,1.530352334e+01,2.277305782e+00,4.338641363e+01,2.845405768e+01,1.533474145e+01,9.732079979e+00,6.631646310e+01,3.921596460e+01,7.573095619e+00,4.279765764e+01,9.596299525e+01,5.208908907e+01,1.013782365e+00,5.247522925e+00,2.724369964e+00,9.238639820e+01,8.626986782e+01,7.918563745e+01,6.791602688e+01,4.127927884e+01,2.878115117e+01,7.467179229e+01
3.282746741e+01,3.797396328e+01,1.641100893e+01,9.450779728e+01,7.507471560e+01,3.539299124e+01,8.785104492e+01,3.965100728e+01,5.520955392e+00,8.146526707e+01,8.537484455e+01,9.237774842e+01,3.456416074e+01,7.599684996e+00,1.944766412e+01,4.967418317e+01,4.793238063e+00,9.939811825e+01,9.701332127e+01,8.962659781e+01,7.070654113e+01,7.254363479e+01,2.381549923e+01,7.864981027e+00,1.218089272e+00,2.316404670e+01,3.062943013e+01,2.131283587e+00,5.973813227e+01,9.345257298e+01,7.739719163e+01,1.994673943e+00,8.763651455e+01,8.594307422e+01,9.975084993e+01,7.558907130e+01,1.323578146e+01,1.128592033e+01,4.173815316e+01,3.578960539e+01,4.781108787e+01,5.392760788e+00,1.776221991e+00,5.403578617e+01,5.090332440e+01,2.267014974e+00,4.989607584e+01,5.089576982e+01,7.716831538e+00,8.683148686e+01,8.825372089e+01,4.766725759e+01,5.663846089e+01,5.091420337e+01,6.728400068e+01,4.774962692e+01,6.222945854e+01,9.466807802e+01,2.812632077e+01,5.358541889e+01,6.376075739e+01
7.211020985e+01,7.927416107e+01,8.228474094e+01,8.882939044e+01,4.835897041e+01,2.677980578e+01,8.955357485e+00,3.992864502e+01,7.260574620e+01,6.831879843e+01,2.761448239e-01,7.450247799e+01,7.767056178e+01,4.451366436e+01,4.632251188e+01,6.044810194e+00,6.654929254e+00,5.893359818e+01,2.951062900e+01,6.760374941e+01,3.487125116e+01,4.187437023e+01,3.742945874e+01,5.053123221e+01,5.648286601e+01,1.310998056e+01,8.062041501e+01,6.668456807e+01,2.581838319e+01,2.851437002e+01,3.470370331e+01,1.779658955e+01,1.974380764e+00,9.067362335e+01,8.818841297e+00,9.733465838e+01,2.758559603e+01,2.521361938e+01,5.125231249e+01,9.797624921e+01,3.303379812e+01,3.281465715e+01,3.439588506e+01,6.205576003e+01,5.965204241e-02,7.156873279e+01,2.656599006e+01,5.114599492e+00,7.999439671e+01,8.857555084e+01,7.519707463e+01,5.666676405e+01,3.944374183e+01,5.715628941e+00,9.731555855e+01,1.946023659e+01,3.462709946e+01,6.855560457e+01,3.642702077e+01,3.343201588e+01,3.943856838e+01
