v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62
5.408357180e+01,3.159664929e+01,7.047327788e+01,8.014898457e+01,9.050570535e+01,1.839067495e+01,6.339975518e+01,1.970416288e+01,2.295360967e+01,1.581407079e+01,2.179193388e+01,9.538483134e+01,4.742898658e+01,1.646434419e+01,9.047791667e+01,3.566309889e+01,4.463464021e+00,8.245695441e+01,8.719806518e+01,7.447341071e+00,1.495895920e+01,5.492057518e+01,1.784864978e+01,7.293204912e+01,1.477545800e+01,6.431932653e+01,3.750513641e+01,4.761102348e+01,3.638165112e+01,3.857200702e+01,8.960323021e+01,7.600047158e+01,2.901842050e+01,8.765774507e+01,8.405523720e+01,8.430148851e+01,4.105799247e+01,1.846944144e+01,5.030314777e+01,6.107100084e+01,2.824105195e+01,4.271500078e+01,2.723953383e+01,5.707706043e+01,2.565842117e+01,9.198936458e+01,3.076081618e+01,5.939507219e+01,7.973714246e+01,1.358962199e+01,7.673473984e+00,4.705361991e+00,7.314125244e+01,1.379503045e+01,6.883127985e+01,2.723963721e+01,6.710119377e+01,8.120235992e+01,5.827955883e+01,7.522510891e+01,3.758227791e+01,2.217409278e+01
6.126728939e+00,4.751784724e+00,5.261405127e+01,9.612142388e+01,8.361264976e+01,2.555032170e+01,2.688379418e+01,3.736795395e+01,4.884968766e+00,4.279456749e+01,5.908094685e+01,7.784315165e+01,4.826365998e+01,7.209668079e+01,6.596080031e+00,7.728025191e+01,6.625063331e+01,6.220750116e+01,2.521192432e+01,8.029351604e+01,1.099561521e+01,6.686477080e+01,4.771459171e+00,9.717461439e+01,6.262092803e+01,5.347479300e+01,8.143999704e+00,2.352551712e+01,7.046338451e+01,7.197311574e+01,9.086464822e+01,8.098364912e+01,5.264491543e+01,6.985905496e+01,9.883227638e+01,4.805272887e+01,5.671563578e+01,9.494031965e+00,7.679430507e+01,6.630306898e+01,6.483750720e+01,5.080527287e+00,8.939979354e+01,1.985240989e+01,7.215565020e-01,1.850883505e+01,6.382737152e+01,4.167002400e+01,2.045040847e+01,7.290297089e+01,4.876976943e+01,5.481452652e+01,1.522178247e+01,4.443521258e+01,2.215026804e+01,7.227446963e+01,4.598492724e+01,5.435217002e+01,3.992170721e+01,3.569575856e+01,7.446772049e+01,8.640027317e+01
3.956321190e+01,8.679447307e+01,7.456193735e+01,2.984832954e+01,3.865026089e+01,6.528835045e+00,1.220411099e+01,5.064071966e+01,3.381355300e+01,8.074840838e+01,8.061886925e+01,7.416379310e+01,2.453868837e+01,1.805130905e+01,5.222292414e+01,9.504625988e+01,5.746302606e+00,3.098280439e+00,6.442378477e+01,2.030636604e+01,8.560404793e+01,4.530103692e+01,8.592679329e+01,9.499869320e+01,1.168157310e+01,1.459813494e+01,9.370278799e+01,2.826849406e+01,4.041675098e+01,8.530433066e+01,5.578491650e+01,4.997174307e+01,3.512062253e+01,6.219386788e+01,1.927938018e+01,4.083431950e+01,1.435828186e+01,2.676274595e+01,7.202413205e+01,6.194009650e+01,6.981941786e-01,1.503305623e+01,4.474579553e+01,2.512949002e+01,2.889064174e+01,7.869954076e+01,7.102685379e+01,8.717553598e+01,4.655700587e+01,7.691976329e+01,4.894489508e+01,8.081872865e+01,8.707632294e+01,4.021042916e+01,9.931210279e+01,5.531805282e+01,5.070582807e+01,7.139313526e+01,1.318746190e+01,6.058032013e+01,8.929860009e+01,4.325717161e+01
4.188901100e+01,6.630225129e+01,6.579550535e+01,5.128128534e+01,6.910207279e+01,4.185416191e+01,9.483020179e+00,2.714319958e+00,6.681284609e+01,3.393775573e+01,5.687494880e+01,2.385374913e+00,2.061223753e+01,2.535736384e+01,6.929240183e+01,9.959326459e+01,9.399846120e+01,9.352894985e+01,8.325933348e+01,5.630988199e+01,6.475070040e+01,8.719324352e+01,5.689292568e+01,3.303761082e+00,3.214984858e+01,4.380072346e+01,8.208146885e+01,3.567187402e+01,7.755341376e+01,3.082399579e+01,9.494247495e+01,5.741742328e+00,6.784097772e+01,2.065685805e+01,8.573091243e+01,6.098381642e+01,7.487768491e+01,8.767035504e+01,1.336614246e+01,4.415249185e+01,4.646295608e+01,8.318755707e+00,3.016609282e+01,8.044903162e+01,9.408571281e+01,6.451061491e+01,1.032167809e+01,2.626205665e+01,9.129564791e+01,8.125856475e+01,4.336330390e+01,6.114800721e+01,3.810847624e+01,1.901071951e+01,5.957889282e+01,9.678632571e+01,8.103230274e+01,3.354311004e+01,4.397798952e+00,3.088332113e+01,7.478605793e+01,9.879158405e+01
2.070535155e+01,7.633009031e+01,1.965781650e+01,4.742912487e+01,4.981227054e+01,3.319418256e+01,7.385587578e+01,5.729198390e+01,1.007326939e+01,4.856585267e+01,7.557602268e+01,1.729386631e+01,7.737313764e+00,7.972610345e+01,4.268104776e+01,8.413886522e+01,3.048501740e+01,2.719470289e+01,5.446220241e+00,2.904250594e+01,1.183051920e+01,5.768295207e+01,7.378273755e+01,8.862208760e+01,2.393724446e+01,6.244594015e+01,4.810882029e+01,5.100206321e+01,6.910523500e+01,2.637460794e+01,8.481260278e+01,5.688930267e+00,2.510783568e+01,1.970812218e+01,3.868260222e+01,6.342196908e+01,7.957868259e+01,6.015645116e+01,1.320111933e+01,5.804106687e+01,4.300892777e+00,7.368989055e+00,5.703556319e+01,6.237881088e+01,8.219089324e+01,6.353697088e+01,1.084606886e+01,9.245519122e+01,1.730509507e+01,4.989621587e+01,7.026253626e+01,3.716537794e+01,2.329997131e+01,6.908292623e+01,9.106258350e+01,7.533370811e+01,7.246341502e+01,1.946779875e+01,9.449940746e+00,6.645234963e+01,2.675484261e+01,8.921279524e+01
9.820768691e+01,9.147898708e+01,9.429380328e-01,5.051272642e+01,8.928494279e+01,1.825112929e+01,1.942398466e+01,9.118174619e+01,3.459470467e+01,3.122822444e+01,2.725056799e+01,3.802205141e+01,3.467975533e+01,2.398443824e+01,3.896279337e+01,9.106890078e+00,1.824293742e+00,7.353100007e+01,6.897330777e+01,4.212522476e+01,2.373959115e+01,2.501558663e+01,4.776534612e+01,4.717181488e+00,9.422013870e+01,1.223537608e+01,1.371464680e+01,9.243558560e+01,4.846142988e+01,4.478359751e+01,8.450535629e+01,8.480595922e+01,5.601579064e+01,3.200146368e+00,1.514254756e+01,6.412124211e+01,2.611638791e+01,7.551119862e+01,1.737038518e+01,3.608515642e+01,4.716240962e+01,2.721880722e+01,9.157190084e+00,9.827238566e+01,2.269300784e+01,9.065544292e+00,5.923034560e+01,1.194202813e+01,6.283243488e+01,9.521769850e+01,3.178292512e+01,2.174946217e+01,4.176033745e+01,7.307044488e+01,3.070422985e+01,4.224517661e+01,5.588079578e+01,2.555451093e+01,1.856315762e+01,7.559106886e+01,4.200529994e+01,4.613068273e+01
6.893797426e+01,8.837014061e+01,1.526196799e+01,4.566394956e+01,3.783337916e+01,6.953186967e+01,5.052844342e+01,8.296778392e+01,7.403082820e+01,4.420609970e+01,8.995983684e+01,5.253729236e+01,2.449138806e+01,1.432795958e+01,8.485984319e+01,8.827845521e+01,2.919370883e+01,8.441483009e+01,7.576827187e+01,8.306450242e+01,2.835680029e+01,2.351100737e+01,4.014112757e+01,8.538851580e+01,6.125785888e+01,4.273876435e+00,1.845566162e+01,4.136558386e+01,8.532975931e+01,9.177219764e+01,3.408635361e+01,4.005387754e+01,4.637019989e+01,4.014669200e+01,5.177715700e+01,2.872084583e+01,9.365610271e+01,7.218778046e+00,5.945238043e+01,6.861165872e+00,8.985967628e+01,7.694510698e+01,6.375643392e+01,7.056692024e+01,6.742173947e+01,3.558686197e+01,2.371881711e+01,5.318393536e+01,2.029339465e+01,9.573964896e+01,7.400773020e+01,3.782658073e+01,5.803600375e+01,3.826333803e+01,4.431288026e+00,1.011376653e+01,5.764910720e+01,6.756357085e+01,8.302978124e+01,3.168119657e+01,8.820608072e+01,6.500285369e+01
3.286302178e+01,1.824944038e+01,4.782429307e+00,5.843708128e+01,1.381095269e+01,1.466505427e+01,5.216825992e+01,1.832328109e+01,2.773047515e+01,5.158140075e+01,4.279370187e+01,6.322664557e+01,1.201814308e+01,5.210720830e+01,3.788585865e+01,7.208187925e+01,1.404916535e+01,2.197336179e+01,2.561139766e+01,9.933389209e+01,9.488201111e+01,1.060886160e+01,4.845979186e+01,7.624890988e+01,1.798065918e+00,7.266246903e+01,8.768201912e+01,6.912639223e+01,7.852178048e+01,8.810901486e+00,4.786853684e+01,1.445516668e+01,6.239633031e+01,8.082031771e+01,1.434958187e+01,5.931877560e+01,1.169886831e+01,1.288541356e+01,9.729978313e+01,7.016338849e+01,8.263220744e+01,3.441165698e+01,9.733929392e+01,5.759334306e+01,6.523305500e+01,7.354932368e+00,8.978559924e+01,8.206144961e+01,7.918707807e+01,9.432055831e+01,5.908149527e+01,1.106615679e+01,5.053799683e+01,2.479624677e+01,3.150824340e+01,6.772687527e+01,1.916220707e+01,2.860326988e+01,7.723498491e+01,3.766346009e+00,4.028709316e+01,7.285339190e+01
7.833780766e+01,9.338027861e+01,4.353786954e+01,2.416665672e+01,6.371221279e+01,2.395035760e+01,8.826630074e+00,3.667215451e+01,3.095608929e+01,8.016939105e+01,2.358836089e+01,7.953967094e+01,6.694901094e+01,1.359202557e+01,5.070285538e+01,2.979405315e+01,8.994982000e+01,6.517358873e+01,7.759669241e+01,3.867354965e+01,1.225027371e+01,2.244373955e+01,1.176215667e+01,5.792321266e+01,8.483055540e+01,9.668878248e+01,6.855245700e+01,8.424015516e-01,5.048980446e+01,5.471182776e+00,9.194458231e+01,2.797730553e+01,7.191335643e+01,2.428449416e+01,5.012962348e+01,4.139546550e+01,6.063081978e+01,4.003717732e+01,1.986961533e+01,4.533194665e+01,5.591922993e+01,4.445047402e+01,7.858137427e+01,6.912796237e+01,5.456717994e+01,7.251088841e+01,4.954704819e+01,6.628314972e+01,6.460478120e+01,8.829166225e+01,8.384064448e+01,8.609848858e+01,1.300231930e+01,5.427946174e+01,1.203432296e+01,6.094686813e+01,9.877893907e+01,1.402550390e+01,7.806742689e+01,9.567163447e+01,8.115564247e-01,2.711053842e+00
9.199187309e+01,2.946465994e+01,1.154210724e+01,6.168942668e+01,1.325687224e+01,7.348204741e+01,5.787885576e+01,9.669586345e+01,8.359697356e+01,6.845098435e+01,8.424139085e+01,8.904319257e+01,3.365669508e+01,4.851160424e+00,9.694947660e+01,8.210464890e+01,3.247017346e+01,5.998511882e+01,4.243828159e+01,1.450782549e+01,4.860501590e+01,1.663072622e+00,2.875290923e+01,6.824453513e+01,6.860967249e+01,8.052031635e+01,4.039343156e+01,5.220088180e+01,3.816938091e+01,8.363742665e+00,6.930942631e+01,2.148534071e+01,1.234678377e+01,4.673247933e+01,7.166398713e+01,6.960332297e+01,5.661821587e+01,8.501158625e+01,5.700780951e+01,7.211929480e+01,5.571520448e+01,4.088955065e+01,7.228798917e+01,9.119214085e+01,3.230315728e+01,3.665662353e+01,2.924822077e-01,6.800751962e+01,9.148722731e+01,3.568328931e+01,1.678288816e+01,8.296968151e+01,3.395179437e+01,6.136732501e+01,5.595033448e+01,8.154059350e+01,4.869156550e+01,6.956856346e+01,7.377116410e+00,4.915257304e+01,4.644701339e+01,7.111847357e+01
