v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63
5.359624518e+01,7.116873374e+01,3.307862148e+01,1.955331034e+01,9.119460504e+01,5.859825029e+01,3.483418416e+01,9.285048820e+01,1.322396552e+01,2.568108352e+01,6.359367546e+01,4.182218004e+01,7.443853563e+01,4.856254866e+01,1.678738017e+01,4.097064043e+01,7.163332160e+01,3.231691506e+01,2.730862180e+00,2.811922925e+01,2.176723274e+01,1.999344914e+01,9.043973124e+01,7.520274695e+01,3.323399572e+00,3.853848758e+01,5.975176104e+01,4.420080581e+01,2.280663548e+01,7.649232210e+01,8.744482704e+00,2.931998273e+01,8.654572625e+01,9.413362154e+01,5.639781421e+01,8.935820326e+01,4.898796986e+01,2.124309503e+01,4.537415282e+01,9.455800640e+01,7.585238844e+01,3.141649534e+01,3.263967944e+01,7.012995695e+01,2.103340337e+01,6.872399204e+01,8.771277688e+01,3.503727931e+01,3.950165465e+01,8.741350818e+01,1.447910581e+01,5.322654679e+01,1.523491425e+01,8.553184368e+01,8.106202093e+01,4.188554225e+01,5.942558879e+01,5.401087934e+01,7.332022448e-01,9.168360176e+01,2.138753385e+01,5.751914604e+01,7.606992385e+01
3.145375534e+01,2.612331351e+01,3.206780652e+01,1.794344610e+01,9.570894675e+01,1.499489273e+01,9.687342096e+01,5.568139895e+01,6.146604528e+01,9.935775530e+01,9.440977942e+01,7.793782305e+01,2.287014113e+00,6.419337993e+01,7.042457931e+01,7.243528106e+01,5.252545460e+01,7.293036539e+01,1.230609879e+00,3.125809195e+01,1.936071124e+01,5.917266031e+01,3.553955352e+01,1.054000616e+01,8.929295804e+01,7.263986102e+01,4.346154106e+01,7.123390835e+01,9.112217853e+01,1.355374485e+01,6.311526794e+01,5.360072929e+01,2.451848416e+01,1.983891850e+01,4.827896944e+00,6.197770519e+01,9.364633167e+01,4.830779756e+01,8.646947789e+01,4.746650686e+01,8.686953739e+01,6.326026517e+01,5.569883644e+01,4.450696418e+01,9.644342813e+01,6.296426204e+00,2.052936939e+01,7.889890977e+01,5.862615065e+01,7.802313630e+00,2.933809471e+01,9.214247063e+01,4.036092562e+01,2.962677580e+01,1.006033163e+01,1.652162189e+01,2.239479615e+01,4.461265507e+01,6.629996282e+01,3.129005928e+01,8.757520457e+01,6.393498562e+01,6.900243461e+01
3.136499683e+01,8.833692555e+01,8.779904720e+01,1.021511377e+01,3.106331686e+01,2.559024743e+01,4.071349941e+01,8.899945925e+01,1.441685794e+01,3.757901402e+01,5.190838340e+01,1.535647789e+00,7.261719171e+01,7.471181008e+01,5.055456310e-01,3.815489299e+01,7.066571092e+01,2.847422287e+01,6.112959174e+01,8.849734551e+01,9.311503144e+01,3.483904504e+01,1.396519841e+01,1.260415371e+00,4.371298061e+01,1.936643674e+01,7.162493790e+01,1.485244093e+01,4.842556781e+01,9.990190317e+01,8.586601550e+01,2.103177596e+01,5.946584801e+01,7.407062556e+01,3.532395985e+01,7.661788493e+01,9.739315878e+01,8.883237166e+01,6.321840802e+01,7.956248998e+01,1.401038401e+01,9.532218130e+00,5.533729075e+01,1.813322725e+01,3.014022241e+01,4.917542051e+01,3.383590769e+01,1.731248939e+01,5.557946396e+01,6.230367609e+01,1.214575781e+01,6.162319299e+01,2.982834343e+01,6.417252136e+01,8.176840869e+01,6.794481193e+01,4.808019854e+01,4.527740984e+01,7.238806490e+01,8.136857073e+01,3.758169592e+01,1.156479656e+00,5.377646151e+01
3.081624783e+01,4.100523983e+01,3.653748225e+01,5.664885729e+01,5.235407440e+01,2.004416843e+01,8.526785462e+01,6.964076126e+01,3.821996857e+01,6.786747557e+01,1.556426755e+01,8.925009853e+01,8.302342230e+01,8.937978901e+01,9.541649573e+01,8.228880224e+01,5.925072487e-01,2.077319159e+01,7.317458878e+01,5.688948590e+01,9.788117091e+01,5.722082165e+01,4.154830120e+01,8.773882185e+01,9.959866698e+01,9.453610013e+01,1.742082225e+01,1.113733247e+00,9.868521731e+01,9.255408057e+01,6.009223284e+01,8.027929946e+01,9.088359452e+01,2.653061581e+00,9.598123321e-01,4.064749456e+01,9.943306328e+01,2.004980920e+01,4.203895845e+01,5.927013712e-01,4.166605152e+01,9.152783031e+01,9.924095413e+00,6.045559453e+01,9.838436242e+01,7.088096875e+01,2.700417861e+01,6.429648788e+01,3.329526331e+01,9.646529262e+01,5.538198253e+01,3.738683640e+01,8.478877775e+01,5.673228900e+01,7.534241430e+01,7.287992152e+01,8.382957008e+01,1.097546802e+01,7.135290000e+01,9.077043134e+01,6.781777882e-01,4.007739662e+01,8.306786390e+01
2.953863330e+01,4.323254555e+01,7.178151571e+01,1.534240333e+01,7.385150429e+00,8.389287457e+01,5.626287248e+01,2.651182438e+01,8.165465239e+00,3.013991019e+01,4.560375125e+01,3.712482575e+00,8.136694624e+01,7.346010930e+01,2.208759128e+01,6.192256192e+01,8.666667242e+00,4.379102450e+00,6.024223497e+01,6.081705866e+01,4.294834923e+01,8.378588114e+01,5.408624428e+01,9.172065863e+01,1.839499786e+01,3.169312898e+01,7.346777638e+01,1.378403120e+00,3.634614580e+00,9.483815321e+01,4.661427335e+01,4.536391142e+01,7.162885417e+00,2.839824752e+01,8.617280217e+01,4.930317712e+01,2.018606833e+01,6.093584748e+01,7.585973131e+00,8.792468650e+01,4.549253893e+01,8.039519471e+01,4.041551611e+01,2.047306867e+01,8.692483414e+01,1.499267675e+01,1.350658925e+01,2.886613256e+01,4.574318438e+01,5.270413705e+01,7.348182385e+01,8.970128375e+01,4.952115242e+01,7.229120546e+01,9.731221797e+01,8.386105087e+01,4.430080434e+01,6.726462755e+01,8.827286579e+01,4.984202726e+01,5.571289054e+01,7.344444358e+01,2.426625803e+01
5.383914666e+01,4.525295023e-01,4.095128782e+01,8.074068045e+01,6.928389034e+01,3.345268378e+01,5.591323370e-01,8.320399325e+01,1.861783387e+01,1.574535951e+01,8.456669027e+01,7.081000635e+01,2.995373765e+01,2.603244730e+01,8.760902572e+01,1.828615833e+01,7.403868701e+01,7.463702985e+00,2.262155692e+01,2.389275245e+01,1.785175622e+01,1.653371815e+01,8.595213545e+01,8.575740698e+01,4.377780240e-01,4.158130915e+01,3.881625629e+01,9.328439401e+01,5.007020432e+01,6.254065553e+01,4.695616416e+01,1.647121762e+00,2.569221020e+01,5.239076685e+01,5.749526136e+01,3.379750833e+01,6.274347047e+00,7.000607719e+01,5.157424478e+01,1.559516346e+01,4.156576905e+00,3.372357771e+00,9.005540160e+01,6.982790288e+00,4.430858633e+00,2.549557460e+01,9.949910225e+01,6.479152672e+01,5.485535858e+01,7.970787770e+01,8.582307322e+01,5.304930365e+01,1.811363373e+01,6.019475099e+01,9.981566684e+01,7.887516847e+01,2.269565794e+01,1.576584547e+01,5.802391636e+00,8.596942483e+01,7.945177726e+01,3.334057534e+01,6.162510261e+01
1.861657856e+01,1.660793696e+01,8.113587408e+01,1.783544980e+01,8.613579441e+01,1.144588229e+01,6.410620306e+01,7.115957856e+01,7.310508016e+01,8.235143874e+01,6.348269025e+01,5.492974410e+01,4.978423840e+01,5.105629726e+01,5.178525793e+01,9.758113565e+01,9.629042366e+01,5.995552340e+01,6.634808815e+01,1.493123022e+01,4.593129978e+01,1.628391578e+00,2.945441300e+01,9.999161364e+01,8.113486045e+01,9.586602588e+00,2.633454105e+01,6.798136215e+01,5.263884840e+01,8.206152040e+01,3.651576411e+00,7.760450690e+01,4.417931322e+01,2.742485954e+01,8.890992461e+01,3.234860982e+01,6.845463396e+01,1.031966113e+01,3.532173385e+01,5.047973590e+01,3.977550811e+01,9.366058812e+01,3.939927311e+01,4.592748491e+01,7.612319908e+01,7.935887608e+01,6.467235844e+01,1.791956805e+01,7.222702627e+01,3.170198471e+01,1.352530834e+01,7.760389592e+01,8.055296748e+01,6.413524901e+00,2.056702382e+01,1.932940784e+01,5.991005765e+01,2.020017620e+01,2.108811471e+01,3.664621482e+01,9.390763953e+01,2.120582412e+01,2.628052846e+01
7.216789509e+01,4.198573508e+01,7.677691777e+01,2.997302434e+01,2.053696045e+01,9.129950797e+01,5.440776535e+01,4.928129760e+01,2.274173175e+01,1.863408301e+01,8.919777115e+01,2.090955970e+01,8.035873346e+01,4.295533567e+01,2.166990264e+01,6.616318681e+01,9.003575749e+01,2.700543622e+01,5.114024416e+01,9.108257597e+01,3.369044521e+01,8.054202878e+01,1.175775687e+01,6.519409716e+01,4.649247841e+01,5.207745357e+01,7.033619326e+01,8.498250126e+01,3.502218037e+01,9.323470813e+01,2.949395581e+01,4.064073298e+01,4.461487899e+01,4.827473084e+01,5.472196732e-01,7.840481582e+00,7.263542844e+01,4.620246671e+01,9.619055016e+00,2.750194740e+01,4.233037017e+01,8.751019361e+01,7.079979442e+01,8.698616408e+01,4.047928838e+01,9.770201371e+01,9.886351000e+00,7.491757757e+01,5.407892793e+01,7.969572597e+01,1.225242062e+01,8.232242171e+00,3.067173872e+01,5.599457421e+01,1.125746885e+00,8.152912151e+01,7.668356385e+00,1.139418551e+00,6.617683043e+01,8.552901444e+01,9.714049872e+01,6.491525568e+01,5.009583457e+01
7.164957488e+01,5.732288478e+01,6.358835650e+01,5.719296852e+01,2.166715725e+01,4.258759155e+00,7.084590303e+01,3.696648480e+01,9.643916698e+01,5.512741926e+01,4.241885154e+01,3.445640886e+01,6.162744152e+01,6.380091284e-01,4.317861144e-01,3.146294111e+01,5.805838204e+01,9.153552592e+01,4.353358134e+01,2.932600983e+01,4.799838659e+01,2.803348410e+01,8.378640519e+01,1.704102508e+01,9.140379228e+01,6.909296900e+01,9.585033878e+01,2.084757027e+01,7.316211759e+01,3.225518083e+01,1.525434402e+01,3.306619818e+01,1.874969976e+01,3.207861745e+01,1.373435938e+01,7.985398474e+01,1.563171346e+01,5.352988133e+01,6.901102808e+01,4.288884501e+01,1.559140977e+01,3.980503948e+01,3.754503161e+01,1.057063547e+01,3.223415617e+01,5.559669937e+01,4.097507031e+01,4.270647500e+01,7.941231897e+01,8.728435982e+01,1.502139591e+01,1.842397328e+01,5.055166347e+01,6.629109661e+01,7.729850528e+01,3.475855539e+00,9.917256918e+01,6.837526675e+01,6.369774326e+00,1.707146700e+01,5.678393174e+01,2.273690205e+01,5.472873386e+01
9.725039242e+01,9.758703807e+01,4.379938459e+01,8.876074052e+01,4.241060293e+01,8.136725445e+01,7.295862625e+01,5.471854636e+01,8.855792163e+01,2.967051251e+01,6.725122404e+01,7.779535479e+01,7.212670958e+01,6.025088222e+01,1.192305629e+01,3.397256012e+00,6.905965744e+01,9.849950234e+01,7.901402240e+01,1.819404813e+01,5.041954458e+01,1.164415584e+01,9.017331335e+01,6.190451733e+01,4.042521158e+01,8.518319462e+01,9.174231297e+01,5.079994595e+01,8.473956724e+01,9.802046065e-01,8.576156501e+00,7.601569934e+01,3.397086150e+01,6.388163974e+01,3.105249781e+01,4.553027854e+01,9.520030298e+01,8.931210840e+01,6.664438320e+01,4.857724046e+01,4.056789838e+01,3.813317636e+01,3.747642956e+01,1.060011835e+01,3.753441162e+01,2.320845894e+01,1.225322533e+01,9.112279705e+01,9.570650383e+01,5.659189306e+01,6.439688488e+01,7.888473870e+01,2.489426500e+01,1.008812461e+01,7.439061401e+01,7.497888492e+01,6.506820824e+01,5.225973706e-01,8.940753806e+01,9.143356145e+00,3.946135180e+01,4.514746765e+01,2.548573632e+01
