v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65
9.155020850e+01,1.948706447e+01,3.023140635e+01,5.921854439e+01,2.832166750e+01,2.754922021e+01,3.080751688e+01,3.919682268e+01,6.994920837e+00,3.261479763e+01,4.484514122e+01,6.891907877e+01,7.925296774e+00,8.849563087e+01,3.608974912e+01,6.866905954e+01,4.897251903e+01,5.109110866e+01,5.533535238e+01,2.319591056e+01,2.211922216e+01,3.665374517e+01,2.323617170e+01,3.559830595e+01,4.236909537e+01,9.451362972e+01,3.763848520e+01,1.823592100e+01,9.873495538e+01,7.702040695e+01,6.327527806e+01,3.188524925e+01,8.430186942e+01,5.255296836e+01,5.910803271e+01,8.517109932e+01,6.313823998e+01,5.920643724e+01,6.235534227e+01,6.432216263e+01,7.107068863e+01,4.734928731e+01,8.318007840e+01,5.559184422e+01,6.984152107e+00,7.968615954e+01,9.588544436e+01,2.521359270e+01,7.412945827e+01,4.662172337e+01,9.193038663e+01,8.500651434e+01,5.882808176e+01,2.491596515e+01,6.857365312e+01,9.918783480e+01,9.001670875e+01,3.298080929e+01,2.968614608e+01,1.852527503e+01,4.024067342e+01,9.608574479e+00,6.750704272e+01,5.991694436e+01,2.288494991e+01
7.495260963e+01,7.212804812e+01,8.697551280e+01,4.765194383e+00,1.823793494e+01,7.662272320e+01,3.123687475e+01,7.208290789e+01,5.626787401e+01,8.451483315e+01,4.555019445e-01,6.729695900e+01,8.050699216e+01,4.843001218e+01,5.214622287e+01,9.602908791e+01,8.964271333e+01,5.529530542e+01,3.047858325e+01,5.613992045e+01,4.272859393e+01,2.249400018e+01,8.779878235e+01,4.683679047e+00,6.243465779e+01,1.031544992e+00,3.732693012e+01,5.511702492e+01,5.485618994e+01,3.245951700e+01,5.240929934e+01,3.348014198e+01,3.599808692e+01,8.324464234e+01,8.803812496e+01,7.960830563e+01,6.492008361e+01,9.704635906e+01,6.204461546e+01,3.413440913e+01,1.749883884e+01,1.560644133e+01,8.105301475e+00,8.041408520e+01,4.503527117e+01,5.889325278e+01,5.190260527e+01,4.322871314e+01,4.273383235e+00,5.236864802e+01,7.330690767e+01,6.343599244e+01,3.586372592e+01,2.725680340e+01,2.934360542e+01,7.811036565e+01,5.357970435e+01,3.116870567e+01,3.606446007e+01,1.209825571e+01,8.396894654e+01,9.348837238e+01,2.344350515e+00,9.464110682e+01,5.641906722e+01
3.556490029e+01,8.919426141e+01,2.962338152e+01,6.716565935e+01,7.668121402e+01,8.560977751e+01,8.391919299e+01,5.133044958e+01,2.495827080e+01,7.246953671e-01,4.434414016e+01,2.702638512e+01,1.085229872e+01,1.806043665e+01,6.558109213e+01,7.302695089e+01,1.054763233e+01,3.957873829e+01,6.537957494e+00,4.745235465e+01,2.606933115e+01,9.574572361e+01,1.558159347e+00,2.516563998e+01,4.994896330e+01,7.637255734e+01,2.898309118e+00,7.420215758e+01,4.568043401e+00,2.174375716e+00,7.517605429e+01,4.144277725e+01,3.000402063e+01,1.555726693e+00,6.674530696e+01,3.254105467e+01,2.650736818e+01,4.261561436e+01,7.121871944e+01,7.817205880e+01,9.707790298e+01,1.187660769e-02,4.610006740e+01,9.671121957e+01,6.367095489e+01,3.772968616e+01,2.400004201e+01,8.119249030e+01,3.856118791e+01,9.850399261e+01,1.999716146e+01,1.406071723e+01,5.327203659e+01,9.206137334e+01,9.637964166e+01,9.213740184e+01,1.133126717e+01,8.037466540e+01,4.490114061e+01,5.447400737e+00,7.037638818e+01,2.054020744e+00,3.784974655e+01,8.739233258e+01,8.794227914e+01
9.638171269e+01,8.425252753e+01,7.555474383e+00,9.066955043e+01,9.159314721e+01,4.786356654e+00,5.032465550e+01,7.741240715e+01,5.871152282e+01,3.995446275e+01,2.774733624e+01,4.991447999e+01,7.833319201e+01,9.855988822e+01,9.535894099e+01,8.623226046e+00,1.694018113e+01,5.660818383e+01,8.419511166e+01,1.373207843e+01,9.665792944e+01,9.497447931e+01,8.229001888e+01,7.501645044e+01,8.599757901e+01,8.447164222e+01,5.567726607e+01,7.327343008e+01,9.581490129e+01,9.617017270e+01,2.033973814e+01,7.377575568e+01,7.336024933e+00,7.595973181e+01,1.724970845e+01,5.507835092e+01,7.694629917e+01,8.767014410e+01,1.946765789e+01,4.955298332e+01,8.250596012e+01,9.383847683e+01,9.300533464e+01,4.178007305e+01,2.125788423e+01,7.760093931e+01,2.368000601e+01,9.028610312e+01,4.434839494e+01,7.029419043e+01,3.912800423e+01,3.298154089e+01,8.992014196e+01,2.756470400e+01,8.815773592e+01,5.898476107e+01,3.357775675e+01,2.369660868e+01,8.188199786e+01,3.081092131e+01,5.364960431e+01,7.705603345e+01,2.482717115e+01,7.265155891e+01,9.373278239e+01
6.670854767e+01,3.808407869e+01,6.981027615e+01,8.577395063e+01,8.358250385e+01,2.955189870e+01,2.259309654e+01,3.795185454e+00,9.807684239e+01,1.204126718e+01,9.262594946e+01,8.834739537e+01,9.153342574e+01,2.496022727e+01,9.525728818e+01,4.544800916e+01,2.790234739e+01,5.770786525e+01,2.879705710e+01,1.405910978e+01,6.097619295e+01,3.637269862e+01,1.172664751e+01,6.045400559e+00,9.414292097e+01,6.551466926e+01,6.359060072e+01,3.171557725e+00,4.042041971e+01,4.069460167e+01,4.833621052e+01,3.816796913e+01,1.985101872e+01,2.245362096e+01,5.746140657e+01,4.160960981e+01,3.268031389e+01,9.882903293e+01,1.369025492e+00,8.935442101e+00,1.468137462e+01,4.429857338e+01,7.879592980e+01,8.188277249e+01,6.097468387e+01,8.631393082e+01,2.872241479e+01,5.998437932e+01,3.076387956e+01,2.079500925e+01,4.285172925e+01,8.811016493e+01,2.317744862e+01,5.795334210e+01,2.883653078e+01,8.411198112e+01,6.459330974e+01,9.256252393e+01,7.442698584e+01,7.394148225e+01,7.083841945e+01,4.985780071e+01,3.903874284e+00,6.009642988e+01,1.757072944e+01
3.683450555e+01,5.882359897e+01,7.584759377e+01,2.482024171e+01,7.021544205e+01,7.126167370e+01,1.664212979e+01,7.191647161e+01,1.230652443e+01,6.693321686e+01,2.511589035e+01,8.949830305e+01,7.806200960e+01,1.796851502e+01,6.634468490e+01,4.318001339e+01,5.166956913e+01,2.029286576e+01,4.940544455e+01,5.211468185e+01,2.538241525e+01,1.696988825e+01,3.438691426e+00,9.924000749e+01,1.250220658e+01,5.873710827e+01,7.850109269e+01,7.986823674e+01,1.724447484e+01,7.050040706e+01,9.174014936e+01,8.291643901e+01,5.761544552e+01,9.423681853e+01,2.740582146e+01,8.354246509e+01,9.303989543e+01,9.342118546e+01,2.783946279e+01,2.067945166e+01,1.009640044e+01,4.564932134e+01,3.098991443e+01,6.182239059e+01,7.661864997e+01,8.264093627e+01,4.871363261e+01,3.138169453e+00,7.275164161e+01,5.674791963e+01,9.338874861e+01,5.280535350e+00,1.357813513e+01,4.385496714e+01,2.775840889e+01,5.719469600e+01,5.644907088e+01,7.442397186e+01,9.957971633e+01,5.642302943e+01,3.212046251e+01,1.718797987e+01,3.799066097e+01,8.276464677e+01,7.519808734e+01
2.240526495e+01,1.780502835e+01,1.490017148e+01,5.707954237e+01,6.486376638e+01,5.259104172e+01,9.348952079e+01,1.712983466e+01,7.737821502e+01,1.524437622e+01,3.242159242e+01,3.365211200e+01,1.469115924e+01,8.815819081e+01,7.757287462e+01,7.814275102e+01,1.421361014e+01,4.365227659e+01,7.828544970e+01,7.886558618e+01,3.121916382e+01,5.759991625e+01,9.449013923e+00,9.291816520e+01,3.879818897e+00,5.603983117e+01,6.031628860e+01,7.266036766e+01,8.449063833e+01,5.816738437e+01,5.018654610e+01,2.808745900e+00,4.896850496e+01,3.676268021e+01,6.067442646e+01,1.905276515e+01,4.724169826e+01,6.538004938e+01,6.498478036e+00,9.737331484e+01,6.252745125e+01,2.467081377e+01,1.298182617e+00,6.795282877e+01,7.818127633e+01,9.052778888e+01,3.033667950e+00,6.684851814e+01,6.242510530e+01,2.327300542e+01,7.780223509e+01,2.729748213e+01,9.137528265e+01,5.634825540e+01,1.377754235e+00,1.777713135e+01,2.820617809e+01,1.874916082e+01,2.688186568e+01,8.179090807e+01,5.784223171e+01,2.042478441e+01,6.667273672e+00,2.557494650e+01,9.511253804e+01
9.581515091e+01,5.264967803e+01,1.280320741e+00,9.003621160e+00,2.302665788e+00,3.571705856e+00,6.511872856e+01,4.757649562e+01,7.530505011e+01,3.769279080e+01,2.901119786e+01,2.603409955e+01,3.919625677e+01,4.611935760e+01,1.544065864e-02,1.448982635e+01,3.459948568e+01,7.728036500e+01,4.675464688e+01,1.184821887e+01,9.109273072e+01,8.771606212e+01,5.279867937e+01,2.401654871e+01,3.331345362e+01,1.202711372e+01,2.403471999e+01,1.300137851e+01,8.167169910e+00,4.531814930e+01,9.439384474e+01,5.718416332e+01,5.943276024e+01,8.811476739e+01,5.200493291e+01,4.973525262e+01,3.339763207e+01,7.647750738e+01,9.918311413e+01,9.324584797e+01,2.623849814e+01,5.031154248e+01,8.693165314e+01,6.357247064e+01,1.133560238e+01,6.048414220e+01,7.333642696e-01,9.450513983e+01,2.858469744e+01,5.738181409e+01,6.984759806e+01,5.698096065e+01,6.742637649e+01,6.317566843e+01,8.397537685e+01,3.007077489e+01,5.986468032e+01,1.023010043e+01,2.664286818e+01,4.302576350e+01,3.194994507e+00,4.588747364e+01,6.890367981e+01,4.091267510e+01,6.848946734e+00
3.934804263e+01,8.250786640e+01,7.803803558e+00,4.439476524e+01,2.601889218e+01,3.856302451e+01,5.217961074e+01,9.071657102e+01,3.082418132e+01,4.898057866e+01,1.172562220e+01,3.791242130e+01,7.476226959e+01,6.867250276e+01,9.151136770e+01,9.762366519e+01,8.689586724e+01,2.381082291e+01,1.186731210e+01,8.181200998e+01,1.949444539e+00,7.890052870e+01,8.263179629e+01,7.284329914e+01,2.080996726e+01,2.751699889e+01,2.500358343e+01,1.147635963e+01,1.030787464e+01,3.851773560e+01,3.904304091e+01,7.445368787e+01,6.092318727e+01,5.829362650e+01,1.736463746e+01,2.805050535e+01,1.541513443e+01,6.180972399e+01,6.042038213e+01,3.017923553e+01,7.040573973e+01,9.793167523e+01,3.082829132e+01,9.153965222e+01,3.482848760e+01,2.177653732e+01,3.510467789e+01,6.325613502e+00,7.462372390e+01,9.395881766e+01,4.584111716e+01,8.861390376e+00,7.464693508e+01,8.389447370e+00,6.319210564e+01,1.693271475e+01,5.013311489e+01,2.768147870e+00,7.913768584e+01,1.140536121e+01,5.998737721e+01,4.080009423e+01,6.886743812e+01,5.047217752e+01,7.933032434e+01
9.098349510e+01,7.235879806e+01,9.902418756e+01,7.891809876e+01,3.040478235e+01,7.983367512e+00,9.955841944e+01,6.755996615e+01,3.590398488e+01,7.836652997e+01,4.121794879e+01,1.167517209e+01,5.634018431e+01,3.095618160e+01,3.506271877e+01,3.621773240e+01,2.175094683e+00,6.975015549e+00,5.684588970e+01,4.319927392e+01,7.983277037e+01,5.040300965e+01,6.436260885e+01,8.862698515e+00,5.025684135e+01,4.980510279e+00,1.696802511e+01,9.589641466e+01,9.409269102e+01,9.581814479e+01,6.210911446e+01,8.949099714e+01,3.042994989e+01,5.120567783e-01,8.100624052e+01,2.238992444e+01,7.786882281e+01,3.061787263e+01,3.605680145e+01,4.932275819e+01,2.855387766e+01,9.071067313e+01,5.221736657e+01,8.772453665e+01,8.876181414e+01,5.865631631e+01,7.224343120e+01,6.971215337e+01,1.383046821e+01,3.610784154e+01,7.030138053e+01,8.307819914e+01,9.579224538e+01,8.889084747e+01,5.708184102e+01,5.202099834e+01,8.722676582e+01,6.511860007e+01,1.753428541e+01,3.179284010e+01,4.470369703e+01,5.960176621e+01,7.023914010e+01,2.448763596e+01,7.091250727e+01
