v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66
7.063576909e+01,9.513497806e+01,9.408501093e+00,2.589970074e+01,1.136845446e+01,3.316641580e+01,9.481723461e+01,3.691697939e+01,1.084763617e+01,7.410778161e+01,4.585389301e+00,8.673881284e+01,7.428029124e+01,1.211875376e+01,7.696941838e+01,7.328787109e+01,8.878601262e+01,8.651545180e+00,5.602012401e+01,3.176838411e+01,3.016511432e+01,7.674467864e+01,2.755530922e+00,6.698479324e+01,4.788031545e+01,1.228945285e+01,7.150109170e+01,8.448526322e+01,2.843725599e+01,5.147658772e+00,8.104713618e+01,8.382291937e+01,7.327970043e+01,4.162584612e+00,1.554308436e+01,4.293605772e+01,4.135185039e+01,6.599149343e+01,9.230650003e+00,7.981764734e+01,9.088629794e+01,1.990725044e+01,9.978726231e+01,5.951719073e+01,8.765372074e+01,2.242416411e+01,9.531861162e+01,2.247433401e+01,9.418299059e+00,4.752367970e+01,7.983749285e+01,7.428878880e+01,6.849141087e+01,6.674061484e+01,5.532683414e+01,9.240811305e+01,7.064871869e+01,9.133054092e+01,6.909715553e+01,3.245342298e+01,8.884009429e+01,4.643476058e+01,4.008429953e+01,1.393318326e+01,5.402406403e+01,2.741451347e+01
9.132041936e+01,8.324182426e+01,2.602495126e+01,7.645623024e+01,7.939622605e+01,2.346243049e+01,5.188520977e+01,3.238951670e+01,2.199096188e+01,3.404317441e+01,4.263155684e+01,2.131962838e+01,5.186276630e+01,3.772337299e+01,5.164907923e+01,5.865181148e+01,6.635314009e+01,4.328160346e+01,8.154820956e+01,3.710571988e+01,2.956822855e+01,2.032018179e+01,4.673803279e+01,5.140666097e+01,5.779697625e+00,6.892336022e+01,2.553464739e+01,4.058946243e+01,9.752209814e+01,9.331203337e+01,8.690556175e+01,3.741584259e+01,9.940262213e+01,3.474979793e+01,6.004103131e+01,6.736859293e+01,3.220324240e+00,4.691575550e+01,3.576572802e+01,7.036115735e+01,9.985285340e+01,7.000758144e+01,2.088127446e+01,7.912765422e+01,2.054039278e+01,8.635867109e+01,3.534592091e+01,1.542313925e+00,7.713959454e+01,5.419762625e+01,2.822795457e+01,5.884879036e+01,8.427714018e+01,7.153970050e+00,1.907451221e+01,3.059408205e+00,6.064540791e+01,9.037331159e+01,6.583875395e+01,2.317126805e+00,1.021557299e+01,9.563349215e+01,8.979635565e+01,1.830785280e+01,1.043978445e+01,6.878652981e+00
3.141031382e+01,7.614308606e+01,1.317483320e+01,2.202671021e+01,5.489329552e+01,9.753398275e+00,8.167809136e+01,8.273412598e+01,2.200201646e+01,5.783276149e+01,3.323220941e+01,1.669270359e+01,1.346786163e+01,2.225639330e+01,9.777319573e+00,7.431302845e+01,9.320858098e+01,7.990260201e+01,9.059605399e+00,9.122540468e+01,3.980030307e+01,6.963424451e+01,1.361598942e+01,1.878325088e+01,2.481026251e+01,7.498028002e+01,1.266065617e+01,5.662819272e+01,1.680164708e+01,5.976841414e+01,6.472685938e+01,5.178448398e+01,8.240141310e+01,4.673532066e+01,3.812762738e+01,6.581590761e+01,3.603588638e+01,2.637142383e+00,6.539914675e+01,2.328216054e+01,6.425489092e+00,9.528711285e+01,2.708330813e+01,1.692956954e+01,1.915062382e+01,2.172714574e+01,9.797388633e+01,9.310405026e+01,2.232340077e+00,2.614247905e+00,7.471999119e+01,3.447305775e+00,9.650356514e+01,8.410569810e+01,5.691727032e+01,9.573673186e+01,9.908564831e+01,8.413747238e+01,4.581936309e+01,7.308244531e+01,4.240273308e+01,4.938982717e+00,9.846258359e+01,4.739864903e+01,1.029698317e+01,5.816876950e+01
8.190683061e+00,2.001943976e+01,2.567587797e+01,3.893068684e+01,9.255284436e+01,6.567320800e+01,5.077470341e+01,9.371459937e+01,3.683876559e+01,6.377956548e+01,3.952340679e+01,2.911063168e+01,2.879416005e+01,6.997818430e+01,8.029231364e+01,3.569868766e+00,1.085135161e+01,8.713363503e+01,6.919215694e+01,1.927660645e+01,4.656147613e+01,4.655623464e+01,4.359265690e+01,9.606808994e+01,3.286676578e+01,1.286337862e+01,2.499369905e+01,4.479975028e+01,8.422046307e+01,4.455246383e+01,3.658664717e+01,5.405406860e+01,5.848755944e+01,9.665564913e+01,1.163992532e+01,7.430362233e+01,2.980958494e+01,1.689841345e+01,3.460318734e+01,3.819650493e+01,9.677044005e+01,5.200752226e+01,4.567350007e+01,8.558567254e+01,4.736530874e+01,4.335196954e+01,3.028775644e+01,5.598490405e+01,6.288634045e+00,6.285171435e+01,5.713054446e+01,9.850180252e+01,4.556688271e+01,2.295194509e+01,9.842301827e+01,4.294194496e+01,5.713755076e+01,9.463237612e-01,3.831881509e+01,9.992410068e+00,3.419050271e+01,5.220669355e+00,7.932616409e+01,7.564039195e+01,3.138399720e+01,3.354357587e+01
4.302791266e+01,9.457505297e+01,7.779431556e+01,2.464517520e+01,6.125735233e+01,4.018518293e+01,1.351775694e+00,3.125720719e+01,8.729109704e+01,5.407735505e+01,9.565466880e+01,3.279492885e+01,2.433520928e+01,4.085533839e+01,2.889004180e+00,1.884094575e+01,6.778703923e+01,7.142431600e+01,4.831137667e+01,4.773414840e+01,9.117478234e+01,1.576119644e+01,6.464589790e+01,9.730177854e+01,9.406485420e+01,3.991369251e+01,9.993275591e+01,8.084399252e+01,7.503494962e+01,8.298554474e+01,7.258564992e+01,8.622613614e+01,6.022716299e+01,2.189902242e+01,7.734967122e+01,4.986492385e+01,3.252267467e+01,4.433055343e+00,1.677105817e+01,9.651270857e+01,6.232450042e+01,9.589787947e+01,2.937283209e+00,7.743082295e+01,4.189360243e+01,1.462321350e+01,4.957222625e+01,9.475950961e+01,4.152408222e+01,1.751659916e+01,3.871672681e+01,8.695719936e+01,1.562515671e+01,6.830443108e+01,7.995365803e+01,9.212033962e+01,7.036236409e+01,3.583173219e+01,9.811323740e+01,5.112559746e+01,4.164521748e+01,2.019090017e+01,6.964677506e+01,3.172821601e+01,5.851250095e+01,2.563485462e+01
4.819090700e+01,9.695340802e+00,2.251821099e+01,2.632771235e+01,5.717223482e+01,2.707991813e+01,1.914888545e+01,3.296519354e+01,1.667632502e+01,5.536212283e+01,7.050281859e+01,6.287878580e+01,9.158547182e+01,4.500435267e+01,1.885810422e+01,7.390896755e+01,4.009738127e+01,3.594532186e+01,7.295270774e+01,4.386712053e+01,6.067311236e+01,1.297782329e+01,6.277474947e+01,8.061093613e+01,7.466409874e+00,9.732392939e+01,3.317547919e+01,8.362479059e+01,8.729051606e+01,5.182462342e+01,7.112301577e+01,1.835541242e+01,1.193974112e+01,3.306489116e+00,1.661685169e+01,5.177872919e+01,9.710827219e+01,8.508702429e+01,6.505748594e+00,7.527338988e+01,3.558283584e+01,9.855900094e+01,1.154613602e+01,9.594193171e-02,3.512755758e+01,7.109071259e+01,8.007236596e+01,5.999278432e+01,4.894099481e+01,4.810092191e+01,6.921075096e+01,4.588277512e+01,5.346766393e+01,5.125867800e+01,6.700547188e+01,9.894251827e+01,8.099961562e+01,2.449167516e+01,2.092839864e+01,9.687985837e+01,5.480507175e+01,6.475913409e+01,5.969585479e+01,2.246915231e+00,1.875123188e+01,2.808493595e+01
9.963288374e+01,6.430601144e+01,1.576770479e+01,8.348721448e+01,1.140252592e+01,1.988893284e+01,8.341098361e+01,4.956164818e+01,1.578252883e+01,1.219227694e+01,5.833601912e+01,9.591372105e+00,3.360331166e+01,8.388171847e+01,7.885587285e+01,7.023368413e+01,3.777801542e+00,4.991894770e+01,1.415811171e+01,5.995635471e+01,4.668215310e+01,9.883995049e+01,3.741718611e+01,7.782028024e+01,9.936183906e+01,4.973290217e+01,5.184021462e+01,6.955840444e+01,9.645804801e+01,2.495259084e+01,9.631545684e+01,7.266293386e+01,3.698301254e+01,1.841260495e+01,1.355202011e+01,2.516898250e+01,8.376087324e+01,7.037724958e+00,1.175739180e+01,3.632130676e+01,2.289764893e+01,2.458412192e+01,2.112877072e+01,1.781560795e+01,7.022614187e+01,7.156889929e+01,1.855995389e+01,6.211963277e+00,9.106837412e+00,8.250728205e+00,2.135397023e+01,1.699400189e+01,1.427318686e+01,7.722105035e+01,8.359669642e+01,9.050889389e+01,3.650482775e+01,4.659642726e+01,8.858329145e+01,4.663371250e+01,9.105745622e+01,8.662536405e+00,8.360687601e+01,3.810552024e+01,9.386376155e+01,6.984813726e+01
4.006600605e+01,8.355441413e+01,2.915453119e+00,2.143288287e+01,4.289546095e+01,3.709115363e+01,8.387442027e+01,7.691056331e+01,4.661444560e+01,1.045275369e+01,5.665573478e+00,9.330087557e+01,6.989599154e+00,4.683383466e+01,4.873808508e+00,1.748105493e+01,1.883778067e+01,4.381800954e+01,9.857446711e+01,5.478416666e+01,9.373601803e+01,4.156478434e+01,4.653320056e+01,8.788891751e+00,4.121582885e+01,1.353265905e+01,4.940220369e+01,4.512646843e+01,3.858754651e+01,6.127154435e+01,6.710529743e+01,9.856393083e+01,7.497232947e+01,6.422012188e+01,8.318162835e+01,8.291918640e+01,3.471288147e+01,1.676065000e+01,6.762791917e+00,1.288417019e+01,6.693918110e+01,4.068996733e+00,7.664841092e+01,2.037526925e+01,4.094711157e+01,2.556514882e+01,5.437709699e+01,2.401717673e+01,5.759510301e+01,1.452725118e+01,5.805398682e+01,1.094003664e+01,9.920603338e+01,4.084113406e+01,2.635619934e+01,1.321384794e+01,6.991002717e+01,3.082314644e+01,3.146188001e+01,4.993223759e+01,7.917114070e+01,4.510780249e+01,6.010904687e+01,8.621420925e+01,1.272025620e+01,2.923133819e+01
8.703751682e+00,5.044466803e+01,3.044603276e+00,3.970718108e+01,3.981894766e+01,4.541541691e+01,2.511308987e-01,5.946197380e+01,5.557360937e+01,1.637626640e+01,3.310129671e+00,8.769672457e+01,9.636259996e+01,7.437658367e+01,7.336952678e+01,8.628339891e+01,7.669590770e+01,5.718976782e+01,6.489240379e+01,8.481559530e+01,3.917088398e+00,3.094670079e+01,7.662453091e+01,7.354860605e+01,3.837238354e+01,1.644074846e+00,1.099230276e+01,7.696265490e+01,2.630900879e+01,6.492581376e+01,3.645643001e+01,4.248398706e+01,2.803290484e+01,8.149355246e+01,2.852548329e+01,8.264912509e+01,4.845803262e+01,5.617923970e+01,2.227490652e+01,5.049641693e+01,5.042104830e+01,1.359324359e+01,7.907600973e+01,4.371894341e+01,6.614437672e+01,3.979542166e+01,6.361927117e+01,7.411448635e+00,6.471474441e+01,4.844907658e+01,6.430799860e+01,3.044766499e+01,2.962088102e+01,2.258740219e+01,5.834957228e+01,7.160918231e+01,3.528516439e+01,9.551038263e+01,4.214155613e+01,8.172426089e+01,5.501077008e+01,2.894509811e+01,8.425016597e+01,5.847588944e+01,1.621562901e+01,7.014573965e+01
1.302159280e+01,7.027119910e+01,8.643811493e+01,3.675793505e+00,3.737710016e+01,5.801045305e+01,3.895563031e+01,7.973450660e+01,8.428825739e+01,1.462048859e+01,5.299068959e+01,1.576667566e+01,9.205109446e+01,1.250742430e+01,3.486053915e+01,7.836215475e+01,9.946640622e+01,7.478293732e+01,5.517596266e+01,8.672281231e+00,3.803545248e+00,7.646306746e+01,6.915114398e+00,5.154183396e+01,4.352590805e+00,6.158822144e+01,8.387369901e+01,5.302311767e+01,6.740296480e+01,4.498131021e+01,3.507608137e+01,9.039004340e+01,8.003185933e+01,7.826526211e+01,9.701725379e+01,1.373652213e+01,7.737503267e+01,2.308673445e+01,3.309302946e+00,2.437593923e+01,3.661751185e+01,4.813815513e+00,2.637415217e+00,9.876471349e+01,8.536886249e+01,7.068369156e+01,2.339544220e+01,7.363891880e+01,5.176879854e+01,7.937227336e+01,3.522040212e+01,9.629407048e+01,8.204561855e+01,7.157042022e+01,3.531124561e+01,4.501161691e+01,7.278894936e+01,3.631116027e+01,6.028877474e+01,9.868928958e+01,1.737808068e+00,4.477087800e+01,1.121027940e+01,4.294751095e+01,5.017440141e+01,7.456514398e+01
