v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67
5.600336513e+01,8.096991414e+01,2.687807026e+01,6.706650456e+01,1.751225440e+01,9.157706170e+01,5.192730219e+01,8.134956111e+01,3.961900679e+00,3.761790217e+01,7.642711604e+01,4.104988187e+01,7.866567233e+01,2.352327144e+01,4.465490537e+01,7.087304485e+01,5.431041742e-01,2.083978180e+01,9.334782794e+00,3.078454276e+01,8.995944878e+01,7.334471709e+01,2.306317237e+01,7.852119482e+01,6.771214957e+01,7.899498271e+01,7.663779983e+01,3.156184843e+01,2.276846378e+01,6.207595812e+01,6.127300088e+01,6.381466856e+01,2.694827533e+01,1.141764772e+01,5.999440552e+00,6.880171216e+01,5.848286425e+01,4.465196514e+01,8.499435438e+01,8.677690252e+01,7.968412469e+01,8.666899491e+01,2.615346723e+01,7.856045883e+01,5.563976165e+01,8.866075807e+01,4.761918368e+01,5.212586653e+01,3.815321301e-01,5.943577263e+01,6.510361021e+01,9.768998988e+01,3.590400345e+01,6.487547683e+01,8.937039353e+01,3.118420621e+01,9.752968466e+01,6.576087206e+01,8.893574336e+01,2.255699809e+01,1.120913073e+01,5.361829182e+01,4.171496415e+01,9.577474151e+01,9.698958502e+01,2.814110646e+01,6.196975027e+01
4.639699115e+01,1.068932477e+01,7.330673331e+01,3.790891583e+01,9.630591975e+01,2.542366481e+01,6.882587622e+01,3.378228414e+01,4.458554482e+01,8.377222045e+01,7.177679489e+01,4.976455234e+01,4.207554380e+01,1.002671065e+01,5.276079480e+01,7.568969287e+01,7.266714746e+01,6.775311284e-01,8.090721008e+01,1.424886923e+01,7.640324501e+01,5.615335065e+01,2.096584195e+01,2.956014138e+01,3.694037953e+01,7.708827154e+01,3.187543886e+01,9.921792471e+01,4.763137152e+01,7.725603116e+01,6.283910584e+01,8.444279463e+01,2.426554786e+01,4.450161940e+01,7.487316964e+01,4.156039545e+01,9.841751550e+01,8.937561564e+01,2.940373877e+01,9.720164789e+01,8.550880990e+01,7.241846359e+01,4.583455494e+01,7.825230740e+01,9.913572438e+01,8.042324517e+00,9.540450198e+00,5.491194848e+01,6.433652115e+01,3.815272409e+01,9.787123669e+01,2.979325180e+01,5.346101879e+01,5.311079312e+00,3.618923378e+01,5.749220347e+01,5.993454742e+00,1.123704662e+01,5.951810676e+01,8.627421053e+01,1.872725207e+01,1.074474648e+01,2.305589721e+01,1.494128870e+01,6.011861743e+01,7.481370698e+01,4.005713663e+01
3.386291448e+00,9.044251438e+01,3.793984430e+01,9.828808238e+01,5.674780227e+01,2.898406275e+01,4.055895142e+01,3.898733422e+00,9.047585367e+01,2.321058820e+01,5.064833021e+01,2.841716320e+01,5.541453681e+01,2.657598325e+01,2.259161396e+00,8.157584581e+01,3.995249122e+01,2.114179063e+01,7.298525425e+01,5.730237417e+01,7.968167709e+01,6.066110540e+01,2.469490069e+01,4.849079760e+01,5.421030371e+01,7.691434148e+01,5.952666237e+01,8.118639710e+01,6.395044779e+01,3.581980946e+01,7.340002586e+01,1.687500902e+01,1.055065691e+01,9.282545956e+01,2.323790296e+01,2.109732214e+01,7.926041112e+00,2.145059892e+01,3.255589147e+01,1.208641583e+01,1.104728684e+01,3.936173514e+01,1.242605362e+01,5.924232741e+01,3.850574755e+01,6.177415366e+01,7.841551084e+01,2.018060134e+01,9.156685031e+01,9.283708070e+01,1.602535897e+01,8.898604852e+01,8.478527782e+01,7.492873667e+00,1.004171750e+01,2.864112323e+01,2.704017333e+01,1.216324880e+01,1.515192894e+01,1.925836584e+01,2.574657671e+01,2.987130015e+01,9.356605862e+01,5.876954421e+01,4.017019350e+01,8.927693405e+01,8.487346219e+01
9.038525311e+01,7.019040676e+01,9.843778480e+00,1.927310136e+01,1.543358221e+01,1.600079402e+01,8.273385248e+01,2.208009764e+01,8.189759369e+01,7.420680267e+01,4.670369761e+01,8.561548681e+01,3.716881482e+01,2.786570884e+01,7.711531113e+01,4.706413152e+01,8.224755053e+01,8.582126591e+01,5.675797271e+01,8.966602174e+01,9.925961361e+01,9.279599610e+01,4.108200937e+01,3.339565909e+01,3.955115793e+01,9.536929007e+01,2.357160174e+01,5.699374834e+01,3.551147043e+01,3.558658034e+01,8.321405454e+01,8.588009232e+01,9.658898694e+01,3.920601615e+01,7.284237524e+01,5.989720050e+01,5.635681087e+01,6.537389488e+01,3.260907793e+01,9.095011201e+01,8.943261514e+00,6.001577442e+01,6.836389556e+01,1.449859091e+01,8.019286618e+01,1.563515011e+00,1.317810643e+01,2.318241311e+01,3.824736354e+01,6.802845785e+01,9.603548572e+01,6.320000296e+01,2.919218332e+01,3.457921246e+01,1.490590706e+01,6.469804470e+01,5.067956288e+01,2.327880916e+01,2.994808717e+01,1.977075086e+01,1.276753309e+01,4.489682808e+01,7.806028981e+01,8.602975250e+01,8.988686470e+01,9.682665994e+01,8.406818883e+01
7.627070698e+01,6.498984139e+01,3.238873697e+01,1.313611084e+01,3.745079949e+01,7.240476011e+01,6.221738980e+01,9.239029108e+01,6.590379378e+01,5.882277465e+01,1.796136114e+01,9.878909348e+00,5.871695208e+01,4.530586521e+01,1.134488153e+00,2.243219699e+01,8.623126596e+01,2.290676985e+01,6.486937674e+01,3.643698055e+01,1.598874535e+01,4.211134633e+01,5.897726012e+01,1.349983631e+01,5.468855904e+01,8.940524182e+01,5.296085467e+01,5.903455417e+01,1.589043836e+01,8.109615535e+01,2.234984339e+01,6.686971693e+01,6.548563484e+01,2.367666790e+01,7.438379383e+01,5.074750819e+01,3.695368068e+01,8.423058861e+01,6.970796227e+00,8.814333913e+01,3.350727755e+01,6.319239629e+01,6.237799412e+01,2.616691463e+01,4.635639093e+00,3.485494687e+01,7.788608985e+01,4.945316360e+01,3.606729644e+01,2.028349617e+01,4.848668799e+01,5.605314036e+01,2.293469209e+01,3.683941072e+01,2.146582266e+01,7.302555841e+01,3.969342425e+01,6.700219323e+01,9.289817062e+00,7.956112702e+00,5.235373987e+01,2.563419482e+01,4.684983554e+01,6.195256078e+01,9.921358315e+01,2.353682857e+01,2.003870517e+01
7.054986887e+01,1.213048171e+01,8.047284376e+01,7.205876887e+00,3.870436673e+01,2.228224352e+01,5.173341933e+00,2.357081579e+01,9.760181772e-01,7.385327444e+01,8.876590462e+01,8.727327664e+01,7.012283568e+00,6.048578138e+01,6.163088192e+01,4.313314218e+01,6.765234278e+00,6.251052656e+00,8.439437523e+01,7.657866303e+01,8.710106102e+01,7.737190435e+01,9.994726170e+01,7.911360847e+01,2.977639067e+01,2.454344903e+01,4.128491961e+00,5.152564180e+01,5.015706381e+00,5.817964079e+01,9.544894619e+01,1.332683942e+01,4.878460944e+01,4.981304868e+01,7.093521120e+01,4.782022676e+01,3.560534098e+01,9.619898680e+01,8.806409023e+01,3.546323193e+01,5.824652948e+01,5.137360820e+01,4.383716759e+01,2.416280073e+01,9.386016002e+01,1.894819426e+00,8.850787380e+01,8.525890596e+01,9.429148884e+01,9.988606995e+01,4.326908637e+01,6.755523077e+01,1.841319321e+01,3.120378666e+01,4.915135422e+01,1.171639215e+01,8.829683804e+01,4.103512636e+01,2.074951944e+01,9.070172382e+01,7.430025747e+01,8.143515432e+01,9.414556302e+01,9.002871013e+01,8.137082189e+01,6.891811257e-01,5.547453823e+01
9.959698128e+01,8.805750953e+01,4.069999444e+01,9.261733428e+01,6.402766500e+01,9.686563750e+00,9.449437812e+01,2.216399231e+01,2.267684525e+01,9.208937559e+00,6.228308420e+01,8.173024632e+01,6.946244212e+00,3.401334658e+01,1.115488516e+01,2.188998115e+01,7.407031461e+00,5.467121149e+01,4.981357574e+01,2.128637548e+01,6.593088660e+01,6.926029584e+00,8.518659745e+01,1.274100515e+01,9.567220539e+01,7.567553604e+01,4.685781670e+01,8.771746975e+01,3.765937039e+01,1.865236717e+01,1.678101648e+01,2.517018488e+01,2.705224164e+01,3.368757527e+01,6.442128625e+01,1.596792528e+01,7.617979565e+01,5.782544745e+01,8.304997951e+01,2.096439654e+01,1.732491128e+01,3.123558392e+01,4.357289725e+01,4.574514182e+01,6.587386245e+01,6.152892577e+01,5.181449102e+01,5.861470376e+01,1.749036743e+01,8.333664888e+01,9.059596998e+01,4.074725222e+01,8.682027198e+01,2.679011855e+01,7.843652170e+01,9.319246836e+01,8.017428332e+01,4.431189603e+00,6.261333775e+01,4.489447677e+01,8.444047390e+01,2.459254433e-01,5.221174707e+01,6.760248448e+01,3.205611163e+01,5.726314052e+01,9.224168680e+01
9.093407449e+00,5.411453268e+01,7.940223969e+00,1.340846801e+00,6.792670149e+01,4.580418196e+01,1.814328938e+01,6.090907811e+01,7.588029564e+01,8.516945516e+01,5.806066729e+01,1.816266474e+01,6.344415786e+01,8.770073340e+01,4.108836192e+00,4.105604087e+01,9.163875037e+01,2.447884700e+01,4.476269968e+01,9.757811605e+01,3.831527853e+00,8.497206921e+01,9.830483784e+01,9.970417368e+00,6.639408027e+01,2.576288164e+01,1.223477788e+01,1.940439611e+01,2.946079443e+01,2.821461750e+01,7.375342374e+01,2.774427481e+01,3.075406667e+00,9.124700967e+01,8.878589708e+01,7.539225619e+01,5.765796168e+01,3.458661716e+01,5.679594776e+01,1.708514444e+01,6.451230854e+00,3.940199612e+00,5.710402300e+01,8.906701710e+01,5.277354015e+01,4.627787447e+01,8.833697374e+01,2.762511410e+00,7.760397115e+01,4.860341711e+01,9.318824046e+01,4.675767747e+01,8.494741856e+01,2.602523467e+01,6.405879101e+01,9.895052771e+01,8.028149347e+01,3.248915785e+00,1.079498303e+01,9.821719176e+01,1.385021764e+01,8.738612555e+01,3.424848926e+01,5.928598767e+01,2.800231776e+01,2.413905468e+01,1.720675145e+01
1.181927969e+01,4.593042183e+01,4.252184562e+01,8.118632744e+01,7.412665717e+00,2.381638841e+01,6.909752124e+01,8.917903279e+01,9.205288073e+01,3.671287688e+01,5.437653918e+01,9.016336636e+01,1.515742296e+01,2.875602537e+01,7.109135374e+01,3.817051732e+00,4.723603890e+01,8.660492883e+00,5.503452693e+01,5.346517034e+01,2.080246373e+01,6.519126387e+01,1.691568046e+01,1.392584716e+00,4.287706704e+01,7.343653678e+01,9.097031242e+01,8.355447182e+01,5.201409331e+01,1.909975000e+01,7.240464600e+01,4.205649311e+01,6.120843694e+01,4.519214475e+00,5.239250102e+01,7.934033730e+01,6.777980620e+01,4.818937484e+01,4.905697193e+01,2.264106786e+01,1.688915562e+01,2.911714962e+01,3.181498961e+00,3.210851775e+01,7.957046584e+01,6.534863582e+01,3.507126128e+01,9.425196057e+01,3.995719811e+01,9.200201363e+01,2.797649296e+01,3.638804319e+01,3.814684104e+01,3.602330338e+00,7.978800873e+01,1.479394728e+01,1.356287488e+00,8.361239967e+01,7.949603579e+01,2.037338532e+01,3.017735299e+01,2.687524711e+01,1.160200543e+01,5.201696339e+01,2.472738849e+01,6.031340867e+01,3.018158729e+01
3.151968198e-01,5.089588988e+00,2.019855770e-01,1.260876103e+01,6.071768996e+01,8.468379876e+01,6.465289804e+01,2.124710853e+01,9.377797846e+00,7.505682222e+01,7.834900293e+01,1.395067904e+01,3.771847206e+01,6.201599852e+01,6.886814057e+01,9.558152904e+01,9.364616700e+01,8.253884203e+01,2.009526776e+01,8.714034002e+01,3.076392866e+01,8.634679867e+01,9.806253060e+01,9.106083305e+00,9.704488386e+01,2.254752103e+00,1.394747747e+01,6.581788684e+01,5.895698823e+01,2.406674966e+00,4.093158016e+01,2.674477362e+01,5.123304251e+01,4.698425890e+01,2.928668338e+01,9.562946356e+00,4.460919388e+01,8.399883773e+01,7.848097211e+01,9.805418092e+01,6.038142001e+01,9.504367336e+01,7.799721338e+01,2.260196398e+01,2.297475590e+01,8.043236417e+01,9.902020804e-01,1.539353115e+01,4.286405745e+01,3.624988095e+01,2.448363454e+01,4.631201900e+01,1.837689616e+01,4.365722428e+01,5.438665934e+01,2.900470343e+01,3.023202613e+01,2.260340536e+01,4.060249996e+01,6.758684635e+01,8.675637376e+01,8.685809240e+01,2.586273615e+00,7.348708792e+01,3.244778339e+01,1.944137513e+01,9.477351594e+01
