v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68
1.306574555e+01,9.399620599e+01,9.951077842e-01,2.801997402e+01,8.435947332e+01,4.364376852e+01,6.375731342e+01,4.679628187e+01,4.260014939e+01,7.297412305e+01,7.961357146e+01,9.885322720e+01,8.009856775e+01,7.198074496e+00,1.610487650e+01,4.044390257e+01,3.912398267e+01,6.751559380e+01,3.027122572e+01,4.519373927e+01,7.511370353e+01,4.141467595e+01,5.316785684e+01,6.505801021e+01,1.669273479e+01,1.537596508e+01,3.220410117e+01,8.006967376e+01,9.791815172e+00,4.773096578e+00,3.619476198e+00,9.358998315e+00,4.369142198e+01,6.006037928e+01,6.227894669e+01,5.584841968e+01,8.022778845e+01,8.686752661e+01,2.498065491e+01,7.328002479e+01,7.646765578e+01,7.335467965e+01,7.069957183e+01,5.934709704e+01,1.409232615e+01,1.579373734e+00,7.058954276e+00,6.569343551e-01,8.591918849e+01,4.438513253e+01,6.868680706e+01,6.155259128e+01,8.366437922e+01,6.161644053e+01,5.838289670e+01,4.913130494e+01,5.882404983e+01,5.195581090e+01,3.292870439e+00,6.437740118e+01,2.805084884e+00,6.322807948e+01,6.739437772e+01,5.476431148e+01,8.070916992e+01,7.754723737e+01,9.590880882e+01,1.010552751e+01
1.745771300e+01,4.401575169e+01,2.411117317e+01,9.143623575e+01,7.443449322e+01,5.991810262e+01,8.337462433e+01,1.574940966e+01,9.025591832e+01,4.789652367e+01,8.145985265e+00,6.951692723e+01,8.970603408e+00,5.616561798e+01,7.782699197e+00,5.429783838e+01,7.374854643e+01,6.294492612e+01,6.583362559e+01,6.617024995e+00,8.120942247e+01,4.520437351e+01,9.709993314e+01,4.401021386e+00,4.133129662e+01,3.101318169e+01,2.049238659e+01,1.270803213e+01,8.978073772e+01,5.364631417e+01,7.964041569e+01,9.532575138e+01,3.458355275e+01,3.733599944e+01,7.055140678e+01,9.607633572e+01,5.596587565e+01,8.895200474e+01,3.041677190e+01,1.406045229e+01,6.985926131e+01,2.064754501e+01,4.776901758e+01,9.839762932e+01,6.319323368e+01,8.458772718e+01,4.811094533e+01,6.865897486e+01,5.180532858e+01,1.458128795e+01,2.280941105e+01,1.542242513e+00,1.378909422e+00,5.605610482e+01,4.938533618e+01,4.600251269e+01,5.722622962e+01,4.279139126e+01,4.659239924e+01,5.479015448e+01,9.894570440e+00,3.053297102e+01,4.549878235e+01,5.384621601e+01,9.156820504e+01,1.907727180e+01,2.392871523e+01,7.481894035e+01
1.043527524e+01,5.782260292e+01,8.395288596e+01,6.142158233e+01,7.594171639e+00,9.797988977e+01,8.413073207e+01,5.784376516e+01,1.854406671e+01,7.814598096e+01,7.747749864e+01,2.206483629e+01,9.932580811e+01,4.510011030e+01,3.302580146e+01,1.514649097e+01,7.017586238e+01,9.450033772e+01,2.123641690e+01,2.375208619e+01,6.274988191e+01,3.792602443e+01,7.134163360e+01,2.153117896e+01,2.812102408e+01,4.354504738e+00,9.479062422e+01,1.037083600e+01,3.275111075e+01,4.013221629e+01,7.055628170e+01,8.440697729e+01,2.099644952e+00,7.256950571e+01,7.654983639e+01,4.760294446e+01,8.615717026e+01,8.393135124e+01,9.372540192e+00,1.025882562e+01,8.663892640e+00,1.557432259e+01,6.577097665e+01,2.081001441e+01,2.839268226e+01,4.098332316e+00,3.203661391e+01,8.598915060e+01,1.189635645e-01,6.130361160e+01,3.175973480e+01,1.614220020e+01,7.374050469e+01,8.820832101e+01,6.885013353e+01,4.892798519e+01,9.685299158e+01,3.796861727e+00,2.364300149e+01,2.054289499e+01,7.396446754e+01,2.963334792e+01,3.177399361e+01,1.834478183e+01,5.676204778e+01,8.647721619e+01,7.752329414e+01,7.277688221e+01
7.459098599e+01,4.150256329e+01,9.236093277e+01,4.774816142e-01,1.035980889e+01,6.303871614e+00,2.328426206e+01,3.997456325e+01,1.239384285e+01,6.469992501e+01,8.019686921e+01,3.191489627e+01,3.741477471e+01,8.677427606e+01,6.721582299e+01,9.859119298e+01,9.392915215e+01,4.950267810e+01,3.239783288e+01,1.301020994e+01,8.631347546e+00,4.343078301e+01,9.784805840e+00,3.993572813e+01,4.420519164e+01,8.145572655e+01,9.021936570e+01,9.627607293e+01,6.908608731e+01,3.776309366e+01,8.552430077e+01,9.369747171e+01,3.391841835e+00,5.422470824e+01,1.362352129e+01,4.454759119e+01,6.394728752e+01,3.539429430e+01,3.365662954e+01,3.673647939e+01,3.418622132e+01,2.037034410e+01,4.041233478e+00,5.659108969e+01,3.765115624e+01,8.648402688e+01,7.585128935e+01,1.487041114e+01,1.740909691e+01,8.389813683e+01,4.450234760e+01,8.500291769e+01,5.125653887e+01,1.975529809e+01,3.266416519e+01,7.865957773e+01,4.668501791e+01,8.322897241e+01,2.484077732e+01,2.094054979e+00,9.102207107e+01,3.799509978e+01,1.108323722e-01,8.651909574e+01,1.756483650e+01,5.804243416e+01,3.675771345e+01,9.235091114e+01
9.535500185e+01,2.819706359e+01,4.338099350e+01,2.406306143e+01,5.088588247e+01,8.992826088e+01,3.765548467e+01,5.516170568e+01,4.969995109e+01,9.376437513e+01,7.667280830e+01,5.119717834e+01,1.158720237e+01,9.243231734e+01,6.280666788e+01,1.830739182e+01,9.024241732e+01,7.874377273e+01,5.142836008e+01,9.412364764e+01,8.369272911e+01,6.468395893e+01,2.640107893e+01,9.324852048e+01,7.622334892e+01,3.823377730e+01,1.139734577e+01,8.442127703e+01,8.886460420e+01,4.425174216e+01,9.908191372e+01,7.258407414e+01,8.761267574e+00,7.693636517e+01,2.290851535e+01,6.012509183e+01,2.553710457e+01,3.501037843e+01,6.250418411e+00,9.113122647e+01,3.801968827e+01,4.187756186e+01,5.571442962e+01,1.319262940e+01,6.109481353e+01,8.540886807e+01,7.135851085e+01,2.104543240e+01,6.356408854e+01,7.022938745e+01,5.472801127e+01,5.798789164e+01,6.309413995e+01,5.433444986e+01,1.878381807e+01,3.640041613e+00,8.033160529e+01,2.583537577e+01,6.050494560e+01,3.555351074e+01,1.478875620e+01,4.572546397e+01,4.956558945e+01,8.028493751e+01,3.747872859e+01,8.862620426e+00,7.320744323e+01,3.246946628e+01
2.959192085e+01,5.180901964e+01,6.105991482e+01,7.401689426e+01,8.918708483e+01,7.607967888e+01,7.728261084e+01,7.864825419e+01,6.273529630e+01,9.624532632e+01,8.786014180e+01,9.709032200e+01,6.112576483e+01,1.244502191e+01,9.135405715e-01,2.362312513e+01,1.291345287e+01,6.811606084e+00,8.359290164e+01,2.170417586e+01,1.421991803e+01,5.994667216e+01,5.217311966e+01,3.238292037e+01,7.184096362e+01,9.149859440e+01,2.967293731e+00,4.905886232e+01,1.976068220e+01,2.176392770e+01,1.823486282e+01,4.930359431e+01,4.570180584e+01,7.653379532e+00,3.144435424e+01,2.414478993e+01,4.695910698e+01,1.794715793e+01,2.680352408e+01,9.054263604e+01,7.294638723e+01,8.335243782e+01,7.168742129e+01,6.600870189e+01,4.339181556e+01,3.561406404e+01,4.167264170e+01,6.335942695e+01,2.094358532e+01,6.409023643e+00,2.547483901e+01,3.493221345e+01,2.680743472e+01,8.504826822e+01,3.589385513e+01,8.102036378e+01,5.120487636e+01,8.961556073e+01,3.004602045e+01,7.305282509e+01,7.972576906e+01,1.625263743e+01,9.572142372e+01,6.640975785e+01,9.799152235e+01,3.075078866e+01,8.210371402e+01,2.497019420e+01
1.615204580e+00,6.967275091e+01,4.710140950e-01,3.842191449e+01,8.000450801e+01,7.138471540e+00,7.350746294e+01,2.600319408e+01,2.561520964e+01,9.273368250e+01,6.461799069e+01,6.447639819e+01,2.906050931e+01,6.293077547e+00,8.097605499e+01,5.674302027e+00,4.931232137e+01,5.115861042e+01,8.619053365e+01,2.592570301e+01,6.735974539e+00,9.557408667e+01,6.745793389e+01,1.355951161e+01,7.218809968e+01,9.780638573e+01,4.736082058e+01,5.333435776e+01,6.509110870e+01,9.710494385e+01,7.734557813e+01,1.051338809e+01,7.053042724e+01,8.161308993e+01,5.770427618e+00,6.757187733e+00,4.111740865e+01,1.128353678e+01,7.420010127e+01,5.131360206e+01,5.789934255e+01,7.158012684e+01,7.910960414e+01,6.508586665e+01,6.531141760e+00,2.603474259e+01,7.474806283e+01,8.070521441e+01,9.707878066e+00,1.382710385e+01,7.103630708e+01,4.387760900e+01,7.818630752e+00,2.910171819e+01,3.770116276e+01,1.446382504e+01,3.882731967e+01,5.021165839e+01,8.729491280e+01,9.875713069e+00,3.021477051e+01,9.817818681e+01,2.272794881e+00,4.963454947e+01,4.585968979e+01,3.371556566e+01,4.869232854e+01,3.010026256e+01
9.308818079e+01,4.804326105e+01,9.649362245e+00,5.601026898e+01,8.131442781e+00,5.723785895e+00,2.459685083e+01,9.986861867e+01,6.021945414e+01,3.578287361e+01,2.371530982e+01,1.056289652e+00,5.654882530e+01,5.881300111e+01,8.816702215e+01,8.108669062e+01,8.440496104e+01,1.169274919e+01,3.747957547e+01,5.056277882e+01,5.559407473e+01,7.467214143e+01,7.515388141e+01,8.941986444e+01,6.872074410e+01,2.254996958e+01,1.027054792e+01,2.701562583e+01,3.475737609e+01,1.925386508e+01,6.219774627e+01,9.840830566e+01,2.589659675e+01,9.378120692e+01,2.074375573e+01,6.736269780e+01,5.369008193e+01,3.835014398e+01,9.338113323e+01,1.371600776e+01,9.895725841e+01,4.023726658e+01,5.318166809e+01,1.095698571e+01,5.698262257e+01,6.817659174e+01,1.796806869e+01,5.263660567e+01,6.395543673e+01,9.986008669e+01,2.266103540e+01,1.293385283e+01,1.226679160e+01,4.894518973e+01,7.365596753e+01,7.719843808e+01,8.622058093e+01,1.402712311e+01,6.990090025e+01,4.063406293e+00,9.019972775e+01,9.391399183e+01,3.999562123e+01,3.039758299e+01,9.959136135e+01,1.570747278e+01,2.737893685e+01,9.556802490e+01
2.345033075e+01,1.374282593e+01,6.738223822e+01,2.859674670e+01,2.285436215e+01,1.363343855e+01,4.724864100e+01,6.895890081e+01,4.420730068e+01,1.258422235e+01,3.321580149e+01,3.058753254e+01,5.522534688e+00,1.946768591e+01,1.789039899e+01,8.152845279e+01,4.501998500e+01,7.794068370e+01,5.973891113e+01,4.431596925e+01,2.423458286e+01,4.337533171e+01,4.863667998e+01,2.522030076e+01,9.047448077e+01,5.663572305e+01,4.647905472e+01,1.515066904e+01,6.378452357e+01,2.834473004e+01,6.018523383e+00,7.006285237e+01,5.983288966e+01,4.128000878e+01,5.356519247e+01,4.736130062e+01,1.375962919e+00,3.770034197e+01,8.380695131e+01,1.085476374e+01,1.160670522e+01,9.040590335e+01,6.736830530e+01,2.890262715e+01,5.251899129e+01,1.365839252e+00,4.589587564e+01,1.086541722e+01,4.350644470e+01,5.158947254e+01,7.684017663e+01,7.484899212e+01,8.068995329e+01,1.624391180e+01,6.764263202e+01,7.625601372e+00,9.330422036e+01,9.127178510e+01,2.782515896e+00,7.331729037e+01,2.376258968e+00,9.247632779e+00,1.860894519e+01,3.238766693e+01,8.475561838e+01,4.719730695e+01,2.418692614e+01,8.534847421e+01
9.842712757e+00,9.613992441e+01,2.122401999e+01,8.673489756e+01,7.995690265e+00,6.408091411e+01,4.573537879e+01,3.660940423e+01,7.143217855e+01,2.296140450e+01,4.299807414e+01,4.676024709e+01,7.324262343e+01,6.701851429e+01,8.029814272e+00,8.390984058e+01,3.581943226e+01,6.089666051e+01,7.463472769e+01,9.116415455e+01,9.392030029e+01,8.351324847e+01,4.347665330e+01,2.859045090e+01,7.016557233e+01,5.744075849e+01,7.375592649e+01,6.493695533e+01,1.949521467e+01,4.246212889e+01,9.844837747e+01,8.329177528e+01,9.836525546e+00,6.172498603e+01,6.045529519e+01,8.247645878e+01,8.605337322e+01,1.200898173e+01,6.555872947e+01,4.847505941e+01,9.472091010e+01,8.084234826e+01,2.662652395e+01,6.058088943e+01,6.091684562e+01,5.162305568e+01,8.917583743e+01,4.371525583e+01,6.053681091e+01,6.569438608e+01,6.231125353e+01,9.588109411e+01,7.730345496e+01,7.631871864e+01,8.234173812e+01,4.024886624e+01,1.942516247e+01,7.940528871e+00,4.638140139e+01,9.139186657e+01,9.149290399e+01,6.988204006e+01,6.240490194e+01,1.957464554e+01,5.402259299e+01,7.505019443e+01,4.826194455e+01,8.225208236e+01
