v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69
5.864048344e+01,8.763417802e+01,6.296635018e+01,4.044919517e+01,9.627649749e+01,1.168022041e+01,1.899686386e+01,5.151446963e+01,5.511788675e+01,2.728837467e+01,1.508695477e+00,2.107220272e+01,8.776137508e+00,7.938144138e+01,4.920027597e+01,2.297389988e+00,2.884457261e+01,1.715701267e+01,8.017151708e+01,2.555754130e+00,2.411709865e+01,6.466331567e+00,9.879706485e+01,5.087339986e+00,4.703869148e+01,6.970318925e+01,6.505839686e+01,5.808847074e+01,1.940621818e+01,5.338099860e+01,4.552442189e+00,2.949704203e+01,7.864009204e+01,5.970708543e+01,2.631719192e+01,5.779439767e+00,6.180891782e+01,3.464897107e-01,3.416055644e+01,9.449831199e+01,3.746075569e+01,1.601642813e+01,8.471052226e+01,2.433659888e+01,1.032011740e+01,4.833038138e+01,4.113579856e+01,8.561302225e+01,4.787673979e+01,1.517466180e+01,2.662615291e+01,7.217464846e+01,4.581023269e+00,2.575215196e+00,9.606536681e+01,4.858268829e+01,1.919063115e+01,6.258668240e+01,1.937725866e+01,7.546744217e+01,8.332559387e+01,7.233649706e+01,2.590022892e+01,4.818104065e+00,3.443267558e+01,5.641814181e+01,3.902470681e+01,1.122718313e+01,8.322482292e+01
7.968846098e+01,2.210197926e+01,2.200393850e+01,3.676238060e+01,7.194796479e+01,9.068871551e+01,7.617440338e+01,6.227988065e+01,4.966214470e+01,3.146282999e+01,7.650513443e+01,4.534681446e+01,8.103027186e+00,8.963118676e+01,3.334534205e+00,3.761964851e+01,7.784034756e+01,2.063141703e+00,2.296467038e+01,7.087991774e+01,7.098396750e+01,2.669986740e+01,6.361704519e+01,7.334414630e+01,8.035032936e+00,5.281758199e+01,2.331002878e+01,4.813542679e+01,7.949708232e+01,3.087543741e+01,9.448241514e+01,3.194497036e+01,4.152900863e+01,8.650219459e+01,6.231303100e+01,8.695781966e+01,3.129620187e+01,6.140088411e+01,2.876026961e+01,3.661384276e+01,4.574892794e+01,6.217365416e+01,9.226105877e+01,3.581522341e+01,9.502361333e+01,2.883247004e+01,2.650470712e+01,1.191569307e+01,3.147444013e+00,3.162186180e+01,5.931327390e+01,3.174263728e+01,3.051377844e+01,6.652451796e+01,9.508993116e+01,4.903862445e+00,6.265051527e+01,1.541791992e+01,2.482590234e+01,4.268511978e+01,4.083766328e+01,7.771351576e+01,1.001811166e+01,2.109640898e+01,7.576504890e+01,7.452379290e+01,5.669682218e+00,1.388266592e+01,8.661808628e+01
7.725817748e+01,9.629243961e+01,4.511644656e+01,5.613815744e+01,6.541589014e+01,8.575608962e+01,7.789214466e+01,5.454280320e+01,2.419701715e+01,2.994660662e+01,4.671150877e+01,1.991935962e+01,9.921327829e+01,2.995669530e+01,7.958855945e+01,2.279289673e+01,4.208907191e+01,4.903091880e+01,8.499649800e+01,5.263387426e+00,1.965012907e+01,8.409580495e+01,9.350457763e+01,2.131813509e+00,1.004153438e+00,7.674644947e+01,3.834533566e+01,4.272158433e+01,5.247080851e+01,7.659241319e+01,9.168070135e+00,1.076423671e+01,3.932803552e+01,4.557441132e+01,2.205261612e+01,7.602250240e+01,7.168987804e+01,5.125353843e+01,9.718307202e+01,5.788004457e+01,1.672326616e+00,9.899460416e+01,8.025256060e+01,9.120430054e+01,1.529163469e+01,7.759179957e+01,9.696392197e+01,1.852722778e+01,4.668959474e+01,8.801006579e+01,8.016354026e+01,8.011335582e+01,3.411105877e+01,4.197725483e+01,1.969004041e+01,8.441054048e+01,3.540688355e+01,3.861633881e+01,6.982472489e+01,1.905098818e+01,1.630810340e+01,4.499948476e+01,2.453085603e+01,9.985256487e+01,8.791638904e+01,7.299174160e+01,7.585561863e+01,3.824906591e+01,7.048697114e+01
8.567328107e-01,9.109074307e+01,2.331479413e+01,5.582483039e+01,6.529532291e+01,6.388132274e+01,5.510093988e+01,6.024792346e+01,2.890216853e+01,2.192096579e-01,8.265057135e+01,8.244586783e+01,8.878899331e+01,9.496035380e+01,4.309031998e+01,2.730670259e+01,9.646113144e+01,2.609638306e+01,2.733831963e+01,8.949251139e+01,2.996263058e+01,5.175072505e+01,4.781452973e+01,5.627295001e+01,9.157809604e+01,3.149586342e+01,2.355566986e+01,8.916855203e+01,2.991693463e+01,6.171143180e+01,8.884879367e+01,3.027267061e+01,7.637853226e+01,4.805327615e+01,6.829731942e+01,2.065371186e+01,8.686577416e+01,9.021524983e+00,6.722841398e+01,3.520330752e+01,7.252231529e+01,4.641391339e+01,3.778333707e+01,7.941072605e+00,2.672899425e+00,1.152025910e+01,5.699886637e+01,9.171162096e+01,6.122038410e+01,8.116300250e+01,2.975009773e+01,1.847760758e+01,4.882382266e+01,8.276177550e+01,6.756722366e+01,5.606775635e+01,5.375383487e+01,3.071635249e+01,2.814138042e+01,9.944128633e+00,5.299546934e+01,9.650514496e+01,3.972548128e+01,5.233686428e+01,8.919491318e+01,8.470043083e+01,3.929699233e+01,7.979595771e+01,3.637675637e+01
1.923698407e+01,8.127955127e+01,9.152592477e+01,8.552495832e+01,8.786425321e+01,6.605703091e+01,9.195339565e+01,3.590665665e+01,9.458659219e+01,9.429045802e+01,6.731183638e+01,6.225502752e+01,2.412041357e+01,3.085481445e+01,4.216314771e+01,5.149948837e+01,7.875759281e+01,1.757538293e+01,9.898172612e+01,1.887373108e+01,7.439348490e+01,4.924051190e+01,7.317079054e+01,8.974021772e+00,2.384841095e+01,3.384198029e+01,9.105820479e+00,6.883113010e+01,9.193691776e+01,6.119701740e+01,7.477670982e+01,8.931929262e+01,3.569426283e+00,6.823577546e+01,7.072712166e+01,9.271375898e+01,3.666028467e+01,7.178970529e-02,3.479341466e+01,4.817024236e+01,1.052348128e+01,7.254706429e+01,1.187164074e+00,8.430928929e+00,5.574812370e+01,2.114041012e+01,4.792157646e+00,5.818922600e+01,8.703291213e+01,5.768817568e+01,7.561821870e+01,3.253244661e+01,3.804642483e+01,9.073984912e+01,7.289472737e+01,9.010651118e+01,8.551886351e+01,1.233111373e+01,8.909818390e+01,2.736936431e+01,6.751429180e+01,1.621706810e+01,8.830302018e+01,3.932618904e+01,5.862045677e+01,7.616712515e+01,9.740797572e+01,5.319171074e+01,9.323024617e+01
3.530136585e+01,6.231315312e+01,6.654014314e+01,2.688717194e+01,2.530224884e+01,1.611549255e+01,3.024402575e+00,6.873977787e+01,1.313096057e+01,3.745378295e+01,3.714602493e+01,3.466262708e+01,2.831470055e+01,7.722215914e+01,5.636706509e+01,8.969463176e+01,9.790925137e+01,2.621489883e+01,9.763320865e+01,9.167435737e+01,5.833905116e+01,6.709750765e+01,8.267391050e+01,3.907852824e+01,6.665670642e+01,6.693093002e+01,8.778810593e+01,8.701931237e+01,9.034949204e+01,8.619148479e+01,7.283050194e+01,5.471225691e+01,8.004288270e+01,2.134931587e+01,2.904552875e+00,3.963353590e+01,5.531797061e+01,4.714758294e+01,2.087260749e+01,3.240369779e+01,6.061725005e+01,8.021720528e+00,8.769802371e+01,1.620426477e+01,1.388176909e+01,3.862677479e+01,8.069678779e+01,6.792629202e+01,3.302317831e+01,3.936296963e+01,1.194589958e+01,2.083729602e+01,2.010922556e+01,4.168758829e+01,9.526035317e+01,3.170278269e+00,4.315203912e+01,7.287663166e+01,3.779647307e+01,7.555006927e+01,3.901870659e+01,2.865593000e+01,8.021222858e+01,9.949080718e+01,3.557327089e+01,7.707544040e+01,4.081728500e+01,6.683760118e+01,1.652848598e+01
8.982998808e+01,9.111294406e+01,8.587327686e+01,8.874631461e+01,7.585432308e+01,1.477961553e+00,3.555124092e+01,7.263507504e+01,3.977228293e+01,4.972895910e+01,6.596011387e+01,3.929581279e+01,2.310555383e+01,3.702772572e+01,8.860201333e+01,1.358564126e+01,5.941794568e+01,7.463183447e+01,2.610565606e+01,6.669337090e+01,8.949867787e+01,3.567478878e+01,3.042794825e+01,9.518075767e+01,3.002854027e+00,7.393135238e+01,9.954816476e+01,2.671771047e+01,2.566199054e+00,7.846245672e+01,8.182342285e+01,4.250205962e+01,1.441561236e+01,6.172629300e+01,9.393955316e+01,6.827238381e+01,5.214786406e+01,1.629092196e+00,8.594326833e+01,7.187328241e+01,8.115899304e+00,9.433110293e+01,8.559959003e+01,4.743325120e+01,6.738662896e+01,1.900074419e+01,6.063541205e+01,1.901093968e+01,7.981384082e+00,5.042444690e+01,7.393562169e+01,2.144285738e+01,7.824967463e+01,3.282659542e+01,9.023473733e+01,6.666279936e+01,3.666346189e+01,1.168205398e+00,2.635255556e+01,4.231146036e+01,8.513970709e+01,7.463033519e+01,7.729578078e+01,4.475227590e+01,5.027657044e+01,2.861431478e+01,5.911379493e+01,8.667657153e+01,5.892892074e+01
4.369455446e+01,6.042683136e+01,9.435477004e+01,9.210066718e+01,9.590720040e+01,6.700213156e+01,5.504887370e+01,7.784667625e+01,5.687938858e+01,4.716579220e+01,7.102011454e+01,6.738698590e+00,3.090108024e+01,9.927114940e+01,2.466067900e+01,5.326360506e+01,6.208091667e+01,1.411241416e+01,1.797228217e+01,8.806700236e+01,4.242021504e+01,7.934235325e+01,7.011612627e+01,9.641948662e+01,4.043829785e+01,7.074728081e+01,5.716586983e+01,3.581950783e+01,6.045203245e+01,1.227503297e+01,9.944514650e+01,9.812774593e+01,4.352805383e-01,5.946606628e+01,7.974966575e+01,2.017571867e+01,9.196816316e+01,4.789869865e+01,2.024674310e+01,8.075074285e+01,9.381606018e+00,7.740311471e+01,2.011442928e+01,7.851018232e+01,4.736525472e+01,9.357779715e+01,8.515334319e+01,1.524120167e+01,9.663587870e+01,3.609857456e-01,9.109553809e+01,3.986169102e+01,4.153662845e+01,6.456404712e+01,4.737176900e+01,1.657871432e+01,4.880334286e+01,4.867561384e+01,9.647763745e+01,8.232755585e+01,8.109037855e+01,6.555890962e+01,7.441055322e+01,5.550752420e+01,6.072951604e-01,1.095738387e+01,8.537730333e+01,1.647376938e+01,6.162855229e+00
8.115613184e+00,1.184623507e+01,2.609363436e+01,5.487321109e+00,8.683465825e+01,1.589658051e+01,3.897681355e+01,2.850671168e+01,2.257464354e+01,8.033771785e+01,9.180627219e+01,3.449710286e+01,4.808014846e+01,5.116554392e+01,9.349203173e+01,5.165673140e+01,4.779477208e+00,8.881057065e+01,4.562085350e-01,6.852870562e+01,1.578023089e+01,3.990197792e+01,1.142639239e+01,8.876220890e+01,7.117087764e+01,1.047663660e+01,3.989985612e+01,4.298246368e+01,3.166720712e+01,5.477130785e+01,3.445479032e+01,4.638185643e+01,8.867555291e+01,1.822667116e+01,6.513286452e+00,5.015867790e+01,2.411839676e+00,7.824024520e+01,4.242189616e+01,9.206304694e+01,2.692075321e+01,2.031819102e+01,4.734483279e+01,9.630563378e+01,2.640873823e+01,5.192540914e+01,7.722514796e+01,5.079378985e+01,1.260039814e+01,9.213303992e+01,8.255000312e+01,6.682204958e+01,7.247723536e+01,9.963431044e+01,6.477530643e+01,8.756913599e+01,2.408759546e+01,9.776671460e+01,2.835639173e+01,4.958748692e+01,5.121314940e+01,3.076446907e+01,8.607222974e+01,2.018963057e+01,4.605668291e+01,2.811685162e+01,3.279943687e+01,8.872063303e+01,9.691651163e+01
7.673570215e+01,7.249326622e+01,9.264406330e+01,4.187737836e+01,1.094272959e+01,9.746926515e+01,9.932202032e+01,4.260075069e+01,5.074110993e+01,8.463352135e+01,3.167327872e+01,6.085846677e+01,7.401495440e+01,9.833769567e+01,9.189711624e+01,7.731776292e+01,4.307236840e+01,5.198094037e+01,6.278397694e+01,2.668982151e+01,2.865799651e+01,1.000680206e+01,7.631917653e+01,9.743400328e+01,9.464283768e+01,2.212004061e-03,8.064053228e+01,2.779664002e+01,5.485957963e+01,7.753282283e+01,4.824417262e+01,7.417767545e+00,2.664861232e+01,1.903426012e+01,8.108378077e+01,3.317746550e+01,8.546902313e+01,8.814920173e+01,3.224011826e+01,1.690547553e+01,6.325644453e+01,4.977760799e+00,3.610912017e+01,3.574479865e+01,6.940054027e+01,4.680775345e+01,2.985862661e+01,5.169832163e+00,2.440726917e+01,7.940320148e+01,6.167523398e+01,8.274233277e+01,2.557360821e+01,6.079604696e+01,8.010223018e+01,8.145571443e+01,9.268611223e+01,8.148151302e+01,4.996426797e+01,6.339716170e+01,6.070774755e+01,8.762899900e+01,5.894649178e+01,7.012496850e+01,8.331382625e+01,1.262406928e+00,9.242822217e+01,8.116647732e+01,4.708691594e+01
