v1,v2,v3,v4,v5,v6,v7
3.158341715e+01,9.385800242e+01,9.197407154e+01,1.841785404e+01,4.028167090e+01,3.306895829e+00,6.114438336e+01
6.435857512e+01,9.465541613e+01,4.177403132e+01,3.675211523e+01,4.607452823e+01,8.210204038e+01,2.952231884e+01
3.902192981e+01,2.425507964e+01,2.370995590e+00,7.564775147e+01,5.103561031e+01,3.832645536e+01,3.414103183e+00
6.179010249e+01,9.203723553e+01,5.261153013e+01,9.350819731e+01,1.640420672e-01,3.848304761e+01,7.799154790e+00
8.415671346e+01,5.036482337e+01,2.260562254e-01,3.171466679e+01,6.901425345e+01,8.397684212e+01,8.797247574e+01
4.787512335e+01,8.855094488e+01,7.620861712e+00,2.029733553e+01,4.948625936e+01,4.033921395e+01,3.541285935e+01
4.220414531e+01,8.035047654e+00,2.971761938e+01,7.368579288e+00,5.643382884e+01,8.784619263e+01,4.894876213e+01
3.227272807e+01,3.377636064e+01,7.987821877e+01,7.926886481e+01,1.673573773e+01,2.077902111e+01,8.701055439e+00
7.283335650e+01,7.584353985e+01,1.614962735e+01,1.562492449e+01,5.549940166e+01,6.624845821e+00,9.066657454e+01
4.862244088e+01,4.039863972e+01,7.961682012e+00,9.170102434e+01,9.093438488e+01,6.494002875e+01,9.715392236e+01
1.854921794e+01,1.678818358e+01,1.877801229e+01,4.895538918e+01,9.021398588e+00,4.665639516e+01,6.606163574e+01
8.642611151e+01,9.479996960e+01,2.058453196e+00,5.075060748e+01,9.426468386e+01,6.958279595e+01,6.720063969e+01
3.013809219e+01,4.864769266e+01,3.739696660e-01,7.457486560e+01,2.680510393e+01,6.466837453e+01,7.225291757e+01
5.030543938e+01,4.874342654e+01,2.414335427e+01,5.144877432e+01,6.019028576e+01,1.805291242e+00,8.697011498e+01
1.740998544e+01,3.444716513e+01,2.645836709e+01,1.989469016e+01,4.582691068e+01,9.566350516e+01,6.235824301e+01
5.096433921e+01,4.592813940e+01,1.464624195e+01,4.329416978e+01,2.660079449e+01,1.530545511e+01,6.684824961e+01
8.715449135e+01,9.514313653e+01,3.665158102e+01,2.105012592e+01,8.302135819e+01,1.223516005e+01,8.169066391e+01
6.448786353e+01,9.875932373e+01,4.484061390e+01,1.907515536e+01,4.788582436e+01,3.890536862e+01,6.081255600e+01
7.885392649e+01,8.590756436e+01,7.813031162e+01,9.122480256e+01,5.933225968e+01,4.129123758e+01,9.130993038e+01
3.355644555e+01,2.186776916e+01,6.275805763e+01,7.514529251e+01,2.259645198e+00,3.643316642e+00,9.380684851e+01
2.483078251e+01,5.650497200e+01,6.953186023e+01,6.366057289e+01,8.116995404e+01,1.997892626e+01,1.228031554e+01
1.669902018e+01,3.794100076e+01,8.286090528e+01,4.847329364e+01,3.273146752e+01,2.700102084e+00,1.718554957e+01
8.352105550e+01,7.421723388e+01,7.758250614e+01,7.647711896e+01,2.713613097e+01,6.008124016e+01,3.740561213e+01
4.144190161e+01,5.444211709e+01,1.973248363e+01,5.437059653e+01,6.583891685e+01,8.273963792e+01,1.399174685e+01
3.997555264e+01,3.810226185e+01,6.389891516e+01,9.702827953e+00,6.839040046e+01,5.641537867e+01,7.130894712e+01
5.155176320e+01,6.328550305e+01,7.183399862e+01,5.499651802e+01,8.540075307e+01,1.766196789e+01,1.614993944e+01
9.060541292e+01,1.287635573e+01,7.893522891e+01,5.819324522e+01,5.849861690e+01,8.281942504e+01,3.558002059e+01
7.415325384e+01,7.284072065e+01,8.180287972e+01,6.179717801e+00,8.224285683e+01,3.567147493e+01,8.364404600e+01
7.395981732e+01,8.992300297e+01,6.858230918e+01,1.833096673e+01,2.597356640e+00,4.262991607e+01,4.025975674e+01
7.571709334e+01,7.809861728e+00,6.875622546e+00,2.888634775e+01,1.598589930e+01,2.453750520e+01,3.446493547e+01
4.410373768e+01,7.862573669e+01,5.424020538e+01,7.107335856e+01,1.604565152e+01,1.256929450e+00,5.860972830e+01
5.542886042e+01,5.892373430e+01,5.985044644e+01,2.578457589e+01,6.465435388e+01,6.806502477e+01,5.470790696e+01
7.682122741e+01,4.652680068e+01,1.444806485e+01,2.727226209e+01,1.566559368e+01,8.303699255e+01,8.172749266e+01
9.224054397e+01,2.624038196e+01,5.563645206e+01,2.410989034e+00,4.481092394e+01,7.996595867e+01,3.164502046e+01
7.390805555e+00,1.923954765e+01,8.318352495e+01,9.681442773e+01,7.508157217e+01,3.208296180e+01,6.701034920e+01
4.760573071e+01,1.241346950e+01,3.437784218e+01,4.441583179e+01,6.155087651e+01,1.098556296e+01,5.170945275e+01
8.924963479e+01,4.368401483e+01,5.979983619e+01,6.348548763e+01,6.002129960e+01,8.047719690e+01,9.939978484e+01
5.509456614e+01,5.263337136e+00,6.715809799e+00,1.121263994e+01,9.124633074e+01,3.317715642e+01,4.635444677e+00
6.271571342e+01,7.711998653e+01,1.470010032e+01,1.030250284e+01,1.485533475e+01,7.429317312e+01,5.708517119e+01
6.474135934e+01,2.667402475e+01,7.220499570e+01,8.695493868e+01,6.144303480e+01,1.617706887e+01,7.895207044e+01
7.868539766e+01,3.603985147e+01,5.209433755e+01,8.514577506e+01,7.662158110e+01,7.103252383e+01,3.764489580e+01
3.411965112e+00,4.647736890e+00,1.800258774e+01,8.327713255e+00,9.930223346e+01,2.862172392e+01,7.685539548e+01
3.707480656e+01,9.725050541e+01,1.091217075e+01,8.876121539e+01,8.251998631e+01,4.062044766e+01,9.665029689e+01
7.843560804e+01,6.562484628e+01,6.323671747e+01,9.081723516e+01,7.975165268e+00,4.574065797e+01,7.346574272e+01
1.048796019e+01,4.538331103e+01,3.689182710e+01,5.101520987e+01,7.080175388e+01,5.136064146e+01,3.296383244e+01
